wavelength,Back_SicRaim,Belly_SicRaim,Breast_SicRaim,Crissum_SicRaim,Crown_SicRaim,DorTail_SicRaim,Patch10_SicRaim,Rump_SicRaim,Throat_SicRaim,WingTip_SicRaim
804.68,31.808,61.1936666667,39.39,57.739,27.9496666667,31.2696666667,27.0973333333,26.1103333333,44.4143333333,32.0995
804.99,31.7606666667,61.2756666667,39.173,56.6036666667,28.1673333333,31.0423333333,27.9876666667,26.7746666667,43.486,31.3345
805.30,32.4296666667,61.653,40.1083333333,57.4076666667,28.8166666667,30.2166666667,27.868,27.236,44.1733333333,31.7075
805.60,33.3333333333,63.347,40.3923333333,58.2513333333,30.108,28.705,28.1906666667,26.9753333333,45.6286666667,30.645
805.91,33.2373333333,62.9306666667,40.9483333333,58.908,29.5016666667,27.9696666667,28.5916666667,27.155,46.2643333333,30.316
806.21,34.661,64.0606666667,43.8546666667,61.554,30.9733333333,27.6796666667,30.5306666667,28.6136666667,48.6236666667,30.236
806.52,35.106,63.417,43.5253333333,62.777,30.822,28.754,30.7236666667,29.0496666667,50.0246666667,30.3545
806.83,35.6063333333,63.3333333333,45.4043333333,63.283,30.2016666667,28.1313333333,30.808,27.7273333333,51.3636666667,29.318
807.13,36.6923333333,61.6286666667,45.0383333333,62.4936666667,29.3636666667,27.2773333333,30.127,28.1933333333,52.163,30.229
807.44,37.9486666667,62.0003333333,45.4873333333,63.1796666667,30.6153333333,27.3333333333,30.7693333333,29.795,52.4616666667,31.2305
807.74,38.8633333333,62.5703333333,46.083,64.1576666667,30.5683333333,28.418,31.285,30.722,51.869,31.951
808.05,37.0143333333,59.663,44.4276666667,62.9853333333,29.908,28.7833333333,30.1123333333,30.5726666667,50.1533333333,30.7515
808.35,36.2546666667,59.4676666667,45.0706666667,63.3283333333,28.221,29.7863333333,29.9943333333,29.786,50.339,30.8295
808.66,35.1793333333,58.0696666667,43.249,61.7616666667,25.686,30.0106666667,28.7446666667,30.0103333333,49.367,29.193
808.97,34.554,56.6876666667,43.206,61.1466666667,23.8856666667,30.1486666667,27.601,29.14,48.9383333333,30.016
809.27,35.9536666667,56.8653333333,43.7626666667,61.5826666667,24.0043333333,30.713,26.2053333333,30.1363333333,49.5806666667,30.503
809.58,35.3036666667,55.325,41.906,60.6493333333,22.0976666667,30.884,24.228,29.4463333333,49.2546666667,29.792
809.88,35.6983333333,55.9123333333,41.4976666667,60.3606666667,20.3826666667,31.3063333333,22.7476666667,28.153,48.4233333333,30.0675
810.19,35.0426666667,55.4986666667,38.6323333333,57.9483333333,19.658,30.6553333333,20.399,27.6356666667,47.9203333333,29.06
810.49,34.0656666667,54.0543333333,36.4866666667,56.869,19.0313333333,29.7863333333,20.3263333333,25.6193333333,45.6083333333,28.5475
810.80,32.7453333333,55.0263333333,36.0963333333,56.0846666667,16.2256666667,30.394,18.4596666667,23.3393333333,45.738,25.8375
811.10,29.492,53.7173333333,34.8203333333,53.6556666667,12.5773333333,28.5003333333,15.1796666667,20.6316666667,44.3616666667,21.7475
811.41,30.4743333333,56.4003333333,36.8423333333,53.866,11.241,27.875,14.295,20.8576666667,46.3286666667,21.6375
811.71,31.1593333333,56.785,36.693,53.8206666667,12.3186666667,26.6796666667,13.4386666667,20.4216666667,47.167,21.5415
812.02,31.187,56.2713333333,37.357,54.1246666667,14.0843333333,24.078,14.621,19.383,46.68,20.322
812.32,31.25,56.3153333333,38.9323333333,54.9483333333,16.2113333333,25.1953333333,15.7556666667,20.443,46.5493333333,22.461
812.63,29.4273333333,54.5456666667,37.9126666667,52.256,15.6226666667,22.963,15.892,18.788,45.1176666667,21.9195
812.93,30.7483333333,57.347,40.0,52.6533333333,17.823,24.7616666667,18.4353333333,19.932,47.2786666667,23.4695
813.24,32.4053333333,57.787,42.147,53.6116666667,21.0073333333,25.58,22.0676666667,22.5976666667,48.575,23.857
813.54,30.9283333333,55.3773333333,42.0843333333,53.4403333333,22.044,24.4486666667,24.4486666667,21.7766666667,45.9586666667,23.6475
813.85,31.0093333333,56.3083333333,43.559,52.988,24.3693333333,26.0953333333,26.2283333333,22.7753333333,46.149,23.1075
814.15,29.8623333333,53.3726666667,42.3053333333,51.3426666667,23.0513333333,23.445,25.6056666667,20.825,42.3053333333,21.513
814.46,33.2693333333,53.9833333333,42.5746666667,51.2426666667,28.171,24.793,29.7643333333,21.606,43.1483333333,24.5695
814.76,34.788,52.119,43.0743333333,51.423,30.1076666667,23.972,30.6136666667,22.138,43.9596666667,25.427
815.07,35.0976666667,50.6616666667,41.8396666667,52.0476666667,30.5606666667,22.621,31.8836666667,21.8023333333,43.8563333333,25.6145
815.37,35.8023333333,51.2963333333,41.111,51.9136666667,31.728,26.5433333333,32.5306666667,24.3826666667,44.2593333333,28.426
815.68,37.4456666667,51.09,41.4953333333,51.4016666667,32.835,27.539,34.455,25.545,44.486,26.916
815.98,37.2403333333,50.4276666667,39.988,52.442,31.3796666667,28.5713333333,34.6153333333,24.8473333333,45.4213333333,27.1975
816.29,34.6176666667,46.544,36.8806666667,49.786,28.4403333333,24.5873333333,32.2936666667,22.2016666667,42.0186666667,26.6055
816.59,32.544,46.327,35.4586666667,49.3626666667,28.1726666667,24.0436666667,31.2083333333,21.4933333333,41.348,25.592
816.89,34.286,49.226,36.131,52.262,29.1073333333,26.726,31.012,24.4643333333,45.0,28.6605
817.20,35.3903333333,50.5143333333,37.4473333333,55.2933333333,29.3406666667,28.191,30.9136666667,26.7393333333,46.6423333333,29.3105
817.50,38.562,53.0003333333,39.156,58.4666666667,31.1943333333,31.7293333333,33.571,30.5406666667,50.208,32.5315
817.81,36.2746666667,52.6526666667,39.3306666667,59.6886666667,25.894,30.3343333333,30.7383333333,30.45,48.789,30.969
818.11,35.4713333333,53.838,37.281,59.32,23.9033333333,30.5923333333,30.4823333333,30.0986666667,48.3553333333,31.6615
818.41,34.9813333333,54.7583333333,37.959,58.7983333333,24.083,32.1636666667,30.197,29.8246666667,48.3786666667,31.1805
818.72,34.6503333333,55.8766666667,39.0073333333,59.5743333333,23.5053333333,31.155,29.939,28.5206666667,49.0883333333,30.167
819.02,33.9906666667,55.7746666667,37.6996666667,59.1076666667,22.4413333333,29.812,29.2486666667,27.371,48.216,30.5635
819.33,33.676,55.6126666667,38.4746666667,58.3116666667,23.393,29.349,28.363,27.2493333333,47.258,29.4985
819.63,33.7333333333,54.489,39.9856666667,59.1423333333,24.2456666667,30.2073333333,27.9896666667,27.4083333333,47.0736666667,28.735
819.93,34.3456666667,54.83,40.9073333333,59.614,24.839,30.635,27.9976666667,27.7523333333,47.378,29.531
820.24,34.0003333333,54.8113333333,41.5956666667,59.2506666667,25.2756666667,29.818,28.201,27.303,46.138,28.599
820.54,34.1923333333,55.2833333333,42.1393333333,59.3,25.322,29.51,27.6846666667,26.9546666667,46.2843333333,28.898
820.85,33.024,54.676,41.2296666667,57.933,24.9453333333,28.1113333333,27.2926666667,25.7276666667,45.2693333333,28.4935
821.15,33.507,55.2086666667,41.446,57.6863333333,26.215,28.4406666667,27.9196666667,25.6943333333,45.7386666667,29.0955
821.45,33.4306666667,54.932,41.5076666667,57.8413333333,26.545,28.6366666667,28.055,25.3946666667,45.2343333333,28.8865
821.76,33.4206666667,54.995,41.5673333333,57.7853333333,26.5573333333,28.5626666667,27.8153333333,25.6106666667,45.2666666667,28.8115
822.06,33.4253333333,54.619,41.35,57.4863333333,26.5033333333,28.5303333333,27.8623333333,25.835,45.1623333333,28.68
