wavelength,Back_TanMexm,Belly_TanMexm,Breast_TanMexm,Crissum_TanMexm,Crown_TanMexm,DorTail_TanMexm,Patch10_TanMexm,Patch11_TanMexm,Rump_TanMexm,Throat_TanMexm,WingTip_TanMexm
777.54,5.83686666667,63.1631,16.869,53.8222551657,6.46486666667,7.27036666667,7.66213333333,13.442,18.1282666667,15.7774666667,12.1821333333
777.85,5.9278,63.1103666667,16.7201333333,54.049151462,6.6514,7.45136666667,7.65626666667,13.5880666667,18.1611333333,15.7037333333,12.0043333333
778.16,6.2408,63.4450666667,17.0770666667,54.4327654971,7.03920000001,7.68256666667,8.09539999999,13.8551333333,18.3128666666,15.8490666667,12.2094666667
778.47,5.99306666667,63.1377,16.917,54.3014931774,6.93826666666,7.58240000001,7.87273333333,13.6845333333,18.0368,15.8116666667,12.1684
778.78,5.877,62.6699666667,16.7722,53.9041699805,6.7642,7.45146666667,7.89453333334,13.3868666666,17.7662666667,15.6054666667,11.8538666667
779.09,5.6376,62.6816333333,16.4486666667,53.5837436647,6.497,7.38886666667,7.85079999999,13.3057333333,17.4836666667,15.4724,11.7939333333
779.40,5.2414,63.0468333333,16.0400666667,53.7695586745,5.87993333333,6.82179999999,7.405,12.8734,17.4262666667,15.2978,11.5558
779.71,5.6776,63.2121333333,16.3325333333,54.0035853801,5.965,7.15336666667,7.75806666667,12.9977333333,17.8572,15.6100666667,11.9072666666
780.02,5.25566666667,62.7602333334,16.1181333333,53.6764212476,5.5132,6.73839999999,7.29593333333,12.8248,17.5193333333,15.2089333333,11.6734
780.33,4.87666666667,62.3740666667,15.9741333333,53.3498894737,5.1228,6.61676666667,6.86680000001,12.6826666667,17.11,15.1468666667,11.4651333333
780.64,4.50006666667,62.0977,15.4873333333,53.0206789474,4.81333333333,6.3431,6.50813333333,12.6529333333,16.8148666667,15.0366,11.2962666667
780.95,3.9124,62.3006333333,15.1182666667,53.2564405458,4.191,5.87403333333,5.83993333333,12.1625333333,16.5031333333,14.7780666667,11.0167333333
781.26,3.19626666667,61.9087666667,14.9208,52.8535982456,3.57273333333,4.9739,5.082,11.4291333333,15.9722666666,14.4390666667,10.6579333334
781.57,2.48413333333,61.6917,14.1584,52.4318452242,2.8044,4.5469,4.48093333333,10.8536,15.4268666667,14.2198,9.84419999999
781.88,1.92493333333,61.8954,13.7114666667,52.6812808967,2.22953333333,4.09243333333,4.188,10.4586,15.3092666667,13.9081333333,9.42966666667
782.19,1.7902,61.8476,13.6358666667,52.3135937622,2.23593333333,4.00436666667,4.21953333333,10.5298,15.3931333333,14.0286666667,9.63586666668
782.50,1.4212,62.0892,13.3685333334,52.47902846,1.97246666667,3.8078,3.891,10.1680666667,15.4217333333,13.7626666667,9.34853333333
782.81,1.25226666667,61.9376666667,13.2509333333,52.2801787524,1.9838,3.7716,3.69406666667,10.2402666667,15.0852,13.4933333333,9.29826666667
783.12,0.872933333334,61.8167333333,13.0218,51.8049417154,1.82246666667,3.47353333333,3.5982,10.3238666667,14.6962,13.2031333333,9.18473333333
783.43,1.3386,62.4602333333,13.462,52.2281547758,2.33993333333,4.05823333333,3.8662,10.6387333334,14.8602666667,13.8251333333,9.60759999999
783.74,1.41026666667,62.7509666667,13.3716666667,52.7416233918,2.2138,4.02276666667,3.74086666667,10.3757333333,15.0551333333,13.4746,9.6346
784.05,1.15473333334,62.4983666667,13.2573333333,52.5616350877,1.97166666667,3.8931,3.4794,9.63566666669,14.7232666667,12.9244,9.35686666667
784.36,1.56373333333,62.8236666667,13.6332666667,52.5080923976,2.5604,4.28363333333,3.95699999999,10.0067333333,14.9284666667,13.3152,9.62146666667
784.67,2.54546666667,63.9073333333,14.3200666667,53.1849280702,3.3702,5.3013,4.95079999999,10.9434,15.8556,14.0154666667,10.3359333333
784.98,3.23193333333,63.8214333333,14.8950666667,53.1205567252,4.0812,5.84193333333,5.54286666667,11.5704,16.3358666667,14.2036666667,11.0340666667
785.29,3.89566666667,63.9457,15.2078666667,53.2859707602,4.69313333333,6.17906666666,5.74966666667,12.245,16.6454666667,14.5684,11.1936
785.60,3.84646666667,64.3300666667,14.9130666667,53.4442567251,4.54866666667,5.92103333333,5.29686666666,12.0346666667,16.6654,14.3462666667,10.7708666667
785.91,4.56186666667,64.8228666667,15.4012,53.5729682261,5.40473333333,6.33050000001,5.84153333333,12.6607333333,17.1747333333,14.8442666667,11.1217333334
786.22,4.4462,64.4845333333,15.3801333333,53.0394658869,5.2088,6.30790000001,5.91406666666,12.5396,17.2,14.7802,10.7984666667
786.53,4.3032,64.2710333333,15.003,52.9649783626,5.1392,6.12796666667,5.77406666666,12.1994,17.1100666667,14.5318,10.6654
786.84,4.30953333333,64.0823333333,14.5838666667,53.2266978558,4.90546666667,5.86463333333,5.99566666667,11.9986666667,17.036,14.2596,10.4083333333
787.14,4.2794,63.7512666667,14.4700666667,52.9597423002,5.00946666667,5.92716666667,6.0254,12.0315333333,16.8768,14.2411333333,10.1246
787.45,4.32646666667,64.0996,14.5278666667,53.205354191,5.14833333333,5.88136666667,5.9386,12.1030666667,16.9611333333,14.3004666667,10.0871333333
787.76,4.58426666667,64.2974666667,14.9468,53.531237232,5.52973333333,6.12843333333,6.37413333333,12.5249333333,17.4224,14.668,10.5416
788.07,4.3184,64.0463,14.6751333334,53.5019274854,5.4588,5.6408,6.2694,12.3791333333,16.9868666667,14.5058,10.3804
788.38,3.70633333333,63.469,14.3086,53.133182846,5.01426666667,5.07946666667,5.85766666667,11.8879333333,16.6822666667,14.0438666667,10.2522
788.69,2.918,63.0161666666,13.8536,52.7992606238,4.3674,4.5198,5.38720000001,11.0903333333,15.9776,13.2135333333,9.76733333333
