wavelength,Back_TanXacm,Belly_TanXacm,Breast_TanXacm,Crissum_TanXacm,Crown_TanXacm,DorTail_TanXacm,Patch10_TanXacm,Patch11_TanXacm,Patch12_TanXacm,Rump_TanXacm,Throat_TanXacm,WingTip_TanXacm
562.96,58.5485555555,39.7774444444,76.2047777778,20.0213333333,27.9905555555,12.1871111111,84.3464444445,81.9796666667,5.97455555556,80.0608888889,6.67377777778,9.40033333332
563.30,58.6245555555,39.7713333333,76.164,20.0696666667,28.2346666667,12.1703888889,84.1884444445,82.1801111111,5.97444444444,80.0095555556,6.67455555556,9.42683333332
563.64,58.7535555556,39.8315555555,76.2888888889,20.1188888889,28.4991111111,12.1548888889,84.1432222222,82.6233333333,5.96011111111,80.1666666667,6.68244444444,9.44733333332
563.99,58.8638888889,39.8523333333,76.3118888889,20.1138888889,28.6997777778,12.1253888889,84.0406666667,82.9043333334,5.93877777778,80.188,6.64577777778,9.435
564.33,58.9654444444,39.9244444445,76.377,20.122,28.9581111111,12.1262777778,83.9743333333,83.257,5.97744444444,80.2603333334,6.66122222222,9.41122222223
564.67,59.1071111111,39.948,76.4421111111,20.1355,29.1598888889,12.0780555555,83.893,83.5677777778,5.96,80.3133333333,6.66644444445,9.42461111111
565.01,59.2227777778,40.0232222222,76.5535555556,20.1802222222,29.3736666667,12.0482777778,83.8674444444,83.8552222222,5.95577777778,80.3855555556,6.67077777778,9.41261111112
565.35,59.2592222222,40.053,76.5537777778,20.1808333333,29.5725555556,12.058,83.7345555555,84.0237777778,5.96333333333,80.3914444445,6.66677777778,9.41538888888
565.69,59.3541111111,40.0465555556,76.5911111111,20.2423333333,29.775,12.0267222222,83.6087777778,84.2362222222,5.96911111111,80.4401111111,6.66655555556,9.41661111112
566.03,59.4268888889,40.1306666667,76.6234444444,20.2571666667,29.9932222222,12.0073333333,83.5462222222,84.5384444444,5.99455555556,80.4647777778,6.691,9.42672222222
566.37,59.4577777778,40.1391111111,76.6423333333,20.2604444444,30.1831111111,11.9623333333,83.4075555555,84.7778888889,5.99055555556,80.4671111111,6.68822222222,9.3636111111
566.71,59.5647777778,40.2192222222,76.6987777778,20.3142777778,30.419,11.9771111111,83.3455555555,85.0765555555,5.99988888889,80.512,6.70677777778,9.38922222221
