wavelength,Back_HapUnif,Belly_HapUnif,Breast_HapUnif,Crissum_HapUnif,Crown_HapUnif,DorTail_HapUnif,Patch10_HapUnif,Rump_HapUnif,Throat_HapUnif,WingTip_HapUnif
768.20,14.9838666667,36.2596,28.9493333333,31.8870666667,13.8936,17.9045333333,21.9003333333,17.7058,25.9853333333,18.2472
768.51,14.5482,35.8881,28.535,31.2266,13.8064666667,17.6759333333,21.4648666667,17.4164333333,25.6592666667,18.1238666667
768.82,14.4070666667,35.9259666667,28.4694,31.0171333333,13.7252,17.7484,21.4108666667,17.331,25.4242,18.0130666667
769.13,14.0506,35.8616666667,28.2368666667,30.5915333333,13.6801333333,17.6808,21.0560666667,16.9296333333,25.2362,18.0552666667
769.44,14.7087333333,36.7677,28.8187333333,31.072,14.4052666666,18.5679666667,21.8284666667,17.8196666667,25.7402666667,19.102
769.76,15.1548,37.2759333333,29.273,31.5698,14.8038,18.8021333333,22.0486666666,18.1431333333,26.0140666667,19.6531333333
770.07,15.6788,37.8268333333,29.7352666667,31.6730666667,15.204,19.0606,22.2866,18.4427,26.3639333333,20.3026
770.38,16.2176666666,37.9992333333,29.9726,31.9292,15.7538,19.6013666667,22.9054666667,18.8994333333,26.7932666667,20.7125333333
770.69,16.2106,38.2859,30.1934,31.9140666667,16.1806,19.7183333333,22.9763333333,19.0215666667,26.6839333333,20.8560666667
771.00,16.6731333333,38.8612666667,30.6508666667,32.4537333333,16.7124,20.4289,23.7797333333,19.5253666667,27.3807333333,21.3978
771.32,17.1234,39.1106333333,31.1024,32.6174,17.2902,21.1066,24.2556,19.9187666666,27.9270666667,21.8180666667
771.63,18.2481333333,39.3994,32.0970666667,33.0189333333,18.5276666666,21.8371,25.3167333333,20.9175,28.8160666667,22.8308666667
771.94,18.4886,39.6764666667,32.0744666667,33.2048,18.5726666667,21.9502666667,25.4388666667,20.9797666667,28.9627333333,22.6241333333
772.25,18.4597333333,39.3383666667,31.7662,33.2114,18.7081333333,21.7411666666,25.2032666667,20.8377333333,28.9115333333,22.7009333333
772.56,19.1262,39.6971666666,32.3487333333,33.449,19.3111333333,22.3532333333,25.7606,21.6250666667,29.4914666666,23.4396666667
772.87,18.5285333333,38.8551,31.7537333333,32.9336,18.6555333333,21.7537333333,24.866,20.6888333333,28.9750666667,22.6891333333
773.18,18.7432666667,38.8234666667,31.8638,32.875,18.9227333333,22.1474,24.9515333334,21.2355666667,29.2464666667,22.9057333333
773.50,18.4917333333,38.7871666667,31.7867333334,33.1076,18.8953333333,22.3918333333,24.8222,21.2390666667,28.9865333333,22.8674
773.81,18.4055333333,39.0071,32.1252,33.4116,19.0217333333,22.3869,24.6270666667,21.5309,29.3420666667,23.3014
774.12,17.5500666667,38.4929666667,31.5170666667,33.0314,18.1538666667,21.6035333333,23.8555333333,21.0590666667,28.8294666666,22.5190666667
774.43,16.9433333333,37.9579666667,31.1492,32.4806,17.7412666667,21.1269666667,23.0864,20.6405666667,28.1075333333,22.0494666667
774.74,16.535,37.5127333333,30.5673333333,31.9301333333,17.0668666667,20.5547,22.3504666667,20.1113333333,27.2390666667,21.5755333333
775.05,16.2222666667,36.9992,29.7283333333,31.6577333333,16.5880666667,20.3656666667,22.1376666667,19.6573,26.6464,21.4216
775.36,15.0332,35.8293333333,28.8991333334,30.8499333334,15.8063333333,19.3036666667,21.3364,18.6430666667,25.9651333334,20.8653333333
775.67,14.4461333333,35.4287333333,28.6062666667,30.4593333333,15.1046,19.0530333333,20.679,18.1344,25.4262666667,20.4185333334
775.98,13.8172,35.0218666667,28.0309333333,29.9459333333,14.1674,18.2753666667,20.2317333333,17.1506,24.8802,19.8764
776.30,13.7243333333,34.6611666667,27.9664,29.3932,14.1966,17.7938,20.1016,17.0753333333,24.5799333333,20.0354
776.61,13.689,34.79,28.0174,29.059,13.8386666667,17.3626333333,19.9174,16.5686,24.4959333333,19.7009333333
776.92,13.9197333333,34.8765333333,28.2149333333,28.8272666667,13.9094,17.1836666667,20.2624,16.7386333334,24.6862,19.8044666667
777.23,13.7574666667,35.0772666667,28.002,28.6672,13.6266,17.0096,20.2565333333,16.2215,24.3834,19.2301333333
777.54,13.5509333333,34.7319,27.4203333333,28.1582,13.2432,16.7755,20.0212,15.7511333333,24.2303333334,18.8428666667
777.85,13.6779333334,34.5213666667,27.2448,28.1146666667,13.2060666667,16.7144333333,20.0902,15.7996333333,24.2428666666,18.9074
778.16,13.7152666667,34.7996666667,27.6532,28.6395333333,13.5720666667,16.7674,20.5356,16.2876666667,24.7042666667,19.3105333333
778.47,14.0408666667,35.6752666667,28.4458666667,29.1050666667,14.0942666667,17.1381666667,20.7662666667,16.7123666667,25.4608,20.0053333334
778.78,15.0768666667,36.7693333333,29.6624666667,29.7488,14.861,18.4319,21.6356,17.7056333333,26.0620666667,21.0418
779.09,15.2972666667,36.9858,30.2236666667,29.3780666667,15.3028,18.4942333333,22.1385333333,17.9515,26.5684666667,21.4402666667
779.40,15.0330666667,37.0436,30.033,29.4388666667,15.374,18.4185333333,21.8097333333,18.1299666667,26.606,21.2045333333
779.71,14.9859333333,37.5405666667,30.2801333333,29.8208,15.86,18.8374666667,22.0222666666,18.353,27.0083333333,21.3334666667
780.02,13.1338,36.2276,28.7709333334,28.7310666667,14.434,17.2456,20.4392666667,17.1685666667,25.3778,20.114
780.33,12.3484666667,35.6702,28.1118666666,28.6191333333,13.8578,16.7364666667,19.6794666666,16.6141666667,24.6910666667,19.3416
780.64,11.2760666667,34.3325666667,27.3386,27.5626,12.7852,15.9298666667,18.7152,15.8649666667,23.7961333333,18.7385333333
780.95,11.3499333333,34.4730666667,27.7502666667,27.3474666667,12.7472,15.9562,18.9994,15.8053,23.6946,19.2065333333
781.26,10.9376,34.3316,27.9249333333,27.0114,12.4198,15.6776,18.9776666667,15.5838333333,23.8353333333,19.1833333333
