wavelength,Back_ButAurm,Belly_ButAurm,Breast_ButAurm,Crissum_ButAurm,Crown_ButAurm,DorTail_ButAurm,Patch10_ButAurm,Patch11_ButAurm,Patch12_ButAurm,Rump_ButAurm,Throat_ButAurm,WingTip_ButAurm
186.77,49.4056,44.7902,62.7155333333,35.3729333333,57.2612,59.8368666667,38.3332666667,45.3147333333,51.7715333333,57.3777333333,52.7855999999,63.0419333333
187.15,53.5494000001,48.3924666667,67.2538666667,41.192,64.2622,62.0002666667,44.0234,51.3788,56.2943333333,58.9019333333,60.3101333333,64.5468666666
187.53,58.1568,56.1046,73.5293999999,47.0784666667,73.0849333334,70.5882666667,49.9018666667,57.7385333333,62.0458,62.9541333333,75.4052000001,75.1829333333
187.91,61.7203333333,59.6792666667,79.1208666666,55.231,78.9662,76.7779333333,58.1966,61.4262,67.3080666667,68.7379999999,85.6819333333,79.9018000001
188.29,64.2135333333,65.7864,88.3007333333,63.7121999999,81.8828666667,79.7590666666,64.7493333333,71.1786666667,71.1212,75.2927333333,100.0842,91.1748666666
188.67,63.4236666666,65.4165333333,85.5484666667,59.0763333334,77.0834,78.0693333333,63.2916666667,70.4165333334,71.1528,77.1598,97.1944666666,83.9305333334
189.05,63.6424666666,67.0540666667,87.5551333334,57.5336,77.7007333333,78.8166666666,62.4236,68.9977999999,68.7243333333,79.7085333334,102.124933333,86.2652000001
189.43,65.4690000001,70.7358666667,90.0144666667,61.5224666667,81.6522000001,84.0980666667,66.7748,72.6768000001,68.3334,82.0635333333,107.049066667,89.697
189.81,63.9800666667,77.6119333334,100.312733333,70.8078666666,89.4905999999,92.5562666666,68.4008,79.0808666667,72.9021333333,84.5818,123.478,103.927866667
190.19,67.9315333334,93.3333333333,115.213666667,85.0598666667,102.632533333,110.529933333,77.1282,99.4872,79.5556,98.2564666667,156.171,130.290666667
190.57,68.5471333334,96.6343333334,118.8136,85.2783333333,102.268,108.5312,76.8683333335,101.606133333,76.9894000001,101.3236,156.755533333,129.943466667
190.95,74.1666666667,133.1212,159.4242,115.787933333,126.621333333,134.9394,86.8029999999,135.484866667,90.7879333333,118.969733333,231.318,183.060733333
191.33,75.8666666667,142.1,152.3,111.766666667,123.433333333,131.966666667,93.6000000001,133.366666667,88.5333333333,121.466666667,229.133333333,187.833333333
191.71,59.1836,99.0476666667,100.8844,72.0408000001,91.1565333334,101.224333333,78.1633333333,96.8028000001,69.3876000001,94.2855999999,145.102,119.727866667
192.09,53.6409333333,80.8973999999,80.0769333333,56.6666666666,76.9999333333,87.9487333334,68.0001999999,82.7692,62.0,81.5642,113.487133333,94.7435333333
192.47,44.8926666667,72.6608666666,64.7477333333,43.9130666666,69.9710000001,78.8580666667,60.4057333334,70.0174666666,56.3246,67.6232666667,98.1971333334,75.7622666667
192.85,50.8787333333,81.1471333333,72.2356666666,51.1194666667,82.2201333333,91.4462666667,72.2786666667,76.1825999999,65.7540000001,69.2937999999,109.281533333,84.6748000001
193.23,51.4285999999,87.2436666667,77.1717333333,54.3579333333,88.0661999999,102.0634,81.7172,79.1341333333,74.4444666667,74.3866666667,111.342,89.8122666666
193.61,49.0975333333,88.8619333333,80.3568,56.1078000001,89.7036666667,103.023533333,83.9529999999,81.2928666667,80.3770000001,76.8418,107.932733333,90.2086666667
193.99,51.1052666667,103.605266667,91.8246000001,64.3509333333,99.8508666667,115.973733333,90.5438666667,91.8596,91.0789333332,86.0,122.543866667,98.4999333334
194.37,49.0308,100.827133333,92.8904666666,64.1603999999,95.1962666667,112.430933333,86.0904,85.0627333333,91.0611333334,81.7378,117.669266667,91.9298
