wavelength,Back_ChlRief,Belly_ChlRief,Breast_ChlRief,Crissum_ChlRief,Crown_ChlRief,DorTail_ChlRief,Patch10_ChlRief,Patch11_ChlRief,Patch12_ChlRief,Rump_ChlRief,Throat_ChlRief,WingTip_ChlRief
316.64,3.64333333333,13.8998666667,8.20253333333,3.40326666667,3.02313333333,3.818,28.7208666667,-0.488866666665,20.7721333333,9.22000000001,0.521600000002,3.7065
317.01,3.78806666667,14.0705666667,8.2646,3.49546666666,3.07713333333,3.9694,29.0694666667,-0.444200000001,21.0367333333,9.28213333333,0.580333333335,3.77773333333
317.38,3.6092,14.0072666667,8.08813333333,3.45266666666,2.9942,3.82173333333,29.095,-0.616799999999,20.9752,9.11440000001,0.379466666665,3.63036666667
317.75,3.7404,14.2197666667,8.30153333333,3.59346666667,3.15106666667,3.9384,29.4442666667,-0.569800000001,21.2508666667,9.3454,0.621,3.712
318.12,3.83193333333,14.3043,8.26846666666,3.5724,3.141,3.87833333333,29.7610666667,-0.655,21.4138,9.43713333334,0.613933333331,3.75936666667
318.49,3.75526666667,14.2667,8.23019999999,3.58813333333,3.07306666667,3.80006666667,29.8402,-0.818466666666,21.4054,9.36099999999,0.560000000002,3.59983333333
318.85,3.87673333333,14.4246,8.40226666667,3.73980000001,3.14146666666,3.84966666667,30.0441333333,-0.764199999999,21.5265333333,9.43506666667,0.551600000001,3.51726666667
319.22,3.82066666667,14.4311666667,8.33506666667,3.61226666667,2.98,3.6974,30.0816666667,-0.907466666666,21.471,9.26453333333,0.391333333334,3.34693333333
319.59,3.83706666667,14.5166,8.40846666667,3.57693333333,2.9304,3.62293333333,30.1703333333,-1.033,21.5512666667,9.33886666667,0.331400000001,3.13823333333
319.96,3.9746,14.6379,8.51786666667,3.60480000001,3.0142,3.63226666667,30.2585333334,-1.03773333333,21.6064666666,9.35326666666,0.377133333333,3.10133333333
320.32,4.2772,14.9233666667,8.88206666667,3.92013333334,3.3796,3.93666666667,30.9105333333,-0.873466666667,22.0711333333,9.7094,0.642266666665,3.30086666667
320.69,4.1704,14.8742,8.86266666667,3.86646666667,3.31646666667,3.7584,31.1802,-1.11106666667,22.0786666667,9.64953333334,0.361666666667,3.11983333333
321.06,4.3044,14.9543666667,9.04586666667,3.9362,3.51946666667,3.79473333333,31.3245333333,-0.904066666667,22.0759333333,9.84013333333,0.368333333333,3.1361
321.43,4.55293333333,15.1775666667,9.26753333333,4.04353333334,3.72193333333,3.95253333333,31.7123333333,-0.723266666667,22.3869333333,10.1728666667,0.561399999999,3.21803333333
321.80,4.5226,15.0505,9.25893333333,3.89020000001,3.61726666667,3.80353333333,31.7256,-0.8648,22.2493333333,10.0553333333,0.2358,3.00416666667
322.16,4.36366666667,14.9193,9.17199999999,3.66026666667,3.44006666667,3.60746666667,31.6844,-1.0786,22.1389333333,9.91706666667,0.0274666666674,2.72496666667
322.53,4.39646666667,15.0948333333,9.28560000001,3.61100000001,3.40066666667,3.67573333333,31.8612,-1.14853333333,22.2305333333,10.116,-0.0521999999994,2.78873333333
322.90,4.31886666667,15.0231,9.28153333333,3.53853333333,3.39706666667,3.5668,32.0877333333,-1.27386666667,22.3248666667,10.1911333333,-0.155599999999,2.8388
323.27,4.61046666667,15.3180333333,9.60526666669,3.77793333333,3.76086666667,3.7556,32.4784,-0.979000000001,22.5870666667,10.6032,0.0982,3.15576666667
323.63,4.9958,15.7396,9.94339999999,4.21626666667,4.2296,4.22453333333,32.8352666667,-0.473133333335,22.9552666667,10.9762,0.543000000002,3.66336666667
324.00,5.45533333333,16.0964333333,10.4598,4.71286666667,4.69853333333,4.6856,33.2914666667,-0.032133333334,23.4002666667,11.3811333333,0.982599999999,4.1507
324.37,5.51346666667,16.0442333333,10.4948,4.69953333333,4.70593333333,4.79766666667,33.1979333333,-0.007933333334,23.2586,11.3429333333,1.05813333333,4.2724
324.74,5.68626666667,16.2512333333,10.6174666667,4.80553333334,4.7798,5.05213333333,33.3893333333,0.125466666666,23.4921333333,11.4768,1.26026666667,4.36063333333
325.10,5.82793333333,16.4378666667,10.7228,4.95693333334,4.90666666667,5.25366666667,33.5946,0.079666666666,23.6603333333,11.6529333333,1.3334,4.4946
325.47,5.82286666667,16.4424666666,10.7687333333,4.95320000001,4.8334,5.23006666667,33.7140666667,0.0172666666672,23.6203333333,11.6239333333,1.2476,4.47853333333
325.84,5.97146666667,16.6708666667,10.9057333333,5.08833333334,4.98106666667,5.35253333333,33.8956666667,0.162466666665,23.7417333333,11.8764666667,1.4512,4.66516666667
326.21,6.1442,16.9466,11.1096,5.29293333334,5.2706,5.5464,34.2674,0.3514,24.0272,12.1976,1.62153333333,4.83153333333
326.57,6.00933333333,16.8142,10.9476,5.13466666667,5.185,5.29753333333,34.2272666667,0.200533333333,23.8619333333,12.0687333333,1.4566,4.62713333333
326.94,6.05986666667,16.8966333333,10.9503333333,5.12480000001,5.19813333333,5.29506666667,34.3086666667,0.240999999999,23.8764666667,12.0740666667,1.42973333333,4.55943333333
327.31,5.89113333333,16.8065666666,10.8383333333,5.03346666667,5.06673333333,5.20193333333,34.3274666667,0.0695333333334,23.8165333333,11.941,1.2712,4.39023333333
327.67,5.39846666667,16.2652333333,10.3986666667,4.49126666667,4.63326666667,4.6262,34.1827333333,-0.530199999999,23.4042,11.5544666667,0.712933333333,3.82616666667
328.04,5.0332,16.0334666667,10.0036,4.09926666667,4.27066666667,4.20073333333,34.1800666667,-0.910933333334,23.2140666667,11.3044,0.289866666665,3.46826666667
