wavelength,Back_DacAlbm,Belly_DacAlbm,Breast_DacAlbm,Crissum_DacAlbm,Crown_DacAlbm,DorTail_DacAlbm,Patch10_DacAlbm,Rump_DacAlbm,Throat_DacAlbm,WingTip_DacAlbm
234.78,8.78391666666,0.750666666668,-3.25333333333,1.25116666665,2.22724999999,-5.95583333334,-9.78483333333,4.15416666667,0.650750000016,-6.23141666667
235.16,5.45541666668,-1.05108333333,-7.05691666667,-0.82604166665,-0.200166666665,-8.35841666667,-12.3124166666,1.27625000001,-1.07600000002,-9.60958333334
235.54,5.21733333334,0.314083333333,-7.10141666666,-0.881666666667,0.314083333333,-8.01933333333,-12.5361666667,2.80199999999,-0.410666666658,-8.35750000001
235.91,2.84775000001,-2.49758333333,-8.07658333333,-1.63404166666,-2.0775,-9.54708333334,-13.9821666667,1.82083333333,-2.05408333332,-9.33708333333
236.29,2.36483333332,-1.93708333333,-7.34233333335,-2.51108333334,-2.47741666666,-9.93250000001,-14.9775833334,1.75666666668,-2.86016666667,-9.70716666665
236.66,3.09516666667,-1.90475,-6.90483333332,-1.76404166667,-1.90475000001,-9.09091666665,-14.9566666666,2.01299999999,-2.46758333333,-9.37233333334
237.04,1.87758333334,-4.07175,-7.74266666667,-3.36495833333,-2.70033333334,-9.74691666667,-15.654,0.675083333335,-2.86924999999,-10.3165833333
237.41,1.09883333333,-5.41049999999,-8.10541666666,-4.30137500001,-2.34241666667,-9.36983333333,-15.58875,0.621833333335,-1.67916666667,-10.6965
237.79,0.874,-5.58941666667,-7.64233333335,-4.827375,-1.36191666666,-9.28866666667,-15.6706666667,0.183,-0.772500000015,-10.9349166667
238.17,-0.370583333335,-7.96291666667,-10.967,-7.37649999999,-3.39508333332,-11.2756666667,-18.0453333333,-1.41966666667,-2.01658333333,-12.5926666667
238.54,-0.260416666665,-7.37191666665,-10.7171666667,-7.99262499999,-3.145,-10.1561666667,-17.6281666667,-1.56258333333,-1.94316666667,-12.7805
238.92,3.46133333333,-3.87516666667,-7.05416666666,-5.05066666667,-0.338583333333,-7.073,-14.1835833333,1.59908333333,1.22275,-9.98866666667
239.29,6.96183333332,-1.61466666666,-3.33333333334,-2.74295833333,3.05549999999,-3.94108333333,-10.8161666667,4.79175,4.89575,-6.78825
239.67,8.72708333331,0.0945,-0.960999999998,-1.23658333333,4.33208333334,-1.93758333333,-8.83741666666,5.93875,7.02591666667,-5.23
