wavelength,Back_SalMamf,Belly_SalMamf,Breast_SalMamf,Crissum_SalMamf,Crown_SalMamf,DorTail_SalMamf,Patch10_SalMamf,Patch11_SalMamf,Patch12_SalMamf,Rump_SalMamf,Throat_SalMamf,WingTip_SalMamf
561.94,12.0314666667,34.9132666667,20.7901333333,21.3529333333,7.8376,9.03530000001,9.32346666667,4.88466666667,45.42,11.1059111111,30.6203333333,8.9326
562.28,12.0456,34.9342666667,20.8015333333,21.3943333333,7.86206666667,9.04373333333,9.34626666667,4.904,45.4235333333,11.1298222222,30.6855333333,8.9332
562.62,12.0506666667,35.0002,20.844,21.4668666667,7.87053333333,9.07973333333,9.35146666665,4.9074,45.4555333333,11.1476666667,30.7347333333,8.933
562.96,12.0852666667,35.0255333333,20.8614,21.5060666667,7.88566666667,9.10570000001,9.36233333334,4.92653333333,45.4521333333,11.1606740741,30.7992,8.93366666667
563.30,12.1172666667,35.0634666667,20.9002666667,21.5641333333,7.8826,9.12106666667,9.39026666666,4.94006666667,45.4959333333,11.1923703704,30.8292,8.97206666667
563.64,12.1354,35.0464,20.9237333333,21.6054,7.86446666667,9.14636666666,9.38279999999,4.94446666667,45.5142666667,11.1860740741,30.845,8.9744
563.99,12.1391333333,35.0794666667,20.9592,21.6659333333,7.86913333333,9.14583333333,9.37253333333,4.92633333333,45.5798,11.1940148148,30.9284,8.9698
564.33,12.1066,35.0492,20.9449333333,21.6754,7.846,9.1357,9.34813333334,4.8868,45.5498666667,11.1696740741,30.9713333333,8.9522
564.67,12.1611333333,35.1057333333,20.9693333333,21.7329333333,7.89466666667,9.16930000001,9.40933333335,4.9374,45.5934666667,11.2245703704,31.0363333333,8.99453333333
565.01,12.1877333333,35.1262666667,21.0074666667,21.7623333333,7.9046,9.18979999999,9.4194,4.9484,45.6048666667,11.2467851852,31.105,9.00946666667
565.35,12.1920666667,35.1269333333,21.0090666667,21.7860666667,7.92186666667,9.21173333333,9.42126666668,4.96066666667,45.6148666667,11.2457925926,31.1484,9.02606666667
565.69,12.1748,35.1194666667,21.0026,21.8223333333,7.90593333333,9.21963333333,9.43473333333,4.94853333333,45.6272666667,11.2548814815,31.1828,9.01093333333
566.03,12.1640666667,35.1122666667,21.0006,21.8394666667,7.9094,9.2264,9.43299999999,4.95753333333,45.6548,11.2572962963,31.2223333333,9.02373333333
