wavelength,Back_DigMysf,Belly_DigMysf,Breast_DigMysf,Crissum_DigMysf,Crown_DigMysf,DorTail_DigMysf,Patch10_DigMysf,Patch11_DigMysf,Patch12_DigMysf,Rump_DigMysf,Throat_DigMysf,WingTip_DigMysf
325.84,9.70980000001,6.91993333333,8.22226666667,6.1432,7.7516,9.31286666665,16.6222,6.04286666667,15.5389666667,9.91135555556,6.50323333333,10.3241333333
326.21,9.4446,6.67433333333,8.12286666667,5.9294,7.49926666667,9.04313333333,16.5351333333,5.86026666667,15.2357333333,9.69948888889,6.23193333334,10.0306
326.57,9.05659999999,6.31106666667,7.84586666667,5.52686666667,7.303,8.7928,16.3898,5.51193333333,14.9616666667,9.41522222223,5.87883333333,9.75866666666
326.94,8.76046666666,6.19393333333,7.69586666667,5.29113333333,7.2362,8.59293333333,16.2852,5.37686666667,14.7821666667,9.4004962963,5.72476666667,9.56826666666
327.31,8.6588,6.17746666667,7.55766666667,5.26413333333,7.08333333334,8.36506666667,16.2202666667,5.24,14.7841,9.28737777778,5.66586666667,9.5182
327.67,8.33106666667,5.90966666667,7.169,4.95733333334,6.76953333333,8.07046666667,16.1072666667,4.91246666667,14.5947,8.96855555555,5.291,9.0918
328.04,8.16326666667,5.8352,7.0126,4.86966666667,6.62706666667,7.96286666667,15.9768666667,4.71273333333,14.5191333333,8.85251111111,5.18603333333,8.89086666667
328.41,7.8556,5.6172,6.7736,4.63293333333,6.28426666667,7.67206666667,15.9784666667,4.39993333333,14.4007,8.69465185184,4.92543333333,8.70040000001
328.78,8.16266666667,5.91473333333,6.984,4.97846666667,6.56086666666,7.98,16.2984666667,4.6496,14.7467333333,8.96373333333,5.12923333333,8.94713333333
329.14,8.39173333334,6.1592,7.23406666667,5.19053333333,6.77086666667,8.23926666667,16.5249333333,4.84326666667,15.0139333333,9.26842962963,5.31686666667,9.12106666667
329.51,8.49066666667,6.2152,7.24733333333,5.21606666667,6.825,8.2698,16.6079333333,4.8074,15.1369,9.32320000001,5.45356666667,9.17493333333
329.88,8.45706666667,6.12653333333,7.17313333333,5.094,6.75366666667,8.1602,16.6192,4.74773333333,15.1137666667,9.19754074075,5.3789,9.13560000001
330.24,8.44619999999,6.16093333333,7.01113333333,4.93486666667,6.63886666667,8.13393333333,16.6458,4.70393333333,15.2114,9.14228148147,5.36173333333,9.13693333335
330.61,8.66593333333,6.32906666666,7.1462,5.11733333333,6.6744,8.3204,16.8186666667,4.9004,15.2913,9.25638518519,5.5151,9.25986666667
330.98,8.6308,6.24606666667,7.141,5.1468,6.56753333333,8.25,16.9623333333,4.79953333333,15.3214333333,9.09378518518,5.4901,9.14693333333
331.34,8.72546666666,6.23326666667,7.34833333333,5.1142,6.712,8.4238,17.0606666667,4.91526666667,15.3979,9.18234814815,5.5378,9.15493333333
331.71,8.61193333334,6.11533333333,7.3966,5.06113333333,6.6024,8.38473333333,16.9792666667,4.91746666667,15.2931,8.96141481481,5.532,9.16720000001
