wavelength,Back_CamHelf,Belly_CamHelf,Breast_CamHelf,Crissum_CamHelf,Crown_CamHelf,DorTail_CamHelf,Rump_CamHelf,Throat_CamHelf,WingTip_CamHelf
585.03,12.5424666667,29.2802666667,20.6491333333,30.0086666667,9.66833333334,11.534274359,14.0979666667,22.6640333334,12.2664405797
585.37,12.5255333333,29.2814,20.6628333333,29.9579666667,9.68153333333,11.519674359,14.1043333333,22.6293666667,12.2956202898
585.70,12.5702,29.3427333333,20.6849666667,30.0225666667,9.72806666667,11.5722205128,14.1709,22.687,12.3122637681
586.04,12.5611333333,29.3167333333,20.6525333333,30.0041666667,9.69193333334,11.5410179487,14.1554,22.6606,12.2713942029
586.38,12.5542666667,29.3408,20.6320333333,30.0009,9.72493333334,11.5461641026,14.1761,22.6325333333,12.2277971014
586.72,12.602,29.3786666667,20.6469333333,30.0445333333,9.75406666667,11.5713282051,14.2038,22.6436666667,12.2480550725
587.06,12.5547333333,29.3354,20.5812,29.9906,9.69446666667,11.5080410256,14.1405666667,22.5815,12.1796666667
587.39,12.5811333333,29.3551333333,20.6018666667,29.9902,9.73260000001,11.5589384615,14.1783666667,22.6028,12.2294898551
587.73,12.5386666667,29.3181333334,20.5723333333,29.9334666667,9.68620000001,11.5162641026,14.122,22.5438333333,12.170084058
588.07,12.5022666667,29.3101333333,20.5504666667,29.9211333333,9.69393333334,11.4730435897,14.1191,22.4982,12.1424927536
588.41,12.5188,29.3179333333,20.5286,29.9219,9.73620000001,11.4610179487,14.1324,22.4836,12.1534318841
588.74,12.5585333333,29.3521333333,20.5521666667,29.9595,9.7562,11.4929871795,14.145,22.5082666667,12.1455739131
589.08,12.5812666667,29.3837333333,20.5765,29.9979666667,9.76573333333,11.5270025641,14.1777,22.5380333333,12.1564753623
589.42,12.5794,29.359,20.5683333333,29.9831666667,9.75153333334,11.5069923077,14.1542333334,22.5331666667,12.1784144928
589.76,12.5686666667,29.3888666667,20.5781333333,30.0085,9.75966666667,11.5141717949,14.1506,22.5544666667,12.1705797102
590.09,12.6159333333,29.4018666667,20.5937,30.0117666667,9.75953333333,11.5274820513,14.1399333333,22.5571666667,12.2110173913
590.43,12.6215333333,29.4173333333,20.5848,29.9922,9.78233333334,11.5389820513,14.1644333333,22.5837,12.2538695652
590.77,12.6699333333,29.4734666667,20.6128333333,30.08,9.85026666667,11.5934435897,14.2087666667,22.6274333333,12.3738637681
591.11,12.6666666667,29.4249333333,20.5735666667,30.021,9.81246666667,11.5449128205,14.1895,22.5754333333,12.3443304348
591.44,12.7384666667,29.4806,20.6248,30.0572666667,9.85286666667,11.594251282,14.2881,22.6470333333,12.4265884058
591.78,12.7738666667,29.5359333333,20.6593666667,30.1433333333,9.84646666667,11.6193717949,14.2981333333,22.699,12.4646463768
592.12,12.8067333333,29.5879333333,20.7163,30.2067666667,9.8592,11.6584,14.3232666667,22.7671,12.4946811594
592.46,12.8045333333,29.5706666667,20.6807666667,30.1985666667,9.85973333333,11.6443102564,14.3286333333,22.7816666667,12.5218173913
592.79,12.8368666667,29.5742,20.6791666667,30.2238333333,9.89220000001,11.638825641,14.3506,22.8161666667,12.5573652174
593.13,12.86,29.5683333333,20.6799666667,30.1854,9.95700000001,11.6892179487,14.3836333334,22.8334,12.5835391304
593.47,12.8394,29.5181333333,20.6338333333,30.1033,9.93993333333,11.683725641,14.3666,22.766,12.5621478261
593.80,12.7773333333,29.4238,20.604,30.0854,9.9088,11.6632974359,14.3482333333,22.7382333333,12.5316028985
594.14,12.7425333333,29.3674,20.5366666667,30.0278666667,9.88060000001,11.6292897436,14.2951666667,22.6673,12.481915942
