wavelength,Back_OryMaxm,Belly_OryMaxm,Breast_OryMaxm,Crissum_OryMaxm,Crown_OryMaxm,DorTail_OryMaxm,Rump_OryMaxm,Throat_OryMaxm,WingTip_OryMaxm
402.88,5.04583333334,5.189,4.77866666666,3.782,4.6395,6.28666666666,5.246,4.71983333333,5.98633333334
403.24,5.0615,5.19033333333,4.72533333333,3.76466666666,4.5995,6.28133333334,5.24066666667,4.6985,5.96966666667
403.60,5.0715,5.16066666666,4.64766666666,3.69616666666,4.55933333333,6.18816666666,5.2725,4.613,5.91816666666
403.95,5.04066666667,5.12416666666,4.62483333333,3.67116666667,4.57266666667,6.17516666667,5.2925,4.5935,5.8875
404.31,5.00683333333,5.06416666667,4.54016666667,3.64883333333,4.52616666667,6.13883333334,5.27266666666,4.53716666666,5.85183333333
404.67,4.978,5.06433333334,4.518,3.6435,4.5,6.05516666667,5.27366666667,4.49183333333,5.82783333333
405.03,4.9285,4.96783333333,4.43783333333,3.5615,4.40466666667,5.948,5.23083333334,4.38216666667,5.72116666666
405.39,4.90866666666,4.96766666667,4.40666666667,3.58183333333,4.3735,5.9275,5.21883333334,4.37916666667,5.70183333334
405.75,4.91916666666,4.99616666667,4.38733333334,3.61083333334,4.36516666666,5.899,5.19616666667,4.406,5.735
406.11,4.87166666666,4.949,4.35066666667,3.6155,4.33033333333,5.85933333333,5.1395,4.36566666666,5.7055
406.47,4.813,4.88366666667,4.27633333333,3.55216666667,4.28,5.78383333333,5.05683333333,4.28966666667,5.64716666667
406.83,4.80366666667,4.85766666666,4.25466666667,3.50316666667,4.25283333334,5.73816666667,5.06516666667,4.2365,5.63483333334
407.19,4.82666666666,4.911,4.34466666666,3.57283333333,4.34016666667,5.75216666667,5.08916666667,4.30383333333,5.68083333334
407.55,4.824,4.953,4.40716666666,3.65366666666,4.35716666666,5.8085,5.07833333334,4.35833333333,5.70233333333
407.90,4.7765,4.93783333333,4.35366666666,3.6395,4.30616666666,5.748,5.0345,4.30616666666,5.67516666666
408.26,4.771,4.87016666667,4.3495,3.6135,4.28416666666,5.72383333333,4.994,4.30766666666,5.6475
408.62,4.71116666667,4.75766666667,4.2555,3.49533333333,4.191,5.6585,4.88366666667,4.23466666666,5.56233333334
408.98,4.7595,4.81683333333,4.29016666666,3.55533333334,4.22683333333,5.71866666667,4.90016666667,4.30483333333,5.607
409.34,4.8095,4.8185,4.31783333333,3.61433333333,4.25733333333,5.72633333333,4.9185,4.29533333333,5.60033333333
409.70,4.78,4.76916666666,4.2825,3.621,4.2285,5.69633333333,4.91316666667,4.27,5.55483333333
