wavelength,Back_TriMelm,Belly_TriMelm,Breast_TriMelm,Crissum_TriMelm,Crown_TriMelm,DorTail_TriMelm,Patch10_TriMelm,Rump_TriMelm,Throat_TriMelm,WingTip_TriMelm
784.36,16.3527333333,58.7795333333,50.0388666667,54.0175333333,83.6402666667,12.3244666667,8.4728,14.2576,63.1887333333,16.8958666667
784.67,16.7369333334,58.7156666667,50.1333333333,54.014,83.4034,13.2070666667,9.20693333333,14.7228,63.2209333333,17.4316666667
784.98,16.9556666667,58.9782,50.2817333333,54.3058666667,84.2495333333,13.3898,9.3446,14.9964666667,63.6856,17.5897333333
785.29,16.1673333333,58.7601333334,49.6281333333,53.4892666667,83.8966,12.9508,8.73546666665,14.311,63.2448,17.2157333333
785.60,15.9353333333,58.5444,49.4164,52.827,82.7567333333,13.256,8.7482,14.0858,62.8480666667,17.1800666667
785.91,15.7626666667,58.1918,49.2686,52.3808666667,82.0910666667,13.4782,8.80593333333,13.9613333333,62.3188,17.3567333333
786.22,15.8620666667,58.3434,49.1954666667,52.6030666667,82.1096666667,14.1448,9.39833333333,14.3745333333,61.9204,17.674
786.53,16.6796666667,58.1503333333,49.2090666667,52.6665333333,81.9019333334,15.1829333333,10.4052666667,15.379,61.9019333333,18.4836666667
786.84,18.0392666667,58.4250666667,50.0379333333,53.3395333333,81.6382,16.2429333333,11.9355333333,16.6982666667,62.1505333333,19.7786666667
787.14,19.1321333334,59.1689333333,50.951,54.2322,82.1854,17.2298666667,13.0008666667,18.0917333333,62.4684,20.8188
787.45,19.3286666667,59.2860666667,51.1131333333,54.7791333333,82.4076,17.3140666667,13.0611333333,18.4634,62.5468666667,20.9196
787.76,18.7081333333,58.3466,50.1511333334,53.7896666667,81.2148,16.9127333333,12.2371333333,17.7659333333,61.5170666667,20.391
788.07,18.7569333333,57.9532666667,49.8120666667,53.8537333333,80.717,17.4038,12.5644,18.0976666667,61.2372666667,21.0003333333
788.38,18.7724666667,57.3872666667,49.3974,53.3729333333,79.7748,17.4324666667,12.7138,18.3614666667,60.7262666666,21.3682
788.69,19.0706666667,56.8947333333,48.9149333334,53.1274666667,79.3156666666,17.5848,13.1831333333,18.7925333333,60.3560666667,21.4802
789.00,20.2863333333,57.731,49.6545333333,54.2039333333,80.2696,18.6575333333,13.9791333333,19.5675333333,61.6624,22.196
789.31,20.7897333333,58.4721333333,50.2545333333,54.9184,80.9498666666,19.2618,14.3404,19.8856666667,62.5408,22.9014666667
789.62,20.3417333333,59.6582,50.4677333333,55.4137333333,82.47,18.9748,13.8129333333,19.3524,63.5493333333,22.56
789.92,19.6362666667,59.0133333333,49.9167333333,54.5482666667,82.4608,18.3349333334,13.0742666667,18.5938666666,63.2623333333,21.8624
790.23,19.4717333333,58.7988,49.4592,54.0692,82.0943333333,18.0944666667,13.1258,18.516,63.0754,21.8114
790.54,19.5427333333,59.3881333333,49.8358,54.2866,82.4862666667,18.4799333333,13.7003333333,18.7889333333,63.6714,22.2094
790.85,19.8606,59.8938,50.0863333333,54.4024,83.0611333333,18.4991333333,13.9241333333,19.3492,63.9109333333,22.0983333333
791.16,21.0245333333,60.6808666667,50.9134666667,55.3218666667,83.8761333333,19.8314666667,15.3083333333,20.4246,64.4624666667,22.8512666667
791.47,21.6184,61.556,51.8257333333,56.3208666667,84.6128666667,20.1314,15.6225333333,21.0650666667,65.3594666667,23.4163333333
791.78,20.8474,60.5532666667,51.3514666667,55.5740666667,83.6974666667,19.1247333333,14.86,20.5741333333,64.2086666667,22.9200666667
792.08,20.8869333333,61.3087333333,51.7266,56.0231333333,85.1036666666,18.3204666667,14.6491333334,20.7997333333,64.711,22.7626
792.39,20.8995333333,60.5368,51.6288,55.7128,84.4106666666,18.1212666667,14.3126,20.7834666667,63.9971333333,22.8073333333
792.70,20.7255333333,59.9353333333,51.0776,55.4669333333,83.4123333333,17.9596,14.4469333333,21.0992,63.0676,22.8592
793.01,20.1370666667,59.4228666667,50.4762666667,55.1298666667,82.9364666667,17.1860666667,13.961,20.6278666666,62.5324,22.1644666667
793.32,20.2199333333,59.9633333333,50.9791333333,55.9662666667,83.9384666667,16.8317333333,13.8100666667,21.0268,63.0950666667,22.0462
793.62,19.2846666667,59.2553333333,50.3318666667,55.4056666667,83.2596666667,15.5530666667,12.3822,19.5502,62.7063333333,21.0914666667
793.93,18.3575333333,58.9446,49.7732666667,54.9834,83.0100666667,14.4334,11.2895333333,18.2832,62.1776666667,20.2824666667
794.24,17.9851333333,59.1111333333,49.5408666667,54.7480666667,82.9482666667,14.4888,10.9408,17.8222,61.8593333333,19.7483333333
794.55,16.4017333333,58.6413333333,48.3911333333,53.7961333333,82.7921333333,13.1765333333,9.48126666667,16.5285333333,61.3511333333,18.3798
794.86,15.7314,57.2120666667,47.2590666667,52.7555333333,80.9102,13.0877333333,9.10793333334,15.6302666667,60.3684,17.6092
795.16,15.7842,57.4062,47.417,53.1260666667,81.0218666667,13.5834,9.39613333332,15.9842666667,60.9218,17.5276
795.47,16.2147333333,58.2556666667,47.8884666667,53.2062,81.3488666667,14.3503333334,9.73166666666,16.0734,61.4688,17.9732
795.78,15.4902,57.78,47.486,52.7101333333,80.5952666667,14.0196666667,8.9776,15.4341333333,60.7284,17.5000666667
796.09,15.4256,57.135,47.1043333333,52.1026666667,79.4940666667,14.0992666667,8.84099999999,15.2957333333,59.9932,17.7777333333
796.40,15.1627333333,57.2426,46.9782666667,51.992,79.1531333333,14.1734,9.065,15.3998,59.5258,17.8116666667
796.70,14.9070666667,56.616,46.6261333333,51.7392666667,79.4595333333,14.1776,8.96986666667,15.7784,59.6083333333,17.7372666667
797.01,13.9258,55.4578,45.8904,50.6912,78.8288,12.9521333333,7.88566666667,14.8656,58.8288,17.1127333333
797.32,14.1486666667,55.3108666667,45.9259333333,50.9275333333,78.6068,13.1023333333,8.22279999999,14.9984,58.7767333333,17.4854
797.63,14.7049333334,55.4554,46.4756,51.3817333333,78.7376,13.6746,8.95259999999,15.9536666667,58.8808666667,18.3554666667
797.93,14.0398666667,54.6434,45.8846666667,50.4184,77.6542666666,12.8739333333,8.20306666667,15.4869333333,57.6611333333,18.0041333333
798.24,14.0014666667,55.3732,46.6098,51.4996,78.7491333333,12.6226666667,7.6262,15.3588666667,58.422,17.9248
798.55,15.7822666666,56.6201333333,47.8911333333,53.0325333333,80.2077333333,14.2427333333,9.30173333333,16.8852,59.7278666667,19.4128666667
798.85,15.8664,57.1366,48.5023333333,53.3332666667,80.9545333333,14.0674666667,9.53013333333,16.7329333333,60.0073333333,19.2658
799.16,17.5696666666,58.1568,49.7584,54.5298666667,82.3186666667,15.8454666667,10.7617333333,18.1122,61.3822666667,20.6318
799.47,18.2116,59.1782,50.3348666667,55.3425333333,83.0213333333,16.3242666667,11.2557333333,18.4628,62.1156666667,21.1872666667
799.78,19.2722,60.7509333333,51.5601333333,56.7400666667,84.5838666667,17.1272666667,12.7216666666,19.4657333333,63.7088666667,22.0596
800.08,20.1221333333,60.5421333333,51.745,56.3498,83.6272,17.9610666667,14.0588,20.5422,63.2836666667,22.963
800.39,20.1001333333,60.1461333333,51.4011333333,55.7505333333,83.2254,17.7752,13.7336666667,20.1383333333,63.2641333333,22.4172666667
800.70,20.9206666667,60.3837333333,51.3847333333,56.1029333333,82.9689333333,18.642,14.8754666667,20.8054,63.5134666667,23.1837333333
801.00,19.7752,58.9380666667,50.062,54.7363333333,82.1086,17.7597333333,14.0234,20.0930666667,62.8760666667,22.2401333333
