wavelength,Back_HapRusm,Belly_HapRusm,Breast_HapRusm,Crissum_HapRusm,Crown_HapRusm,DorTail_HapRusm,Rump_HapRusm,Throat_HapRusm,WingTip_HapRusm
392.80,9.27566666667,14.9278666667,13.0549666667,15.9524,8.16193333333,8.14013333333,9.88359999999,13.1522,8.95513333334
393.16,9.2562,14.9307333333,13.0560666667,15.9443333333,8.13273333333,8.10733333333,9.88446666667,13.1506666667,8.94840000001
393.52,9.35540000001,14.9970666667,13.1139333333,15.9957333333,8.17893333333,8.1574,9.94373333333,13.2130666667,8.99619999999
393.88,9.36406666667,14.9844666667,13.0784,15.975,8.17506666667,8.14246666667,9.93100000001,13.2094666667,9.00366666667
394.24,9.34153333333,14.9559333333,13.0642333333,15.9525333333,8.13506666666,8.10526666667,9.8962,13.1698666667,8.98260000001
394.60,9.35426666667,14.9554666667,13.0591,15.9535333333,8.1632,8.09946666667,9.90100000001,13.1642,8.97766666666
394.96,9.32013333333,14.9235333333,13.0388,15.9324,8.154,8.06306666667,9.8822,13.1772,8.95660000001
395.32,9.2922,14.9301333333,13.0235666667,15.9437333333,8.13873333333,8.0154,9.85473333334,13.1702666667,8.91986666667
395.68,9.25613333333,14.92,13.064,15.9623333333,8.13166666667,8.0034,9.85739999999,13.1932,8.90433333333
396.04,9.32186666667,14.9862666667,13.1434,16.0266,8.17793333333,8.06773333333,9.93566666666,13.2753333333,8.96473333333
396.40,9.29279999999,14.9295333333,13.1213,16.0033333334,8.1438,8.06026666667,9.87993333333,13.2606666667,8.94206666667
396.76,9.30619999999,14.9314666667,13.0915333333,15.9738,8.09886666667,8.05313333333,9.85639999999,13.2434666667,8.92113333333
397.12,9.31646666667,14.9610666667,13.0696666667,15.9816,8.0962,8.03306666667,9.84099999999,13.2629333333,8.92586666666
397.48,9.25999999999,14.9399333334,13.0104,15.9728666666,8.072,7.98413333334,9.81880000001,13.2420666667,8.9186
397.84,9.22053333333,14.944,13.0503333333,15.9980666667,8.065,7.97053333333,9.79400000001,13.2335333333,8.87773333334
398.20,9.24253333333,14.9778666667,13.0809333333,16.0909333333,8.09986666667,8.01313333333,9.82206666665,13.276,8.90539999999
398.56,9.2528,15.029,13.106,16.1082,8.1026,8.03106666667,9.82926666666,13.2956,8.92226666667
398.92,9.28406666666,15.0392666667,13.1392666667,16.1301333333,8.1164,8.06686666667,9.82393333333,13.3036,8.91266666667
399.28,9.3652,15.1056666667,13.1912,16.1928,8.18126666667,8.155,9.89346666667,13.3797333333,8.96293333333
399.64,9.40973333333,15.1404666667,13.2022666667,16.2358,8.2136,8.16153333333,9.929,13.402,8.99053333333
400.00,9.41066666667,15.1472666667,13.1896333333,16.2550666667,8.2056,8.15353333333,9.92520000001,13.3785333333,8.97833333334
400.36,9.37839999999,15.1631333333,13.164,16.2403333333,8.22413333333,8.14713333333,9.94359999999,13.3724,8.95759999999
400.72,9.39040000001,15.2160666667,13.1937,16.3115333333,8.27033333333,8.16413333333,9.96746666665,13.4289333333,8.98313333333
401.08,9.38933333333,15.2420666667,13.2657,16.3616666667,8.31293333333,8.2044,10.0016666667,13.4708666667,8.97326666667
401.44,9.3702,15.2370666667,13.2963333333,16.344,8.29553333333,8.18266666667,9.98066666665,13.4526666667,8.91273333334
401.80,9.41866666666,15.2677333333,13.3141,16.3734,8.31426666666,8.20066666667,10.0279333333,13.4842666667,8.9606
402.16,9.35859999999,15.2285333334,13.2869,16.3208666667,8.25466666667,8.13626666667,9.9768,13.4475333334,8.91
402.52,9.39659999999,15.2602,13.3258,16.3565333333,8.27346666667,8.16306666667,9.98606666667,13.4702,8.92953333333
402.88,9.391,15.2826,13.3457,16.3864666667,8.27,8.17806666667,9.97873333333,13.4917333333,8.94653333333
403.24,9.33986666666,15.2353333333,13.2972,16.3650666667,8.20093333333,8.1158,9.92100000001,13.4192666667,8.89940000001
403.60,9.25166666666,15.1599333333,13.2204,16.2828666667,8.1136,8.03706666667,9.84053333333,13.3627333333,8.82099999999
403.95,9.25753333334,15.1764,13.2552666667,16.3164666666,8.1092,8.05733333333,9.84026666666,13.3833333333,8.82800000001
