wavelength,Back_GeoMagm,Belly_GeoMagm,Breast_GeoMagm,Crissum_GeoMagm,Crown_GeoMagm,DorTail_GeoMagm,Patch10_GeoMagm,Rump_GeoMagm,Throat_GeoMagm,WingTip_GeoMagm
382.33,5.5688,4.4179,3.44306666667,4.08793333333,4.07686666667,5.77766666667,15.1704,4.55726666667,4.0613,7.42563333333
382.69,5.576,4.41363333333,3.466,4.18013333333,4.13066666667,5.78453333333,15.2474,4.59233333333,4.07133333333,7.4048
383.05,5.5034,4.37116666667,3.39993333333,4.136,4.0658,5.73206666667,15.2328666667,4.50806666667,4.0037,7.3013
383.41,5.45406666667,4.3194,3.34706666667,4.0918,3.9786,5.65973333333,15.2402,4.4408,3.93743333333,7.289
383.77,5.48893333333,4.33543333333,3.37826666667,4.07673333333,4.00373333333,5.685,15.367,4.44233333333,3.96893333333,7.326
384.14,5.46046666667,4.30376666667,3.3736,4.1034,3.9602,5.6566,15.3981333333,4.42786666667,3.9503,7.31726666667
384.50,5.46153333333,4.28643333333,3.33653333333,4.10366666667,3.96813333333,5.6604,15.4254666667,4.46526666667,3.96886666667,7.29533333333
384.86,5.49646666666,4.32206666667,3.36926666667,4.13566666667,3.98886666667,5.69746666667,15.5181333333,4.49653333333,4.0217,7.35666666667
385.22,5.65873333333,4.4297,3.51433333333,4.31946666667,4.1146,5.79066666667,15.6601333333,4.60773333333,4.18773333333,7.48363333333
385.58,5.6098,4.42966666667,3.4998,4.25766666667,4.08926666666,5.7688,15.6358,4.6044,4.15823333333,7.4527
385.94,5.56106666667,4.32903333333,3.39773333333,4.18386666667,4.01726666667,5.64233333333,15.6121333333,4.52026666667,4.05516666667,7.3555
386.30,5.58406666667,4.36623333333,3.41506666667,4.22533333333,4.04213333334,5.66773333333,15.6646666667,4.55386666667,4.09343333333,7.36293333334
386.66,5.6474,4.4402,3.45546666667,4.27213333333,4.1016,5.76666666667,15.7546,4.6152,4.12153333333,7.43906666667
387.03,5.72073333333,4.49063333333,3.51033333333,4.3722,4.17226666667,5.83593333333,15.8377333333,4.71033333333,4.18723333333,7.5278
387.39,5.7948,4.56626666667,3.57653333333,4.4562,4.24193333333,5.8988,15.9149333333,4.754,4.22283333333,7.54436666667
387.75,5.92093333333,4.69833333333,3.70186666667,4.62866666667,4.3652,6.0336,16.0408666667,4.90926666667,4.35043333333,7.71196666667
388.11,5.98613333333,4.77416666667,3.76613333333,4.6938,4.43033333333,6.0598,16.053,4.96266666667,4.43433333333,7.7525
388.47,6.00066666666,4.8035,3.82313333333,4.73993333333,4.45073333333,6.0924,16.1,4.97306666667,4.4767,7.79016666667
388.83,5.93466666667,4.78746666667,3.7698,4.74233333333,4.4322,6.03446666667,16.1001333333,4.93966666667,4.4154,7.72133333333
389.19,5.96033333333,4.81803333333,3.7842,4.7754,4.48246666666,6.1014,16.2004666667,4.9822,4.4496,7.75636666666
389.55,6.0856,4.89856666667,3.866,4.92153333333,4.58126666667,6.22133333333,16.3711333333,5.05126666667,4.5661,7.8716
389.91,6.17873333333,5.0331,4.0018,5.03866666667,4.67586666667,6.3648,16.4648666667,5.1322,4.6995,7.99443333333
390.27,6.3238,5.1945,4.1576,5.16706666667,4.83913333333,6.50253333333,16.6379333333,5.2552,4.83633333333,8.12446666667
390.63,6.3484,5.24113333333,4.19586666667,5.18746666667,4.85406666667,6.49273333333,16.7114,5.25306666667,4.92126666667,8.14213333333
391.00,6.2588,5.21293333333,4.11846666667,5.11133333333,4.74893333333,6.41553333333,16.6259333333,5.1714,4.8415,8.08876666667
391.36,6.28786666666,5.2268,4.13253333333,5.1542,4.78726666667,6.45266666667,16.6592666667,5.2132,4.87956666667,8.14413333333
391.72,6.18686666667,5.1375,4.0376,5.06186666667,4.6998,6.3788,16.5611333333,5.08153333333,4.78503333333,8.02686666667
392.08,6.15986666667,5.10766666667,4.00333333333,5.03186666667,4.725,6.36946666667,16.6093333333,5.06966666667,4.72676666667,8.0007
392.44,6.1662,5.13413333333,4.0126,5.0774,4.71986666667,6.36886666667,16.6203333333,5.07446666667,4.72003333333,8.0053
392.80,6.21473333334,5.15466666667,4.0804,5.1054,4.77406666667,6.4166,16.6955333333,5.1226,4.78596666667,8.06653333333
393.16,6.1856,5.14066666667,4.0734,5.064,4.753,6.3804,16.686,5.1082,4.7527,8.04363333333
393.52,6.22686666667,5.23946666667,4.1458,5.11426666667,4.82426666667,6.43246666666,16.7325333333,5.19073333334,4.79686666667,8.0803
393.88,6.21973333333,5.22283333333,4.12866666667,5.11426666667,4.85313333333,6.42186666667,16.7944,5.19086666667,4.80053333333,8.05256666667
394.24,6.06466666667,5.05083333333,3.9662,4.9782,4.7126,6.2856,16.6692,5.04713333333,4.6466,7.90796666667
394.60,6.07326666667,5.08096666667,4.00493333333,5.01746666667,4.74273333333,6.35613333333,16.7072666667,5.10126666667,4.68153333333,7.90896666667
394.96,6.133,5.11643333333,4.07346666667,5.08706666667,4.8292,6.4262,16.8281333333,5.14426666667,4.7498,7.94833333333
395.32,6.05006666667,5.08183333333,4.0046,5.04366666667,4.77133333333,6.3742,16.8177333334,5.0854,4.72096666667,7.84686666667
395.68,6.09613333333,5.11903333333,4.0272,5.07086666667,4.81693333333,6.41833333333,16.8478666667,5.12973333333,4.7662,7.8647
396.04,6.06666666667,5.067,3.99526666667,5.04613333333,4.75906666667,6.3902,16.8447333333,5.09046666667,4.75186666667,7.82773333333
396.40,6.08713333333,5.06776666667,3.9884,5.035,4.79133333333,6.43546666667,16.9208666667,5.1158,4.76503333333,7.83013333333
396.76,6.063,5.0724,3.92553333334,5.00486666666,4.75726666667,6.39373333333,16.9046,5.09893333333,4.70526666667,7.79623333333
397.12,6.018,5.04023333333,3.89786666667,5.00193333333,4.7348,6.35213333333,16.9098,5.054,4.68603333333,7.7664
397.48,5.90086666667,4.9286,3.76333333333,4.91733333333,4.63986666667,6.2644,16.8419333333,4.8996,4.5612,7.6282
