wavelength,Back_SicLebm,Belly_SicLebm,Breast_SicLebm,Crissum_SicLebm,Crown_SicLebm,DorTail_SicLebm,Rump_SicLebm,Throat_SicLebm,WingTip_SicLebm
224.62,41.195,58.4903333333,-1.88666666667,86.1633333333,31.4466666667,20.7546666667,5.66033333333,4.717,-49.057
225.00,44.086,65.054,8.602,87.097,42.473,26.8816666667,23.1183333333,16.9355,-14.516
225.38,40.2083333333,71.6666666667,1.66666666667,71.6666666667,34.5833333333,19.5833333333,27.0833333333,26.875,-1.25
225.75,43.7983333333,68.9923333333,4.26333333333,67.0543333333,44.9613333333,8.91466666667,31.7826666667,29.6515,18.023
226.13,38.3161666667,75.2576666667,3.09233333333,60.825,51.89,13.7456666667,37.1133333333,21.6495,33.505
226.51,36.5743333333,69.7533333333,3.70366666667,53.395,45.9876666667,16.358,38.5803333333,16.6665,34.259
226.88,37.7551666667,78.9116666667,-3.40133333333,54.422,47.9593333333,22.449,34.694,17.8575,38.7755
227.26,28.5256666667,80.1283333333,-0.320333333333,50.0,50.3203333333,23.3976666667,34.936,20.673,39.423
227.64,29.8413333333,75.2383333333,1.90466666667,42.857,47.6193333333,22.5396666667,39.0476666667,16.1905,48.0955
228.01,30.756,73.883,3.43666666667,44.6736666667,36.426,7.90366666667,36.426,12.371,37.629
228.39,26.7266666667,64.2643333333,4.805,42.042,33.3333333333,9.30966666667,35.1353333333,19.369,38.739
228.76,32.4073333333,71.2963333333,17.5923333333,42.284,40.1233333333,12.963,37.3456666667,21.7595,41.6665
229.14,39.3556666667,65.2663333333,19.608,37.815,36.6943333333,6.16233333333,33.3333333333,21.0085,33.193
229.52,43.771,69.3603333333,26.2626666667,44.1076666667,44.108,6.73366666667,38.0473333333,17.677,42.9295
229.89,51.7181666667,66.6666666667,28.1786666667,47.079,39.8626666667,23.368,42.6116666667,21.6495,35.567
230.27,47.327,58.4903333333,27.3583333333,40.8803333333,36.1633333333,20.44,38.3646666667,26.887,25.0
