wavelength,Back_TerVirm,Belly_TerVirm,Breast_TerVirm,Crissum_TerVirm,Crown_TerVirm,DorTail_TerVirm,Rump_TerVirm,Throat_TerVirm,WingTip_TerVirm
371.10,44.5012333333,57.152,61.3283333334,47.4872666667,63.9447333333,8.2844,49.1414666667,6.35353333333,8.37893333333
371.46,44.416,57.1350666667,61.3199333333,47.4246666666,63.9814,8.13673333333,49.0845333333,6.2042,8.24153333333
371.83,44.4002666667,57.1262666667,61.3857333333,47.4066666667,64.0328,8.19893333333,48.9826666667,6.28173333333,8.34996666667
372.19,44.2792333333,57.1300666667,61.3708666667,47.4255333333,64.0408666667,8.0578,48.8616,6.1835,8.24326666667
372.55,44.2109,57.156,61.4716,47.419,64.1467333333,7.97433333333,48.8220666667,6.11466666667,8.154
372.92,44.2285,57.2406,61.5829333333,47.5251333333,64.2994,7.92653333333,48.7426666666,6.0902,8.13033333333
373.28,44.1125333333,57.2475333333,61.6288,47.5421333333,64.3791333333,7.83626666667,48.6529333333,6.07896666667,8.0762
373.64,44.1388666667,57.3892666667,61.8399333333,47.5625333333,64.5426,7.71533333333,48.6307333333,6.02566666667,7.96206666667
374.00,44.1338333333,57.5034666667,61.9847333334,47.6554,64.6762666667,7.56226666667,48.5961333333,5.86433333333,7.8354
374.37,44.2176666666,57.6178666667,62.0736666667,47.7253333333,64.8337333333,7.52093333333,48.5531333333,5.79516666667,7.79953333333
374.73,44.2790666667,57.8416666667,62.1902,47.8474666667,65.0328666667,7.52526666667,48.5296666667,5.75136666667,7.76636666667
375.09,44.3994666667,58.1012,62.3952,47.9964,65.344,7.54393333333,48.6074,5.753,7.745
375.45,44.6529,58.4059333333,62.6222,48.2594,65.6304666667,7.8332,48.7235333333,6.01376666667,8.0265
375.81,44.7593333333,58.5975333333,62.79,48.4428666667,65.7463333333,7.86213333333,48.7637333333,6.05813333333,8.03636666667
376.18,44.8045,58.7705333333,62.9174,48.5528666667,65.8465333333,7.9402,48.7867333333,6.11263333333,8.12536666667
376.54,44.7394666667,58.7986666666,62.853,48.5326,65.7562666667,7.89766666667,48.6382666667,6.09633333333,8.08723333333
376.90,44.7975666667,58.9924666667,62.9936,48.6552666667,65.8996666667,7.901,48.6685333333,6.0696,8.06723333333
377.26,44.8693333333,59.2151333333,63.1396666667,48.7884666667,66.0682,7.9306,48.7093333333,6.03176666667,8.0349
