wavelength,Back_LanAurm,Belly_LanAurm,Breast_LanAurm,Crissum_LanAurm,Crown_LanAurm,DorTail_LanAurm,Patch10_LanAurm,Patch11_LanAurm,Rump_LanAurm,Throat_LanAurm,WingTip_LanAurm
779.71,45.2370666667,53.1586666667,49.4010666667,44.5382666667,7.0302,13.4439333333,44.6917,31.2334666667,46.4526,6.8164,11.7219333333
780.02,45.6426,53.3044666667,49.6844666667,44.9540666667,7.18573333333,13.7516,45.1414333333,31.354,46.5043333333,6.87933333333,11.7036
780.33,45.651,53.2896666667,49.6916,45.2737333333,7.43193333333,13.9354,45.2303666667,31.5596666667,46.4308,7.0512,11.9114666667
780.64,45.6816,53.3006,49.7165333333,45.4525333333,7.6662,14.0276,45.3599333333,31.4940666667,46.4994666667,7.33913333333,12.1444666667
780.95,45.7878,53.3222,49.8508666667,45.4090666667,7.56013333333,14.0430666667,45.3118333333,31.5757333333,46.5232,7.27706666667,12.0388666667
781.26,46.3006,53.6844,50.0243333333,45.4678666667,7.51073333333,14.2893333333,45.6620666667,31.8169333333,46.7452,7.27913333333,12.1232666667
781.57,46.2183333333,53.4081333333,49.8076,45.1093333333,7.56686666666,14.293,45.5034,31.7983333333,46.45,7.46226666667,12.3136666667
781.88,46.1244666667,53.4584,49.9526,45.071,7.58013333334,14.2391333333,45.4842666667,31.8743333333,46.5644666667,7.15553333333,12.3253333333
782.19,45.6359333333,53.0360666667,49.554,44.5937333333,6.76693333334,13.4066666667,44.9372333333,31.2874,46.0645333333,6.4544,11.5846666666
782.50,45.5961333333,53.3411333333,49.5646666667,44.6002666667,6.5058,13.4352666667,44.8665333333,30.9373333333,46.0980666667,6.36073333333,11.5019333333
782.81,45.6766666667,53.6167333333,50.04,44.986,6.47906666666,13.5248666667,45.0976666667,30.9661333333,46.3032666667,6.33133333333,11.6606
783.12,46.0816666667,53.8939333333,50.4162666667,45.4763333333,6.4798,13.4999333333,45.5981333333,31.4808,46.4594666667,6.17506666667,11.7327333333
783.43,46.1466666667,53.8820666667,50.5242,45.3725333333,6.56439999999,13.4070666667,45.5468333333,31.7362,46.6176,6.23673333333,11.9616
783.74,45.661,53.3376,49.8656,44.5025333333,5.93006666667,12.7746666667,45.1314,31.2186,46.0956,5.67346666667,11.5166
784.05,45.5540666667,53.2747333333,49.7824666667,44.1196,5.7088,12.7896666667,45.0731,31.1543333333,45.9681333333,5.59186666667,11.3174
784.36,45.9599333333,53.8666,50.0698,44.4402666667,5.97673333333,12.8634,45.5535,31.4370666667,46.2518,5.76926666667,11.3143333333
784.67,45.3189333333,53.3037333333,49.5826,44.0814,5.73846666667,12.2737333333,44.7953333333,31.0956,45.8361333333,5.29346666667,10.8624
784.98,45.5569333333,53.5862,49.9143333333,44.336,5.767,12.215,44.9078,31.2811333333,46.3153333333,5.1714,10.7969333333
785.29,46.0501333333,53.8896,50.2458,44.5795333333,5.73093333333,12.2638666667,45.3816666667,31.4014666667,46.7442,5.46346666667,10.8754
785.60,45.718,53.5342,49.9317333333,44.265,5.64953333333,12.0040666667,45.2308666667,31.1794,46.5000666667,5.3248,10.7993333333
