wavelength,Back_RamMelm,Belly_RamMelm,Breast_RamMelm,Crissum_RamMelm,Crown_RamMelm,DorTail_RamMelm,Rump_RamMelm,Throat_RamMelm,WingTip_RamMelm
770.69,11.8804666667,12.9607333333,26.9235333333,37.0658,11.7740666667,12.6161333333,47.1520666667,22.7398666667,11.0976666667
771.00,11.7171333333,12.9798,26.7045333333,36.9508,11.6352,12.418,46.6287333334,22.6358666667,10.9406
771.32,11.7514666667,12.9938666667,26.7948666667,36.9612,11.6105333333,12.4976,46.6154,22.7153333333,11.1046
771.63,11.9669333333,13.1706,27.1610666667,37.2700666667,11.788,12.6175333334,46.7448,22.8729333334,11.3485333333
771.94,11.569,12.6944666667,26.8188666666,36.6303333333,11.4002666667,12.2244,46.5408666667,22.5355333333,10.8012
772.25,11.6337333333,12.7848666667,26.9325333333,36.7896,11.4689333333,12.3204666667,46.7541333333,22.6517333333,10.8396
772.56,11.3738666667,12.9123333333,26.9078,36.7192666667,11.5638666667,12.0801333333,46.7244666667,22.4657333333,10.6572
772.87,11.6016666667,13.5040666667,27.4112,36.9329333333,12.1346,12.3634666667,46.8338666667,22.6093333333,10.9255333333
773.18,11.8644666667,13.753,28.0152,36.9384666667,12.4423333333,12.5558,47.2962,22.7072666667,11.2556
773.50,12.0848666667,13.9300666667,28.1636,36.9718666667,12.6884666667,12.7124666667,47.4634,22.7349333333,11.5157333334
773.81,11.9636,13.7666,27.8966,36.7646,12.6414,12.5610666666,47.4004666667,22.4282666667,11.3347333333
774.12,11.7618,13.4602,27.6885333333,36.501,12.4700666667,12.4243333333,47.2446666667,22.033,11.0254666667
774.43,12.23,13.8725333334,28.2234666667,37.0719333334,12.9191333333,12.987,47.9236666667,22.5532,11.5372
774.74,12.7038,14.3562,28.5336666667,37.3568,13.4584666666,13.3511333333,48.1188666667,22.8183333333,11.7989333333
775.05,12.5815333333,14.2436,28.3002,37.1974666667,13.3693333333,13.2397333333,48.1237333333,22.8279333333,11.7539333333
775.36,12.6462,14.409,28.3755333333,37.219,13.398,13.1498,48.0339333333,22.8278,11.8581333333
