wavelength,Back_PorCaef,Belly_PorCaef,Breast_PorCaef,Crissum_PorCaef,Crown_PorCaef,DorTail_PorCaef,Rump_PorCaef,Throat_PorCaef,WingTip_PorCaef
202.33,62.0688,12.0307333333,18.3142666667,78.9271333333,40.0,55.9387333333,51.5327333333,28.8888666667,27.1265333334
202.71,70.4417333333,19.2772,27.6304,84.3373333335,48.1122666667,63.9358666667,58.4336333333,40.9638666667,30.8436000001
203.09,86.8545333333,19.8123333333,28.9201333333,99.155,53.8027999999,77.0891999999,64.7416,49.5775333333,31.1737999999
203.47,88.9959333333,28.9959333333,34.8594666667,94.4577999999,54.8594666667,74.7790666666,62.8514,55.502,33.4136
203.85,80.851,32.6242,33.9716666667,83.4041999999,45.8866,66.5956,56.0284333333,51.0638,32.0568666666
204.22,85.7832000001,34.3775333333,37.8314666667,88.9959333335,46.1847333333,67.9517333333,59.9999666667,55.3413333334,34.2972
204.60,87.3958666666,20.4166666667,27.5,88.9583333334,37.1874666667,60.521,55.2604333333,57.0831999999,22.0832
204.98,66.6666666666,11.7593333333,15.463,71.4814666667,23.7964,39.7222666667,38.1018666667,38.7038,9.90726666667
205.36,46.5202,6.30053333334,7.5458,48.4982,11.5018666667,25.4946666667,25.8609333333,21.6118666667,0.952399999999
205.74,46.5942,11.0145333333,12.3912666667,43.1158666667,11.8841333334,26.0144666667,22.9348333333,23.9131333333,-0.724599999998
206.12,45.2173333333,-1.5458,0.096600000006,37.488,-3.76813333334,17.1014,13.3334,9.66193333333,-19.9032666667
206.50,45.1042,-2.0833333334,0.833200000014,39.8957333333,-6.04193333332,11.6668,9.27053333333,6.24973333332,-21.6667333333
206.87,53.2220666667,1.4445333334,-0.33333333334,45.4444666667,-5.77786666668,12.1111333333,15.1667333333,5.99986666666,-20.5555333333
207.25,56.0234000001,8.18713333339,1.0526,47.0175333333,-7.13446666666,8.1872,23.3331666667,7.71919999999,-18.4795333333
207.63,44.3940666667,-14.3939333334,-26.0606,31.8182,-31.5150666667,-21.3637333333,15.6819,-19.8484,-49.2424666666
