wavelength,Back_TacDelm,Belly_TacDelm,Breast_TacDelm,Crissum_TacDelm,Crown_TacDelm,DorTail_TacDelm,Rump_TacDelm,Throat_TacDelm,WingTip_TacDelm
386.66,5.0024,5.19726666667,4.63453333333,4.84503333333,5.87353333333,6.7087,4.65992666666,4.27273333333,7.36386666667
387.03,5.127,5.32186666667,4.7457,4.95813333333,6.0206,6.8699,4.81675333333,4.39113333334,7.52406666667
387.39,5.06766666667,5.301,4.79346666667,4.929,6.02973333333,6.86096666667,4.82856,4.46153333333,7.54576666667
387.75,5.05293333333,5.31286666666,4.83703333333,4.88423333333,6.02493333333,6.81933333333,4.8319,4.4626,7.5521
388.11,5.06346666667,5.36293333333,4.87926666667,4.93436666667,6.03926666667,6.85476666667,4.908,4.50133333333,7.58466666667
388.47,5.0832,5.42166666667,4.88436666667,4.98456666667,6.04486666667,6.86236666667,4.93644,4.5484,7.58586666667
388.83,5.17233333333,5.53546666667,4.95743333333,5.1083,6.11586666667,6.90843333333,5.03112666667,4.65046666667,7.6541
389.19,5.16626666667,5.54793333333,4.95,5.085,6.13806666667,6.8789,5.04650666667,4.63833333333,7.63583333333
389.55,5.18713333333,5.5466,4.89423333333,5.08966666667,6.1154,6.87846666667,5.03275333333,4.64386666667,7.64123333333
389.91,4.97286666667,5.30173333333,4.73283333333,4.88326666667,5.91586666667,6.66803333333,4.8102,4.44586666667,7.45233333333
390.27,4.84186666667,5.19086666667,4.63586666667,4.82953333333,5.7924,6.62126666667,4.65860666667,4.3328,7.29116666667
390.63,4.8062,5.19313333333,4.6177,4.75286666667,5.77253333333,6.4808,4.62892,4.2946,7.2351
391.00,4.66893333333,5.032,4.4663,4.59556666667,5.60593333333,6.2936,4.45343333333,4.1398,7.03866666667
391.36,4.75053333333,5.08193333333,4.44466666667,4.64186666667,5.57773333333,6.3389,4.45488666667,4.17933333333,7.00223333333
391.72,4.82026666667,5.17066666667,4.49433333333,4.7474,5.6208,6.41636666667,4.53856666667,4.289,7.04043333333
392.08,4.75586666667,5.12166666667,4.43333333333,4.68716666667,5.6048,6.36253333333,4.48215333333,4.24006666667,6.9925
392.44,4.78633333333,5.13873333333,4.4797,4.68013333333,5.65786666667,6.40563333333,4.5189,4.25473333334,7.0291
392.80,4.75533333333,5.04933333333,4.4765,4.62893333333,5.63486666667,6.3769,4.49722,4.20613333333,6.99933333333
393.16,4.80266666667,5.07993333333,4.53003333333,4.70733333333,5.6916,6.4561,4.53772666667,4.29306666667,7.04603333334
393.52,4.79226666667,5.0812,4.5774,4.6807,5.70873333333,6.4161,4.54868666667,4.3038,7.0762
393.88,5.073,5.35246666667,4.77176666667,4.9297,5.96666666667,6.67396666667,4.79625333333,4.5786,7.32053333333
394.24,5.1868,5.42293333333,4.871,5.01356666667,6.11246666667,6.762,4.91278666667,4.65726666667,7.47286666667
394.60,5.36766666667,5.59526666667,5.0648,5.23833333333,6.29166666667,6.9907,5.09934666667,4.87166666667,7.67983333333
394.96,5.40993333333,5.68733333334,5.15056666667,5.31113333333,6.38946666667,7.1155,5.19075333333,4.94306666667,7.78376666667
395.32,5.36666666667,5.668,5.10073333334,5.27223333333,6.4268,7.07566666667,5.20026666667,4.87786666667,7.8313
395.68,5.26666666667,5.59066666667,5.01463333333,5.17823333333,6.35773333333,7.012,5.11548666667,4.73786666667,7.80153333333
396.04,5.36026666667,5.667,5.12336666667,5.2602,6.40866666667,7.0852,5.21288,4.8194,7.8591
396.40,5.345,5.62873333333,5.01986666667,5.26443333333,6.33253333333,7.02413333333,5.20621333333,4.79846666667,7.8584
396.76,5.38166666667,5.67826666667,5.04133333333,5.2904,6.36266666667,7.05306666667,5.16598666667,4.76233333333,7.84406666667
397.12,5.38053333333,5.6652,5.07083333333,5.2112,6.34213333334,7.04416666667,5.16422,4.7278,7.8519
397.48,5.40653333333,5.65473333333,5.04486666667,5.19756666667,6.35473333333,7.039,5.16758,4.74226666667,7.85676666667
397.84,5.31373333333,5.56866666667,5.0041,5.09056666667,6.27373333333,6.95886666667,5.11332666667,4.64,7.74233333333
398.20,5.40893333333,5.6598,5.0753,5.1303,6.30346666667,7.03373333333,5.19696,4.7568,7.7635
398.56,5.37513333333,5.60006666667,4.98106666667,5.02513333333,6.22046666667,6.9461,5.14947333333,4.6688,7.64806666667
398.92,5.3994,5.65326666667,5.00463333333,5.06736666667,6.2264,6.9744,5.19073333333,4.6928,7.66453333333
399.28,5.38886666667,5.6804,5.0702,5.0787,6.229,6.98726666667,5.22652666667,4.73493333333,7.67233333333
399.64,5.45593333333,5.8036,5.1842,5.15343333333,6.32226666667,7.03953333333,5.29887333333,4.84813333333,7.71306666667
400.00,5.45373333333,5.81193333333,5.19283333333,5.15203333333,6.2884,7.01253333333,5.2456,4.8248,7.71713333333
400.36,5.5768,5.9022,5.3448,5.2192,6.42213333333,7.156,5.33830666667,4.9622,7.80293333333
400.72,5.66546666667,6.011,5.43783333333,5.3259,6.51846666667,7.24983333333,5.46367333333,5.11466666667,7.9533
401.08,5.64346666667,6.0074,5.41953333333,5.35176666667,6.50993333333,7.19053333333,5.46183333333,5.09933333333,7.92146666667
401.44,5.75866666667,6.14753333333,5.5143,5.4868,6.6224,7.3417,5.59896666667,5.2088,8.00393333333
401.80,5.80813333333,6.2144,5.55143333333,5.52906666667,6.67033333333,7.39416666667,5.6384,5.258,8.08283333333
402.16,5.776,6.18933333333,5.52,5.51533333333,6.624,7.34696666667,5.61797333333,5.19566666667,8.0291
402.52,5.76193333334,6.23053333333,5.5712,5.54366666667,6.66373333333,7.39796666667,5.633,5.23326666667,8.11386666667
402.88,5.8118,6.23026666667,5.58216666667,5.5745,6.68693333333,7.3801,5.68011333333,5.2558,8.1176
403.24,5.80866666667,6.20046666667,5.56133333333,5.55956666667,6.6514,7.35006666667,5.64129333333,5.2294,8.11603333333
403.60,5.83033333333,6.13933333333,5.51993333333,5.54706666667,6.62726666667,7.32693333333,5.63145333333,5.20686666667,8.084
403.95,5.8222,6.11446666666,5.5304,5.56216666667,6.64513333333,7.3346,5.67132666667,5.21473333333,8.08833333333
404.31,5.75913333334,6.0932,5.49313333333,5.52443333333,6.59093333334,7.2701,5.64084,5.1842,8.02966666667
404.67,5.74426666667,6.04953333333,5.45163333333,5.48326666667,6.53253333333,7.22543333333,5.63372,5.1558,7.99696666667
405.03,5.76833333333,6.09686666667,5.46776666667,5.51223333333,6.5668,7.28843333333,5.67024,5.1728,8.05003333333
405.39,5.68646666667,6.031,5.37276666667,5.41143333333,6.4816,7.19546666667,5.56199333333,5.0918,7.97293333333
405.75,5.63173333333,5.98386666667,5.3173,5.3856,6.48426666667,7.13103333333,5.5352,5.0624,7.93873333333
406.11,5.62946666667,5.96753333333,5.31183333333,5.41753333333,6.5058,7.1441,5.52813333333,5.07146666666,7.97736666667
406.47,5.6756,6.0024,5.3134,5.45116666667,6.5264,7.18163333333,5.55833333333,5.12206666667,8.01533333333
406.83,5.62226666667,5.97693333333,5.27573333333,5.43413333333,6.50433333333,7.17656666667,5.51452666667,5.115,8.01216666667
407.19,5.61546666667,5.98686666667,5.2822,5.43753333333,6.50193333333,7.20486666667,5.54023333334,5.13113333333,7.9887
407.55,5.56393333333,5.98646666667,5.26373333333,5.4169,6.4692,7.2103,5.52962666667,5.14726666667,7.96563333333
407.90,5.63306666667,6.09593333333,5.28213333333,5.4918,6.5276,7.2553,5.61254666667,5.22233333333,8.04033333333
408.26,5.6452,6.09946666666,5.32246666667,5.49836666667,6.5338,7.29093333333,5.60995333333,5.22146666667,8.08593333333
408.62,5.60186666667,6.0972,5.30196666667,5.4973,6.52646666667,7.24023333333,5.58340666667,5.21926666667,8.03666666667
408.98,5.57553333334,6.05726666667,5.2787,5.45066666667,6.47666666667,7.2069,5.53679333333,5.19733333333,7.98316666667
409.34,5.5706,6.0176,5.28496666667,5.48306666667,6.48153333333,7.22006666667,5.54012666667,5.2062,7.99496666667
409.70,5.53706666667,5.93866666667,5.2552,5.42756666667,6.38073333333,7.15896666667,5.47188,5.14173333333,7.9255
410.06,5.54313333333,5.98553333333,5.3057,5.41006666667,6.38253333333,7.15343333333,5.49202,5.1336,7.9341
410.42,5.5636,5.98853333333,5.3495,5.4461,6.39073333333,7.15573333333,5.50842666667,5.145,7.94313333333
410.77,5.6524,6.06986666667,5.40823333333,5.46583333333,6.4362,7.21783333333,5.58012666667,5.20266666667,8.01993333333
411.13,5.6636,6.04733333333,5.3883,5.4522,6.40806666666,7.22673333333,5.56241333333,5.21073333333,8.00696666667
411.49,5.69566666667,6.0462,5.39903333333,5.44863333333,6.408,7.22516666667,5.54646,5.21353333333,8.0017
411.85,5.68173333333,6.00113333333,5.37026666667,5.37343333333,6.34986666667,7.20766666667,5.49752,5.17766666667,7.9667
412.21,5.74853333334,6.10926666667,5.42666666667,5.44216666667,6.4262,7.26946666667,5.56782666667,5.25066666667,7.99546666667
412.57,5.8364,6.143,5.50546666667,5.4834,6.49673333333,7.3605,5.63702666667,5.27913333333,8.06016666667
412.92,5.87053333333,6.17886666667,5.54396666667,5.5509,6.54826666667,7.3982,5.69205333333,5.32126666667,8.12133333333
413.28,5.85853333333,6.198,5.561,5.53526666667,6.541,7.39193333333,5.73318,5.32546666667,8.12166666667
413.64,5.90693333333,6.24953333333,5.60523333333,5.5905,6.5904,7.45436666667,5.78715333333,5.38506666667,8.17586666667
414.00,5.8828,6.23333333333,5.55663333333,5.55296666667,6.5554,7.43673333333,5.76502666667,5.39213333333,8.16596666667
414.36,5.87053333333,6.2336,5.5213,5.53136666667,6.57733333333,7.4561,5.77258666667,5.39553333333,8.15916666667
414.72,5.78366666667,6.14806666667,5.4634,5.48143333333,6.50613333333,7.36613333333,5.68494666667,5.33333333333,8.0837
415.07,5.8354,6.23933333333,5.5358,5.53556666667,6.5892,7.38033333333,5.74929333333,5.35246666667,8.15913333333
415.43,5.87146666667,6.26293333333,5.58236666667,5.5751,6.64586666667,7.39636666667,5.78876666667,5.3464,8.2487
415.79,5.7712,6.12593333333,5.47893333333,5.48986666667,6.5662,7.30056666667,5.68839333333,5.23493333333,8.154
416.15,5.6476,5.94926666666,5.32023333333,5.34103333333,6.42286666667,7.15866666667,5.54994,5.103,8.05446666667
416.51,5.57113333333,5.8712,5.22383333333,5.2719,6.3418,7.09396666667,5.45478666667,5.02926666667,7.98613333333
416.86,5.63013333333,5.92446666667,5.2461,5.3083,6.374,7.12316666667,5.51340666667,5.07866666667,8.0282
417.22,5.60593333334,5.87826666667,5.20843333333,5.25856666667,6.30206666667,7.0666,5.46714,5.01393333333,7.98366666667
417.58,5.5782,5.85706666667,5.1526,5.24486666667,6.2726,7.02696666667,5.44991333333,4.98353333333,7.93813333333
417.94,5.6578,5.91313333333,5.2291,5.33573333333,6.33306666667,7.10286666667,5.5156,5.05226666667,8.00006666667
418.29,5.6492,5.88773333333,5.21283333333,5.33816666667,6.2988,7.08546666667,5.50354,5.0308,7.99
418.65,5.67713333333,5.89586666667,5.23176666667,5.34546666667,6.31913333333,7.11246666667,5.53442666667,5.06366666667,7.9977
419.01,5.6286,5.82306666667,5.17813333333,5.31236666667,6.25833333333,7.0856,5.48336666667,5.0342,7.94313333333
419.37,5.62213333333,5.8076,5.18256666667,5.31533333333,6.2298,7.0797,5.47133333333,5.04386666667,7.92013333333
419.73,5.64013333333,5.8332,5.2428,5.35723333333,6.2648,7.11116666667,5.50296,5.08673333333,7.94106666667
420.08,5.6882,5.89233333333,5.3048,5.45606666667,6.3006,7.16323333333,5.54904666667,5.13993333333,7.9951
420.44,5.70933333333,5.93333333333,5.3254,5.4849,6.3082,7.18006666667,5.58072,5.16753333333,8.0116
420.80,5.63793333333,5.86486666667,5.27623333334,5.4241,6.22913333334,7.1129,5.50002666666,5.09006666667,7.93456666667
421.16,5.66246666667,5.9018,5.31176666667,5.47916666667,6.2662,7.14516666667,5.52074666667,5.118,7.95446666667
421.51,5.6572,5.8958,5.32393333333,5.4574,6.25433333333,7.1419,5.49896666667,5.1082,7.9509
421.87,5.5546,5.809,5.23766666667,5.37156666667,6.15806666667,7.0599,5.41055333333,5.01533333333,7.87406666667
422.23,5.57086666666,5.82066666667,5.2547,5.3732,6.1582,7.05933333333,5.42235333333,5.02406666667,7.88836666667
422.58,5.53846666667,5.80033333333,5.23656666667,5.36103333333,6.11673333333,7.03453333333,5.39082666667,4.99433333333,7.86186666667
422.94,5.53226666667,5.8096,5.24043333333,5.36806666667,6.1064,7.04593333333,5.40149333333,4.99793333333,7.8729
423.30,5.51266666667,5.79726666667,5.20686666667,5.35323333333,6.09173333333,7.03883333333,5.40685333333,4.96766666667,7.85423333333
423.66,5.48713333333,5.77893333333,5.16613333333,5.3391,6.06533333333,7.00833333333,5.38306666667,4.9368,7.82736666667
424.01,5.4586,5.7434,5.14126666667,5.30076666667,6.04933333333,6.9799,5.3689,4.90166666667,7.79376666667
424.37,5.45426666667,5.7512,5.1577,5.3096,6.0682,6.99676666667,5.38028666667,4.92446666667,7.8091
424.73,5.47333333333,5.76593333333,5.18646666667,5.32736666667,6.09506666667,7.02873333333,5.41156666667,4.95613333333,7.83386666667
425.08,5.4864,5.75273333334,5.19213333333,5.32593333333,6.0994,7.0416,5.41900666666,4.98393333333,7.85953333333
425.44,5.47853333333,5.74933333333,5.1979,5.33326666667,6.0906,7.06003333333,5.42746,4.98973333333,7.8617
425.80,5.50306666667,5.7588,5.22316666667,5.35656666667,6.1272,7.07773333333,5.46235333333,5.00693333333,7.87886666667
426.16,5.49193333333,5.75373333333,5.2136,5.3614,6.12066666667,7.0701,5.46286666667,4.99933333333,7.85393333333
426.51,5.56793333333,5.82073333333,5.29373333333,5.45256666667,6.21813333333,7.15536666667,5.55636666667,5.0858,7.93333333333
