wavelength,Back_CorCucm,Belly_CorCucm,Breast_CorCucm,Crissum_CorCucm,Crown_CorCucm,DorTail_CorCucm,Patch10_CorCucm,Rump_CorCucm,Throat_CorCucm,WingTip_CorCucm
203.47,33.4848000001,54.8485333333,37.8029999999,31.5152666666,-20.9091333333,-16.3637333333,-15.1515333333,76.6666666667,42.2727999999,56.0101555555
203.85,37.7142666667,63.0474666667,41.4285333333,26.8572,-36.9522666667,-23.8094666668,-21.9046666667,85.7142666667,45.9048,51.1112666667
204.22,24.0579999999,57.6813333333,16.6666666667,-2.89853333326,-120.869533333,-71.8840666665,-82.8984666667,83.7682000001,28.9855333334,37.9711555555
204.60,-24.8887999999,-3.99993333332,-27.5555000001,-79.9999333333,-280.444333333,-164.0,-211.555533333,44.0000666666,-9.77773333334,-7.55553333337
204.98,-683.333333335,-576.666666666,-528.333333334,-1276.66666667,-2623.33333333,-1783.33333334,-2190.0,-209.999999998,-573.333333333,-682.222222221
205.36,153.333333333,146.0,113.666666667,300.666666666,548.666666667,354.666666667,467.333333333,64.0,125.333333333,179.333333333
205.74,-6.1904,-43.3332666667,-51.4285333333,91.9047333331,279.5238,105.238133333,185.238066667,-71.4285333332,-60.4760666666,-32.2222444444
206.12,-49.0476000002,-83.3334666667,-47.6191666667,83.8094666667,244.761933333,37.1429333334,147.143,-75.7142666668,-75.7143333333,-34.6031111111
206.50,-9.09099999994,-27.4747333333,-6.06059999998,38.7878000001,112.121133333,17.3738666665,68.0809333334,-17.3737333335,-23.2323333333,-5.45457777778
206.87,-41.6000000001,-54.1333333333,-32.7999999999,27.4666666665,122.133333333,11.7333333333,67.1999999999,-39.4666666667,-53.3333333334,-24.1777777777
207.25,-66.9564000001,-78.5506666666,-56.8115666666,-3.18839999994,101.739133333,-9.8550666668,74.4926666667,-73.9131333333,-100.000133333,-36.715
207.63,-136.666666667,-140.666666667,-103.0,-54.0000000002,65.6666666666,-59.0,48.6666666666,-124.333333333,-168.0,-70.1111111111
208.01,-172.963,-192.222133333,-146.666533333,-89.2593333333,34.0739999999,-95.9259999998,42.2222666666,-158.5184,-225.185066667,-126.049444444
