wavelength,Back_DubTaem,Belly_DubTaem,Breast_DubTaem,Crissum_DubTaem,Crown_DubTaem,DorTail_DubTaem,Patch10_DubTaem,Patch11_DubTaem,Rump_DubTaem,Throat_DubTaem,WingTip_DubTaem
342.33,9.98559999999,16.1539,14.4637666667,8.53073333333,22.498,6.12006666667,30.9344666667,6.33146666667,10.2855333333,2.98233333333,6.27753333333
342.70,9.8438,16.0814,14.326,8.42256666667,22.5036666667,5.8797,30.9374666667,6.235,10.1812,2.78266666667,6.11866666667
343.06,9.95193333335,16.2481666667,14.4673333333,8.55933333334,22.7318,6.01993333333,31.2355333333,6.42326666667,10.3338666667,3.06133333333,6.2432
343.43,9.87233333333,16.1064666667,14.4337666667,8.47696666666,22.7176,5.89723333333,31.1963333334,6.44953333333,10.2008666667,2.94893333333,6.0322
343.79,10.1377333333,16.3504666667,14.5701,8.68050000001,22.9368,6.11116666667,31.4624666667,6.6548,10.3350666667,3.22973333333,6.27673333333
344.16,10.2806,16.4718,14.704,8.77066666667,23.0386666667,6.14856666667,31.5526666667,6.75413333333,10.4031333333,3.2744,6.3644
344.52,10.4124,16.5994666667,14.8678666667,8.87586666667,23.13,6.26436666667,31.6741333333,6.85733333333,10.4607333333,3.4012,6.37713333333
344.89,10.4754666667,16.6433333333,14.9342,8.89779999999,23.2712666667,6.3348,31.819,6.941,10.5118,3.4364,6.33066666667
345.25,10.7378666667,16.8820666667,15.2369666667,9.23330000001,23.6068666666,6.60406666667,32.1642,7.16173333334,10.7875333333,3.7872,6.59006666667
345.62,10.6808,16.7582333333,15.0562333334,9.13099999999,23.5804666667,6.41403333333,32.0705333333,7.0498,10.6616,3.65033333333,6.40946666667
345.99,10.8510666667,16.8340333333,15.119,9.32633333333,23.8150666667,6.49096666667,32.3014666667,7.15613333333,10.8072,3.69486666667,6.48353333333
346.35,11.1129333333,17.0052333333,15.2525333333,9.57249999999,23.9457333333,6.70683333333,32.3678666667,7.309,10.9329333333,3.84166666667,6.66766666667
346.72,11.1803333333,17.0239666667,15.3234333333,9.60620000001,24.0386,6.7887,32.4449333334,7.33653333333,10.9864666667,3.89186666667,6.6376
347.08,11.1332666667,16.9155333333,15.2371333333,9.52463333333,23.9642,6.68016666667,32.3082666666,7.16793333333,10.8211333333,3.7186,6.50453333333
347.45,11.3127333333,17.0912666666,15.3305,9.6732,24.2093333333,6.79243333333,32.6057333333,7.1454,10.9308,3.8046,6.63126666667
347.81,11.2208,17.0286,15.3479,9.66593333334,24.2331333333,6.7441,32.6401333333,7.07533333333,10.8622,3.713,6.51526666667
348.18,11.1062,16.9406333333,15.2181,9.53083333334,24.2329333333,6.6353,32.5844,6.94846666667,10.7683333333,3.57646666667,6.34466666666
348.54,10.9708,16.81,15.1222,9.3779,24.214,6.53833333333,32.5840666667,6.84886666667,10.7189333333,3.4188,6.23466666667
348.91,11.0657333333,16.877,15.2185333333,9.50856666666,24.3613333333,6.59133333333,32.7950666667,6.8748,10.7664,3.47113333333,6.32373333333
349.27,11.0678,16.8182666667,15.1408666667,9.48046666667,24.3009333333,6.55483333333,32.759,6.92313333333,10.6723333333,3.41526666667,6.23926666667
349.64,11.2753333333,16.9966666667,15.4821666667,9.71803333333,24.5499333333,6.8254,33.0246666667,7.13333333333,10.8594,3.6176,6.4588
350.00,11.3662666667,17.1087666667,15.6472,9.77179999999,24.6536666667,6.8916,33.0656,7.23686666667,10.9818666667,3.69446666667,6.51826666667
