wavelength,Back_ThrCypm,Belly_ThrCypm,Breast_ThrCypm,Crissum_ThrCypm,Crown_ThrCypm,DorTail_ThrCypm,Patch10_ThrCypm,Patch11_ThrCypm,Rump_ThrCypm,Throat_ThrCypm,WingTip_ThrCypm
341.96,9.85633333334,26.6887333333,21.4148666667,13.4798,12.9012,12.0743333333,19.1748,47.2638,13.984,22.5480666667,7.93513333333
342.33,9.76493333332,26.9310666667,21.4720666667,13.4912,12.8395333333,12.0301333333,19.163,47.3274,13.9592,22.5915333333,7.87993333334
342.70,9.36219999999,26.5460666667,21.1318,13.1264,12.5363333333,11.6294,18.8178666667,46.6576666667,13.5708,22.1143333333,7.54666666666
343.06,9.36793333334,26.4174,21.1338,13.1824,12.4872,11.6466,18.8274,46.1436666667,13.5475333333,22.0062666667,7.5532
343.43,9.03653333335,26.2777333333,20.9068,12.8868666667,12.247,11.3263333333,18.6242666667,45.8802666667,13.3350666666,21.8484666667,7.29973333333
343.79,9.17946666667,26.4639333333,21.1703333333,13.0756,12.4344666667,11.4824,18.9413333333,45.8778666667,13.5482,21.8972666667,7.41093333333
344.16,9.06400000001,26.3444666667,21.0842666667,12.8134,12.2899333333,11.1678666666,18.8099333333,45.6404,13.3503333333,21.8090666667,7.1816
344.52,8.64086666667,26.1388,20.8641333333,12.5762,11.9039333333,10.7341333333,18.4636666667,45.3051333333,12.9852666667,21.409,6.71086666666
344.89,8.88,26.319,21.1535333333,12.7994666667,12.151,10.8949333333,18.7254,45.2140666667,13.1318,21.6977333333,6.754
345.25,8.71459999999,26.3088666667,21.1067333333,12.7149333333,12.0226,10.7741333333,18.6810666667,44.9816666667,13.0724666667,21.5830666667,6.60306666666
345.62,8.83226666667,26.3556666667,21.1526,12.7379333333,12.1955333333,10.8184,18.6842666667,44.7904,13.2202,21.6617333334,6.6334
345.99,8.87626666667,26.4620666667,21.2668,12.853,12.3424666667,10.9110666667,18.8228666667,44.7813333333,13.2801333334,21.7938666667,6.62173333333
346.35,8.98000000001,26.483,21.2260666667,12.9344,12.5971333334,11.0631333333,18.9344666667,44.4392666667,13.4210666667,21.8632666667,6.67153333333
346.72,9.38600000001,26.7892,21.5524666667,13.2769333333,12.9692666667,11.3787333333,19.2618,44.6127333333,13.7554666667,22.2094666667,6.9084
347.08,9.38086666667,26.8308,21.6499333333,13.2513333333,12.9434666667,11.357,19.2803333333,44.6202,13.8286666667,22.249,6.74033333333
347.45,9.52253333333,27.0272666667,21.8537333333,13.355,13.0979333333,11.3929333333,19.4306666667,44.4288,13.8426,22.388,6.7434
347.81,9.72733333334,27.1483333333,21.8864,13.3736666667,13.1912666667,11.4684,19.4866666667,44.2366666667,13.8920666667,22.5488,6.79366666667
348.18,9.94693333333,27.4564666667,22.1536666666,13.7099333333,13.4576666667,11.7570666667,19.6931333333,43.9938,14.1662,22.6115333333,6.98033333334
348.54,10.3664,27.8231333333,22.5579333333,14.0612,14.0594,12.1784,20.0442666667,44.0216666667,14.6656,22.9832666667,7.44213333333
348.91,10.0871333333,27.7838666667,22.4909333333,13.8203333333,13.9650666667,11.9545333333,19.9046,43.8071333333,14.5228666667,22.7310666667,7.31980000001
349.27,10.0899333333,27.7958666667,22.6558,13.7523333333,14.0484,11.9588,19.9182,43.5918666667,14.4067333333,22.7409333333,7.30653333333
349.64,10.0318666667,27.8746666667,22.6818666667,13.7033333333,13.873,11.8186666667,19.9202,43.5934,14.2497333333,22.8158,7.17053333334
350.00,10.158,27.9949333333,22.8022,13.63,13.9560666667,11.8218,19.9351333333,43.4169333333,14.329,22.8979333333,7.20826666667
350.37,10.0064666667,27.8796666667,22.7911333333,13.5522666667,13.8996,11.7037333333,19.8504,43.0823333333,14.2309333334,22.7334,7.13313333333
350.73,9.72120000001,27.711,22.4875333333,13.2709333333,13.7482,11.3759333333,19.5306666667,42.6829333333,14.0268666667,22.3657333334,6.70673333333
351.10,10.0126,27.9919333333,22.8002666667,13.5667333333,14.1600666667,11.628,19.7648666667,42.5556,14.2499333333,22.5996666667,6.9696
351.46,10.1069333333,28.208,22.9280666667,13.7330666667,14.4108666667,11.7608,19.8173333333,42.4658,14.4624,22.6346666667,6.97906666667
351.83,9.86833333335,28.1467333333,22.8084,13.5749333333,14.2049333333,11.5792666667,19.5866666667,42.1922666667,14.2684666667,22.4725333333,6.73793333333
352.19,10.0824,28.3938666667,23.0891333333,13.6984666666,14.4350666667,11.7617333333,19.88,42.4127333333,14.4981333333,22.7193333333,6.947
352.55,10.1696666667,28.4783333334,23.1958,13.7579333333,14.3614,11.7460666667,19.9770666667,42.1906,14.534,22.8215333333,6.8928
352.92,10.3460666667,28.5322,23.2442666667,13.7898666667,14.4052,11.7945333333,19.9214,42.053,14.5034,22.9766666667,6.81186666667
353.28,10.5345333333,28.707,23.3460666667,13.946,14.6018,11.9250666667,19.9865333333,41.9302,14.6108,23.1437333333,6.8318
353.65,10.5686,28.7871333333,23.5219333333,13.9598666667,14.7054666667,11.9877333333,20.0204666667,41.6919333333,14.6467333333,23.1638,6.83693333333
354.01,10.465,28.7070666667,23.4307333333,13.8928,14.6599333333,11.8724666667,19.9119333333,41.3499333333,14.5966,22.962,6.69266666667
354.38,10.3951333333,28.6463333333,23.4066666667,13.732,14.5211333333,11.6413333333,19.8462666667,41.2518,14.4642666667,22.9354,6.38613333333
354.74,10.5462666667,28.8252666667,23.6635333333,13.8559333333,14.6057333333,11.7768,19.9331333333,41.1873333333,14.536,23.1577333333,6.61646666667
355.11,10.3358,28.7968,23.5885333333,13.741,14.555,11.6615333334,19.8304,41.1203333333,14.525,23.1411333333,6.4204
355.47,10.7690666667,29.0037333333,23.8714666667,14.0156,14.7302666667,12.0712,20.1335333333,41.0576666667,14.8090666667,23.4094666667,6.80553333333
355.83,10.8858,29.0434666667,24.0624666667,14.1029333333,14.8490666667,12.1063333333,20.2260666667,40.9720666667,14.8608666667,23.5516666666,6.84706666667
356.20,11.0094666667,29.0556666667,24.1858,14.2100666667,14.9732,12.1886,20.1838,40.6877333333,14.8519333333,23.6230666667,6.8248
356.56,11.0036,29.1219333333,24.2566,14.2057333333,15.0618,12.235,20.1268,40.6288666667,14.8583333334,23.634,6.8236
356.93,11.1099333333,29.2898,24.4740666667,14.4752666667,15.1202,12.3665333333,20.1665333333,40.481,15.0598,23.733,6.943
357.29,11.2722,29.4237333333,24.7227333333,14.7080666667,15.2332666667,12.3991333333,20.326,40.5274,15.2076,23.8497333333,7.02086666667
357.66,11.1368,29.2605333333,24.6314666667,14.5412666667,15.1072,12.2338,20.1444666667,40.1854,15.0636666667,23.7368,6.8954
358.02,11.328,29.4444,24.9241333333,14.7829333333,15.2856,12.3914666667,20.2602,40.0682,15.1970666667,23.9797333333,7.0846
358.38,11.6351333333,29.7448,25.0844666667,15.0338666667,15.5142666667,12.6668666667,20.3826,40.0081333333,15.4923333333,24.1906,7.3952
358.75,11.686,29.8700666667,25.2004666667,15.0964666667,15.5180666667,12.6868,20.4430666667,39.927,15.6902,24.2334,7.34693333333
359.11,11.7785333333,29.9616666667,25.2763333334,15.0877333333,15.4573333333,12.726,20.3982,39.7444666667,15.5745333333,24.2872666667,7.32133333333
359.48,11.5179333333,29.7815333333,25.1342,14.8763333333,15.2642,12.3521333333,20.0674666666,39.4885333334,15.2704666666,24.1188,6.99566666667
359.84,11.7403333333,29.9906666667,25.3795333334,15.0975333333,15.4085333334,12.5368,20.1940666667,39.4606666667,15.4242,24.3072,7.19353333333
360.20,11.7099333334,30.0287333333,25.4068,15.1507333333,15.36,12.5111333333,20.1617333333,39.3232,15.4731333333,24.3996,7.16586666667
360.57,11.7580666667,30.0049333333,25.4475333333,15.2101333333,15.3622666667,12.446,20.1353333333,39.0626,15.4760666667,24.4140666667,7.19266666667
360.93,11.7099333333,29.952,25.4348,15.1247333333,15.3648,12.3858,20.1305333333,38.8327333333,15.3954666667,24.3759333333,7.1562
361.29,11.725,29.9859333333,25.3764,15.0828666667,15.3813333333,12.4524,20.0536,38.6185333333,15.3935333333,24.3854,7.21066666667
