wavelength,Back_SpoSchm,Belly_SpoSchm,Breast_SpoSchm,Crissum_SpoSchm,Crown_SpoSchm,DorTail_SpoSchm,Patch10_SpoSchm,Patch11_SpoSchm,Rump_SpoSchm,Throat_SpoSchm,WingTip_SpoSchm
329.51,8.04453333334,22.7196666666,13.5198,22.8278666667,6.56326666667,7.883,12.3568,15.0136666667,8.1654,9.70293333334,7.36733333333
329.88,7.96793333333,22.7182,13.3854666667,22.8398666667,6.56873333333,7.77066666667,12.1772,14.9488666667,8.09286666667,9.67073333335,7.2986
330.24,7.93966666667,22.8575333333,13.3446,22.9196666667,6.49793333333,7.65966666667,12.1194,14.8528,8.09846666667,9.60366666666,7.26493333333
330.61,7.79086666667,23.0408,13.2312,22.9642666667,6.41946666667,7.483,12.0433333333,14.8434,8.05233333333,9.52566666667,7.22966666667
330.98,7.8952,23.2286,13.3126666667,23.2094666666,6.4366,7.5222,12.0651333333,15.0206666667,8.09206666667,9.58420000001,7.2698
331.34,8.0298,23.5748,13.4820666667,23.5194666667,6.52566666667,7.64806666666,12.2821333333,15.1952,8.1612,9.77120000001,7.39813333333
331.71,7.89713333333,23.5553333333,13.3803333333,23.4709333333,6.38213333333,7.47013333334,12.1107333333,15.0264,8.019,9.60913333333,7.2656
332.08,7.7492,23.5100666667,13.2345333333,23.3728,6.27146666667,7.28293333333,12.0686,14.8406,7.9254,9.56366666666,7.1424
332.44,7.78453333333,23.5946,13.2662666667,23.5352,6.35893333333,7.29733333333,12.1390666667,14.9614666667,7.92486666667,9.66866666666,7.18906666667
332.81,7.5686,23.5725333333,13.0578666667,23.404,6.10973333333,7.1212,11.9603333333,14.8224,7.69486666667,9.4522,6.9136
333.18,7.46966666667,23.8092666667,12.9982,23.5992,6.00966666667,7.10913333333,11.9345333333,14.7455333333,7.67966666667,9.37219999999,6.80073333333
333.54,7.45293333334,23.9142666667,12.9883333333,23.6658,5.98693333333,7.27913333333,12.0044666667,14.7540666667,7.65186666667,9.41453333334,6.76613333333
333.91,7.6646,24.2715333334,13.2093333333,23.9340666667,6.08546666667,7.47413333333,12.269,15.0018,7.8146,9.68933333332,6.9334
334.28,7.61233333333,24.3512,13.2094666666,23.9719333333,6.03286666667,7.42153333334,12.3092666667,15.0196,7.672,9.65460000001,6.80913333333
334.64,7.66726666667,24.3881333333,13.2530666667,24.1331333333,6.01846666667,7.38953333333,12.3118,14.9720666667,7.608,9.62013333333,6.7512
335.01,7.7414,24.6775333333,13.3724,24.4017333333,6.1244,7.52646666666,12.5290666667,15.0896,7.73446666667,9.79166666667,6.96786666667
335.38,7.8634,24.7975333334,13.5049333333,24.6122666667,6.28786666667,7.59293333334,12.6978666667,15.2641333333,7.8674,9.96153333334,7.10706666667
335.74,7.8694,24.9372666667,13.4934,24.7539333333,6.30833333333,7.63853333333,12.7835333333,15.4102666667,7.8736,10.0345333333,7.0306
336.11,7.897,25.1874,13.6076,24.9751333333,6.33173333333,7.69926666667,12.8734666667,15.5868,7.92106666667,10.0752666667,6.97866666667
336.47,7.78453333333,25.4206,13.6074666667,25.1316,6.2054,7.63606666667,12.9014666667,15.5862666667,7.89813333333,9.99733333334,6.87786666667
336.84,7.8632,25.5760666667,13.7193333333,25.2826,6.2646,7.68186666667,13.016,15.6442,8.02306666667,10.1223333333,6.9866
337.21,7.8586,25.6594,13.7433333333,25.3988666667,6.34706666667,7.72113333333,13.1366666667,15.632,8.04193333333,10.2148,7.05833333333
337.57,7.69146666667,25.6444,13.5764,25.4354666667,6.19606666667,7.50313333333,13.0667333333,15.4993333333,7.89813333333,9.98559999999,6.88506666666
337.94,7.73046666667,25.7628666667,13.7169333333,25.6561333333,6.29073333333,7.56013333333,13.1564,15.5937333333,7.98926666667,10.0128666667,6.86813333333
338.31,7.73626666667,25.7672,13.6313333333,25.7054666666,6.23826666667,7.53766666667,13.1708,15.5912666667,8.01366666667,9.99933333333,6.86153333333
338.67,7.66793333333,25.8056,13.5092666667,25.6654666667,6.1256,7.46613333333,13.0788,15.5349333333,7.9314,9.94793333335,6.7938
339.04,7.6922,25.8954,13.5594,25.728,6.17493333333,7.4598,13.0919333334,15.4956,7.912,9.93099999999,6.70106666667
