wavelength,Back_AniSomf,Belly_AniSomf,Breast_AniSomf,Crissum_AniSomf,Crown_AniSomf,DorTail_AniSomf,Patch10_AniSomf,Patch11_AniSomf,Patch12_AniSomf,Rump_AniSomf,Throat_AniSomf,WingTip_AniSomf
607.25,0.108666666667,55.907,49.188,50.2695555556,25.1168611111,4.02555555556,13.848,5.38062962963,5.94244444444,2.93933333333,50.7441111111,3.2385
607.58,0.112888888887,55.9177222222,49.1398333333,50.2261666667,25.1005277778,4.05433333333,13.7716666667,5.4049218107,5.93727777778,2.92511111111,50.6868888889,3.2275
607.92,0.0792222222233,55.931,49.1576666667,50.2698888889,25.09325,4.023,13.6761111111,5.40123045268,5.92677777778,2.87711111111,50.7014444444,3.17483333333
608.25,0.0498888888867,55.8922777778,49.0791666666,50.2258333333,25.0596666667,3.94388888889,13.5811111111,5.3716090535,5.85855555556,2.83166666667,50.6613333334,3.13116666667
608.59,0.0117777777767,55.8027222222,49.0436666666,50.2088333333,25.0344444444,3.90244444445,13.4715555556,5.36869958848,5.81811111111,2.80022222222,50.6235555555,3.09644444444
608.92,-0.0803333333367,55.7531666667,49.0095,50.1675,25.0027222222,3.80422222222,13.3082222222,5.35511522633,5.74833333333,2.73066666667,50.563,3.02955555556
609.26,-0.164000000003,55.654,48.9783333334,50.1080555556,24.9205,3.696,13.1782222222,5.31083539095,5.67466666667,2.65288888889,50.5053333333,2.93722222222
609.59,-0.28311111111,55.5112777778,48.8638333334,50.0097777778,24.8385277778,3.56811111111,12.9551111111,5.20661728396,5.54505555556,2.542,50.346,2.82133333333
609.93,-0.366555555557,55.3557777778,48.8211666667,49.8518888889,24.7852777778,3.48177777778,12.8021111111,5.16518106996,5.45922222222,2.47855555556,50.189,2.75972222222
610.26,-0.515444444447,55.2098333333,48.6776666666,49.7424444444,24.6765,3.347,12.626,5.07165020577,5.322,2.33755555556,50.0778888889,2.61305555556
610.60,-0.698111111112,55.1429444444,48.5471666666,49.6645,24.5284444444,3.16022222222,12.3957777778,4.93367489712,5.1265,2.14311111111,49.9984444444,2.45216666667
610.93,-0.891777777777,54.9455555556,48.3238333333,49.4595555555,24.3242222222,2.94,12.155,4.78015226338,4.90594444444,1.96922222222,49.8217777778,2.27644444445
611.27,-1.11133333333,54.7490555556,48.0405,49.2983333333,24.1868333333,2.70922222222,11.8875555556,4.60557201646,4.70077777778,1.74233333333,49.6973333333,2.05005555555
611.60,-1.31355555555,54.6246111111,47.7975,49.1431666667,23.9883611111,2.49677777778,11.6631111111,4.4346255144,4.49311111111,1.58566666667,49.5226666667,1.85527777778
611.93,-1.45555555555,54.4757777778,47.691,49.0431666667,23.8957222222,2.36977777778,11.4971111111,4.31832098766,4.37166666667,1.45644444444,49.4141111111,1.67533333333
612.27,-1.60866666667,54.3593333333,47.5321666666,48.9842222222,23.7651388889,2.20811111111,11.3194444445,4.18142798354,4.19244444444,1.32355555555,49.2706666667,1.53822222222
612.60,-1.69811111111,54.2032777778,47.4716666667,48.9181111111,23.6749166667,2.09411111111,11.2354444444,4.06685185186,4.07111111111,1.25733333334,49.2237777778,1.44488888889
612.94,-1.77833333333,54.1980555556,47.3238333333,48.8998888889,23.5784722222,1.98433333333,11.0177777778,3.91711111111,3.91944444444,1.14644444444,49.1262222222,1.352
613.27,-1.90977777778,54.2063333333,47.2413333333,48.8775,23.4833888889,1.85366666667,10.9001111111,3.79397942387,3.80255555556,1.02777777778,49.0956666667,1.19905555556
613.61,-2.005,54.3329444444,47.195,48.9897222222,23.3784166667,1.75877777778,10.7265555556,3.68194650206,3.7115,0.913222222223,49.1474444445,1.05977777778
613.94,-1.96577777778,54.4237777778,47.2228333333,49.0664444444,23.43275,1.79222222222,10.727,3.65861728395,3.72122222222,0.90011111111,49.2161111111,1.08216666667
614.28,-1.983,54.4347777778,47.1766666667,49.1419444444,23.4683611111,1.83788888889,10.6811111111,3.64851028807,3.78244444445,0.899666666667,49.2668888889,1.08516666667
614.61,-1.919,54.5066666667,47.1728333333,49.2368333333,23.5605,1.91622222222,10.735,3.68785596708,3.84361111111,0.929333333333,49.3034444445,1.13083333333
614.94,-1.91388888889,54.5510555556,47.2791666666,49.2844444444,23.5536666667,1.92266666667,10.6865555555,3.6620617284,3.87483333333,0.954333333333,49.2963333333,1.15111111111
615.28,-1.93844444444,54.4681111111,47.29,49.3066111111,23.6095833333,1.925,10.5936666667,3.60488888889,3.87261111111,0.92277777778,49.2776666667,1.1315
615.61,-1.887,54.6146111111,47.3103333334,49.3929444444,23.64725,1.96911111111,10.5703333333,3.61610288066,3.90538888889,0.975555555557,49.3521111111,1.19061111111
615.95,-1.82311111111,54.6551666667,47.2946666667,49.3861111111,23.6873333333,2.05433333333,10.5496666667,3.63234979424,3.94677777778,1.01888888889,49.3402222222,1.25011111111
616.28,-1.78488888889,54.7354444444,47.342,49.4233888889,23.6792777778,2.13,10.4934444444,3.63587242799,4.00472222222,1.04222222222,49.3481111111,1.30072222222
616.61,-1.757,54.7352222222,47.4528333334,49.4549444445,23.7755833333,2.22,10.5476666667,3.69843209877,4.07561111111,1.10866666667,49.3853333333,1.37933333333
616.95,-1.61888888889,54.8868888889,47.622,49.5226666667,23.9071111111,2.37533333334,10.569,3.79616460906,4.1595,1.24511111111,49.4672222222,1.56838888889
617.28,-1.57233333333,54.7891111111,47.5828333333,49.3875,23.8745277778,2.37722222222,10.5636666667,3.82026748971,4.174,1.27622222222,49.3633333333,1.62477777778
617.62,-1.60511111111,54.7789444444,47.6038333333,49.3217222222,23.8339722222,2.36622222222,10.5083333333,3.7932962963,4.16661111111,1.28177777778,49.373,1.59066666667
617.95,-1.59766666667,54.728,47.4836666666,49.2494444445,23.7887222222,2.34722222222,10.4403333333,3.7824691358,4.11194444444,1.30166666667,49.3082222222,1.56961111111
618.28,-1.62955555556,54.5819444444,47.4488333333,49.1806666667,23.6745,2.27288888889,10.2843333333,3.72757201645,4.07772222222,1.29511111111,49.2422222222,1.51311111111
618.62,-1.63033333333,54.5831666667,47.5065,49.1969444444,23.6628611111,2.27344444444,10.2578888889,3.74309876544,4.05994444444,1.31111111111,49.25,1.53111111111
