wavelength,Back_CamPsim,Belly_CamPsim,Breast_CamPsim,Crissum_CamPsim,Crown_CamPsim,DorTail_CamPsim,Rump_CamPsim,Throat_CamPsim,WingTip_CamPsim
763.20,16.5792333333,44.3847333333,9.50593333333,46.5517083333,9.48679999999,18.2199333333,19.654,12.3049333333,19.0840333333
763.51,16.4843666667,44.2477333333,9.46183333333,46.61625,9.42013333334,18.0444,19.5792666667,12.2456666667,18.9910666667
763.82,16.6817333333,44.4643333333,9.65096666667,47.0227916667,9.57473333332,18.1743333333,19.8156,12.3019333333,19.0400666667
764.14,16.9611777778,44.7169333333,9.89443333334,47.41925,9.6204,18.3723333333,20.0754666667,12.3914666666,19.3613333333
764.45,17.0500777778,44.7520666667,9.82426666667,47.5626666667,9.69353333333,18.5581333333,20.1527333333,12.5064,19.4184333333
764.76,16.6416111111,44.3742666667,9.52056666667,47.34,9.4296,18.3014,19.8024,12.2609333334,19.0931333333
765.07,16.3221666667,44.0846666667,9.13433333333,46.9435416667,9.14039999999,18.0108666667,19.2904,11.9363333333,18.6477333333
765.39,15.8113777778,43.7502333333,8.49679999999,46.8005416667,8.724,17.4949333333,18.9148666667,11.4295333333,18.2380333333
765.70,16.2507666667,44.0026333333,8.75333333333,47.2387083333,9.07000000001,17.8818666667,19.2834666667,11.7924,18.9061
766.01,16.2422555555,44.3146666667,8.74600000001,47.048,9.0818,18.0658666667,19.3806666667,11.6468666667,19.0318
766.32,15.9346,44.2338666667,8.43766666666,46.80825,8.97013333333,17.6488,19.038,11.6076,18.8384
766.64,15.9794555556,44.4445666667,8.36709999999,46.8290416667,8.92606666666,17.5228,18.9513333333,11.5650666667,18.7095
766.95,15.9551888889,44.7670333333,8.45193333334,47.1889166667,9.12899999999,17.6576666667,19.1067333333,11.6947333333,19.0565
767.26,15.7915888889,44.3329666667,8.29113333333,47.1317083333,9.02693333332,17.4883333333,18.9598666667,11.5501333333,19.1507333333
767.57,15.3154666667,44.0034333333,7.87090000001,47.0676666667,8.82486666667,16.9292666667,18.7147333333,11.1844666667,18.7362666667
