wavelength,Back_TanChrm,Belly_TanChrm,Breast_TanChrm,Crissum_TanChrm,Crown_TanChrm,DorTail_TanChrm,Patch10_TanChrm,Patch11_TanChrm,Patch12_TanChrm,Patch13_TanChrm,Rump_TanChrm,Throat_TanChrm,WingTip_TanChrm
759.44,6.46306666667,44.0846333333,18.2108666667,41.5306884058,7.05505714287,7.91306666667,11.7001333333,39.6557333333,40.5314333333,4.80713333333,19.2587333333,35.4139333333,14.0368666667
759.75,6.99306666667,44.8462,18.7318666667,42.0699811594,7.46180952381,8.299,12.2259333333,40.1884,41.0194,5.2228,19.8468,35.9673333333,14.3678666667
760.07,7.2596,45.0119333333,18.8418666667,42.0372434783,7.48862857142,8.44033333333,12.2226,40.2752,41.0469333333,5.406,20.065,36.1852,14.4339333333
760.38,7.3982,45.0766666667,18.7880666667,42.1569623188,7.50953333333,8.39386666667,12.2832,40.4080666667,41.1073333333,5.4448,20.1616666667,36.4065333333,14.4781333333
760.69,6.97053333333,44.5552,18.2352666666,41.536584058,7.06211428571,7.87033333333,11.7524,39.875,40.5158666667,4.90446666667,19.5857333333,35.924,13.8702
761.01,7.37233333333,44.7962,18.4454,41.7780478261,7.33298095237,8.16413333333,12.0886666667,39.9976,40.7404,5.20506666667,19.9285333333,36.0896,14.1821333333
761.32,7.4816,44.6785333333,18.253,41.6696623188,7.45087619047,8.15206666667,12.1441333333,39.9083333333,40.4591333333,5.29386666667,19.8967333333,36.0032666667,14.2149333334
761.63,7.33913333333,44.6915,18.2526,41.6782637681,7.36411428571,7.99366666667,12.0658,39.8052666667,40.3693,5.01446666667,19.7081333333,35.8062666667,14.0767333333
761.94,7.13233333333,44.4419666667,18.0718666667,41.4014101449,7.19452380953,7.79353333333,11.8559333333,39.6661333333,40.2966333333,4.7386,19.5366,35.6144666667,13.8498666667
762.26,6.8512,44.2813333333,17.6732,41.2190550725,6.93223809523,7.4128,11.558,39.6124,40.0912,4.39726666667,19.3295333333,35.2461333333,13.4913333333
762.57,6.79066666667,44.6412666667,17.6942666666,41.7720536232,6.9571904762,7.38726666667,11.6782666667,39.9161333333,40.1491666667,4.28893333333,19.4196,35.4728,13.7115333333
762.88,6.53986666667,44.4526333333,17.4866,41.556957971,6.70697142857,7.10146666667,11.4673333333,39.8381333333,39.9805,4.05373333333,19.1752666667,35.2305333333,13.538
763.20,6.50193333333,44.5709666667,17.4096,41.6268594203,6.65420952381,7.0042,11.3737333333,39.9502666667,40.0038666667,3.94793333333,19.141,35.2582666667,13.5270666667
763.51,6.77106666667,45.0250333333,17.695,42.0119637681,6.94873333333,7.1774,11.6908666667,40.226,40.3455666667,4.1678,19.5006,35.5909333333,13.7623333333
763.82,7.14906666667,45.2078333333,18.1114,42.3251,7.264,7.70526666667,12.0874,40.277,40.5898666667,4.48786666667,19.7699333333,35.7968,14.1194
764.14,7.41506666667,45.5071666667,18.414,42.7135710145,7.45338095237,8.02466666667,12.3627333333,40.6058666667,40.7653666667,4.86613333333,20.0151333333,36.0815333333,14.4747333333
764.45,7.22866666667,45.6966333333,18.425,42.9298130435,7.35335238095,7.8554,12.2932,40.7416,40.9280666667,4.74053333333,19.9668666667,36.1591333333,14.4653333333
764.76,7.47606666667,45.9507666667,18.6953333333,43.2773753623,7.5874952381,8.05806666667,12.5300666667,41.0408666667,41.4507333333,4.8988,20.2898666667,36.42,14.7044
