wavelength,Back_DolFrif,Belly_DolFrif,Breast_DolFrif,Crissum_DolFrif,Crown_DolFrif,DorTail_DolFrif,Patch10_DolFrif,Rump_DolFrif,Throat_DolFrif,WingTip_DolFrif
398.56,5.87188888889,24.3801666666,8.71544444445,16.977,5.52955555556,6.25755555555,5.608,4.95366666667,9.2653888889,6.58444444444
398.92,5.86666666667,24.3441666666,8.69355555556,16.9657777778,5.54455555556,6.25744444444,5.61122222222,4.9397037037,9.24788888889,6.56644444444
399.28,5.76311111111,24.2558333333,8.64044444444,16.9086666667,5.46411111111,6.14933333333,5.53133333333,4.82888888889,9.10483333333,6.46144444445
399.64,5.82377777778,24.4256666667,8.69522222222,16.9765555556,5.49455555556,6.19722222222,5.55555555555,4.85511111111,9.09994444443,6.53330555556
400.00,5.77644444444,24.4081666667,8.69866666667,17.0128888889,5.46155555556,6.18188888889,5.51755555556,4.79288888889,9.03327777778,6.50405555555
400.36,5.78533333333,24.4945,8.75355555556,17.0988888889,5.45377777778,6.21344444444,5.51533333333,4.79944444444,9.00577777779,6.541
400.72,5.75133333333,24.6031666666,8.77755555555,17.1915555556,5.45033333333,6.22211111111,5.48511111111,4.79996296296,9.01566666666,6.59319444445
401.08,5.80277777778,24.6708333334,8.81611111111,17.2731111111,5.50511111111,6.25088888889,5.52,4.84029629629,9.06111111111,6.62244444445
401.44,5.75511111111,24.7323333333,8.81455555555,17.2858888889,5.43355555556,6.16677777778,5.46222222222,4.8152962963,9.00172222223,6.56244444444
401.80,5.69433333333,24.6571666666,8.78033333333,17.3133333333,5.352,6.06666666667,5.32544444444,4.7257037037,8.88644444443,6.46816666667
402.16,5.67688888889,24.6543333333,8.80822222222,17.3625555556,5.34644444444,6.08077777778,5.31877777778,4.7407037037,8.88327777778,6.53530555556
402.52,5.74555555556,24.7521666666,8.8988888889,17.5021111111,5.42366666667,6.172,5.39433333333,4.82937037037,8.9248888889,6.60644444444
402.88,5.878,24.9133333333,9.03188888889,17.6638888889,5.534,6.30788888889,5.52266666667,4.9972962963,9.03627777777,6.71283333333
403.24,5.90777777778,25.0181666666,9.09,17.7711111111,5.56622222222,6.39811111111,5.55877777778,5.05314814815,9.09022222223,6.78552777778
403.60,5.94777777778,25.099,9.15144444443,17.8721111111,5.62522222222,6.49066666667,5.618,5.14262962963,9.22727777777,6.80227777778
403.95,5.98322222222,25.3205,9.20433333334,17.9564444444,5.63511111111,6.50988888889,5.65688888889,5.19714814815,9.28677777777,6.81858333333
404.31,6.01577777778,25.3035,9.22188888888,18.0136666667,5.69811111111,6.53833333333,5.71266666666,5.25748148148,9.36405555557,6.81077777778
404.67,6.01833333333,25.2975,9.215,17.9852222222,5.68477777778,6.51711111111,5.69288888889,5.24833333333,9.36772222221,6.77894444444
405.03,6.018,25.3146666666,9.24511111112,18.0098888889,5.721,6.51822222222,5.69444444445,5.26662962963,9.40172222222,6.8045
405.39,6.04022222222,25.3753333333,9.26044444442,18.0306666667,5.75488888889,6.56344444444,5.736,5.29333333333,9.43283333332,6.82583333333
405.75,6.07977777778,25.445,9.33733333332,18.08,5.815,6.62055555556,5.80511111111,5.38118518518,9.53322222223,6.89369444445
406.11,6.14444444444,25.5221666667,9.39233333336,18.1394444445,5.88333333333,6.63355555556,5.85988888889,5.41151851852,9.59594444444,6.9095
406.47,6.04711111111,25.5006666666,9.27966666667,18.0416666667,5.80666666667,6.52133333333,5.76255555555,5.32581481481,9.52861111111,6.77694444444
406.83,5.98577777778,25.48,9.254,18.028,5.76166666667,6.45033333333,5.70555555556,5.26548148148,9.52133333334,6.72494444444
407.19,5.98055555556,25.5886666666,9.24888888888,18.0304444444,5.73555555556,6.39366666666,5.69544444444,5.25711111111,9.53266666667,6.69583333333
407.55,5.89222222222,25.5515,9.16333333332,17.9871111111,5.64833333333,6.30566666667,5.57988888889,5.18081481481,9.42122222221,6.60822222222
407.90,5.86211111111,25.5456666666,9.16122222223,18.0243333333,5.63422222222,6.26422222222,5.53288888889,5.14962962963,9.38083333334,6.59680555556
408.26,5.82477777778,25.5906666667,9.13677777779,18.0324444444,5.56711111111,6.18955555556,5.47211111111,5.05992592593,9.33077777777,6.56297222222
408.62,5.81755555555,25.5871666666,9.14733333332,18.066,5.52844444444,6.14377777778,5.46455555556,5.04903703704,9.329,6.5415
408.98,5.78977777778,25.6606666667,9.11811111112,18.0723333333,5.46277777778,6.09588888889,5.43411111111,4.99251851852,9.3155,6.47227777778
409.34,5.78066666667,25.6155,9.13622222221,18.0747777778,5.45455555556,6.08133333333,5.40755555555,4.99688888889,9.29094444444,6.47258333333
409.70,5.79922222222,25.6948333333,9.12422222223,18.1468888889,5.49833333333,6.09244444445,5.441,5.01355555556,9.27022222223,6.49411111111
410.06,5.75155555556,25.7976666667,9.10033333332,18.1756666667,5.48533333333,6.12155555556,5.41255555556,5.00777777778,9.26633333332,6.49916666667
410.42,5.84744444445,25.9393333333,9.23055555557,18.3156666667,5.60588888889,6.26955555556,5.516,5.12059259259,9.39188888888,6.63533333333
410.77,5.961,26.1371666666,9.36655555556,18.4553333333,5.731,6.4,5.64211111111,5.24118518519,9.5173888889,6.75133333333
411.13,5.98277777778,26.0753333333,9.38688888889,18.5267777778,5.75944444444,6.41433333334,5.65022222222,5.25933333334,9.52761111112,6.75983333333
411.49,5.98455555556,26.0845,9.42922222221,18.5535555556,5.78311111111,6.40111111111,5.70866666667,5.26751851852,9.55966666666,6.79088888889
411.85,5.97055555556,26.0485,9.41644444443,18.5398888889,5.75477777778,6.36722222222,5.70255555555,5.2537037037,9.57205555556,6.74561111111
412.21,5.96411111111,26.0845,9.40966666667,18.5872222222,5.74388888889,6.37822222222,5.67877777778,5.27425925926,9.56877777778,6.73361111111
412.57,6.01688888889,26.133,9.46466666666,18.6735555555,5.81622222222,6.43788888889,5.74255555556,5.32840740741,9.60172222221,6.79677777778
412.92,6.02144444444,26.1661666666,9.5162222222,18.7573333333,5.83566666667,6.419,5.73477777778,5.36503703703,9.6038888889,6.82422222222
413.28,6.09155555556,26.2645,9.58533333333,18.8745555556,5.914,6.47188888889,5.81466666667,5.43025925926,9.72155555556,6.90972222222
413.64,6.09344444444,26.3471666667,9.63844444446,18.9007777778,5.913,6.48366666667,5.827,5.4162962963,9.75200000001,6.89872222222
414.00,6.18966666667,26.3943333333,9.74688888888,19.0584444444,5.968,6.54677777778,5.91044444444,5.48696296296,9.83938888888,6.94938888889
414.36,6.19144444444,26.467,9.75144444444,19.1153333333,5.93344444444,6.50277777778,5.915,5.47892592592,9.82072222222,6.91383333333
414.72,6.13544444444,26.4131666666,9.6781111111,19.1444444445,5.85333333333,6.422,5.85011111111,5.39940740741,9.75016666666,6.84666666667
415.07,6.14244444445,26.495,9.6651111111,19.1303333333,5.87744444444,6.429,5.86344444445,5.38596296296,9.75433333333,6.87111111111
415.43,6.17688888889,26.589,9.65344444444,19.1931111111,5.873,6.43066666667,5.84811111111,5.37855555556,9.73177777778,6.86086111111
415.79,6.22544444444,26.6653333333,9.67366666664,19.2796666667,5.91777777778,6.45277777778,5.91544444444,5.4167037037,9.76322222221,6.89447222222
416.15,6.25255555556,26.7246666667,9.74366666667,19.3082222222,5.96022222222,6.476,5.94355555556,5.45196296296,9.82905555554,6.94208333334
416.51,6.21033333333,26.7821666666,9.74100000002,19.3085555555,5.92066666667,6.44877777778,5.89077777778,5.42085185185,9.82705555556,6.88991666667
416.86,6.23277777778,26.817,9.73944444444,19.3211111111,5.92955555556,6.48455555556,5.91111111111,5.43155555556,9.84511111111,6.92002777778
417.22,6.19522222222,26.839,9.70566666664,19.3201111111,5.88088888889,6.43277777778,5.84766666667,5.39033333334,9.78866666666,6.87611111111
417.58,6.15077777778,26.7806666666,9.66066666667,19.3021111111,5.83466666666,6.37611111111,5.79466666667,5.371,9.77794444443,6.87641666667
417.94,6.11488888889,26.8466666667,9.63844444446,19.2627777778,5.787,6.33022222222,5.75455555556,5.344,9.72722222222,6.83630555556
418.29,6.128,26.8606666666,9.64266666668,19.2755555555,5.78722222222,6.33944444444,5.749,5.31911111111,9.74466666666,6.84094444444
418.65,6.08955555555,26.8815,9.64622222224,19.2483333333,5.79033333333,6.31422222222,5.73677777778,5.30414814815,9.74083333334,6.83402777778
419.01,6.06488888889,26.9118333333,9.65766666667,19.2933333333,5.76566666667,6.29833333333,5.71244444444,5.286,9.77033333332,6.80752777778
419.37,6.07288888889,26.9575,9.68811111111,19.3172222222,5.79266666667,6.32055555555,5.74155555555,5.30644444445,9.8165,6.83594444444
