wavelength,Back_TanCyvf,Belly_TanCyvf,Breast_TanCyvf,Crissum_TanCyvf,Crown_TanCyvf,DorTail_TanCyvf,Patch10_TanCyvf,Patch11_TanCyvf,Rump_TanCyvf,Throat_TanCyvf,WingTip_TanCyvf
224.24,43.0745555555,42.6178888889,48.7062222222,51.598,21.6133333333,52.3592222222,9.74133333332,5.02277777778,86.3014444444,37.1385555556,5.02299999997
224.62,54.5454444445,52.6935555556,70.0336666667,70.8753333332,39.2257777778,69.0235555556,29.9663333333,15.6564444445,108.922555556,59.2591111111,14.4782222222
225.00,30.3796666667,39.5217777778,49.5076666667,49.9296666666,21.2377777778,53.024,22.363,1.5471111111,84.2474444443,39.8031111111,11.9551111111
225.38,22.4045555556,31.3296666667,40.8013333333,52.0947777778,12.386,52.2768888889,14.3897777778,-10.5647777778,89.7996666667,38.9798888889,-1.4571111111
225.75,13.2937777778,31.5476666667,47.0236666667,57.9365555555,12.5,53.3728888889,21.4284444444,-17.2617777778,94.4444444444,33.5316666667,1.19044444447
226.13,25.209,40.1434444444,37.6343333333,51.0156666667,23.5363333333,44.5638888889,29.6295555556,11.4694444444,69.4144444445,38.3511111111,23.6557777778
226.51,40.9638888889,64.5247777778,64.123,76.3052222222,39.6253333333,68.9424444446,47.5233333333,29.8528888889,90.0936666666,53.949,47.5235555556
226.88,28.3067777778,58.0688888889,58.3332222222,67.7251111111,29.1006666667,60.0527777778,36.5077777778,15.7407777778,80.1586666667,43.6506666667,35.3173333333
227.26,24.1974444444,55.3085555555,62.2222222222,70.1234444444,27.4073333333,56.9134444445,33.9506666667,11.6048888889,77.1605555556,35.1852222222,31.3581111111
227.64,29.1666666667,54.9243333333,67.0456666667,72.2223333333,28.2828888889,60.6061111111,34.8484444444,15.7827777778,81.0606666668,33.8385555556,32.5757777778
228.01,30.5068888889,46.2961111111,61.111,64.5224444444,28.9473333333,54.8732222222,33.0408888889,16.2767777778,63.4504444444,30.4093333334,34.308
228.39,33.3332222222,43.69,59.2593333333,56.3101111111,29.4238888889,49.8628888889,32.3046666667,21.6736666667,54.7325555556,31.2756666667,39.3004444444
228.76,30.6291111111,39.036,50.9113333334,50.3821111111,26.5725555556,42.5045555556,28.983,20.3408888889,44.7973333333,25.2793333333,35.9787777778
