wavelength,Back_ChrChrm,Belly_ChrChrm,Breast_ChrChrm,Crissum_ChrChrm,Crown_ChrChrm,DorTail_ChrChrm,Patch10_ChrChrm,Rump_ChrChrm,Throat_ChrChrm,WingTip_ChrChrm
588.41,2.75955555556,61.3025555555,63.4614444445,53.8595555556,56.4812222222,5.19944444445,4.41333333333,62.6285555556,56.8356666666,5.17555555556
588.74,2.80711111111,61.3046666667,63.4273333333,53.8146666667,56.5192222222,5.22922222222,4.44344444445,62.5774444445,56.7483333334,5.18666666666
589.08,2.83277777778,61.2522222222,63.347,53.7355555555,56.4668888889,5.28833333333,4.50844444444,62.4884444445,56.688,5.24933333333
589.42,2.871,61.3047777778,63.3872222222,53.7768888889,56.5348888889,5.30055555556,4.543,62.4843333333,56.6733333334,5.31177777778
589.76,2.87,61.3607777778,63.431,53.7711111111,56.6143333333,5.30644444445,4.53211111111,62.5774444445,56.73,5.30644444444
590.09,2.81888888889,61.4173333333,63.4926666667,53.7701111111,56.6122222222,5.28011111111,4.48688888889,62.6084444444,56.825,5.29811111111
590.43,2.86111111111,61.4311111111,63.4835555555,53.796,56.6527777778,5.32855555555,4.50422222222,62.6285555556,56.8215,5.30666666667
590.77,2.87111111111,61.4051111111,63.4356666667,53.6742222222,56.6186666667,5.34188888889,4.52055555556,62.5641111111,56.7575,5.314
591.11,2.83566666666,61.3531111111,63.4278888889,53.6647777778,56.6562222222,5.31333333333,4.47088888889,62.6375555555,56.7125,5.287
591.44,2.82233333333,61.3884444444,63.4908888889,53.7072222222,56.6953333333,5.26688888889,4.42044444445,62.6924444444,56.734,5.27333333333
591.78,2.73455555555,61.2502222222,63.3763333333,53.531,56.5664444445,5.19466666667,4.36144444444,62.5241111111,56.6173333334,5.19044444444
592.12,2.82766666667,61.306,63.4637777778,53.6127777778,56.6541111111,5.30766666667,4.461,62.576,56.6813333333,5.26922222222
592.46,2.83344444445,61.3314444444,63.5202222222,53.6464444444,56.7154444444,5.34077777778,4.482,62.6881111111,56.7803333334,5.30455555556
592.79,2.81355555555,61.3076666666,63.4978888889,53.6182222222,56.7251111111,5.26633333333,4.41733333334,62.6565555556,56.758,5.26677777778
593.13,2.87911111111,61.4014444445,63.6086666667,53.6635555556,56.8457777778,5.34744444445,4.49666666667,62.8011111111,56.8811666667,5.332
593.47,2.93722222222,61.5111111111,63.7171111111,53.8214444445,56.9415555556,5.40477777778,4.555,62.8631111111,56.9463333333,5.39566666667
593.80,3.00688888889,61.5661111111,63.7713333333,53.9003333333,57.0661111111,5.477,4.61066666667,62.9735555555,56.9653333334,5.44911111111
594.14,2.94711111111,61.5655555556,63.8374444444,53.8708888889,57.1087777778,5.40833333333,4.56355555556,62.9355555555,56.9418333333,5.393
594.48,3.04955555556,61.6636666667,63.9536666667,54.0275555556,57.2285555555,5.53066666667,4.652,63.0703333333,57.0831666667,5.506
594.81,3.08388888889,61.8204444444,64.1567777778,54.1567777778,57.398,5.59222222222,4.73255555556,63.2164444445,57.277,5.56533333333
595.15,3.11622222222,61.9091111111,64.217,54.196,57.4533333333,5.69222222222,4.77188888889,63.2831111111,57.3181666667,5.627
595.49,3.22277777778,61.9916666667,64.3452222222,54.2844444444,57.5664444445,5.76866666667,4.83822222222,63.4174444444,57.3995,5.72766666667
595.82,3.259,61.9295555555,64.2592222222,54.1887777778,57.531,5.76533333333,4.84333333333,63.3943333333,57.3165,5.75544444444
596.16,3.29877777778,61.9187777778,64.2584444444,54.1623333333,57.5235555556,5.80922222222,4.86655555555,63.3391111111,57.2665,5.82511111111
596.50,3.31944444444,62.0068888889,64.3444444444,54.1878888889,57.6566666667,5.86533333333,4.87755555556,63.453,57.3103333334,5.85644444445
596.83,3.25511111111,61.9832222222,64.2833333334,54.1733333333,57.6176666667,5.79255555556,4.79377777778,63.4131111111,57.2738333333,5.78622222222
597.17,3.23166666667,61.9781111111,64.2594444445,54.1603333333,57.6548888889,5.77511111111,4.78,63.4374444444,57.2946666667,5.76111111111
597.51,3.26611111111,62.0727777778,64.3247777778,54.1922222222,57.7647777778,5.83611111111,4.847,63.5114444445,57.395,5.79433333333
597.84,3.339,62.1417777778,64.3778888889,54.2666666667,57.8151111111,5.89988888889,4.91277777778,63.6361111111,57.5138333334,5.86133333333
598.18,3.31077777778,62.151,64.3365555556,54.233,57.869,5.89511111111,4.91222222222,63.6604444444,57.5198333333,5.823
598.52,3.356,62.0733333333,64.2014444445,54.1523333333,57.8414444444,5.93233333333,4.92355555556,63.6193333333,57.4218333334,5.86555555555
598.85,3.35922222222,62.0606666667,64.2231111111,54.1615555556,57.8835555556,5.89388888889,4.92455555556,63.6294444444,57.4311666667,5.82722222222
599.19,3.32922222222,62.1095555556,64.2604444444,54.241,57.9953333333,5.89333333333,4.91811111111,63.682,57.5726666667,5.79844444444
599.53,3.302,62.1221111111,64.2658888889,54.2842222222,58.0136666667,5.87677777778,4.89588888889,63.6602222222,57.6315,5.76377777778
599.86,3.26144444445,62.2197777778,64.363,54.3273333333,58.1355555556,5.85122222222,4.88177777778,63.8055555556,57.8,5.716
600.20,3.24055555556,62.2603333334,64.3335555556,54.3355555555,58.106,5.83688888889,4.88711111111,63.8351111111,57.8211666667,5.69966666667
600.53,3.26244444445,62.2942222222,64.413,54.3986666667,58.2027777778,5.88155555556,4.89833333333,63.8741111111,57.9181666666,5.74166666667
600.87,3.25777777778,62.3773333333,64.4595555555,54.3853333333,58.2042222222,5.85355555555,4.86433333334,63.9477777778,57.9508333333,5.71688888889
601.21,3.21911111111,62.35,64.4907777778,54.382,58.1696666667,5.82077777778,4.789,63.9204444445,57.904,5.68988888889
601.54,3.20211111111,62.3483333333,64.4854444444,54.3817777778,58.196,5.84044444445,4.79822222222,63.896,57.9603333333,5.69444444445
