wavelength,Back_PhrPunf,Belly_PhrPunf,Breast_PhrPunf,Crissum_PhrPunf,Crown_PhrPunf,DorTail_PhrPunf,Rump_PhrPunf,Throat_PhrPunf,WingTip_PhrPunf
790.54,16.2115,36.6165,32.2875,33.5365,13.8096666666,16.589,19.3878333334,20.6663333333,19.0295
790.85,16.8041666666,37.2716666667,32.9405,33.52,14.3981666667,16.9121666667,19.77,21.2141666667,19.623
791.16,17.0825,37.6485,33.076,33.2741666667,14.6575,16.7753333333,19.8436666667,21.2588333334,19.6455
791.47,17.2823333333,37.5835,33.3938333333,33.384,14.668,16.687,19.9173333333,21.3911666667,19.352
791.78,16.3376666667,36.6768333334,32.7778333334,32.3868333333,13.9403333334,15.7306666667,18.9196666667,20.463,18.0763333334
792.08,16.6875,36.8988333333,33.064,32.3071666666,14.117,16.0138333333,19.123,20.7503333333,18.3456666666
792.39,16.4478333333,36.771,33.0311666667,32.2085,13.9688333334,15.6251666666,18.9166666666,20.7293333333,18.1771666667
792.70,16.551,37.1375,33.554,32.4823333333,14.0605,15.9623333333,19.1991666667,20.6285,18.1695
793.01,16.3726666666,37.1455,33.3648333333,32.0206666667,14.1045,15.5851666667,18.9353333333,20.5628333333,18.3576666667
793.32,16.0135,37.0416666667,33.1966666667,32.1216666667,14.2223333334,15.5603333334,18.9423333333,20.965,18.3205
793.62,15.8725,36.658,33.418,32.4123333333,13.9771666667,15.3323333333,18.8585,20.807,18.4455
793.93,15.5576666667,36.7988333334,33.1946666667,32.4163333333,13.1798333334,14.5766666666,18.4153333333,20.5693333333,18.4476666667
794.24,15.5358333334,36.9371666667,32.9211666666,33.122,13.3905,14.828,18.231,20.947,18.6008333333
794.55,15.6911666667,36.952,33.029,33.4591666667,13.3731666667,15.2925,18.691,21.072,18.8273333333
794.86,15.6631666666,36.7886666667,32.63,33.4056666667,13.1181666666,14.9596666667,18.7461666667,20.7843333333,18.6528333333
795.16,15.3351666667,36.9746666667,31.9183333333,33.323,12.2763333333,14.097,18.2273333333,20.235,18.4143333334
795.47,15.3591666667,37.2561666667,31.7558333333,33.4991666666,12.4533333333,13.7711666667,18.2233333333,20.0603333334,18.2025
795.78,15.2316666667,37.0743333333,31.56,33.2716666667,12.6281666667,13.9711666666,18.3785,19.5163333333,17.9993333334
796.09,14.6765,36.5888333333,31.047,32.9355,12.2473333333,13.6866666666,17.8301666667,19.1058333333,17.7075
796.40,15.1006666667,37.2178333333,31.8183333334,33.7503333333,12.8736666666,14.1448333333,18.497,19.5036666666,18.314
796.70,15.4965,37.556,32.1123333333,34.0051666666,13.1156666667,14.3261666666,18.6816666667,19.4443333334,18.8341666666
797.01,16.0151666666,37.5725,32.0203333333,33.9145,13.3896666667,14.532,18.8513333333,19.5728333334,18.8413333333
797.32,16.0008333334,37.5605,32.0721666667,34.1203333334,13.2968333334,14.5178333334,18.977,19.7135,18.8155
797.63,16.0438333334,37.5205,32.2203333333,34.2115,13.0925,14.0523333333,19.0053333333,19.6486666667,18.5153333333
797.93,15.7603333333,37.729,32.5625,34.5938333333,13.25,14.0623333334,18.9271666666,20.0521666667,18.4163333333
798.24,16.3723333333,38.1463333334,33.0495,35.1196666667,13.9763333333,14.954,19.6933333333,20.555,19.2413333333
798.55,17.442,38.77,34.3495,36.5493333334,15.3363333333,16.122,20.7416666666,21.7891666667,20.5741666667
798.85,17.662,38.9453333333,34.731,36.7111666667,15.502,16.3596666667,21.0715,21.908,20.9021666667
799.16,17.2293333333,38.6653333333,34.642,36.7835,14.8281666666,15.9635,20.3763333334,21.7498333333,20.6576666667
799.47,18.0128333333,39.1858333333,35.1031666666,37.5895,15.6786666667,16.8511666667,21.3573333333,22.4863333333,21.4873333334
799.78,17.8508333334,39.068,34.7808333334,37.1383333333,15.3838333333,17.0723333333,21.3926666667,22.2806666667,21.3378333333
800.08,18.1655,39.5751666666,35.1901666667,37.6956666667,15.7605,17.539,22.1478333334,22.7181666666,21.7001666666
800.39,17.3716666667,39.5633333334,35.3568333333,37.7443333333,15.9278333333,17.6445,22.1125,22.6351666667,21.9533333334
800.70,17.4511666666,39.8363333333,35.6071666667,37.8466666667,16.303,18.1901666667,22.4306666666,22.5443333334,22.3283333333
801.00,17.5971666667,40.0298333333,35.906,37.7441666667,16.4368333333,18.7801666667,22.7083333333,22.4558333333,22.5361666667
801.31,16.9913333333,39.5385,35.1076666667,37.2073333333,15.704,18.3946666667,22.0945,21.6886666667,21.7583333334
801.62,16.4558333334,39.428,35.103,37.2246666667,15.4828333333,18.2371666666,21.6361666666,21.179,21.261
801.92,16.4313333334,39.4143333334,35.0506666667,36.5913333333,15.3611666666,18.3366666667,21.7006666667,21.0655,21.4771666666
802.23,15.696,38.518,34.221,36.1266666666,14.5596666666,17.8268333333,21.1765,20.49,20.6676666666
802.54,15.757,38.8966666667,33.9001666667,36.5578333334,14.9776666667,18.0961666666,22.0528333333,20.5765,20.517
802.84,15.633,39.1066666666,33.7135,36.3506666666,14.8491666667,17.938,21.9173333334,20.397,20.266
803.15,15.5538333333,38.8608333334,32.8788333333,36.4203333334,14.6565,17.3723333333,21.6918333333,19.9928333333,20.0883333334
803.46,15.7725,38.722,32.9043333333,36.0038333334,14.5803333333,16.6785,21.3996666666,19.8496666667,20.2671666667
803.76,15.7548333333,38.337,32.1215,35.6731666667,13.583,15.803,20.7941666666,19.0305,19.4143333334
804.07,15.221,37.5848333333,31.2073333333,35.2648333333,13.0223333333,14.5893333333,19.7765,18.4768333334,18.4768333333
804.38,14.5008333333,36.7965,30.5676666666,34.4836666667,12.4205,13.7051666666,19.3096666666,17.5965,18.2083333333
804.68,14.7958333334,37.0995,30.9853333333,34.8253333333,12.7293333334,13.8053333333,19.5891666667,17.6081666666,19.247
804.99,14.9411666667,36.9063333333,30.6781666667,34.3735,12.7263333333,13.473,19.5058333333,17.9026666666,19.3465
805.30,14.8218333333,36.8511666667,29.9998333333,34.3665,12.374,13.321,19.139,17.2205,19.348
805.60,15.0356666667,37.086,30.4021666667,34.6456666667,12.5091666666,13.294,19.1195,17.3165,20.211
805.91,14.8385,36.8645,30.278,34.3226666667,11.8208333333,12.1965,18.2568333333,17.0173333333,20.8488333334
806.21,15.1036666666,37.3343333333,31.1451666666,34.9713333334,12.7656666667,12.3656666667,19.042,18.0168333334,21.6676666667
806.52,15.0128333334,37.3933333333,31.7293333333,34.8998333334,12.8571666667,12.757,18.8345,18.446,22.2555
806.83,14.599,37.6451666667,31.6315,35.073,12.456,13.3765,18.9865,18.4568333333,21.9238333333
807.13,14.8531666667,38.7483333334,32.5031666667,35.4278333334,13.0906666666,13.7418333333,19.885,19.1953333333,22.5671666667
807.44,14.3903333333,38.4258333333,32.356,34.8251666667,12.5771666667,13.2075,19.676,18.8015,22.4281666667
807.74,14.1305,38.0306666666,32.324,34.9378333333,12.4351666667,12.5516666667,19.0865,18.6466666666,22.0106666667
808.05,14.3098333333,37.6951666667,32.2916666667,35.3123333333,12.6433333334,12.526,19.0233333333,19.297,21.9403333334
808.35,14.2245,37.6981666667,32.45,35.3336666667,12.8476666666,12.6526666667,18.836,19.0438333333,21.8755
808.66,14.0183333333,37.2595,32.5428333333,35.1776666666,12.9381666667,12.5165,18.6823333334,19.3413333334,21.2516666667
808.97,14.1413333333,37.0946666667,32.0841666667,34.928,13.1843333333,12.746,19.1918333333,19.4841666667,20.9196666667
809.27,14.4235,36.7906666666,32.5548333333,34.8641666667,13.6446666667,13.051,19.794,19.7281666667,20.7178333333
809.58,13.4496666667,36.2396666666,31.3195,33.8335,12.0438333334,12.0031666667,18.6131666667,18.478,19.9106666667
809.88,13.1176666667,36.0086666667,30.9446666667,33.5243333334,12.1896666666,11.7256666666,18.8368333334,18.1545,18.9736666667
810.19,13.2196666666,35.6041666667,30.4,33.2523333334,12.625,11.4761666666,18.7215,17.8426666667,18.843
810.49,13.6488333333,35.5968333333,29.8706666666,33.4815,13.1635,11.6816666666,19.0918333334,18.1486666667,18.6475
810.80,14.28,35.7066666667,29.9216666667,33.7378333333,13.5111666667,12.4323333333,19.6063333334,18.6621666667,19.0263333333
811.10,14.7346666667,36.1631666666,29.4558333333,34.5033333333,13.9861666667,12.9658333333,20.0408333334,19.0748333333,19.4285
811.41,14.5626666667,36.29,28.9326666667,33.8145,13.6001666667,12.5138333333,19.7468333333,18.0418333333,19.1693333333
811.71,15.0183333333,36.4206666667,28.6671666666,34.1855,14.1383333334,12.6433333334,20.2151666666,18.6505,19.5585
