wavelength,Back_ThrEpim,Belly_ThrEpim,Breast_ThrEpim,Crissum_ThrEpim,Crown_ThrEpim,DorTail_ThrEpim,Patch10_ThrEpim,Patch11_ThrEpim,Rump_ThrEpim,Throat_ThrEpim,WingTip_ThrEpim
384.86,22.6629333333,40.7801333334,38.5074666667,34.2329333333,36.1243333333,12.3865333333,20.6966666667,63.8098666667,38.4723333333,37.9584,7.89533333333
385.22,22.6957333333,40.8442,38.5355333333,34.2924,36.1266,12.4250666666,20.7424666667,63.8884,38.5009333333,38.0332,7.91473333333
385.58,22.8062,40.9071333333,38.6160666667,34.386,36.1538666667,12.4442666667,20.7602,64.0614666667,38.6148,38.1920666667,7.98573333333
385.94,22.7900666667,40.8719333333,38.5880666667,34.3823333333,36.0975333333,12.3572,20.7012,64.1032666667,38.5558,38.1752666667,7.9662
386.30,22.7388666667,40.7932,38.4695333333,34.3104666667,36.0267333333,12.2786666667,20.6584666667,64.056,38.4735333333,38.1500666667,7.9292
386.66,22.6767333333,40.8168,38.3837333333,34.3600666666,35.9845333333,12.2932666667,20.62,64.194,38.4824666667,38.1681333333,7.96233333333
387.03,22.6526,40.7746,38.4020666667,34.3673333333,35.9043333333,12.275,20.5458,64.2765333333,38.4481666667,38.1281333333,7.94953333333
387.39,22.6226,40.7237333333,38.3772,34.3191333333,35.8632666667,12.2740666667,20.4802,64.2989333334,38.3845333333,38.0883333333,7.92646666667
387.75,22.7189333333,40.7664,38.4410666667,34.3850666667,35.8647333333,12.3229333333,20.5237333333,64.4746666667,38.4368333333,38.1449333333,7.99186666667
388.11,22.6376,40.7242,38.3867333333,34.3166,35.7544,12.2152,20.4185333333,64.5570666667,38.3752666667,38.1078,7.95933333333
388.47,22.6378666667,40.7042666667,38.3188,34.3087333333,35.652,12.1822,20.3805333333,64.5824666667,38.3654333333,38.0730666667,7.96646666667
388.83,22.6785333333,40.7751333333,38.3443333333,34.4049333333,35.6627333333,12.1986666667,20.3895333333,64.6830666667,38.3774,38.1209333333,7.98773333333
389.19,22.6483333333,40.7925333334,38.3035333333,34.4036666667,35.6167333333,12.1710666667,20.3196666667,64.8183333333,38.3326,38.1059333333,7.98433333333
389.55,22.5798666667,40.8094,38.2856,34.4008666667,35.5998666666,12.1346666667,20.28,64.9398666667,38.2901,38.0522666667,7.93073333333
389.91,22.632,40.9070666667,38.3385333333,34.5508666667,35.609,12.1885333333,20.3225333333,65.1544666667,38.3872,38.1716,7.9552
390.27,22.6246666667,40.957,38.4068666667,34.5836,35.5683333334,12.2252666667,20.3018666667,65.3721333333,38.4322,38.179,7.96893333333
390.63,22.6349333334,41.0024,38.4272,34.5981333333,35.5294666667,12.2212,20.2848,65.4568,38.4225333333,38.1584666666,7.95586666667
391.00,22.6377333333,40.9966,38.4040666667,34.5944,35.4787333333,12.2362666667,20.29,65.5052,38.4197333333,38.1976,8.01266666667
391.36,22.6306666667,40.9924,38.3547333333,34.5985333333,35.4069333333,12.2566666667,20.2931333333,65.5256,38.4232,38.1842666667,8.09293333333
391.72,22.6525333333,41.1026666667,38.3669333333,34.6687333333,35.4460666667,12.3040666667,20.3354,65.6747333333,38.4867,38.2406,8.14726666667
392.08,22.7248666667,41.1769333334,38.3647333333,34.7308,35.4645333333,12.3634666667,20.3897333333,65.8094666667,38.5780666667,38.2752,8.2338
392.44,22.7663333333,41.1794666666,38.4138666667,34.7892666667,35.4499333333,12.4479333333,20.4193333333,65.8694,38.5787666667,38.2882,8.34313333333
392.80,22.7328,41.1152666667,38.3526666667,34.7426,35.36,12.4315333333,20.4030666667,65.9286666667,38.5667666667,38.2259333333,8.36386666667
393.16,22.772,41.1698,38.3912666667,34.8158,35.358,12.4511333333,20.4280666667,66.1138666667,38.6685666667,38.3134666667,8.39779999999
393.52,22.7331333333,41.0869333333,38.337,34.7923333333,35.2552666667,12.4711333333,20.4063333333,66.1516,38.6337666667,38.2738,8.44946666667
393.88,22.7401333333,41.0606,38.2958,34.7743333333,35.2007333333,12.5301333333,20.3942,66.155,38.6005333333,38.1919333333,8.5244
394.24,22.6832,41.0327333333,38.223,34.7858,35.1154,12.4542,20.2778666667,66.2183333333,38.5623,38.145,8.47680000001
394.60,22.5804,40.9186,38.1113333333,34.7268666667,35.029,12.3889333333,20.2344666667,66.2286,38.5021,38.0708666667,8.4392
394.96,22.5572666667,40.9488,38.0672,34.7200666667,34.987,12.3684,20.2164,66.3272,38.4952,38.0265333333,8.40686666667
395.32,22.4817333333,40.9302,38.0066,34.6942666667,34.9163333334,12.2751333333,20.1301333333,66.4370666667,38.4481666667,37.9866666667,8.29346666667
395.68,22.3589333333,40.8094,37.8905333333,34.5965333333,34.7504,12.1704,20.0268666667,66.3881333333,38.3555666667,37.8573333333,8.221
396.04,22.2730666667,40.7766666667,37.8793333333,34.5945333333,34.7027333333,12.1241333333,19.952,66.5123333333,38.3153,37.8247333333,8.15546666667
396.40,22.1644666667,40.7578,37.7972,34.5226,34.6042666667,12.0449333333,19.839,66.5789333333,38.2548666667,37.7738,8.0488
396.76,22.1162666667,40.7581333333,37.7808666667,34.539,34.5829333333,12.0414,19.8078666667,66.6803333333,38.2274666667,37.785,8.03633333333
397.12,22.093,40.6836666667,37.7027333333,34.5114,34.5578,12.0513333333,19.7609333333,66.6528666667,38.1338333333,37.683,8.0764
397.48,22.1203333333,40.7368666667,37.6708,34.5288666667,34.5392,12.0856666667,19.7762666667,66.7420666667,38.1257333333,37.7060666667,8.09566666667
397.84,22.0298666667,40.7053333333,37.6376666667,34.5073333333,34.4727333334,11.9870666666,19.6684,66.8521333333,38.1059666667,37.6983333333,8.02673333333
