wavelength,Back_DacBerm,Belly_DacBerm,Breast_DacBerm,Crissum_DacBerm,Crown_DacBerm,DorTail_DacBerm,Rump_DacBerm,Throat_DacBerm,WingTip_DacBerm
212.55,-11.4847777778,-29.5984444444,20.0746666667,6.34933333333,22.7824444444,9.05677777778,-28.198,-21.2885555555,0.0
212.92,-8.22055555554,-31.7073333333,13.4597777778,5.78144444443,21.4996666666,6.05233333333,-23.3063333333,-18.6992222222,0.722777777777
213.30,-12.605,-38.0951111111,6.81611111109,-0.5601111111,17.5535555555,-0.653666666667,-24.1831111111,-19.5144444444,-7.74977777777
213.68,-15.536,-47.0007777778,0.983222222233,-7.66966666664,16.5191111111,0.589999999997,-27.5318888889,-24.1887777778,-16.6174444444
214.06,-18.4444444445,-58.0,-0.333333333323,-13.2222222222,12.4444444444,-7.44444444446,-37.3333333333,-27.0,-16.2222222222
214.44,-37.3625555556,-79.1208888889,-13.6753333333,-31.3796666667,-6.71555555557,-29.5481111111,-60.4394444444,-44.4443333333,-32.4786666667
214.81,-57.8947777778,-104.824555556,-27.7777777778,-52.6316666667,-23.6841111111,-50.4384444445,-87.4268888889,-67.2515555556,-56.4326666667
215.19,-86.7329999999,-122.056444445,-34.1626666667,-74.4611111112,-40.6303333333,-65.5058888889,-103.316666667,-83.2505555556,-78.9384444443
215.57,-138.461555556,-177.991555556,-69.872,-124.145333333,-74.359111111,-105.555444444,-161.965777778,-129.914444445,-123.076888889
215.95,-112.643666666,-146.551666667,-44.4444444445,-97.318222222,-52.4902222222,-93.2949999999,-135.632222222,-100.383111111,-100.191555556
216.32,-71.2963333333,-96.6048888888,-16.6666666667,-56.6356666667,-20.0615555556,-60.3393333333,-87.1913333333,-60.3395555556,-59.7222222223
216.70,-74.359,-95.3846666667,-8.37622222222,-47.3505555555,-11.9657777778,-57.2651111111,-90.4272222221,-65.1281111111,-55.8971111111
217.08,-101.587333333,-117.063555556,-23.8092222222,-75.0000000001,-27.5793333333,-78.7698888889,-120.436444445,-89.4841111112,-77.7777777777
217.46,-73.4462222221,-93.0318888888,-6.02633333333,-65.3485555556,-17.1375555556,-60.6403333332,-109.416333333,-78.1543333333,-56.6855555554
