wavelength,Back_HemFrom,Belly_HemFrom,Breast_HemFrom,Crissum_HemFrom,Crown_HemFrom,DorTail_HemFrom,Patch10_HemFrom,Rump_HemFrom,Throat_HemFrom,WingTip_HemFrom
386.30,5.96106666667,10.2167666667,9.41366666665,6.78486666667,4.3668,6.26529210526,4.85746666667,4.73466666667,11.0509333333,7.39145833333
386.66,5.99653333333,10.2901333333,9.46053333334,6.83306666667,4.4332,6.29974166667,4.87933333333,4.79126666667,11.0773333333,7.44279166667
387.03,5.99753333333,10.3164,9.45133333334,6.84926666667,4.4382,6.29710877193,4.88173333333,4.80846666667,11.0522,7.43916666666
387.39,6.02713333334,10.3592,9.46913333333,6.88426666667,4.45326666667,6.31988552632,4.8982,4.83206666667,11.0300666667,7.43195833333
387.75,6.05013333333,10.4115,9.49113333332,6.90466666667,4.47546666667,6.35367346491,4.921,4.84266666667,11.0576,7.45575
388.11,6.03053333333,10.3513,9.40906666666,6.846,4.4178,6.32111688596,4.8858,4.7984,10.9769333333,7.43566666666
388.47,6.133,10.4234333333,9.48393333334,6.9206,4.5208,6.39561447368,4.97386666667,4.88033333333,11.0177333333,7.50675
388.83,6.17086666667,10.4698,9.53526666665,6.99713333333,4.57973333333,6.42775416667,5.02386666667,4.93113333334,11.0632666667,7.56820833333
389.19,6.17613333333,10.4775,9.5424,7.01146666667,4.57853333333,6.44056600877,5.02846666667,4.93453333333,11.016,7.56025
389.55,6.27653333333,10.5699333333,9.61346666667,7.10933333333,4.6968,6.52435921053,5.11726666667,5.025,11.1024,7.676125
389.91,6.35986666667,10.6499,9.69940000001,7.1722,4.74093333334,6.62001337719,5.17786666667,5.11906666667,11.1452,7.75958333333
390.27,6.33706666667,10.6291333333,9.7074,7.18033333333,4.74586666667,6.64123574561,5.15726666667,5.12213333333,11.1569333333,7.80616666667
390.63,6.2966,10.5669,9.67379999999,7.14186666667,4.7176,6.61942302632,5.12693333333,5.09693333334,11.1034,7.817125
391.00,6.31853333333,10.5413333333,9.66286666667,7.14326666667,4.73293333333,6.6351502193,5.13173333333,5.0914,11.1110666667,7.844
391.36,6.32126666667,10.5373,9.67713333333,7.1366,4.76726666667,6.64585592105,5.12986666667,5.114,11.1008666666,7.87283333333
391.72,6.36493333333,10.5318,9.67373333332,7.14666666667,4.78506666667,6.68006381579,5.142,5.156,11.0840666667,7.906625
392.08,6.39826666667,10.5703,9.71926666667,7.2232,4.835,6.7298622807,5.16226666667,5.20706666667,11.0944666667,7.952125
392.44,6.33786666667,10.4838666667,9.64853333335,7.19046666667,4.7634,6.68408377193,5.096,5.14166666667,11.0092666667,7.946375
392.80,6.3016,10.4351333333,9.58299999999,7.14393333333,4.72453333333,6.67553947368,5.0572,5.0838,10.9286666667,7.91633333334
393.16,6.2906,10.3917666667,9.54526666667,7.11013333333,4.70506666667,6.67134824561,5.0306,5.05773333333,10.8866,7.89233333334
393.52,6.21833333333,10.2407333333,9.42086666667,7.0198,4.608,6.58099210526,4.9462,4.98,10.7453333333,7.79104166667
393.88,6.17093333333,10.1530666667,9.34286666667,6.98373333333,4.56213333333,6.51105833333,4.8958,4.90466666667,10.6509333333,7.72904166667
394.24,6.1876,10.1338666667,9.31000000001,6.98333333333,4.5604,6.5052004386,4.89833333333,4.90813333333,10.5826,7.725625
394.60,6.22513333333,10.139,9.30733333333,7.02086666666,4.56833333333,6.52855241228,4.89533333333,4.91886666667,10.5864,7.73954166667
394.96,6.13926666667,10.0625,9.22386666666,6.94706666667,4.49833333333,6.46033070176,4.8156,4.8578,10.4982,7.67595833333
395.32,6.0946,9.987,9.14186666666,6.90786666667,4.42433333333,6.42668947368,4.74506666667,4.809,10.4327333333,7.63345833333
395.68,6.01,9.86676666667,9.08846666668,6.8672,4.35253333333,6.36769254386,4.6658,4.7276,10.3446,7.60129166667
396.04,5.9316,9.7715,8.99873333333,6.78326666667,4.28453333333,6.29613640351,4.58893333333,4.6336,10.2390666667,7.54058333333
396.40,5.86853333333,9.70549999999,8.94453333334,6.7362,4.24793333333,6.26261973684,4.5488,4.6036,10.1663333333,7.5025
396.76,5.8394,9.6915,8.91793333333,6.71333333333,4.20753333333,6.24558859649,4.5096,4.59813333333,10.1377333333,7.493875
397.12,5.86066666667,9.68586666666,8.92266666666,6.76533333333,4.21093333333,6.25034013158,4.5186,4.62293333333,10.1398,7.52358333333
397.48,5.88133333333,9.70863333333,8.97840000001,6.81186666667,4.2312,6.29061425439,4.547,4.65446666667,10.1431333333,7.575375
397.84,5.85213333334,9.67203333333,8.95906666667,6.80153333333,4.2304,6.30415087719,4.53606666667,4.68286666667,10.1009333333,7.59545833333
398.20,5.79473333333,9.59503333334,8.90926666667,6.7502,4.1812,6.26845942982,4.50233333333,4.62946666667,10.0588666667,7.57729166667
398.56,5.704,9.48336666666,8.81326666667,6.6378,4.08986666667,6.1663995614,4.4106,4.54966666667,9.92193333334,7.51558333333
398.92,5.7488,9.46583333333,8.83746666667,6.6936,4.10926666667,6.21529627193,4.43806666667,4.57533333333,9.91773333332,7.55820833333
399.28,5.6944,9.41313333333,8.77853333333,6.65693333333,4.0634,6.17188925439,4.38386666667,4.50246666667,9.83440000001,7.50404166667
399.64,5.75286666666,9.46333333334,8.77826666667,6.70246666667,4.13473333333,6.2324004386,4.44166666667,4.56913333333,9.87679999999,7.55058333333
400.00,5.85053333333,9.53069999999,8.83286666667,6.80553333333,4.22046666667,6.32264320176,4.5196,4.67506666667,9.93866666668,7.64641666666
400.36,5.98,9.62853333334,8.90386666666,6.93826666667,4.3392,6.45083530702,4.63233333333,4.79826666667,10.016,7.76825
400.72,6.02466666667,9.61369999999,8.9206,6.99126666667,4.4008,6.46835131579,4.6686,4.80113333333,10.0184666667,7.80725
401.08,6.0214,9.59323333333,8.899,6.97966666667,4.4124,6.47628662281,4.67353333333,4.8044,9.98939999999,7.83904166666
401.44,6.02686666667,9.59146666667,8.84766666667,6.969,4.41253333333,6.48688267544,4.64966666667,4.81453333333,9.98446666666,7.87545833333
401.80,6.03506666667,9.56656666667,8.82086666667,6.94986666667,4.40526666667,6.48795679825,4.61693333333,4.77686666667,9.96566666665,7.876875
402.16,6.10313333333,9.64973333333,8.8854,7.04453333333,4.48406666667,6.55896600877,4.6778,4.86413333333,10.0270666667,7.90141666667
402.52,6.18913333334,9.7377,8.94226666668,7.1632,4.56646666667,6.69212763158,4.791,4.9612,10.1272666667,7.986125
402.88,6.21053333333,9.76090000001,8.94213333333,7.15946666667,4.5794,6.71732850877,4.799,4.95973333333,10.1454,8.01545833333
403.24,6.23506666667,9.72086666667,8.93626666665,7.15253333333,4.5744,6.71422017544,4.7954,4.97093333333,10.1354666667,8.04616666667
403.60,6.18846666667,9.6628,8.88700000001,7.0966,4.4988,6.66423333334,4.70606666667,4.89633333333,10.0612666667,7.98733333333
403.95,6.19793333333,9.67483333334,8.91486666667,7.12273333333,4.49273333333,6.70630087719,4.7156,4.9124,10.0846,8.00991666666
404.31,6.1132,9.58246666666,8.816,7.03493333334,4.40846666667,6.5943995614,4.61673333333,4.81393333333,10.01,7.896125
404.67,6.11546666667,9.56509999999,8.81760000001,7.02,4.40513333333,6.6115872807,4.62573333333,4.8372,9.97933333335,7.89491666667
405.03,6.07726666667,9.5469,8.80886666666,6.99413333333,4.3924,6.60855175439,4.59646666667,4.82386666667,9.9472,7.87416666667
405.39,6.07206666667,9.52076666667,8.81006666667,6.996,4.37986666667,6.59445241228,4.57146666667,4.7994,9.92480000001,7.859875
405.75,6.0934,9.52543333333,8.82206666667,7.02653333333,4.38433333333,6.61457609649,4.5958,4.82073333333,9.92293333333,7.876375
406.11,6.03406666667,9.43646666667,8.775,6.9738,4.3196,6.57260614035,4.52333333333,4.75906666667,9.83053333334,7.85008333333
406.47,6.00246666667,9.38626666666,8.76433333333,6.9494,4.292,6.55305570175,4.47373333333,4.73073333333,9.81353333335,7.82879166666
406.83,6.0102,9.37023333333,8.78926666666,6.99926666667,4.29846666667,6.55921184211,4.4884,4.76166666667,9.78766666667,7.84425
407.19,6.0248,9.4084,8.79286666667,7.044,4.33046666667,6.58146600877,4.5066,4.78393333333,9.84606666666,7.86208333333
407.55,6.06393333333,9.44929999999,8.8418,7.09,4.3888,6.61528004386,4.585,4.8226,9.88773333333,7.91083333334
407.90,6.04953333333,9.40543333333,8.8072,7.04093333333,4.3728,6.58176644737,4.57986666667,4.8024,9.841,7.88058333333
408.26,6.09246666667,9.43473333334,8.854,7.05413333333,4.38353333333,6.63059736842,4.60533333333,4.83393333333,9.84966666667,7.928875
408.62,6.0482,9.38850000001,8.7932,7.00846666667,4.34306666667,6.58688486842,4.5254,4.7662,9.7994,7.87641666666
408.98,6.06246666666,9.3747,8.7834,7.02626666666,4.32706666667,6.5749004386,4.50306666667,4.7552,9.80606666667,7.86416666667
409.34,6.1074,9.42846666667,8.83866666666,7.06933333333,4.39433333333,6.62152916667,4.5558,4.80966666667,9.87466666666,7.91366666666
409.70,6.12213333333,9.44433333334,8.84439999999,7.09306666666,4.4262,6.61851907895,4.58753333333,4.8368,9.8996,7.96045833333
