wavelength,Back_CyaNitm,Belly_CyaNitm,Breast_CyaNitm,Crissum_CyaNitm,Crown_CyaNitm,DorTail_CyaNitm,Patch10_CyaNitm,Rump_CyaNitm,Throat_CyaNitm,WingTip_CyaNitm
229.14,14.05075,8.79183333333,10.5716666667,4.6655,6.44541666668,0.269666666668,4.31500000001,10.9223333333,1.53708333334,-1.61816666667
229.52,15.5726666666,12.99475,13.6196666667,5.70275,9.63533333332,3.48933333334,8.46325000001,15.0,3.07275,0.807083333332
229.89,13.8053333333,13.8304166667,12.3996666667,5.29625,9.61358333334,3.765,9.08633333333,14.6335833333,3.33833333333,0.276250000001
230.27,11.38825,12.8055,10.8259166667,3.86125,7.69791666667,3.44591666667,6.96491666668,12.34125,0.0488333333325,-1.31975
230.65,13.1826666667,13.9595833333,11.8879166667,4.44916666667,8.45099999998,6.02633333334,7.74483333332,13.4651666666,0.51783333333,0.211916666667
231.02,12.6420833333,12.2395,10.1325833333,2.60416666667,8.04933333332,4.92441666667,6.96025,12.9735,-0.378916666667,-1.373
231.40,14.4846666667,14.5544166667,12.5814166667,5.26925000001,11.6296666667,8.72799999999,10.3294166667,16.829,2.22833333333,1.46216666666
231.78,15.2701666667,15.4305,12.86625,6.36441666667,11.4928333333,9.63825,10.806,17.1475,4.34975,1.90016666667
232.15,15.5914166666,15.9090833333,14.4428333334,6.64708333333,11.828,11.53475,11.95025,18.7683333333,5.64508333333,2.5415
232.53,17.8891666667,16.39225,16.2424166667,8.78241666667,14.7205833333,12.5249166667,14.39625,21.13275,6.73666666667,4.59075
232.90,17.23975,15.1825,14.2970833333,7.47408333334,13.15125,10.3124166667,12.344,18.9845833333,4.6355,2.96883333332
233.28,16.8010833333,15.1075833333,13.3065,6.04841666666,12.6880833333,10.51075,11.774,18.7635,4.6775,2.25816666666
233.66,15.7289166667,11.7899166667,10.6911666667,4.23366666666,10.4233333333,8.44041666667,9.27125000001,15.16625,3.21541666667,1.12533333333
234.03,15.0780833334,9.61541666667,9.25316666666,2.17399999999,9.30883333333,7.38574999999,8.11041666668,14.437,1.30983333333,-1.17058333333
234.41,13.46575,7.34008333333,7.56075,0.22075,7.78149999999,5.02208333333,6.65016666666,12.6380833333,0.193333333331,-2.92491666667
234.78,7.72766666668,1.70133333334,1.29758333333,-7.17991666668,2.19141666667,-2.19141666666,0.201833333332,5.36333333333,-5.1325,-10.2365
235.16,6.33341666667,1.05558333333,0.944416666668,-7.97216666666,1.80558333333,-2.97225,-0.499999999992,3.02783333333,-7.75008333334,-11.2779166667
235.54,4.35033333334,-1.24283333332,-1.94925,-11.94925,-1.55375,-6.921,-5.36733333332,-1.58191666667,-12.1750833333,-14.3503333333
235.91,6.22133333334,0.941916666667,-0.542166666667,-12.4714166667,0.970166666665,-5.96458333334,-3.93841666667,-0.456416666665,-11.0160833333,-12.7569166667
236.29,6.43958333333,1.32583333334,-1.27158333333,-13.36575,1.10924999999,-6.98058333334,-4.57258333334,-1.46116666667,-11.58025,-12.7706666667
236.66,7.94741666667,3.78083333332,0.951416666668,-12.7315,1.28591666667,-5.22108333333,-4.11516666667,0.128583333334,-9.41366666668,-10.108
237.04,8.7705,4.78616666667,2.89108333334,-10.4228333333,2.91566666666,-3.81433333333,-2.01658333333,3.42575,-7.70158333333,-7.77441666668
237.41,8.35741666667,4.73108333334,3.146,-9.84616666667,3.02591666668,-4.971,-2.04116666667,3.074,-7.20458333333,-7.22858333333
237.79,9.17399999999,6.33999999999,5.4995,-8.66966666666,4.17866666668,-4.70708333333,-1.10475,4.22675,-5.3555,-6.60433333334
238.17,7.74133333334,4.94083333334,4.30333333333,-9.19858333333,2.64116666667,-6.69400000001,-3.30150000001,2.50466666667,-6.73966666667,-7.21766666667
238.54,6.54283333333,4.86291666666,3.53658333333,-10.3449166667,2.52008333333,-8.04599999999,-3.49249999999,2.82941666666,-7.60391666667,-7.38291666665
238.92,8.77833333335,7.58499999999,7.78733333333,-6.59375,5.56233333334,-4.57125000001,0.242583333334,6.695,-4.26775,-3.74191666667
239.29,10.6710833333,9.37024999999,10.0868333333,-4.65683333334,6.01425,-2.92241666667,1.86641666666,8.76700000002,-2.50741666667,-2.28125
239.67,8.56425000001,7.12508333334,8.29766666667,-6.41441666667,3.69583333333,-4.85083333332,0.924,7.516,-4.65533333333,-4.99283333333
240.04,7.89400000001,7.04649999999,8.75708333334,-5.90083333333,3.09166666667,-4.59816666666,1.538,7.67433333333,-5.477,-5.50858333333
240.42,8.59808333334,8.51458333332,9.8245,-4.04116666667,4.04133333333,-2.55016666667,3.01025,9.42024999998,-4.80758333333,-4.25033333333
240.79,8.95516666668,9.88808333335,10.2735833333,-3.90541666667,4.44025,-2.0895,3.7065,10.373,-4.57708333333,-4.35325
241.17,9.84533333334,10.6965833333,10.95425,-3.67391666667,4.76041666667,-1.97125,4.27875,10.7304166667,-3.86433333333,-3.76358333332
241.54,11.8269166666,12.4405,12.3813333333,-1.5735,6.51225,-0.227666666668,6.136,12.1041666667,-1.79158333333,-2.17733333334
241.92,12.4065833333,13.0025,12.8334166667,-0.94275,7.195,0.373416666668,6.67016666667,13.0024166667,-1.68991666666,-1.52083333333
242.29,13.1394166667,13.8498333333,13.7579166667,-0.777499999999,7.71475,0.819083333334,7.54766666667,14.1425,-1.42933333333,-1.42941666666
242.67,14.7313333333,15.071,15.33175,0.418583333332,8.61766666667,2.3775,8.98091666667,15.6396666667,0.023666666666,-0.347666666668
243.05,16.0205833333,16.00525,15.8379166667,1.33808333333,9.61816666667,3.10991666667,9.76283333333,16.3474166667,0.403,0.554916666667
243.42,15.9259166667,16.4221666667,15.6073333333,1.57766666667,9.926,3.0445,9.75558333334,16.3185,0.362916666668,0.688916666667
243.80,16.097,17.0244166667,16.01675,1.855,10.5099166667,3.15516666667,9.83775,16.5935,0.920333333334,1.09566666667
244.17,16.1799166667,17.5258333333,16.0368333333,2.198,10.8605833333,3.24316666667,10.05875,16.903,1.31725,1.50341666667
244.55,16.52675,17.5895,16.2681666667,2.07633333333,11.05275,2.64258333333,10.1719166667,17.0930833333,1.55891666667,1.40508333333
244.92,17.0353333333,17.6655,16.76725,2.73516666667,11.7055833333,2.59466666667,10.6865833333,17.3708333333,1.62908333333,1.58225
245.30,17.3823333333,18.3345833333,17.1708333333,3.32341666667,12.4845,3.03708333333,11.0965,17.8555,1.96675,1.60558333333
245.67,17.03475,18.2423333333,16.7011666667,2.54775,12.3475833333,2.32341666667,10.5530833333,17.7420833333,1.0985,1.09841666666
246.05,17.09175,18.5851666667,16.63475,2.32783333333,12.6595,1.977,10.47,17.76675,1.15316666667,0.924749999999
246.42,17.9013333333,19.5071666667,17.3465,3.1105,13.7441666667,2.67641666667,10.9955,18.3546666667,1.80841666667,1.7795
246.79,17.3183333333,19.18425,16.7241666667,2.51775,13.6834166667,1.86625,10.3368333334,17.5930833333,1.17008333333,1.09933333333
247.17,17.0613333333,19.36175,16.549,1.92266666667,13.4928333333,1.39383333333,10.046,17.42225,0.797666666666,0.352833333334
247.54,17.4519166666,19.698,16.92425,2.08125,13.96525,1.74716666667,10.51525,17.9468333333,1.075,0.5395
247.92,18.00075,20.143,17.4445,2.48866666667,14.6873333334,2.306,11.3935833333,18.6304166667,1.5515,1.02658333333
248.29,18.6484166667,20.53325,17.8625833333,2.601,15.1378333334,2.27975,11.8015,19.0240833333,1.59475,1.07216666667
