wavelength,Back_PooWhif,Belly_PooWhif,Breast_PooWhif,Crissum_PooWhif,Crown_PooWhif,DorTail_PooWhif,Patch10_PooWhif,Patch11_PooWhif,Patch12_PooWhif,Rump_PooWhif,Throat_PooWhif,WingTip_PooWhif
364.20,8.3041,23.2,4.66666666667,13.8431333333,8.48486666666,7.91883333333,12.7314,5.89126666667,27.8554666667,9.11846666667,10.596,9.14783333334
364.57,8.3152,23.3329333333,4.70826666667,13.8692,8.508,7.90236666667,12.8214,5.85193333333,27.8520666667,9.17913333333,10.6477333333,9.11396666667
364.93,8.31099999999,23.2864666667,4.60266666667,13.8031333333,8.46386666667,7.8264,12.8091333333,5.784,27.7725333333,9.13786666666,10.5952666667,9.08679999999
365.29,8.30296666667,23.4099333333,4.6154,13.8770666667,8.4818,7.79713333333,12.8742666667,5.69333333333,27.8536333334,9.09006666667,10.6432666667,9.06206666667
365.66,8.25306666666,23.4298666667,4.6474,13.7768666667,8.41479999999,7.68913333333,12.868,5.64033333334,27.7141666667,9.0798,10.6402666667,8.97743333333
366.02,8.24943333333,23.4955333333,4.56566666667,13.6914,8.28653333333,7.62473333333,12.8029333333,5.58006666667,27.6527,8.97359999999,10.5338,8.92686666667
366.38,8.24126666667,23.4991333333,4.4852,13.6756666667,8.29853333334,7.55636666667,12.7946,5.60446666667,27.5428666667,8.93873333333,10.5242666667,8.92313333333
366.75,8.31276666666,23.5709333333,4.47166666667,13.6876666667,8.29240000001,7.53806666667,12.8803333333,5.60506666667,27.5154666667,8.94279999999,10.5056666667,8.91856666667
367.11,8.37646666666,23.6492,4.48013333333,13.7357333333,8.3114,7.63453333333,13.0028666667,5.6626,27.5120333333,9.0036,10.5706,8.95073333333
367.47,8.20243333333,23.5666,4.33473333333,13.5744,8.15040000001,7.493,12.9048,5.56366666667,27.3106,8.89600000001,10.4774,8.8434
367.84,8.15706666667,23.5205333333,4.24066666667,13.5034,8.11559999999,7.41163333333,12.8251333333,5.546,27.2178666667,8.89826666667,10.4353333333,8.70496666667
368.20,8.2356,23.5963333333,4.2858,13.5879333333,8.20966666668,7.44056666667,12.9519333333,5.62606666667,27.1636666667,8.99200000001,10.4892,8.7602
368.56,8.38643333333,23.8046,4.47273333333,13.7664,8.39713333334,7.60016666667,13.1421333333,5.77786666667,27.3742666667,9.1708,10.6368666667,8.9601
368.93,8.40370000001,23.9459333333,4.57693333333,13.925,8.47773333333,7.6258,13.2652666667,5.86233333333,27.4990666667,9.28993333333,10.7598666667,9.01343333333
369.29,8.42979999999,24.0560666667,4.57813333333,13.9792,8.50379999999,7.6803,13.2858666667,5.9812,27.4836333333,9.31213333333,10.7992666667,9.06683333333
369.65,8.50983333334,24.2048,4.607,14.1222,8.5666,7.7613,13.3804666667,6.08473333333,27.6571,9.40360000001,10.8668,9.18113333334
370.01,8.43596666667,24.2368666667,4.63193333333,14.157,8.59506666665,7.7672,13.4338,6.06606666667,27.7567,9.41980000001,10.8508,9.17779999999
370.38,8.34729999999,24.2315333333,4.585,14.0584,8.49986666667,7.6458,13.3721333333,5.91206666667,27.7173333333,9.34173333333,10.7228666667,9.04883333333
370.74,8.30746666666,24.2782666667,4.63713333333,14.0806666667,8.48733333333,7.6081,13.3877333333,5.938,27.7236,9.38280000001,10.7650666667,9.05746666667
371.10,8.24756666666,24.2885333333,4.54646666667,14.0522666667,8.42233333333,7.538,13.3446,5.84853333333,27.7333,9.33313333333,10.6835333333,8.94063333333
371.46,8.47316666666,24.5441333334,4.7772,14.3157333333,8.69386666667,7.75086666667,13.5562666667,6.05946666667,28.0426666667,9.55606666667,10.8925333333,9.21343333333
371.83,8.50513333334,24.6851333333,4.81306666667,14.4268,8.693,7.74023333333,13.6448666667,6.06,28.1626,9.53266666667,10.9378,9.26263333333
372.19,8.76263333333,24.9655333333,5.0644,14.6604666667,8.925,7.96476666667,13.8625333333,6.27973333333,28.4595,9.71586666667,11.1746666667,9.49306666666
372.55,8.66570000001,24.8908,4.86466666667,14.5241333333,8.82180000001,7.78503333333,13.7662,6.18666666667,28.3232333333,9.59240000001,11.0259333333,9.27370000001
372.92,8.672,24.9312,4.83113333333,14.5313333333,8.79953333334,7.76516666667,13.7552,6.2096,28.2775333333,9.58493333333,11.0047333333,9.2603
373.28,8.50773333334,24.8734666667,4.69486666667,14.3924,8.67726666667,7.63076666667,13.724,6.03153333333,28.1651,9.51526666666,10.8159333333,9.13390000001
373.64,8.5421,24.9326,4.7088,14.4312666666,8.71033333334,7.6285,13.8214,6.02146666667,28.1667666667,9.49706666667,10.8161333333,9.10503333333
374.00,8.66233333333,25.086,4.75706666667,14.5581333333,8.80366666666,7.63003333333,13.9274,6.07446666667,28.2038333333,9.5834,10.9686,9.17066666667
374.37,8.74143333334,25.2507333333,4.8318,14.6848,8.82946666668,7.72076666667,14.0577333333,6.11106666667,28.2553333333,9.62159999999,11.0696666667,9.20716666666
374.73,8.8078,25.4756666667,4.8664,14.7698666667,8.9102,7.75996666666,14.1801333333,6.10873333333,28.3771,9.68966666667,11.1314666667,9.23386666667
375.09,8.73283333334,25.5104666667,4.84773333333,14.7344,8.87846666667,7.66406666667,14.1826,6.057,28.3764666667,9.607,11.1226,9.23726666666
375.45,8.51436666667,25.4004,4.58093333333,14.4929333333,8.63633333333,7.4046,14.0591333333,5.84553333333,28.1788333333,9.38633333333,10.9376,8.95676666667
375.81,8.48423333334,25.4332,4.4878,14.4976,8.6316,7.41553333333,14.0615333333,5.8238,28.2021666667,9.37153333333,10.94,8.93083333333
376.18,8.35866666667,25.4241333333,4.38133333333,14.4168,8.4898,7.28883333333,14.0298666667,5.6974,28.1887333333,9.28693333334,10.864,8.81646666667
376.54,8.44363333333,25.672,4.44113333333,14.5486666667,8.5658,7.4422,14.1041333333,5.74206666667,28.3895333333,9.31213333334,10.9751333333,8.98793333333
376.90,8.53363333334,25.8688666667,4.52766666667,14.6682666667,8.68746666665,7.53103333333,14.2717333333,5.81446666667,28.5555,9.3854,11.0744,9.08353333333
377.26,8.67906666667,26.0868,4.67153333333,14.8486666667,8.84073333333,7.61623333333,14.4254,5.96146666667,28.7389666667,9.49993333334,11.2524,9.22653333333
377.63,8.57329999999,26.0702666667,4.54773333333,14.7100666667,8.7216,7.50266666667,14.348,5.92386666667,28.6807333333,9.45053333334,11.1769333333,9.16646666667
377.99,8.46403333334,26.0924,4.5,14.6378,8.63026666667,7.48016666667,14.2711333333,5.86173333333,28.6056333333,9.33040000001,11.0840666667,9.06176666667
378.35,8.41673333333,26.1039333333,4.38586666667,14.6257333333,8.5892,7.39203333333,14.2214,5.84886666667,28.6800333333,9.27600000001,11.0493333333,9.0299
378.71,8.46149999999,26.1245333333,4.37766666667,14.6665333333,8.65866666667,7.4168,14.255,5.90786666667,28.6575,9.27873333333,11.0668,9.05723333333
379.07,8.43566666667,26.1301333333,4.36253333333,14.7096666667,8.69586666667,7.45043333333,14.2725333333,5.91973333333,28.6538333333,9.31753333334,11.0752666667,9.0643
379.44,8.47240000001,26.2812666667,4.41506666667,14.84,8.77446666667,7.57906666667,14.3378,5.96006666667,28.7486666667,9.41373333333,11.1459333334,9.10976666667
379.80,8.50673333333,26.3482,4.50606666667,14.8738666667,8.83086666667,7.59403333333,14.3948,6.00853333333,28.7124333333,9.47046666666,11.1406,9.09766666667
380.16,8.59146666666,26.4612666667,4.5672,14.9248666667,8.89753333333,7.62516666667,14.4348666667,6.11333333333,28.6972333333,9.55933333334,11.1419333333,9.1393
380.52,8.64176666666,26.4569333333,4.64373333333,14.9521333333,8.96006666667,7.6517,14.5186,6.16486666667,28.6097666667,9.63086666667,11.1784666667,9.16936666667
380.88,8.54820000001,26.4014,4.52613333333,14.8848666667,8.90380000001,7.60686666667,14.4696,6.0602,28.5105333333,9.5798,11.0606,9.04793333333
381.24,8.54546666667,26.3626666667,4.48853333333,14.8399333333,8.86333333333,7.58413333333,14.4100666667,5.992,28.4474,9.51666666667,11.0108,8.927
381.61,8.67756666666,26.5856,4.645,15.0506,9.03746666667,7.67786666667,14.5434666667,6.055,28.6028,9.63333333333,11.1414,9.0436
381.97,8.63673333333,26.5814,4.65333333333,15.0538666667,8.98793333334,7.6479,14.5512666667,6.043,28.5893666666,9.66173333334,11.133,9.02126666667
382.33,8.74386666666,26.72,4.83273333333,15.1428,9.11906666667,7.7346,14.6905333333,6.1316,28.6174,9.7672,11.1994666667,9.08
382.69,8.61316666666,26.7089333333,4.74486666667,15.093,8.97013333332,7.61936666667,14.6268666667,6.028,28.5553,9.68793333334,11.1040666667,8.94356666667
383.05,8.58113333334,26.8030666667,4.6674,15.0521333333,8.87686666667,7.53496666667,14.6583333333,5.96926666667,28.5283333333,9.6078,11.0232666667,8.8757
383.41,8.55249999999,26.7501333333,4.655,15.0306,8.84753333333,7.4611,14.6454666667,5.94773333333,28.4582333333,9.56160000001,11.0017333333,8.8389
383.77,8.53616666666,26.7838,4.63613333333,14.9976666667,8.82033333332,7.41106666667,14.6906666667,5.91246666667,28.509,9.53193333333,10.9858,8.8027
384.14,8.42999999999,26.7254666667,4.54993333333,14.9347333333,8.72273333333,7.35353333333,14.6672,5.7988,28.3943,9.41333333333,10.9120666667,8.66866666667
384.50,8.28316666666,26.6848666667,4.45693333334,14.8141333333,8.56606666668,7.19576666667,14.6041333333,5.67413333333,28.3052333333,9.29513333333,10.7951333333,8.4906
384.86,8.24669999999,26.7248666667,4.44306666667,14.7124666667,8.45606666667,7.12363333334,14.5942,5.6186,28.2752,9.20226666666,10.7351333333,8.4296
385.22,8.26553333333,26.8088666667,4.48446666667,14.7322666667,8.45920000001,7.1144,14.6425333333,5.65193333333,28.2723333333,9.25553333334,10.7710666667,8.4645
385.58,8.19636666667,26.7718666667,4.4478,14.6949333333,8.3616,7.0788,14.6384,5.61306666667,28.2134333333,9.21773333333,10.7355333333,8.3715
385.94,8.25366666667,26.8377333333,4.43913333333,14.7293333333,8.38566666667,7.08456666667,14.7214666667,5.62893333333,28.2409,9.25486666667,10.7524666667,8.3816
386.30,8.13126666667,26.782,4.28733333333,14.6532666667,8.24640000001,6.96406666667,14.6508,5.48393333333,28.1981,9.16933333333,10.6258666667,8.2784
386.66,8.19449999999,26.9030666667,4.33186666667,14.6688666667,8.30933333335,6.98596666667,14.7600666667,5.5328,28.2805,9.22440000001,10.6687333333,8.36633333333
387.03,8.281,27.0308666667,4.4278,14.7750666667,8.42600000001,7.0715,14.8724666667,5.64786666667,28.3795333333,9.32066666667,10.7736,8.4706
387.39,8.36873333332,27.2530666667,4.49126666667,14.8742,8.51266666667,7.14006666667,15.0378,5.7532,28.4629666667,9.43566666667,10.8628666667,8.59646666667
387.75,8.37363333334,27.3703333333,4.47226666667,14.9082,8.48573333332,7.0997,15.0496,5.75153333333,28.4301,9.42959999999,10.8534,8.63143333333
