wavelength,Back_DigCaef,Belly_DigCaef,Breast_DigCaef,Crissum_DigCaef,Crown_DigCaef,DorTail_DigCaef,Rump_DigCaef,Throat_DigCaef,WingTip_DigCaef
794.55,1.57383333333,26.5158333333,14.63725,18.1495,0.256916666664,2.60941666667,0.182333333335,11.7379166667,9.00416666667
794.86,2.57675,27.4543333333,15.8838333334,19.39,1.3535,3.63666666667,1.66333333333,13.07075,10.0945
795.16,3.28675,27.9655833333,16.08,19.8569166667,1.50258333334,4.19475,2.05708333333,13.5565833333,10.7921666666
795.47,4.11525,28.7511666667,16.8566666667,20.584,2.35041666667,5.25475,2.69866666667,14.4665,11.76
795.78,4.52383333333,29.7220833333,17.127,21.254,3.0395,5.64275,3.2065,15.03175,12.21425
796.09,4.5145,29.8465833333,17.2755,21.4658333333,3.23358333333,6.03258333334,3.22591666667,15.0933333333,11.97025
796.40,5.03475,30.5003333333,17.8660833333,21.9776666667,3.7325,6.66033333333,3.90625,15.78275,11.9871666667
796.70,4.31575,29.7630833333,17.0668333333,21.1706666666,3.21725,6.19908333334,3.66458333333,15.2463333333,11.1895833333
797.01,4.583,29.8554166667,16.9313333333,20.9929166667,3.43125,6.58283333333,3.85941666667,15.2738333333,11.3211666667
797.32,5.451,30.1826666667,17.5481666667,21.34325,4.46966666667,7.78166666667,4.89125,16.1605833333,11.8446666667
797.63,5.36258333334,30.0308333333,17.60025,21.0570833333,4.25916666667,7.93975,4.90741666667,16.43525,11.1881666667
797.93,5.68858333333,30.5633333334,18.05175,21.5415,4.16283333333,8.22383333333,5.26616666667,16.9015,11.3771666667
798.24,6.395,30.7988333334,18.5655833333,22.034,4.88083333333,8.812,5.93225,17.616,11.9584166667
798.55,6.21425,30.4574166667,18.4035,21.9405833333,4.67641666667,8.66783333333,6.01491666667,17.5033333333,11.6235833333
798.85,5.53341666667,30.28575,18.08725,21.6384166667,3.84041666667,8.08541666666,5.44266666666,17.2943333333,10.8028333333
799.16,4.69941666667,29.4393333333,17.5813333333,21.3158333333,3.04616666667,7.13316666667,4.5485,16.6666666667,9.48300000001
799.47,5.03216666667,29.2805833333,17.62925,21.3695,3.08175,6.98241666667,4.93075,16.7088333333,9.71808333332
799.78,5.27491666667,29.5360833333,18.1356666667,21.8985833333,3.52233333333,7.311,5.12033333333,16.73525,10.2234166667
