wavelength,Back_TanChrf,Belly_TanChrf,Breast_TanChrf,Crissum_TanChrf,Crown_TanChrf,DorTail_TanChrf,Patch10_TanChrf,Patch11_TanChrf,Patch12_TanChrf,Patch13_TanChrf,Rump_TanChrf,Throat_TanChrf,WingTip_TanChrf
440.40,3.44391666667,7.68475,16.24875,5.92208333333,3.43608333333,4.2385,10.3925,7.27775,5.41983333333,1.93533333334,19.3063333333,12.5415833334,5.80041666666
440.75,3.42808333333,7.70016666666,16.2820833333,5.92908333333,3.43083333333,4.24066666666,10.4161666667,7.28491666667,5.42875,1.92716666667,19.36575,12.5633333334,5.80608333333
441.11,3.41708333333,7.71883333333,16.3073333334,5.92408333334,3.42541666667,4.21925,10.4095,7.29783333333,5.4285,1.91908333333,19.4006666667,12.57675,5.81433333333
441.47,3.42391666667,7.73316666667,16.3478333333,5.949,3.42758333333,4.21925,10.42725,7.32241666667,5.447,1.91808333334,19.4461666667,12.6060833333,5.82233333334
441.82,3.411,7.72466666667,16.3874166667,5.94208333333,3.424,4.20666666667,10.4419166667,7.35216666667,5.44366666667,1.90933333333,19.484,12.63375,5.81608333333
442.18,3.39783333333,7.7205,16.4076666667,5.91566666667,3.4185,4.19958333333,10.4512083333,7.36358333333,5.43225,1.90508333333,19.5086666667,12.66175,5.79991666667
442.53,3.42616666667,7.74891666667,16.4738333334,5.95258333334,3.43266666667,4.22241666667,10.5015,7.42525,5.45891666667,1.92058333333,19.5804166667,12.7201666667,5.81783333333
442.89,3.41791666667,7.76591666667,16.5028333333,5.94691666667,3.41525,4.20066666666,10.519375,7.44658333333,5.45941666666,1.92175,19.6193333333,12.7550833333,5.81016666667
443.24,3.3855,7.7585,16.5171666667,5.93216666667,3.38916666666,4.15658333333,10.529875,7.45466666667,5.43991666667,1.89433333333,19.6526666667,12.7651666667,5.781
443.60,3.36633333333,7.78741666667,16.58375,5.93108333333,3.37675,4.119,10.5542916667,7.47758333333,5.42908333333,1.86933333333,19.7551666667,12.802,5.781
443.95,3.385,7.83016666666,16.6773333333,5.96108333333,3.37441666667,4.123,10.6089166667,7.53783333333,5.45075,1.87866666667,19.8564166667,12.8710833334,5.78883333333
444.31,3.359,7.83933333333,16.7355,5.95166666667,3.34908333333,4.10558333333,10.6301666667,7.56408333334,5.43333333333,1.86308333333,19.936,12.9123333334,5.76916666666
444.66,3.35666666667,7.85333333333,16.8025833333,5.94941666666,3.34725,4.08858333334,10.6502083333,7.59983333333,5.44341666667,1.85058333333,19.9889166667,12.9518333334,5.77508333333
445.02,3.378,7.88558333334,16.8840833333,5.98525,3.35208333333,4.12266666667,10.7090416667,7.6515,5.46641666667,1.87458333333,20.08625,13.0256666667,5.78116666667
445.37,3.37441666666,7.90141666666,16.9355,5.98375,3.34558333333,4.12408333334,10.734125,7.68575,5.47166666666,1.87266666667,20.1599166667,13.0651666667,5.775
445.72,3.38625,7.936,17.0020833333,6.0105,3.35075,4.14016666667,10.773875,7.72783333333,5.49091666667,1.89241666666,20.2459166667,13.1255833334,5.78783333333
