wavelength,Back_TanIctf,Belly_TanIctf,Breast_TanIctf,Crissum_TanIctf,Crown_TanIctf,DorTail_TanIctf,Patch10_TanIctf,Patch11_TanIctf,Rump_TanIctf,Throat_TanIctf,WingTip_TanIctf
338.31,5.32111111111,12.9213333333,8.54355555556,11.0842222222,3.89655555555,6.57666666667,5.35511111111,5.61666666667,5.31611111111,9.33744444446,7.56844444445
338.67,5.39644444444,13.0215555556,8.67377777778,11.1571111111,3.94483333333,6.69777777778,5.42566666666,5.67088888889,5.35533333333,9.45544444445,7.54
339.04,5.46033333333,12.9482222222,8.80577777778,11.3573333333,4.0795,6.88666666667,5.47711111111,5.77166666667,5.50622222222,9.38755555556,7.57477777778
339.40,5.844,13.3078888889,9.173,11.7835555555,4.45016666667,7.24866666667,5.89422222222,6.10477777778,5.90855555556,9.66555555555,7.97377777778
339.77,6.02077777778,13.479,9.34533333332,11.9725555555,4.6725,7.36533333333,6.01144444444,6.21833333333,6.02544444445,9.94266666666,8.02455555555
340.14,6.08333333333,13.6865555555,9.4731111111,12.0982222222,4.91294444444,7.56522222222,6.10944444444,6.38877777778,6.16866666667,10.0764444445,8.05033333333
340.50,6.21433333333,13.8424444445,9.69266666667,12.1868888889,5.07755555556,7.88411111111,6.26111111111,6.53355555555,6.27311111111,10.2093333333,8.24811111112
340.87,6.08755555555,13.7486666667,9.56522222221,12.1237777778,4.94577777778,7.73344444444,6.10844444445,6.46233333333,6.04322222222,9.98666666666,8.3061111111
341.23,5.76255555556,13.516,9.40466666666,11.9204444444,4.62477777778,7.37433333333,5.84344444444,6.03533333334,5.66788888889,9.73977777777,8.02377777779
341.60,5.847,13.7032222222,9.56299999999,11.9826666667,4.685,7.46388888889,5.90877777778,6.09222222222,5.73433333333,9.80133333332,8.10177777778
341.96,6.01311111111,14.0083333333,9.76155555555,12.1103333334,4.74972222222,7.67433333334,6.18822222222,6.21344444444,5.87188888889,9.98677777779,8.29133333332
342.33,6.10111111111,14.1201111111,9.76611111111,12.2136666667,4.80883333333,7.73577777778,6.36844444444,6.245,5.93055555556,10.1926666667,8.37355555557
342.70,6.18577777778,14.2382222222,9.87044444443,12.4002222222,4.95511111111,7.79677777778,6.54522222222,6.37755555556,6.08011111111,10.3507777778,8.52188888888
343.06,6.10488888889,14.2503333334,9.80633333332,12.3116666667,4.87288888889,7.53544444444,6.51088888889,6.244,6.044,10.4575555556,8.44300000001
343.43,6.05066666667,14.283,9.74644444443,12.3282222222,4.79755555556,7.46022222222,6.41644444444,6.12144444444,5.89466666667,10.4715555556,8.32411111111
343.79,6.07855555555,14.3912222222,9.80877777778,12.4113333333,4.75288888889,7.57644444444,6.58766666667,6.18355555555,5.97955555555,10.4883333333,8.46644444443
344.16,6.02377777778,14.4442222222,9.8211111111,12.4053333333,4.58811111111,7.56755555555,6.66666666667,6.15055555555,5.93622222222,10.5491111111,8.57466666666
