wavelength,Back_SpoNicf,Belly_SpoNicf,Breast_SpoNicf,Crissum_SpoNicf,Crown_SpoNicf,DorTail_SpoNicf,Rump_SpoNicf,Throat_SpoNicf,WingTip_SpoNicf
416.86,7.71306666667,20.2616,10.3841333333,10.3183333334,5.70506666666,8.0604,7.98346666667,10.7765333333,9.56666666666
417.22,7.68293333333,20.1994,10.3328,10.2881333333,5.66166666667,8.04046666667,7.94993333333,10.7360666667,9.53173333335
417.58,7.64553333333,20.1256666667,10.3043333333,10.2522666667,5.6152,8.015,7.9196,10.6897333333,9.50633333332
417.94,7.66753333333,20.1118666667,10.2994666667,10.2785333333,5.62573333333,8.0314,7.91393333333,10.6914666667,9.5378
418.29,7.6722,20.1142666667,10.3136666667,10.3004666667,5.64193333333,8.03333333333,7.91673333333,10.6874666666,9.56953333332
418.65,7.6788,20.0899333334,10.3262666667,10.3092,5.6384,8.0412,7.9204,10.7024666667,9.58186666667
419.01,7.66373333333,20.0574666667,10.3172666667,10.3088,5.63186666667,8.03506666667,7.924,10.6888666667,9.58466666665
419.37,7.658,20.0221333333,10.2792,10.2745333333,5.5964,8.0158,7.90246666667,10.6423333333,9.56953333333
419.73,7.62893333333,19.9962666667,10.2472,10.2524,5.5672,7.99366666667,7.8812,10.6006666667,9.54853333333
420.08,7.6062,19.9610666667,10.2245333333,10.2372666667,5.539,7.9914,7.85033333333,10.5779333334,9.53033333333
420.44,7.606,19.9364666667,10.2206666667,10.2508666667,5.53506666667,7.99126666667,7.85606666667,10.584,9.536
420.80,7.55633333333,19.9061333333,10.1655333333,10.2316666667,5.47826666667,7.95013333333,7.81986666667,10.5358666667,9.51413333335
421.16,7.56866666667,19.9330666667,10.1899333333,10.2516666667,5.48673333333,7.96373333333,7.8378,10.5562666667,9.53273333333
421.51,7.59733333333,19.9437333333,10.2007333333,10.2682666667,5.503,7.9788,7.86033333333,10.5602666667,9.54693333333
421.87,7.59153333333,19.9276666667,10.1851333333,10.2724666667,5.49053333333,7.97526666667,7.85313333333,10.561,9.53446666666
422.23,7.56866666667,19.8776,10.1551333333,10.2454,5.45673333333,7.9656,7.8194,10.5317333333,9.51073333335
422.58,7.58806666667,19.8805333333,10.1534666667,10.249,5.4714,7.96906666667,7.822,10.5203333333,9.51353333333
422.94,7.5892,19.8677333333,10.1531333333,10.2558,5.47033333333,7.97666666667,7.82033333333,10.5146,9.50879999999
423.30,7.59113333333,19.8874666667,10.1903333333,10.2897333333,5.4906,8.014,7.8358,10.5465333333,9.52513333332
423.66,7.606,19.8674666667,10.1894666667,10.3000666667,5.51753333333,8.01533333333,7.8346,10.5606666667,9.53493333333
424.01,7.61373333333,19.8728,10.1826,10.3123333333,5.52786666667,8.01126666667,7.84226666667,10.561,9.54646666665
424.37,7.61786666667,19.8796,10.1811333333,10.3182,5.5464,8.01446666667,7.85593333333,10.5702,9.54806666666
424.73,7.56606666667,19.8268666667,10.1458,10.2606666667,5.50533333333,7.96593333334,7.8064,10.5172,9.49093333334
425.08,7.55293333333,19.7992,10.1308,10.2584666667,5.50426666667,7.96633333333,7.804,10.5130666667,9.47833333332
425.44,7.51366666667,19.7750666667,10.1034666667,10.2577333333,5.47333333333,7.96406666667,7.77886666667,10.5035333333,9.44926666667
425.80,7.5276,19.7794666667,10.1152666667,10.2590666667,5.49306666667,7.97393333333,7.7928,10.508,9.462
426.16,7.5792,19.8197333333,10.1532666667,10.3190666667,5.5426,8.00973333333,7.84206666667,10.5641333333,9.5096
426.51,7.52386666667,19.7848666667,10.1096666667,10.2962666667,5.49966666667,7.97853333333,7.80526666667,10.5511333333,9.47286666665
426.87,7.57186666667,19.8429333333,10.1498666667,10.3510666667,5.53713333333,8.02246666667,7.85173333333,10.6194666667,9.51453333334
427.23,7.579,19.8372666667,10.138,10.3528666667,5.54626666667,8.0146,7.84453333334,10.6206,9.51113333332
427.58,7.59886666667,19.8904666667,10.1686666667,10.3871333333,5.5426,8.0392,7.8602,10.6534666667,9.537
427.94,7.59946666667,19.9079333333,10.1795333333,10.4040666666,5.53346666667,8.04906666667,7.86413333333,10.6776666667,9.52606666668
428.30,7.58553333333,19.9102666667,10.1745333333,10.4150666667,5.5052,8.04973333333,7.84493333333,10.6774666667,9.52520000001
428.65,7.65733333333,19.9822666667,10.2263333333,10.4921333333,5.5418,8.10613333333,7.8822,10.7486666666,9.58306666667
429.01,7.665,20.0330666666,10.2504,10.5209333333,5.53566666667,8.08973333333,7.87526666667,10.7624,9.59920000001
429.37,7.7424,20.1201333333,10.3203333333,10.5744,5.59213333333,8.135,7.92813333333,10.8494,9.67359999999
429.72,7.73526666667,20.1634,10.3486,10.6282,5.575,8.1372,7.9276,10.8662666667,9.68253333332
430.08,7.70273333334,20.2036,10.3488666667,10.6482,5.55433333333,8.11293333333,7.90393333334,10.8748,9.66566666668
430.44,7.69646666666,20.2408,10.3655333333,10.6616,5.55546666667,8.1118,7.90446666667,10.8736,9.66773333333
430.79,7.6666,20.2261333333,10.3380666667,10.6408666667,5.51653333333,8.06526666667,7.85933333333,10.8317333333,9.63073333334
431.15,7.61713333333,20.2356,10.3103333333,10.6356,5.46366666667,8.01793333333,7.82946666667,10.8176666667,9.60279999999
431.50,7.61546666666,20.2564666667,10.3264666667,10.6666,5.47313333333,8.0162,7.84093333333,10.8342666667,9.59540000001
431.86,7.60993333333,20.2725333333,10.3379333333,10.6772666667,5.48773333333,8.00633333333,7.84046666667,10.8303333333,9.58266666667
432.22,7.64426666667,20.3138,10.3762,10.7138,5.5172,8.0424,7.87806666667,10.8678,9.61186666668
432.57,7.659,20.3439333333,10.3934,10.7250666667,5.53026666667,8.04733333333,7.90053333333,10.8844666667,9.60960000001
432.93,7.68546666667,20.3816666667,10.4226666667,10.7524666667,5.55846666667,8.0768,7.91906666667,10.9104666667,9.62533333334
433.29,7.6362,20.3698666667,10.3992,10.7391333333,5.53113333333,8.04026666667,7.89873333334,10.8740666667,9.58899999999
433.64,7.62353333333,20.3768,10.388,10.7374666667,5.53566666667,8.03093333333,7.88786666667,10.8816,9.57653333333
434.00,7.62486666667,20.3772,10.3819333333,10.7366,5.53466666667,8.0232,7.91073333334,10.8853333333,9.57006666667
434.35,7.68833333333,20.4598,10.4527333333,10.8206666667,5.59733333333,8.0754,7.9698,10.9569333333,9.63366666667
434.71,7.68,20.5183333333,10.4619333333,10.8502,5.61286666667,8.069,7.97766666667,10.9712,9.63913333332
435.07,7.70533333333,20.5696,10.497,10.8841333333,5.64813333333,8.09593333333,8.0034,11.0165333333,9.64646666667
435.42,7.68566666667,20.6075333333,10.4838666667,10.8696,5.6362,8.08433333333,7.98346666667,11.0218666667,9.61246666667
435.78,7.68213333333,20.6533333333,10.4774666667,10.8816,5.61446666667,8.07593333334,7.97266666667,11.0241333333,9.61266666665
436.13,7.67506666667,20.7130666667,10.4988,10.907,5.6234,8.0618,7.98586666667,11.0333333333,9.60533333334
436.49,7.66266666667,20.7544666667,10.5244666667,10.9546666667,5.64026666667,8.07466666667,8.00386666667,11.0594666667,9.61066666668
436.84,7.64133333333,20.7796666667,10.5134666667,10.9616,5.634,8.081,8.00826666666,11.0703333333,9.60386666667
437.20,7.66546666667,20.8108,10.5310666667,10.999,5.65346666667,8.1038,8.0102,11.0856666667,9.60673333334
437.56,7.66446666667,20.8316,10.5438,11.0109333333,5.64486666667,8.10446666667,8.02486666667,11.0766,9.6038
437.91,7.66193333334,20.8474,10.5562,11.0326,5.63393333333,8.10513333333,8.012,11.0724,9.59346666667
438.27,7.62046666667,20.8292666667,10.5194666667,11.0084,5.59833333333,8.07533333333,7.98306666667,11.0476666667,9.54566666668
438.62,7.5978,20.8065333333,10.5257333333,10.9954666667,5.5704,8.06433333333,7.9736,11.0317333333,9.51073333334
438.98,7.59473333334,20.8296666667,10.5410666667,11.0122666667,5.5526,8.0574,7.96966666667,11.0229333333,9.51580000001
439.33,7.62433333333,20.8428,10.5710666667,11.0599333333,5.5752,8.0752,8.00346666667,11.0335333333,9.54359999999
439.69,7.65333333333,20.8891333333,10.6352,11.1205333333,5.61913333333,8.10673333333,8.06446666667,11.07,9.58180000001
440.04,7.64266666667,20.8633333333,10.634,11.1098666667,5.6044,8.10286666667,8.0432,11.0674666667,9.57066666667
440.40,7.63286666667,20.8621333333,10.6294,11.1064666667,5.5978,8.10186666667,8.02306666666,11.0695333333,9.56206666667
440.75,7.60993333333,20.8424,10.6119333333,11.069,5.56553333333,8.05493333333,7.98466666667,11.0408,9.53640000001
441.11,7.58066666667,20.8368,10.6108666667,11.0582,5.5322,8.0294,7.95786666667,11.0180666667,9.53353333333
441.47,7.56833333333,20.8408666667,10.6206,11.0676,5.517,8.0228,7.94506666667,11.0233333333,9.52853333333
441.82,7.607,20.8588,10.6801333333,11.1114,5.56893333333,8.0548,7.9886,11.0670666667,9.58013333333
442.18,7.6302,20.8642,10.7162,11.1316666667,5.5742,8.075,8.00306666667,11.0855333333,9.60659999999
442.53,7.61286666667,20.8574,10.6976666667,11.1358,5.56126666667,8.0684,7.9832,11.0815333333,9.60993333333
442.89,7.5952,20.801,10.6658666667,11.1158,5.54553333333,8.04573333333,7.97906666667,11.0644,9.59653333333
443.24,7.54846666667,20.7467333334,10.6488666667,11.0871333333,5.50133333333,8.0128,7.95913333333,11.0336,9.58406666667
443.60,7.5116,20.6725333333,10.6186,11.0436,5.45906666667,7.97926666667,7.91733333333,11.0082666667,9.56633333333
443.95,7.5102,20.6535333333,10.6093333333,11.0536,5.44346666667,7.9644,7.92733333333,10.9975333333,9.57033333335
444.31,7.49886666667,20.6110666667,10.6148,11.0464666667,5.439,7.95446666667,7.94226666667,10.9804,9.59279999999
444.66,7.518,20.5719333333,10.6452,11.0956666667,5.44726666667,7.98733333333,7.97466666667,10.9926,9.61699999999
445.02,7.538,20.5536,10.6536,11.1054,5.45113333333,7.99586666667,7.9868,11.0142666667,9.62880000001
445.37,7.54466666667,20.5276666666,10.6636,11.1083333333,5.46406666667,8.01273333334,7.991,11.0144666667,9.64546666667
445.72,7.51326666667,20.4884,10.6348666667,11.0736666667,5.42666666667,8.00173333333,7.95386666667,10.9797333333,9.6198
446.08,7.48346666667,20.4153333333,10.61,11.0524,5.3992,7.97426666667,7.92873333333,10.9473333333,9.59673333335
446.43,7.4946,20.3813333333,10.6369333333,11.0656666667,5.40053333333,7.98746666667,7.94013333333,10.9485333334,9.6156
446.79,7.47893333333,20.3432,10.6304666667,11.0553333333,5.37646666667,7.97113333333,7.9138,10.926,9.60973333334
447.14,7.496,20.3265333333,10.6532,11.0688666666,5.3844,7.99506666667,7.9158,10.9424666667,9.6262
447.50,7.49426666667,20.3039333333,10.6486666667,11.0698666667,5.3758,7.98393333333,7.90546666666,10.9359333333,9.60913333333
447.85,7.50266666667,20.2808666667,10.6608,11.0632,5.3836,7.99973333333,7.89113333333,10.9439333333,9.6136
448.21,7.52366666667,20.2648666667,10.6700666667,11.0812,5.37246666667,8.01313333333,7.8912,10.9490666667,9.6184
448.56,7.5446,20.2744,10.692,11.0861333333,5.39086666667,8.029,7.8966,10.9694666667,9.63666666666
448.92,7.55313333333,20.243,10.7262,11.1048,5.41126666667,8.04113333333,7.9138,10.9736,9.66106666668
449.27,7.57886666667,20.2558,10.7505333333,11.1415333333,5.41593333333,8.05773333333,7.94033333333,11.0086666667,9.69040000001
449.62,7.591,20.2599333333,10.7711333333,11.1664666667,5.4188,8.075,7.96533333333,11.021,9.70773333334
449.98,7.6088,20.2923333333,10.8116,11.1976,5.43966666667,8.09653333333,7.98853333333,11.0515333333,9.75079999999
450.33,7.6202,20.3172666667,10.8306666667,11.2104,5.4382,8.11406666667,8.00586666667,11.0829333333,9.77513333332
450.69,7.6428,20.3194,10.8794,11.2440666667,5.47226666667,8.1618,8.04653333333,11.1278,9.81406666666
451.04,7.62866666667,20.3113333334,10.8761333333,11.2439333333,5.4638,8.1518,8.0546,11.1182666667,9.81199999999
451.40,7.63866666667,20.3244666667,10.9038,11.2653333333,5.46086666667,8.18113333333,8.06273333333,11.1426,9.84866666668
451.75,7.62346666666,20.3097333333,10.9016,11.2814,5.4536,8.17446666667,8.0552,11.1354666667,9.85746666667
452.10,7.64273333334,20.3344,10.9431333333,11.3170666667,5.47513333333,8.19866666667,8.08206666667,11.1758,9.89313333333
452.46,7.63906666667,20.3476666667,10.9596666667,11.3624,5.49406666667,8.23173333333,8.1038,11.2086,9.91173333333
452.81,7.63893333334,20.3718666667,10.9740666667,11.3776,5.5,8.25213333333,8.12726666667,11.2304666667,9.92233333333
453.17,7.61686666667,20.3348666667,10.9653333333,11.3641333333,5.4908,8.226,8.11533333333,11.223,9.91893333333
453.52,7.6148,20.3546666667,10.9826,11.3914,5.50473333333,8.2164,8.12273333333,11.2456666667,9.9326
453.87,7.6316,20.3714,10.9828,11.4075333333,5.5012,8.224,8.127,11.2682666667,9.92706666666
454.23,7.64493333333,20.3822,10.9948,11.4332,5.51346666667,8.20926666667,8.14586666667,11.2771333333,9.93773333333
454.58,7.6608,20.43,11.0094666667,11.4458,5.5258,8.2188,8.1648,11.3062666667,9.95126666665
454.93,7.7332,20.5043333333,11.0702,11.523,5.59033333333,8.27293333334,8.21293333333,11.3985333333,10.0138
455.29,7.74193333333,20.5184666667,11.0704,11.5607333333,5.60373333333,8.28746666667,8.2384,11.4215333334,10.014
455.64,7.75673333333,20.542,11.0998666667,11.5816,5.61833333333,8.2974,8.26306666667,11.4552666667,10.0293333333
456.00,7.76786666667,20.5806666667,11.1222666667,11.6096,5.6534,8.31106666667,8.2806,11.4774,10.0335333333
456.35,7.76966666667,20.6005333333,11.129,11.5895333333,5.62726666667,8.27413333333,8.2696,11.4575333334,10.0278
456.70,7.80573333334,20.6710666667,11.1519333333,11.6266666667,5.63826666667,8.27513333333,8.286,11.4866,10.0380666667
457.06,7.85293333333,20.7772,11.2045333333,11.6796,5.67333333333,8.32706666667,8.3316,11.5346666666,10.0602
457.41,7.84746666667,20.8278666667,11.2168,11.6783333333,5.67453333333,8.3246,8.34013333333,11.5551333333,10.0519333333
457.76,7.87553333334,20.9098,11.272,11.7202,5.7132,8.3288,8.37426666667,11.5842666667,10.0854
458.12,7.86693333333,20.9548,11.2759333333,11.7318666667,5.71433333333,8.3226,8.3786,11.5908,10.0718
458.47,7.88393333333,21.0087333333,11.2916,11.7724,5.7348,8.32993333333,8.401,11.6108666667,10.0749333333
458.82,7.8682,21.0606,11.3081333333,11.7832666667,5.7444,8.3076,8.40853333333,11.6182,10.0679333333
459.18,7.91373333333,21.1443333333,11.3682666667,11.8447333333,5.80333333333,8.342,8.45493333333,11.674,10.1108666667
459.53,7.94633333333,21.2364,11.4199333333,11.9083333333,5.84913333333,8.37233333333,8.5008,11.7206666667,10.1362666667
459.88,7.962,21.3228,11.4498666667,11.9484,5.861,8.377,8.53093333333,11.7562,10.1434
460.24,7.9804,21.4050666667,11.4871333333,11.9947333333,5.9034,8.3908,8.56146666667,11.8132,10.1586
460.59,8.00246666667,21.4928666666,11.5308666667,12.0512,5.95626666667,8.417,8.60206666666,11.8740666667,10.1769333333
460.94,7.99813333333,21.5692,11.5684,12.0834666667,5.98106666667,8.40366666667,8.61259999999,11.9086666667,10.1816666667
461.29,8.06273333333,21.6792,11.6492,12.164,6.04533333333,8.45306666667,8.67273333334,11.9860666667,10.2338666667
461.65,8.10533333333,21.8146,11.7159333333,12.2442666667,6.11433333333,8.50593333333,8.73153333333,12.0853333333,10.2794
462.00,8.1766,21.9636,11.8055333334,12.3436,6.21206666667,8.55266666667,8.80373333333,12.2118,10.3448
462.35,8.2204,22.1209333333,11.9117333333,12.4366666667,6.2832,8.59539999999,8.8568,12.3224,10.4017333333
462.71,8.27906666666,22.2678,11.996,12.5323333333,6.35826666667,8.65239999999,8.92479999999,12.4153333333,10.4592666667
463.06,8.2858,22.4002666667,12.0486666667,12.5818666667,6.38206666667,8.63746666667,8.94606666667,12.4808,10.4548
463.41,8.3072,22.5224666667,12.1094,12.6428666667,6.4084,8.65239999999,8.98353333333,12.5730666667,10.4886666667
463.76,8.34,22.6240666667,12.1772,12.7038,6.45946666667,8.66820000001,9.01926666667,12.6591333333,10.5156666667
464.12,8.35193333333,22.7370666667,12.2295333333,12.7711333333,6.475,8.67306666667,9.04066666667,12.7034,10.5158
464.47,8.32546666667,22.8200666667,12.2511333333,12.7894666667,6.45686666667,8.65513333333,9.03053333334,12.7326,10.5066666667
464.82,8.3924,22.9437333333,12.3254666667,12.8780666667,6.5238,8.69446666668,9.10293333333,12.82,10.5365333333
465.17,8.39626666667,23.0448,12.3576666667,12.9248,6.5404,8.679,9.11526666667,12.8738,10.5378666667
