wavelength,Back_PooNigf,Belly_PooNigf,Breast_PooNigf,Crissum_PooNigf,Crown_PooNigf,DorTail_PooNigf,Patch10_PooNigf,Rump_PooNigf,Throat_PooNigf,WingTip_PooNigf
202.33,5.51973333335,3.22586666666,-30.2508666667,-1.14713333334,-20.8602333333,-10.1076,8.10039999999,1.60102222222,-20.3944,-1.79206666668
202.71,-0.14493333334,-2.97086666665,-37.5361333333,-9.78246666665,-27.3913333333,-15.2898,3.76813333335,-6.93237777778,-26.1595666667,-12.8262
203.09,-16.0741333333,-20.8148666667,-54.0741333333,-25.9258,-43.4814,-37.3334666667,-11.4816,-26.6914666667,-46.6295666667,-31.3334
203.47,-13.0555333333,-16.8750666667,-46.8055333333,-23.4026666667,-35.2084,-31.6666,-4.93053333334,-24.9536666667,-40.4860333333,-28.6110666667
203.85,-12.1450666667,-15.7097333333,-44.9504,-20.1320666667,-31.8811333333,-32.4752,-4.35633333333,-25.0605111111,-40.033,-29.9669333333
204.22,-0.752733333326,-0.86033333334,-26.6666,-8.11819999998,-16.1559,-16.9891333334,4.40859999999,-10.215,-26.4783666667,-12.4194666667
204.60,-2.69853333333,-2.59266666665,-26.9311333333,-11.5344,-18.6243333333,-20.3174,3.38626666666,-12.2575777778,-28.5185,-12.5396
204.98,-5.33333333333,-0.512733333326,-27.6922666667,-9.89746666666,-18.9744,-18.1026,2.20526666666,-10.4956222222,-27.6154333333,-14.8204666667
205.36,-9.31206666666,0.211733333334,-34.1269333333,-14.021,-22.7249,-21.9576666667,-1.21700000001,-12.0459111111,-29.6560333333,-19.7883333333
205.74,-13.5593333333,-4.12433333333,-41.0170666667,-18.8700666667,-31.1864333333,-26.4407333333,-5.64979999999,-21.6384444444,-39.3786333333,-26.3277333333
206.12,-8.04073333333,2.54473333333,-29.8727333333,-9.36386666667,-20.7378666667,-15.6743333333,2.0866,-11.6538,-29.7201666667,-15.9287333333
206.50,-2.67626666667,7.056,-19.4160666667,-5.20693333332,-15.4744,-10.1703333333,10.8028666667,-5.07695555556,-22.5791,-8.41839999999
206.87,0.09806666668,11.5196666667,-14.3136666667,-0.686200000013,-8.97049999999,-4.90186666666,16.6667333333,-2.23837777779,-17.6714,-5.29413333335
207.25,2.50006666667,18.5648,-7.77779999998,2.49993333334,-0.625066666652,1.89813333333,21.8056,4.70684444445,-12.1064333333,1.43520000002
207.63,4.16673333333,21.2718666667,-6.44733333334,4.2106,0.153599999993,1.71053333333,22.3246,7.47086666667,-10.4166333333,3.6404
208.01,3.9066,22.7176,-2.08073333334,5.47786666668,1.27386666667,2.37793333334,22.2930666667,7.89808888889,-9.08686666667,6.19966666668
208.39,-6.83773333332,19.9999333333,-13.846,-4.38739999998,-8.40446666667,-5.92586666666,17.9486,-3.17204444445,-20.5697666666,-4.55833333334
208.77,-5.72280000001,22.0648666667,-13.2745333333,0.235866666674,-5.10326666665,-1.23893333332,20.472,-0.432733333334,-15.6932666667,-3.30373333333
209.14,-8.76193333334,17.2698,-17.5872,-7.1746,-9.49210000001,-6.98413333332,19.3015333333,-2.37039999999,-20.7936,-7.04760000002
209.52,-14.5138666667,14.3749333334,-22.7776666667,-11.3194666667,-17.1528,-14.0974,16.4582,-9.32884444446,-27.2917333333,-14.0278
209.90,-14.5578,13.1972666667,-24.5578,-9.79593333333,-17.6870666667,-18.5034,15.5784,-7.52831111109,-24.6259,-16.5987333333
210.28,-24.1086,10.3877333333,-34.2635333333,-17.752,-30.0001,-31.3177333333,8.2946,-20.2584666667,-33.3332333333,-25.0386
210.66,-30.3604666667,10.8107333333,-45.5857333334,-21.3513333333,-31.1260666667,-40.6307333333,5.04506666667,-26.4263777778,-40.8558666667,-34.7747333333
211.03,-34.8571333333,13.0476,-54.0000666666,-21.0475333333,-41.1904666667,-49.3334666667,1.52373333333,-29.9046888889,-45.6664333333,-38.2858
211.41,-34.1799333333,11.6401333333,-56.6138666667,-18.5184666667,-51.2697,-51.2169333333,-5.07926666665,-37.2485333333,-46.9841333333,-43.2804
211.79,-13.5418,30.7291333333,-39.8956666667,1.77086666667,-29.7917666667,-30.3125333333,13.9584,-17.4652222222,-20.8854333333,-23.6458
212.17,-28.5056,19.5403333333,-60.5745999999,-12.1839333333,-41.2069,-47.1265333333,-0.229866666674,-33.9080666666,-37.7586333333,-39.7701333334
212.55,-16.7460666667,17.6190666667,-41.3492,-2.93653333333,-26.2301666667,-30.7143333333,5.07926666667,-15.8729333333,-23.2539,-22.5396666667
212.92,-22.3809333333,11.8253333333,-39.9207333333,-8.17446666667,-28.1746,-35.9524,-1.11113333333,-20.1852444445,-26.627,-25.5554666667
213.30,-13.73,26.3492,-30.2381333334,6.66653333333,-17.9762666667,-28.1746,8.73013333333,-13.4126444444,-15.6348333333,-12.9364666667
213.68,2.24553333334,33.3333333333,-12.1404,19.2280666667,-2.87723333333,-15.228,19.6490666666,0.56144444444,-2.5263,2.52633333334
214.06,-4.35386666667,27.6189333333,-11.8368666667,12.1088666667,-2.38100000001,-18.4352666667,16.5986,-1.92748888887,-5.78223333335,1.90466666666
214.44,-1.43780000001,26.1437333333,-10.3921333333,12.4837333333,5.75160000001,-12.7450666667,19.1503333333,0.718888888892,-1.40530000001,3.98693333332
214.81,3.22586666667,28.3335333333,-0.645133333348,16.9355333334,11.9085333333,-2.15060000001,21.4516,7.95691111111,8.70993333333,12.7418
215.19,-0.677133333352,22.2916666667,-1.71893333334,12.7084,8.74990000001,-4.32299999999,16.9790666667,5.00004444444,4.92186666668,9.42719999999
215.57,1.97333333334,26.3466666666,-0.533333333334,14.4,11.36,-4.10666666666,23.2533333333,9.52888888889,4.45333333332,8.85333333334
215.95,-5.20326666666,20.5419333333,-6.5582,6.8292,3.06240000001,-11.5988666667,15.5555333333,1.10208888888,-5.74513333333,0.16253333334
216.32,3.41739999999,27.8431333333,-0.279999999992,13.2773333333,10.7283333333,-6.55466666667,24.7618666667,9.07564444443,1.5126,6.94679999999
216.70,-4.44433333332,19.873,-6.15880000001,5.26986666668,5.23803333331,-15.4284666667,19.5556,1.67193333331,-6.06359999999,-1.39686666666
217.08,-0.748333333346,21.9048,-7.68713333333,7.75513333333,5.54413333333,-15.9183333333,20.7483333333,0.068066666686,-7.48296666667,-6.73466666666
