wavelength,Back_DacCaym,Belly_DacCaym,Breast_DacCaym,Crissum_DacCaym,Crown_DacCaym,DorTail_DacCaym,Rump_DacCaym,Throat_DacCaym,WingTip_DacCaym
439.69,5.9074,41.1451333333,34.6364333333,36.6044,31.7632666667,5.28433333334,38.7186666667,7.57986666666,5.36433333333
440.04,5.91326666667,41.1612666667,34.6455333333,36.6262,31.7612666667,5.284,38.7476,7.56506666667,5.37793333333
440.40,5.9136,41.1508,34.6214,36.5954,31.7609333333,5.27313333333,38.7398666667,7.56553333333,5.37526666667
440.75,5.8882,41.0876666667,34.5548333333,36.5258666667,31.7252,5.2376,38.6769333333,7.53873333334,5.351
441.11,5.88633333333,41.0838,34.5573333334,36.5248666667,31.7253333333,5.23453333333,38.6464666667,7.53613333334,5.351
441.47,5.90313333333,41.0677333333,34.5640666667,36.5290666667,31.7376,5.242,38.6360666667,7.56400000001,5.37593333333
441.82,5.9158,41.0382666666,34.5461,36.5124,31.7605333333,5.2584,38.6252,7.58013333333,5.38846666667
442.18,5.89946666667,40.9420666667,34.4632333333,36.4256,31.7219333333,5.23946666667,38.5654666667,7.57133333333,5.37493333333
442.53,5.91086666667,40.9763333333,34.5044,36.4536,31.7674666667,5.2592,38.6130666667,7.58539999999,5.3912
442.89,5.9082,40.9813333333,34.5057666667,36.4634666667,31.8038,5.2486,38.6067333333,7.5788,5.37786666667
443.24,5.88266666667,40.9865333333,34.5082,36.4479333333,31.8155333333,5.22366666667,38.5866666667,7.55873333333,5.35793333333
443.60,5.87946666667,41.0602666667,34.5658666667,36.5013333333,31.8884,5.21193333333,38.657,7.55626666666,5.35013333333
443.95,5.87966666667,41.0574666667,34.5787333333,36.4870666667,31.9161333333,5.21706666667,38.6638666667,7.57986666666,5.3474
444.31,5.86293333333,41.0687333333,34.5965333333,36.4950666667,31.9320666667,5.2108,38.6920666667,7.56453333334,5.32713333333
444.66,5.84793333334,41.0744666667,34.6165666667,36.5257333333,31.9320666667,5.2106,38.6901333333,7.56626666667,5.31466666667
445.02,5.84313333333,41.0805333333,34.6375,36.5627333333,31.9562666667,5.20713333333,38.7271333333,7.5632,5.29733333333
445.37,5.814,41.1137333333,34.6479666667,36.5525333333,31.9721333333,5.18233333333,38.7308666667,7.52426666666,5.25766666667
445.72,5.7966,41.1362,34.6556,36.5439333333,31.9764,5.1652,38.7341333333,7.50420000001,5.24086666667
446.08,5.8082,41.1978666667,34.7091,36.6062,32.0382,5.1722,38.7881333333,7.512,5.2404
446.43,5.8262,41.1824666667,34.7020666667,36.6200666667,32.0398,5.17086666667,38.7808666667,7.51633333334,5.24313333333
446.79,5.84373333333,41.2002,34.7095,36.6366666667,32.062,5.188,38.7895333333,7.53913333333,5.26506666667
447.14,5.88953333333,41.2521333333,34.7475666667,36.6879333333,32.1262666667,5.22606666667,38.8509333333,7.58199999999,5.3044
447.50,5.91033333333,41.2296,34.7574,36.6860666667,32.1405333333,5.24886666667,38.8399333333,7.6014,5.3256
447.85,5.91353333334,41.2376,34.7855,36.7168,32.1740666667,5.24813333333,38.8719333333,7.60086666667,5.32373333333
448.21,5.9142,41.2510666667,34.8011333333,36.7296,32.2037333333,5.25453333333,38.8643333333,7.60179999999,5.33293333333
448.56,5.9458,41.2926,34.8313333333,36.7668,32.2732666667,5.278,38.898,7.61626666667,5.35913333333
448.92,5.96006666667,41.3278,34.8416333333,36.7798666667,32.3280666667,5.2886,38.9192,7.63139999999,5.38866666667
449.27,5.974,41.3582,34.8651333333,36.8195333333,32.3783333333,5.302,38.9514666667,7.65899999999,5.40313333333
449.62,5.98686666667,41.3598666667,34.8766666667,36.8269333333,32.4079333333,5.30673333333,38.969,7.67173333333,5.41266666667
449.98,5.97666666666,41.3294,34.8676,36.8032,32.3984666666,5.2894,38.94,7.65533333333,5.40646666667
450.33,5.9606,41.3366666667,34.8784,36.7868,32.4345333333,5.29326666667,38.9431333333,7.65653333333,5.39753333333
450.69,5.9298,41.315,34.8483666666,36.776,32.4295333333,5.26813333333,38.9274666667,7.633,5.35986666667
451.04,5.92346666667,41.3292666667,34.8698333333,36.7836,32.4567333333,5.25606666667,38.9223333333,7.62753333334,5.3424
451.40,5.92726666667,41.3962666667,34.9126666667,36.8418666667,32.5276666667,5.26106666667,39.0002,7.62906666666,5.3348
451.75,5.94146666667,41.422,34.9174,36.8372,32.5584666667,5.2556,39.0012666667,7.65553333333,5.34973333333
452.10,5.95406666667,41.4455333333,34.9599,36.8964,32.62,5.25933333333,39.0478,7.6836,5.3644
452.46,5.97506666667,41.4984,35.0291666667,36.9546,32.6853333333,5.28206666667,39.126,7.72346666667,5.38666666666
452.81,5.96806666667,41.5206,35.0551,36.9734,32.7052,5.2752,39.1435333333,7.7262,5.36186666667
453.17,5.951,41.4828666667,35.057,36.9798666667,32.7037333333,5.26746666667,39.1256,7.717,5.35126666666
453.52,5.95213333333,41.5286666667,35.1085,37.0476,32.7479333333,5.26133333333,39.1537333333,7.72346666667,5.35053333333
453.87,5.96426666667,41.5745333333,35.1477666667,37.1162,32.8154666667,5.27746666667,39.2150666667,7.74013333334,5.3726
454.23,5.98473333333,41.633,35.1975666667,37.1838,32.8612666667,5.2838,39.2685333334,7.7488,5.39113333333
454.58,5.9902,41.6620666667,35.2608333334,37.2115333333,32.9113333333,5.28233333334,39.3015333334,7.74266666666,5.39726666667
454.93,5.97446666667,41.6402666667,35.2374,37.2204666666,32.9191333333,5.26286666667,39.2989333333,7.73373333333,5.38
455.29,5.9612,41.6534,35.2344,37.2174,32.9434666667,5.2342,39.2814666667,7.72146666667,5.3662
455.64,5.91886666667,41.6925333333,35.2581666667,37.2660666667,32.9726,5.2084,39.2903333333,7.67206666667,5.3144
456.00,5.89746666667,41.7150666667,35.2553666667,37.2714,32.974,5.1762,39.3091333333,7.65320000001,5.28033333333
456.35,5.87393333333,41.7397333333,35.2781,37.31,33.0086666667,5.16093333333,39.3245333333,7.63560000001,5.2616
456.70,5.877,41.7758,35.2989333333,37.3609333333,33.02,5.15733333333,39.3394,7.64346666667,5.28066666667
457.06,5.90973333333,41.8506,35.3774333333,37.4243333333,33.0994666667,5.18173333333,39.4128666667,7.67826666667,5.31406666667
457.41,5.936,41.9004666667,35.4389333333,37.4713333333,33.1644666667,5.20586666667,39.4804666667,7.71699999999,5.3414
457.76,5.9598,41.9350666667,35.4932666667,37.4903333333,33.2182,5.2356,39.5086,7.76373333333,5.36633333333
458.12,5.96933333333,41.9710666667,35.5282,37.5538666667,33.2966666667,5.25726666667,39.5542666667,7.79306666667,5.38033333333
458.47,5.99446666667,42.0086,35.5627666666,37.6177333333,33.3444666667,5.27986666667,39.5906,7.82366666667,5.40706666667
458.82,6.01073333333,42.0452666667,35.6155,37.6645333333,33.3845333333,5.30553333333,39.6357333333,7.83413333333,5.4312
459.18,6.03806666667,42.0854666667,35.6678666667,37.7200666667,33.4216,5.3398,39.6608,7.88379999999,5.46486666667
459.53,6.0878,42.1210666667,35.7105,37.7661333334,33.4665333333,5.38033333333,39.6992,7.93906666667,5.52306666667
459.88,6.11626666667,42.1729333333,35.7606,37.8196666667,33.5408,5.41366666667,39.7431333333,7.97599999999,5.5596
460.24,6.1252,42.1710666667,35.7648333333,37.8214666667,33.5539333333,5.40913333333,39.7504666667,7.98019999999,5.57353333333
460.59,6.1396,42.1885333333,35.8077333333,37.8588666667,33.6254666667,5.42313333333,39.797,7.99539999999,5.57993333333
460.94,6.1366,42.1616,35.7897,37.8558666667,33.6266666667,5.41506666667,39.7910666667,7.98893333334,5.57826666667
461.29,6.14206666667,42.187,35.8148333333,37.9090666667,33.6901333333,5.4204,39.8092666667,7.99326666667,5.5822
461.65,6.14786666667,42.2259333333,35.8495666667,37.9814666667,33.7566666667,5.41913333333,39.8715333333,7.98940000001,5.57826666667
462.00,6.15333333333,42.2558,35.8875666667,38.0189333333,33.8076,5.4248,39.9140666667,7.99766666666,5.58693333333
462.35,6.14746666667,42.2858,35.9212666667,38.0478666667,33.8664,5.41246666667,39.9456666667,7.99593333333,5.58466666667
462.71,6.14673333333,42.3096666667,35.9527333333,38.0972,33.9356666667,5.401,39.9896,8.01506666667,5.59186666667
463.06,6.12726666667,42.2939333333,35.9354333333,38.1306,33.9706,5.38433333333,40.0080666667,7.99733333334,5.5804
463.41,6.12826666667,42.3409333333,35.9937,38.2085333333,34.0523333333,5.39153333333,40.0820666666,8.00479999999,5.57746666667
463.76,6.14773333333,42.3682,36.0598333333,38.2792666667,34.1132666667,5.40773333333,40.1377333333,8.01026666667,5.58866666667
464.12,6.1616,42.4551333333,36.1447,38.3697333333,34.2077333333,5.4246,40.2127333333,8.02173333333,5.59586666667
464.47,6.1736,42.4772,36.1473333333,38.4182666667,34.2516666667,5.43873333333,40.2547333333,8.0276,5.604
464.82,6.1722,42.5395333333,36.1818,38.4804,34.3177333333,5.43066666667,40.2997333333,8.04666666667,5.6032
465.17,6.16173333333,42.5751333333,36.2127,38.5026666667,34.3433333333,5.4242,40.3286,8.04506666666,5.59246666667
465.53,6.15453333333,42.5839333333,36.2385333333,38.5253333333,34.3808,5.40886666667,40.3430666667,8.05020000001,5.58986666667
465.88,6.16333333333,42.6428,36.2831666667,38.5661333333,34.4320666667,5.4058,40.3620666667,8.05113333334,5.58806666667
466.23,6.1746,42.6939333333,36.3405,38.6060666667,34.4948666667,5.42366666667,40.3988,8.08026666667,5.59273333333
466.58,6.17153333333,42.7519333333,36.3697333333,38.6333333333,34.5299333333,5.4202,40.4272666667,8.07833333333,5.57513333333
466.94,6.17186666667,42.8149333333,36.4404666667,38.6896,34.6044,5.42926666667,40.4978666667,8.08346666667,5.56673333333
467.29,6.12133333333,42.8114,36.4495,38.6907333333,34.6266666667,5.3894,40.4904,8.04993333333,5.5228
467.64,6.09293333333,42.8474,36.4488,38.6948,34.6614666667,5.3536,40.4921333333,8.03846666666,5.49546666667
467.99,6.07313333333,42.8528,36.4576,38.6856666667,34.6731333333,5.33053333334,40.493,8.04426666667,5.46466666667
468.35,6.08166666667,42.986,36.5690666667,38.7752666667,34.7960666667,5.33366666667,40.5747333333,8.07780000001,5.46486666667
