wavelength,Back_RamFlam,Belly_RamFlam,Breast_RamFlam,Crissum_RamFlam,Crown_RamFlam,DorTail_RamFlam,Rump_RamFlam,Throat_RamFlam,WingTip_RamFlam
632.92,1.85313333333,3.26946666667,1.99006666667,3.07346666667,0.787066666667,2.857,61.9736,1.30646666667,2.10533333333
633.26,1.8608,3.28093333333,2.01526666667,3.08653333333,0.816866666666,2.8574,61.8953333333,1.31673333333,2.1488
633.59,1.84226666667,3.25493333333,1.97673333333,3.09486666667,0.803133333333,2.83706666667,62.0000666667,1.30506666667,2.12213333333
633.92,1.811,3.18466666667,1.92113333333,3.0526,0.751200000001,2.76893333333,62.0074,1.23933333333,2.06846666667
634.25,1.81266666667,3.18586666667,1.90753333333,3.0558,0.754333333334,2.78066666667,61.9936666667,1.22213333333,2.07346666667
634.58,1.7882,3.1702,1.88426666667,3.05233333333,0.72,2.76573333333,61.9390666667,1.20886666667,2.0542
634.91,1.7786,3.1616,1.87693333333,3.057,0.695333333333,2.76106666667,61.9804666667,1.20566666667,2.055
635.25,1.816,3.21446666667,1.91033333333,3.08706666667,0.711866666666,2.79573333333,62.1439333334,1.23766666667,2.0938
635.58,1.76593333333,3.17993333333,1.8946,3.05753333333,0.669733333334,2.7666,62.1220666667,1.19786666667,2.07446666667
635.91,1.74246666667,3.17353333333,1.87893333333,3.02093333333,0.638133333333,2.73353333333,62.1715333333,1.15006666667,2.05913333333
636.24,1.71806666667,3.17326666667,1.85306666667,2.99893333333,0.624066666667,2.711,62.1709333333,1.1328,2.05253333333
636.57,1.711,3.16906666667,1.86106666667,3.01413333333,0.611200000001,2.7118,62.1586666667,1.1106,2.04433333333
636.90,1.6788,3.14946666667,1.81306666667,2.97133333333,0.564066666666,2.6654,62.1848,1.06586666667,1.97606666667
637.23,1.72586666667,3.17633333334,1.853,2.98106666667,0.567666666666,2.67113333333,62.1316666667,1.0822,2.00646666667
637.56,1.7354,3.21013333333,1.88793333333,3.00046666667,0.592333333334,2.7068,62.1528666667,1.13373333333,2.0384
637.90,1.72826666667,3.22113333333,1.90513333333,3.018,0.602266666667,2.70753333333,62.1914666667,1.16126666667,2.07113333333
638.23,1.74686666667,3.2634,1.9464,3.0438,0.645533333333,2.76766666667,62.2396,1.18226666667,2.10313333333
638.56,1.75386666667,3.2972,1.9718,3.04373333333,0.684866666667,2.7924,62.2236666667,1.18133333333,2.13993333333
