wavelength,Back_TanHeim,Belly_TanHeim,Breast_TanHeim,Crissum_TanHeim,Crown_TanHeim,DorTail_TanHeim,Patch10_TanHeim,Rump_TanHeim,Throat_TanHeim,WingTip_TanHeim
741.49,19.7471333333,13.033,17.3002666667,14.3923333334,7.5096,9.99873333333,12.6564,24.1010666667,16.7918,11.7951333333
741.81,19.3678,12.5352,16.96,13.8718,6.95593333333,9.42813333334,12.5138666667,23.7390666667,16.4723333333,11.1558
742.12,19.194,12.0082666667,16.714,13.6092,6.46386666667,9.18726666667,12.0891333333,23.4727333333,16.2515333333,10.8127333333
742.44,19.4878,12.3389333333,16.9868,13.8618666667,6.7428,9.68253333333,12.6061333333,23.7352,16.6028,11.1238
742.76,19.266,11.8348666667,16.7013333333,13.3414666667,6.2458,9.14833333334,12.1920666667,23.5426,16.2221333333,10.6023333333
743.07,19.1353333333,11.8354666667,16.8704,13.2804,6.22873333333,9.09906666666,12.2567333333,23.4337333333,16.0502666667,10.5744
743.39,19.5271333333,12.446,17.4356,13.7256,6.6416,9.5508,12.8548,23.9087333333,16.3939333333,10.9256
743.70,19.4596,12.52,17.4758,13.6822666667,6.55406666667,9.48933333333,13.0856666667,23.9228,16.2516666667,10.6628666667
744.02,19.4044,12.7010666667,17.6573333333,13.6324666667,6.8106,9.72906666667,13.2572,23.9430666667,16.3590666667,10.8947333333
744.34,19.3862666667,12.925,17.9186666667,13.6072,6.74953333334,9.78446666666,13.4130666667,23.9229333333,16.2198,11.0722
744.65,19.5453333333,13.0829333333,18.2441333333,13.7478666667,6.7328,9.9222,13.4716666667,23.9982666667,16.1858,10.9154
744.97,19.5918666667,13.2956666667,18.1734666667,13.6690666667,6.9562,10.2417333333,13.6402,24.0005333333,16.2136,11.0898
745.28,19.4601333333,13.1736666667,18.157,13.612,6.94233333333,10.1959333333,13.3129333333,23.6685333333,16.1514666667,11.0027333333
745.60,19.4612,13.2571333333,17.9974,13.348,6.8336,10.1772666667,13.1927333333,23.6889333333,16.0006,10.9237333333
745.91,19.6924666667,13.5539333333,18.2847333333,13.6904,7.24426666667,10.6951333333,13.5134666667,23.9588,16.2036666667,11.2698
746.23,19.8089333333,13.8688666667,18.2804666667,14.0599333334,7.43653333333,11.0147333333,13.6893333333,24.1858666667,16.2860666667,11.6339333333
746.55,19.4244666667,13.3792666667,17.6377333333,13.6815333333,7.1126,10.7810666667,13.2412666667,23.5850666667,16.0696,11.2616
746.86,19.5814,13.4996666667,17.7462,13.8036,7.24586666667,10.9677333333,13.3304,23.6416,16.1606,11.4954
747.18,19.6382,13.8074,17.9404666667,13.9509333334,7.405,11.2566666667,13.365,23.9321333333,16.5188666667,11.7536
747.49,19.7746666667,13.9349333333,17.9783333334,14.0348,7.35666666666,11.4114666667,13.5129333333,24.0746666667,16.6410666666,11.8364
747.81,19.5426,14.0476,17.9838666667,14.1438,7.4968,11.2354666667,13.4691333333,24.1198,16.812,11.7436666667
748.12,19.7932,14.2389333334,18.1999333333,14.3451333333,7.84066666667,11.5388,13.7526666666,24.3884666666,17.2047333333,12.2935333333
748.44,19.8085333333,14.0358666667,18.1119333333,14.2552,7.74953333334,11.2564,13.6220666667,24.201,17.2678,12.2227333333
748.75,19.3608666667,13.6808666667,17.5572,13.7196,7.20853333333,10.7128,13.1526666667,23.7098666667,16.7348,11.5797333333
749.07,19.6455333333,13.8938,17.8426666667,14.0754,7.65053333333,10.8024,13.4212,23.7456666667,17.0267333333,11.9015333333
749.38,19.7155333333,13.8274,17.6287333334,13.8274,7.45893333333,10.2885333333,13.1512666667,23.4838,16.889,11.6936
749.70,19.7167333333,13.8586666667,17.7500666667,13.801,7.4642,10.2695333333,13.2150666667,23.2783333333,17.1644666667,11.5786666667
750.01,19.9972666667,14.1094666667,18.1372666666,13.8462,7.50386666667,10.3535333333,13.4165333333,23.6146666667,17.2142,11.7782
750.33,19.3632,13.6669333333,17.6174,13.2415333333,7.05593333333,9.79986666666,12.8802,22.9663333333,16.6638666667,11.1482
750.64,19.5768666667,13.6897333333,17.4028666667,13.2470666667,7.17886666667,9.88440000001,12.8489333333,22.9256,16.3979333333,11.1927333333
750.96,19.465,13.4530666667,17.2392,13.0297333333,7.182,9.76466666667,12.4948,22.5072666667,16.3114666667,10.9542
751.27,20.2478666667,13.8317333333,17.7693333333,13.4726,7.7082,10.6127333333,12.9685333333,22.9489333333,16.8671333333,11.6040666667
751.59,20.2807333333,14.0241333333,17.8376,13.4652,7.67753333333,10.6458666667,12.9597333334,22.8785333333,16.9615333333,11.3535333333
751.90,20.0678666667,13.8648666666,17.6364,13.2880666667,7.33106666667,10.4523333333,12.7142,22.7198,16.6722666667,11.0941333333
752.22,20.5776666667,14.4102666666,18.1713333333,13.8690666667,7.90073333333,11.1961333333,13.3416666667,23.2562,17.2542,11.7878666667
752.53,20.6262666667,14.648,18.2875333333,13.8975333333,7.84613333333,11.4035333333,13.4660666667,23.4025333333,17.3282666667,11.5756666667
752.85,20.0598,14.0917333333,17.8212666667,13.1998666667,7.20913333333,10.9188666667,12.9215333333,22.92,16.9179333333,10.9956666667
753.16,19.9026,13.7834,17.4348,12.9750666667,6.8702,10.4786,12.4792666667,22.8519333333,16.4745333333,10.8140666667
753.47,19.3572,13.2932,16.8776,12.6876666667,6.66373333333,10.0158,12.0190666667,22.5283333333,16.1543333333,10.4578
753.79,19.8954666667,13.4465333333,17.0264666667,13.0084666667,6.95093333333,10.2524,12.2048666667,22.8286666667,16.4838,10.6730666667
754.10,20.1764666667,13.5935333333,17.4606666667,13.2724666667,7.19586666667,10.3052,12.4338,22.8718666667,16.9804,10.9183333333
754.42,20.4168666667,13.7618,17.6037333333,13.5608666667,7.37506666666,10.3892,12.5784,23.1803333333,17.1139333333,11.0944666667
754.73,19.6707333333,13.0715333333,16.6299333333,12.7422,6.599,9.56026666665,11.8189333333,22.5318666667,16.2976666667,10.2749333333
755.05,18.8462666666,12.1944,15.8498,11.9200666667,5.8496,8.76859999999,10.9183333333,21.8218,15.5247333333,9.73173333333
755.36,19.0754666667,12.1958,15.9688,11.9134666667,6.1504,8.96893333333,10.968,21.9690666667,15.6836,9.77653333335
755.67,18.9504666667,11.9877333333,15.7223333333,11.7193333333,6.07786666667,8.65299999999,10.5872666667,21.7971333333,15.3897333333,9.40660000001
755.99,18.6432,11.583,15.0434,11.0656,5.66606666667,8.135,10.0341333333,21.4404666667,14.9440666667,9.16979999999
756.30,19.5422666667,12.5474666667,16.1795333333,12.3342,7.00706666667,9.31473333334,11.0130666667,22.6543333333,15.8484,10.2675333333
756.62,19.7447333333,12.8350666666,16.5068,12.6352666667,7.49393333333,9.75393333333,11.4821333333,22.8535333333,16.2484,10.4488666667
756.93,20.1968666667,13.4502,16.8080666667,12.9367333333,7.78906666667,10.0491333333,11.9557333333,23.1887333333,16.5990666667,10.8118
757.24,19.5482666667,13.0340666667,16.395,12.3534666667,7.2832,9.64886666667,11.4621333334,22.7808,16.1539333334,10.1983333333
757.56,19.1848,12.8575333333,15.9848,12.0819333333,7.23653333333,9.46966666667,11.2302,22.5393333333,15.8636666667,10.0485333333
757.87,19.4001333333,13.2310666667,16.2206,12.4443333333,7.40213333333,9.63246666666,11.5370666667,22.7336666667,16.091,10.4279333333
758.18,19.8196,13.5558666667,16.5028,12.8612,7.9146,9.92019999999,11.7996666667,23.0192,16.3465333333,10.7051333333
758.50,20.4940666667,14.125,16.8096666667,13.4732666667,8.27680000001,10.3035333333,12.3422666667,23.4464,16.7618,11.0178
758.81,20.6176,14.2671333333,16.7612666667,13.7588666667,8.29473333333,10.3546,12.4261333333,23.5668,16.8026,11.2884
759.13,20.6856,14.2464,16.5751333333,13.6318,8.2506,10.3309333333,12.3346666667,23.6139333333,16.8646666667,11.4982666667
759.44,21.1039333333,14.6934666667,17.1748666667,14.3965333333,8.73753333333,10.9132,12.7740666667,24.0309333333,17.3818,11.8624666667
759.75,20.9216,14.5864,16.7698666667,14.0834666667,8.35,10.4375333333,12.4726666667,23.5528,17.3135333334,11.5918666667
760.07,21.4783333333,15.0782,17.0753333333,14.6231333333,8.71886666667,10.7652,12.829,24.0346666667,17.7478666667,12.1361333333
760.38,21.357,14.7829333334,16.979,14.5486,8.60226666667,10.7899333333,12.5954666667,23.8774,17.7518,12.0718
760.69,22.2535333333,15.513,17.6865333333,15.5954666666,9.39873333334,11.6438666667,13.3847333333,24.4330666667,18.6438,13.1282666667
761.01,22.5243333333,15.7874666667,18.0058,16.1716,9.73213333333,12.032,13.8438666667,24.7848,19.0408666667,13.4903333333
761.32,22.086,15.2408,17.3706666667,15.5894,9.35633333333,11.5328666667,13.4652,24.2980666667,18.5316666667,12.9134666667
761.63,21.8679333333,15.2198666667,17.2180666667,15.4856,9.16959999999,11.3244666667,13.5751333334,24.2858666667,18.4535333333,12.9984666667
761.94,21.8276,15.2170666667,17.2227333333,15.6242666667,9.44373333333,11.5692666667,13.7202666667,24.4597333333,18.5056666667,13.3536666667
762.26,21.4164666666,14.9987333333,17.0832,15.4766666667,9.15733333333,11.2761333333,13.5649333333,24.2769333333,18.2508666667,13.0105333333
762.57,21.4451333334,15.2146,17.3454666667,15.7544,9.31866666667,11.4757333333,13.8143333333,24.5074,18.4206666667,13.1047333333
762.88,21.5195333333,15.3180666667,17.4012,15.8016,9.37086666666,11.4152666667,13.8603333333,24.6041333333,18.5035333333,13.2578
763.20,21.1698,15.0027333333,17.0196,15.5093333333,8.9792,11.2225333333,13.4609333333,24.4594,18.0010666667,12.9524666667
763.51,20.8669333333,14.7070666667,16.8122666667,15.3384,8.79406666667,11.1260666667,13.1465333333,24.2792666667,17.8370666666,12.6730666667
763.82,20.8788666667,14.7069333333,16.6721333333,15.2435333333,8.79326666667,10.9174666667,13.0351333333,24.2752,17.6879333334,12.5560666667
764.14,20.6158,14.5271333333,16.3654666667,15.0675333333,8.5448,10.7309333333,12.8283333333,24.2613333333,17.4507333333,12.31
764.45,20.6333333333,14.4219333333,16.2586666667,14.8726666666,8.3728,10.64,12.6595333333,24.1762666667,17.46,12.1546666667
764.76,20.8388,14.6455333333,16.5736,15.0889333334,8.63133333333,10.987,12.9012666667,24.5294666667,17.7524666667,12.4324666667
765.07,20.973,14.4968,16.5808666667,15.0773333333,8.551,11.1300666666,12.7528,24.4610666667,17.6874,12.2246
765.39,20.9128,14.3308666667,16.4384666667,15.0316666667,8.3676,11.0811333333,12.6251333333,24.4445333333,17.6480666666,12.0165333333
765.70,21.2631333333,14.7836,16.7380666667,15.3191333333,8.87586666666,11.644,12.9824666667,24.7146666667,18.126,12.5719333333
766.01,21.1938666667,14.6425333333,16.4622,15.2215333334,8.6922,11.6535333333,12.7349333333,24.4353333333,17.9249333333,12.466
766.32,20.817,14.1908,15.8800666667,14.9268,8.43106666667,11.4356,12.3598666666,24.0620666667,17.3084666667,12.0903333333
766.64,20.9256666667,13.9922666667,15.6629333333,14.9394,8.30346666666,11.5126666667,12.3126,23.9018666667,17.3394666667,12.0766
766.95,20.8556666666,13.9376666667,15.4929333333,14.6214,8.0852,11.4758666667,12.1818666667,23.8423333333,17.0484,11.9784
767.26,21.0603333333,13.9264666667,15.6793333333,14.9071333333,8.0982,11.9117333333,12.3127333333,24.0986666667,17.2134,11.9582666666
767.57,20.8026666667,13.8974666667,15.5267333333,14.6654,7.926,11.8388,12.2781333333,23.9128666667,17.0559333333,11.8802666667
767.88,20.6492666667,13.7435333333,15.3950666667,14.5496,7.80446666667,11.7818,11.9351333333,23.7202,16.4258666667,11.6890666667
768.20,20.2221333333,13.2444666667,14.8777333333,14.3628666667,7.28513333333,11.5112,11.4036666667,23.4259333333,15.8036,11.2628666667
768.51,20.3195333333,13.6948666667,15.2434666667,14.7488666667,7.59126666667,11.8532,11.6666,23.7632666667,16.3356666667,11.7160666667
768.82,20.7013333333,14.3074,15.6362,15.0672,7.933,12.1956666666,11.8334,24.2042666667,16.6452666667,12.1605333333
769.13,20.4031333333,13.9017333333,15.2599333333,15.0019333333,7.45666666667,11.8822,11.4631333333,24.1677333333,16.2796666667,11.8460666667
769.44,20.6048,13.8256666667,15.2898666667,15.1272,7.34246666667,12.0651333333,11.6520666667,24.464,16.2076666667,11.869
769.76,20.8216666667,13.9794666667,15.5413333333,15.4086,7.47973333333,12.2508666667,11.7886,24.6812,16.5896666667,12.0068666666
770.07,20.9851333333,14.6050666667,16.2457333333,15.7638,8.11213333333,12.8342666667,12.4392666667,25.1042,16.9879333333,12.2264666667
770.38,21.1634666667,14.6118,16.2574,15.7354666667,8.31226666666,12.8378666667,12.3778666667,25.0299333333,17.1511333333,12.1522
770.69,21.6015333333,15.1102666667,16.7296666667,16.3113333333,8.709,13.4413333333,12.6676666667,25.4339333334,17.4853333333,12.8834
771.00,22.0296666667,15.0898666667,17.2103333333,16.7236,9.16040000001,13.6609333333,12.9511333333,25.9749333333,17.5744666667,12.9874666667
771.32,22.4438666667,15.5242666667,17.5422,17.3220666667,9.48960000001,14.1947333333,13.3988,26.8164666667,18.2584666667,13.4738
771.63,23.0578666666,15.8878666667,18.2288,17.678,9.89073333333,14.6249333333,14.0977333333,27.1747333333,18.7512,13.9126666667
771.94,22.2027333334,15.4730666667,17.6661333333,17.4285333333,9.19459999999,14.0514666667,13.5904666667,26.8170666667,18.0446,13.348
772.25,21.9862,15.2205333333,17.8058,17.3551333333,9.06386666668,13.9623333334,13.4621333333,26.3892666667,18.1278666667,13.2342666667
772.56,22.0698,15.0666666666,17.7644,17.4026666667,9.01280000001,14.0869333333,13.3182,26.6767333333,18.0156,13.0770666667
772.87,21.5382,14.9376,17.7642666667,17.1580666667,8.89246666665,13.7255333334,12.9411333333,26.5191333333,17.8508,13.094
773.18,21.5314666667,15.3338666667,18.1490666667,17.6025333333,9.13126666667,14.3078666667,13.6169333333,26.8521333333,18.3294,13.6014666667
773.50,21.7078666667,15.1697333333,17.8240666667,17.5462,9.14093333332,14.2748,13.3076,26.7182,18.0144,13.7448666667
773.81,22.2781333333,15.815,18.5160666667,18.5998,9.51933333334,14.8588,14.1954,27.2936,18.4222,14.4984666667
774.12,22.0294,15.5732,18.4910666667,18.6068,9.2114,14.6845333333,13.9904666667,27.5184666667,18.4227333333,14.5636666666
774.43,21.1284,14.9577333334,17.4379333333,17.4762,7.90939999999,13.8021333333,12.7445333333,26.7102,17.6234,13.4042
774.74,20.7190666666,14.6568666667,16.9772,17.0152,7.4726,13.306,12.4727333333,26.416,17.0805333333,12.9956666667
775.05,19.8402,14.3910666667,16.3086,16.606,6.58953333333,12.7327333333,11.3829333333,25.9117333333,16.5895333333,12.4903333333
775.36,20.1459333333,14.1758,16.4336,16.4504666667,6.2848,12.4291333333,11.0979333333,25.9421333333,16.0966,12.3278666667
775.67,19.5621333333,13.5722,15.8362,16.0295333333,5.51186666667,11.8828666667,10.5858,25.6769333333,14.8009333333,11.5130666667
775.98,18.8466,12.7624666667,15.3460666667,15.1500666667,4.39453333333,11.061,9.75786666666,24.781,14.1291333333,10.5768666667
776.30,18.8696,12.6586,14.9597333333,14.9308666667,4.37713333333,11.1015333333,9.69433333333,24.533,14.1349333333,10.2653333333
776.61,17.9374666667,11.3000666667,13.9818666667,13.1639333333,2.8922,9.55886666668,8.27933333333,23.5348666667,13.0528,8.84019999999
776.92,17.5258,11.0422666667,14.0302,12.9199333333,2.43293333333,9.06986666667,7.90653333333,23.4602666667,12.5716666667,8.56799999999
777.23,16.4954666667,9.81053333333,13.0148,11.4877333333,0.991866666666,7.96506666666,6.69066666667,22.5848666667,11.4096666667,7.77286666667
777.54,15.3657333333,8.9688,12.0563333333,10.5755333333,0.209733333333,6.90653333334,5.97733333333,20.8332666667,10.3955333333,6.7506
777.85,16.5042666667,9.94786666667,13.1187333333,11.9477333333,1.8724,8.23179999999,7.59413333334,21.7391333333,11.6406666667,8.30726666667
778.16,16.0319333333,9.18866666666,13.0276,11.3874666667,1.0228,7.42513333333,6.943,20.9406666667,10.8288,7.90706666667
778.47,15.6524,8.14360000001,12.5682,10.7354666667,0.462533333334,6.76746666666,6.47686666667,20.5456,10.0535333333,7.15886666667
778.78,15.8704666667,8.53900000001,12.8026,10.6386,1.16073333333,7.04,7.02833333333,20.7580666667,10.7960666667,7.83333333333
779.09,16.5026666667,9.03086666667,13.0974,10.8944,1.74293333333,7.79413333333,7.48346666665,21.0298,11.1994,8.33486666667
779.40,17.7356666666,10.4139333333,14.4137333333,11.7816,3.07473333333,9.18973333333,9.00586666666,21.885,12.0172666667,9.71833333333
