wavelength,Back_SpoCasf,Belly_SpoCasf,Breast_SpoCasf,Crissum_SpoCasf,Crown_SpoCasf,DorTail_SpoCasf,Patch10_SpoCasf,Patch11_SpoCasf,Rump_SpoCasf,Throat_SpoCasf,WingTip_SpoCasf
681.85,17.0142,50.9155333333,33.1878,50.7813333333,16.095,14.6477,20.4309333333,32.4012666667,22.3159333333,33.9686666667,16.3922
682.18,17.0372,50.8018,33.1724,50.6924,16.0736,14.6268666667,20.3210666667,32.3147333333,22.2460666667,33.8842,16.3898
682.50,17.0854666667,50.7401333333,33.1882666666,50.6228,16.1218,14.6317333333,20.3956,32.2866,22.2916666667,33.9081333333,16.4188
682.83,17.1801333333,50.8487333333,33.2856666667,50.7779333333,16.2216666667,14.7068,20.5542,32.3583333333,22.4041333333,34.0736,16.5085333333
683.15,17.2261333333,50.872,33.2796,50.7091333333,16.2096666667,14.7121666667,20.6256,32.3754,22.3748,34.0474,16.6026
683.48,17.1622,50.7950666667,33.1994,50.6117333333,16.1918,14.6540333333,20.5852666667,32.2690666667,22.2678666667,33.9817333333,16.5146666667
683.80,17.202,50.7168666667,33.1909333333,50.5580666667,16.1830666667,14.6452666667,20.5799333333,32.2790666667,22.2712666667,34.0104,16.5156666667
684.13,17.2520666667,50.8322,33.3366,50.7105333333,16.2038666667,14.6081333333,20.5826,32.3216,22.342,34.1190666667,16.5246
684.45,17.2484666667,50.8435333333,33.3139333333,50.7198666667,16.1899333334,14.5636666667,20.5592666667,32.3054666667,22.3314,34.1122,16.4832666667
684.78,17.3556666667,50.9588666667,33.4486666667,50.7921333333,16.2941333334,14.7029,20.6664,32.4402,22.4308666667,34.2288666666,16.5753333333
685.10,17.3830666667,51.0052,33.4723333333,50.919,16.2698666667,14.7254666667,20.6778666667,32.4088,22.4216666667,34.3770666667,16.5438666667
685.43,17.3688,50.9787333333,33.4425333333,50.8071333333,16.1272,14.6649,20.6487333333,32.3110666667,22.4162,34.2987333333,16.4108
685.75,17.3341333333,51.0406,33.4380666666,50.8276666667,16.1307333333,14.6934,20.696,32.3596666667,22.4604,34.3614,16.4595333333
