wavelength,Back_SpoAmem,Belly_SpoAmem,Breast_SpoAmem,Crissum_SpoAmem,Crown_SpoAmem,DorTail_SpoAmem,Rump_SpoAmem,Throat_SpoAmem,WingTip_SpoAmem
382.33,5.00886666667,32.2808666667,6.49373333333,27.5292666667,3.21773333333,6.33226666667,16.7218,27.6314666667,6.43033333333
382.69,4.94953333333,32.3582,6.46993333333,27.6024666667,3.172,6.28633333333,16.7505333333,27.6754666667,6.3858
383.05,4.90973333333,32.3564,6.44853333334,27.5698666667,3.13453333333,6.25346666667,16.7176666667,27.6525333333,6.36473333333
383.41,4.9526,32.4830666667,6.50939999999,27.6633333333,3.1714,6.2998,16.7791333333,27.6718,6.4252
383.77,4.98346666667,32.5546,6.53666666667,27.7546666667,3.1584,6.2632,16.8094,27.7511333333,6.4452
384.14,4.972,32.5705333333,6.53666666667,27.7749333333,3.12673333333,6.19986666667,16.773,27.7351333333,6.41273333333
384.50,4.9548,32.6712,6.5244,27.865,3.1254,6.16273333333,16.8116666667,27.8714666667,6.45653333333
384.86,4.9248,32.7356,6.5568,27.9028666667,3.10666666666,6.13686666667,16.7842666667,27.8646,6.44386666667
385.22,4.921,32.7826,6.55386666666,27.9369333333,3.06006666667,6.0806,16.7974,27.8658666667,6.43326666667
385.58,4.86586666667,32.8822,6.47386666667,27.9957333333,2.9922,5.99593333333,16.7380666667,27.8812666667,6.35313333333
385.94,4.9428,32.9606,6.53073333334,28.0907333333,3.05726666667,6.05693333333,16.7876,27.9386,6.38866666667
386.30,4.95313333333,33.1004,6.55419999999,28.1579333333,3.05906666667,6.0336,16.854,27.9915333333,6.40586666667
386.66,5.0038,33.2190666667,6.575,28.213,3.08506666667,6.0938,16.94,28.0688,6.439
387.03,5.058,33.3306,6.6048,28.3056666667,3.09733333333,6.10046666667,17.0088,28.1214,6.44406666667
387.39,5.14233333333,33.4470666667,6.67333333333,28.4113333333,3.16026666667,6.1534,17.0812666667,28.212,6.50686666667
387.75,5.18353333333,33.6181333333,6.70500000001,28.5148666667,3.2172,6.17733333333,17.1483333333,28.2823333333,6.54673333334
388.11,5.171,33.6833333333,6.6772,28.5636,3.23353333333,6.13813333333,17.1380666667,28.2711333333,6.54766666667
388.47,5.1564,33.6913333333,6.68366666667,28.5252,3.23153333333,6.11986666667,17.1121333333,28.1936,6.50646666667
388.83,5.143,33.8068,6.67973333333,28.5904666667,3.23906666667,6.10313333333,17.1664666667,28.2992666667,6.51506666667
389.19,5.1252,33.8712666666,6.69579999999,28.6431333333,3.25973333333,6.1346,17.1687333333,28.3186666667,6.52446666667
389.55,5.17806666667,34.0207333333,6.77686666667,28.7483333333,3.3152,6.20526666667,17.2952666667,28.4249333333,6.61146666667
389.91,5.09226666667,34.0535333333,6.69200000001,28.7146,3.25386666667,6.1324,17.2472,28.4132666667,6.5578
390.27,5.08653333333,34.0968,6.6596,28.7168,3.25553333333,6.11646666667,17.2328666667,28.4274666667,6.5324
390.63,5.04673333333,34.0942666667,6.61353333333,28.6706666667,3.21593333333,6.03726666667,17.178,28.4047333333,6.4858
391.00,5.0636,34.1741333333,6.618,28.7117333333,3.24733333333,6.06273333333,17.2168,28.4669333333,6.52133333333
391.36,5.05566666667,34.1995333333,6.60860000001,28.7378666667,3.2344,6.06953333333,17.2090666667,28.466,6.50366666667
391.72,5.05093333333,34.2153333333,6.60919999999,28.7556,3.2112,6.07113333334,17.2068,28.4724666667,6.47893333333
392.08,5.05246666667,34.2786,6.6226,28.8092,3.17446666667,6.08153333333,17.2188,28.5494666667,6.46093333333
392.44,5.08486666667,34.3717333333,6.62279999999,28.9002666667,3.17013333333,6.09286666667,17.2325333333,28.6454666667,6.47406666667
392.80,5.0942,34.4245333333,6.59913333333,28.9096666667,3.13433333333,6.09433333333,17.2074,28.6046,6.43266666667
393.16,5.10913333333,34.5298666667,6.58313333334,28.9449333333,3.1202,6.07146666667,17.2434,28.652,6.4044
393.52,5.14006666667,34.5974666667,6.59326666666,29.0144,3.1262,6.10306666667,17.2397333333,28.6820666667,6.41226666667
393.88,5.18333333333,34.7026666666,6.64246666667,29.1042666667,3.1714,6.1366,17.2954,28.7104,6.4652
394.24,5.20166666666,34.83,6.7046,29.2276666667,3.18533333333,6.14393333333,17.3503333333,28.809,6.48373333333
394.60,5.20086666667,34.9258,6.71160000001,29.2957333333,3.17313333333,6.1566,17.3486666667,28.8306666667,6.4726
394.96,5.18346666667,34.9720666667,6.70406666667,29.3570666667,3.14193333333,6.14246666667,17.3190666667,28.8366,6.44746666667
395.32,5.14086666667,35.0369333333,6.67093333333,29.3695333333,3.10093333333,6.0888,17.3148,28.8330666667,6.40853333333
395.68,5.0512,35.074,6.57586666667,29.3577333333,3.00566666667,5.97986666667,17.2496666667,28.8160666667,6.3448
396.04,5.01486666667,35.1723333333,6.57273333334,29.3817333333,2.9816,5.96886666667,17.2894,28.8166666667,6.34033333333
396.40,4.9842,35.2384,6.57186666667,29.405,2.97033333333,5.95253333333,17.3191333333,28.8112,6.28626666667
396.76,4.9168,35.2443333333,6.51646666667,29.4089333333,2.919,5.88746666667,17.272,28.8381333333,6.2198
397.12,4.86893333333,35.2826,6.4814,29.4443333333,2.89586666667,5.85173333333,17.2631333333,28.8358666667,6.1994
397.48,4.80626666667,35.3035333333,6.4432,29.404,2.84213333333,5.7842,17.2028666667,28.7845333333,6.12793333333
397.84,4.81866666667,35.4471333333,6.47893333333,29.5566,2.86266666667,5.80066666667,17.2827333333,28.8610666667,6.14093333333
398.20,4.77526666667,35.4438666667,6.43273333333,29.5492,2.8166,5.77793333333,17.2598,28.7993333333,6.11626666667
398.56,4.73846666667,35.4631333333,6.41653333333,29.5916,2.81266666667,5.76633333333,17.2708,28.7811333333,6.09926666667
398.92,4.78,35.5430666667,6.46480000001,29.6636666667,2.86613333333,5.7928,17.3546,28.8443333333,6.13933333333
