wavelength,Back_TanVasf,Belly_TanVasf,Breast_TanVasf,Crissum_TanVasf,Crown_TanVasf,DorTail_TanVasf,Patch10_TanVasf,Patch11_TanVasf,Rump_TanVasf,Throat_TanVasf,WingTip_TanVasf
197.03,-40.6565,-32.7020833333,-8.71191666658,-33.5858333333,-36.3635833333,-41.4140833334,15.5303333333,16.5404166667,-24.4192833333,-31.0606666667,-45.2019999999
197.40,-82.1429166666,-65.136,-43.1972500001,-79.0815833332,-71.0884999999,-87.0750000001,-11.0544166667,3.7415,-60.9864500001,-71.5987500001,-90.6462499999
197.78,-164.393916666,-134.091,-100.252416667,-157.070833333,-160.101,-181.313166666,-63.3839166667,-27.0201666667,-136.010083333,-153.03025,-196.212166667
198.16,-231.84525,-174.702333333,-141.964166667,-208.928583333,-208.333416667,-233.928583333,-108.333416667,-49.7023333333,-198.273833333,-203.869083333,-244.940333334
198.54,-665.277833333,-526.388833333,-416.666666668,-565.277666667,-601.388916666,-636.805583334,-396.52775,-239.58325,-577.08335,-609.027666668,-722.916666666
198.92,-1052.08333333,-810.416666667,-714.583333333,-906.25,-981.249999999,-1011.45833333,-677.083333333,-416.666666667,-882.500000001,-960.416666666,-1169.79166667
199.30,-4841.66666667,-3720.83333333,-3516.66666667,-4045.83333333,-4316.66666666,-4787.5,-3383.33333333,-2200.0,-3954.16666666,-4429.16666666,-5066.66666667
199.68,510.8695,400.724583333,396.739166667,445.652083333,455.797,502.173833333,391.66675,283.333416667,432.971116667,477.173916667,520.289916667
200.06,724.479166667,564.583333333,557.291666667,639.583333334,654.6875,714.0625,565.104166667,379.166666667,627.8125,664.583333332,721.354166668
200.44,429.03225,333.871083333,334.677416667,374.731083333,380.1075,435.752666667,345.698916667,239.24725,367.956933333,382.795833334,410.75275
200.82,288.562166667,222.059,226.307166667,257.189583334,260.457583333,295.588166667,235.457583333,164.21575,248.366,252.941083333,271.732083333
201.19,242.391333334,185.628083334,191.66675,213.647333334,221.13525,244.686083333,202.53625,148.912916667,210.917883333,216.06275,229.4685
201.57,239.777833334,191.111166667,194.666583334,214.0,225.33325,241.888916667,208.4445,155.777833333,213.711116667,212.22225,226.222416667
201.95,273.7745,223.284333333,230.88225,248.529333334,251.960916666,277.696166667,241.053916667,184.9265,248.848083333,237.377416667,254.534333333
202.33,328.030166667,276.818166667,283.636333334,303.939333333,305.909083334,340.757583334,293.03025,226.81825,307.727383334,283.939333333,315.303083333
202.71,429.791666667,363.958333333,375.833333333,399.166666667,400.416666667,453.958333333,379.583333333,290.625,398.083333333,356.041666667,416.875
203.09,350.0,292.320166666,306.6995,318.790833333,325.9805,376.143916666,314.379083334,236.764583334,326.111,291.666583333,329.084916667
203.47,377.174,321.739166667,325.36225,343.478166667,356.159416667,401.087,344.7465,249.818833333,350.253583333,319.021666666,361.05075
203.85,734.057916668,615.579666666,614.1305,667.029,697.1015,772.101416667,652.898583333,485.50725,682.246333334,613.405750001,702.8985
204.22,1475.75758333,1219.697,1226.51508333,1343.18191667,1356.06058333,1528.03016667,1287.12125,990.909083335,1355.75756667,1234.8485,1394.69683333
204.60,-15766.6666667,-13425.0,-12883.3333333,-14483.3333334,-14550.0,-15841.6666667,-13683.3333334,-10733.3333333,-14648.3333333,-13683.3333333,-14875.0
204.98,-1537.5,-1325.0,-1263.33333333,-1445.0,-1404.16666667,-1547.5,-1371.66666667,-1111.66666667,-1436.83333333,-1382.5,-1470.0
205.36,-970.833333334,-844.270833332,-778.125000001,-927.604166667,-863.020833334,-979.687499999,-846.354166667,-701.041666667,-872.500000002,-860.937499999,-906.249999999
205.74,-387.837833333,-319.369333333,-289.18925,-362.837833333,-334.234333333,-385.360416666,-324.77475,-263.963916667,-332.07215,-327.252333334,-352.25225
206.12,-587.0,-501.333333333,-441.333333333,-542.333333333,-513.666666666,-555.333333333,-507.333333333,-403.333333334,-491.066666667,-508.666666667,-535.0
206.50,-1057.73808333,-930.952416667,-800.59525,-972.023666668,-933.333250002,-988.09525,-935.714250002,-730.9525,-874.8811,-925.595166668,-955.952416667
206.87,-1552.5,-1360.0,-1215.0,-1423.33333334,-1384.16666667,-1477.5,-1430.83333333,-1079.16666667,-1300.33333333,-1415.0,-1414.16666667
207.25,-432.352916667,-379.901916667,-330.63725,-393.13725,-374.755083333,-394.607916667,-393.137333333,-288.970583334,-343.578383334,-386.274583334,-393.627333333
207.63,-490.05375,-427.419333333,-380.913916667,-442.742,-413.172083333,-432.527083333,-436.559166667,-327.688166667,-384.408716667,-429.03225,-441.397833333
208.01,-704.365,-615.873083334,-565.476,-630.952333334,-587.3015,-632.142916668,-638.095166667,-466.666666667,-542.46025,-610.317416667,-615.476166667
208.39,-971.875000002,-855.208333332,-790.104166668,-853.125,-814.583333332,-880.729166668,-886.979166667,-639.583333334,-741.041666666,-850.520833334,-873.437500001
208.77,-1216.0255,-1058.97433333,-1007.69233333,-1067.30766667,-1030.12808333,-1108.97441667,-1130.12825,-829.48725,-917.051266667,-1062.17941666,-1110.25658333
209.14,-4222.91666667,-3675.0,-3589.58333333,-3766.66666666,-3616.66666667,-3843.75,-3881.25,-2912.5,-3227.91666667,-3556.25,-3856.25
209.52,8541.66666668,7204.16666667,7350.0,7445.83333334,7470.83333333,7650.00000001,7970.83333333,5941.66666667,6730.0,7133.33333333,7841.66666667
209.90,1037.037,885.648250001,906.481333334,895.833249998,895.833416667,937.963083332,953.240583333,759.25925,824.444499999,889.814666666,959.259249998
210.28,2585.71416666,2129.76191667,2202.38083333,2216.66658333,2192.85708333,2400.0,2339.28566667,1852.38083333,2015.00008333,2198.80966667,2377.381
210.66,1435.89741667,1164.1025,1232.69225,1255.76916666,1220.51275,1347.43583333,1277.56408333,1050.64108333,1109.35898333,1232.05125,1307.69241667
211.03,1312.49991667,1059.52366667,1116.66658334,1160.71433333,1103.57141667,1195.238,1119.04775,951.785833334,1000.95231667,1104.76183333,1170.238
211.41,621.354166667,516.927083333,543.489583334,568.229166667,535.416666667,577.34375,536.197916667,479.947916667,506.5625,532.8125,573.958333333
211.79,434.201416666,363.194583334,382.118083334,404.687416666,383.33325,412.15275,376.388833333,342.361083333,361.110966667,380.208416666,408.333333333
212.17,391.358083333,328.24075,345.987583333,358.641916667,340.432083333,368.5185,337.65425,308.33325,324.4445,339.04325,379.012416667
212.55,412.15275,345.138833333,362.32625,379.861166667,357.29175,391.493,347.743166667,322.048666667,340.27775,342.534833333,402.083333333
212.92,389.333333334,329.833333333,340.666666667,365.0,335.833333333,373.5,329.666666667,297.833333333,321.166666666,320.833333333,384.5
213.30,423.5185,354.444416666,368.88875,388.148333333,356.29625,401.851833333,357.77775,317.962833333,334.333266666,348.5185,418.148166667
213.68,450.396916667,374.8015,393.254,409.920666667,364.682583334,432.936583334,379.5635,346.230083333,348.333216666,371.626916667,445.039666667
214.06,509.558666667,429.902,448.2845,471.813833333,426.225416667,492.646833334,436.2745,387.009833334,403.578266666,421.568666667,514.705833333
214.44,428.861833333,369.7155,384.3495,402.235833333,362.195083334,415.243833333,359.756166667,329.674833333,348.658583334,352.032333333,432.926833333
214.81,482.883,426.5765,438.5135,459.684583333,425.450416667,481.756833334,411.937,379.5045,392.477466667,411.71175,505.4055
215.19,501.157416667,442.592666667,453.703666667,482.638833333,450.694416667,503.703833333,431.481666667,401.85175,403.101933333,431.249833334,536.574166667
215.57,543.548416667,475.53775,482.526833333,509.677416667,487.6345,540.591416666,465.591333333,420.161083334,415.64515,454.032416667,576.344083333
215.95,757.5395,658.730166667,663.09525,694.0475,669.047666666,748.412666666,646.428583333,569.047583334,562.619183334,622.619,786.904666667
216.32,730.43475,625.724666667,623.550666667,668.115916667,644.203,695.29,626.087,537.318916667,535.362383334,603.623166667,722.46375
216.70,583.611,495.277916667,502.77775,529.16675,512.777833333,544.166583333,499.722333333,435.0,427.888816667,495.277833333,562.499916667
217.08,631.84525,537.499916667,545.23825,566.96425,552.380833333,586.3095,528.869083333,466.964416667,459.0476,528.5715,606.84525
217.46,430.158833334,374.40475,374.60325,394.04775,385.3175,405.158833334,372.817416667,327.380916667,329.008116667,378.373083334,411.706333333
217.83,449.583333333,406.875,398.541666666,426.666666667,409.375,428.75,391.666666666,339.791666666,351.75,405.0,427.291666667
218.21,436.0465,392.44175,395.736416667,410.271333333,394.57375,426.356666667,379.651166667,335.077583334,340.813933334,397.093,416.08525
218.59,589.516166666,527.957,526.612916667,556.720416667,540.322583333,573.118416667,518.279583333,448.11825,457.204266667,547.849416667,560.752583333
218.97,672.839666667,584.567833333,592.592583333,633.950666666,600.61725,634.876583333,595.678916667,499.074,523.950516666,610.18525,623.765416667
219.34,1018.62741667,866.176416667,914.215666666,954.901999999,894.607916667,964.705916666,913.235416667,749.019583334,796.078500001,918.137250001,913.235333333
219.72,16483.3333333,14208.3333334,15208.3333333,15958.3333333,14450.0,16200.0,15233.3333334,12250.0,13108.3333333,15175.0,14950.0
220.10,-2413.09533333,-2095.23816667,-2302.38091667,-2394.0475,-2172.61908334,-2428.5715,-2275.0,-1892.85725,-1992.38091666,-2235.71425,-2215.476
220.47,-645.138833333,-575.694416667,-626.388916666,-652.430583333,-588.888833333,-680.555583333,-607.291666667,-511.11125,-537.291633333,-612.5,-607.986166667
220.85,-501.344083333,-452.957,-485.483916667,-501.344083334,-466.398,-538.709833333,-473.11825,-393.81725,-406.3978,-470.968,-470.96775
221.23,-428.8095,-375.95225,-411.1905,-417.619083333,-395.714333333,-457.619,-400.238,-339.047583333,-345.476216667,-395.95225,-393.571416667
221.61,-291.49675,-254.081666667,-275.34025,-279.081666667,-267.346833333,-305.78225,-255.272083334,-227.040833333,-223.0953,-253.741583333,-266.156416667
221.98,-350.793583333,-302.380916667,-326.1905,-325.793666667,-319.841166667,-362.3015,-299.007833333,-268.452333333,-265.476266667,-287.499916667,-323.214166667
222.36,-502.500083333,-415.83325,-451.111083334,-459.722166667,-434.722333333,-496.666666667,-413.889,-374.44425,-369.94455,-396.111083333,-444.722166667
222.74,-500.555333333,-402.22225,-454.722166667,-461.111083334,-428.055666667,-498.888833333,-416.111083334,-378.611166667,-366.277666667,-389.722083333,-447.22225
223.11,-378.205166667,-299.786416667,-335.47025,-334.829,-316.66675,-370.512833333,-295.299166667,-279.700833333,-276.581316667,-282.906083334,-333.333416667
223.49,-363.414583333,-283.130166667,-313.211333333,-313.618,-296.95125,-348.374083334,-271.748083334,-268.089333334,-258.577366667,-262.3985,-319.918583334
223.87,-349.43175,-263.636416667,-296.969666667,-290.341,-281.628916667,-327.462166667,-249.62125,-261.174166667,-240.11375,-242.9925,-305.492416666
224.24,-319.202916667,-238.40575,-274.27525,-259.057916667,-259.42025,-288.768,-217.5725,-235.869583333,-209.927516666,-224.09425,-284.239166667
224.62,-272.7565,-201.923,-229.327,-219.871583334,-218.75,-237.179583333,-184.29475,-199.1985,-172.596283333,-180.4485,-241.18575
225.00,-337.790666666,-243.410916667,-289.922416666,-280.03875,-270.736333333,-286.434,-238.565916666,-254.65125,-226.821683333,-229.651166666,-302.519333333
225.38,-511.389,-378.055583334,-439.166666667,-437.77775,-417.499916667,-438.055583333,-370.83325,-398.888833333,-362.777733334,-364.72225,-470.0
225.75,-320.740666667,-231.29625,-267.037166667,-271.66675,-255.555583333,-268.888833333,-227.407416667,-240.926,-225.481433333,-232.592583333,-293.518583333
226.13,-159.649166667,-106.469333333,-132.456083334,-131.79825,-121.272,-125.658,-104.386,-117.653666667,-101.7104,-119.846583333,-143.969416667
226.51,-97.7941666667,-64.3790833333,-81.2908333333,-81.9444166666,-75.2450833333,-77.12425,-62.7450833333,-71.9771666667,-57.9901833333,-74.5915833334,-88.56225
226.88,-104.833333333,-75.4166666667,-85.2500000001,-88.9166666666,-82.8333333332,-84.4166666666,-66.0,-79.6666666667,-63.0833333334,-82.5000000001,-94.5000000001
227.26,-99.6996666668,-74.92475,-85.6605000001,-87.0120000001,-83.70875,-82.2823333334,-68.3183333333,-79.9549166667,-60.1352833334,-83.8589166668,-91.6668333333
227.64,-100.0,-80.9827499999,-88.319,-91.2391666668,-88.5327499999,-85.8973333333,-72.1509166667,-83.7606666667,-62.6779999999,-87.4644166667,-95.2279166667
228.01,-86.3634166667,-71.5276666668,-73.8635833333,-80.4924166668,-78.3462499999,-73.0428333334,-59.5328333333,-71.65425,-51.6289666667,-79.1665,-80.2398333333
228.39,-77.1265000001,-65.0001666668,-62.0114166666,-74.0803333334,-70.0574166668,-67.35625,-54.0230833333,-67.1839166667,-46.0345666667,-70.1148333334,-72.1838333333
228.76,-65.7976666667,-55.5215,-53.16975,-64.5705,-60.5316666666,-58.4355833333,-46.6258333333,-59.4069166666,-38.8652333333,-62.1679166667,-62.7300833333
229.14,-55.98525,-48.4806666667,-42.9096666667,-54.69625,-51.7956666667,-51.97975,-38.9041666666,-51.4733333333,-32.4402666666,-57.2744166666,-54.604
229.52,-47.3596666667,-42.49175,-36.0149166667,-45.5033333333,-44.8844166667,-43.8119166667,-32.8795833333,-43.9768333333,-25.4621166667,-50.99,-45.2970833333
229.89,-46.7755,-42.1690833333,-35.8876666667,-44.8491666667,-45.18425,-44.0955833333,-31.2395833333,-45.8123333333,-23.60955,-50.1255833333,-43.0066666666
230.27,-56.797,-54.7020833333,-43.6218333333,-56.8903333334,-58.4265,-55.4469166666,-42.13225,-56.4245833333,-33.3892166667,-61.0333333333,-53.9571666667
230.65,-61.9849166667,-58.75475,-45.97375,-61.3764166667,-61.5636666667,-57.2565833333,-44.6160833333,-59.925,-37.2565833333,-63.2023333333,-59.2229166667
231.02,-56.46625,-54.2349166667,-43.3058333334,-55.6010833334,-57.3770833333,-53.0054166666,-41.4845833334,-55.9199166667,-33.4789666667,-57.7868333333,-55.10025
231.40,-54.3559166667,-51.13625,-39.0625,-50.8050833333,-52.3674166667,-52.2726666667,-37.4054166667,-52.3675,-29.6212833333,-55.3976666666,-50.6153333333
231.78,-47.61225,-43.82025,-30.9455833333,-42.18175,-46.0674166667,-46.34825,-29.91575,-45.7864166667,-23.1833833334,-50.2340833334,-41.6199166667
232.15,-48.6433333334,-45.7365,-31.7345,-41.2305833333,-48.6919166667,-48.0136666667,-31.6375833334,-47.6745,-25.6782,-50.0969166667,-42.4903333333
