wavelength,Back_ParNigm,Belly_ParNigm,Breast_ParNigm,Crissum_ParNigm,Crown_ParNigm,DorTail_ParNigm,Patch10_ParNigm,Rump_ParNigm,Throat_ParNigm,WingTip_ParNigm
547.92,5.21216666667,48.758,45.2178333333,43.4661666666,4.92283333334,8.20016666666,6.73616666666,5.92483333333,4.55733333334,7.56316666666
548.27,5.18066666666,48.8170833333,45.2328333333,43.4628333333,4.90133333333,8.13866666666,6.69025,5.90383333334,4.53883333333,7.5525
548.61,5.15466666666,48.8231666666,45.1805,43.4331666666,4.88033333333,8.07033333334,6.62933333333,5.87683333333,4.493,7.51133333334
548.95,5.12516666666,48.81725,45.245,43.4273333333,4.84283333333,8.00708333334,6.5995,5.85633333333,4.45533333334,7.494
549.29,5.11133333333,48.7889166666,45.2001666667,43.3726666667,4.85283333333,7.99566666666,6.62366666666,5.84766666666,4.45783333333,7.51583333333
549.64,5.10433333333,48.7845833333,45.1545,43.3851666667,4.858,8.00133333334,6.64441666667,5.85266666667,4.47716666667,7.49016666666
549.98,5.07183333333,48.84925,45.1771666667,43.4368333333,4.86583333333,8.022,6.63691666666,5.8585,4.47666666667,7.49433333333
550.32,5.0475,48.9335833334,45.2728333334,43.5123333333,4.836,8.01175,6.6155,5.80866666667,4.47666666667,7.49866666667
550.66,5.04,48.9725,45.3146666666,43.472,4.8545,7.9875,6.62775,5.8195,4.47666666667,7.477
551.01,5.03916666667,49.023,45.3501666667,43.4843333333,4.883,8.00633333334,6.64033333334,5.827,4.4905,7.49866666667
551.35,4.96933333333,49.0461666666,45.2911666666,43.4471666666,4.85916666666,7.9665,6.597,5.7715,4.45266666667,7.44716666666
551.69,4.92733333333,48.98225,45.2508333334,43.4506666667,4.8035,7.9405,6.54866666667,5.73783333333,4.436,7.393
552.03,4.9425,49.08975,45.2926666666,43.5655,4.83783333334,8.01791666667,6.61675,5.758,4.43883333333,7.4075
552.38,4.95416666666,49.0861666667,45.3206666666,43.5625,4.87266666667,8.06375,6.68608333334,5.77966666666,4.49216666666,7.43383333333
552.72,4.9325,49.1066666666,45.2708333333,43.5911666666,4.86583333333,8.0345,6.64941666666,5.75183333333,4.4895,7.4045
553.06,4.89183333334,49.1185833334,45.3208333333,43.6713333333,4.8205,7.983,6.59466666666,5.70666666667,4.46266666667,7.36216666666
553.40,4.8555,49.07975,45.315,43.6238333333,4.8075,7.9535,6.54516666667,5.66816666667,4.42866666667,7.33816666667
553.74,4.837,49.0556666666,45.3586666666,43.5631666666,4.79716666667,7.94091666667,6.51816666666,5.65766666666,4.4045,7.32516666666
554.09,4.87533333333,49.08475,45.395,43.5568333333,4.83616666667,7.96675,6.52191666666,5.70733333333,4.42533333334,7.33233333334
554.43,4.89783333333,49.1276666667,45.424,43.637,4.86083333334,7.99466666666,6.52675,5.71516666667,4.45516666666,7.36066666666
554.77,4.89583333333,49.1751666667,45.4856666667,43.668,4.84283333333,8.01708333334,6.50625,5.725,4.45183333333,7.34866666667
555.11,4.95033333334,49.2201666667,45.5591666667,43.7695,4.89566666666,8.06683333333,6.55466666666,5.7775,4.498,7.38983333333
555.45,4.96133333334,49.2290833334,45.631,43.7628333334,4.9155,8.07283333333,6.58708333334,5.79266666667,4.51416666666,7.381
555.80,4.98116666667,49.1480833334,45.6441666667,43.6968333333,4.91216666666,8.03583333333,6.56858333333,5.78,4.5665,7.37383333333
556.14,4.97216666667,49.2126666667,45.6453333333,43.7628333334,4.91216666666,8.01083333334,6.52175,5.751,4.55283333333,7.351
556.48,5.0135,49.2163333334,45.7048333333,43.7518333333,4.94516666667,8.04675,6.56058333333,5.821,4.57716666667,7.38483333333
556.82,5.034,49.32,45.7315,43.7511666667,5.002,8.08608333333,6.57066666666,5.86266666667,4.60916666666,7.38866666667
557.16,5.0855,49.4821666667,45.8623333333,43.8466666667,5.08383333333,8.1445,6.64216666667,5.9615,4.691,7.46533333333
557.50,5.14166666667,49.5305833333,45.902,43.9086666666,5.146,8.13158333333,6.68675,6.02783333333,4.753,7.496
557.85,5.15183333334,49.5539166666,45.9085,43.9433333333,5.168,8.13,6.70325,6.03116666666,4.7725,7.50616666666
558.19,5.09483333333,49.5584166667,45.8363333333,43.8956666667,5.13983333333,8.07608333333,6.64233333334,6.02083333334,4.7175,7.4255
558.53,5.0725,49.55375,45.8105,43.901,5.13466666666,8.03691666667,6.6205,6.001,4.70283333334,7.40566666667
558.87,5.04816666667,49.5449166666,45.8033333333,43.8128333333,5.10966666666,8.03283333333,6.61341666666,5.99733333333,4.6975,7.375
559.21,5.02566666666,49.6101666667,45.8245,43.849,5.1345,7.97641666667,6.57541666666,5.98266666667,4.6525,7.4245
559.55,5.01,49.69325,45.781,43.8766666667,5.17166666667,7.95433333333,6.54175,5.98816666667,4.64733333334,7.41566666667
559.89,4.9995,49.6714166667,45.7811666667,43.8365,5.186,7.95841666667,6.53491666666,5.97766666666,4.6325,7.40516666667
560.23,4.98566666666,49.6609166666,45.7455,43.8835,5.20366666666,7.95508333334,6.5365,5.9485,4.66033333334,7.3905
560.58,4.97316666666,49.5031666667,45.606,43.7723333334,5.177,7.90841666667,6.49241666667,5.93233333334,4.63466666666,7.37266666666
560.92,4.96216666667,49.4385833333,45.5275,43.757,5.14233333333,7.85316666667,6.46483333334,5.90566666667,4.601,7.33783333333
561.26,4.97,49.4039166666,45.485,43.779,5.16416666667,7.91616666666,6.50516666666,5.8725,4.60866666667,7.362
561.60,4.92616666667,49.3606666667,45.398,43.7383333333,5.165,7.95175,6.48275,5.861,4.609,7.34733333333
561.94,4.94433333333,49.3271666667,45.4131666667,43.7375,5.19666666667,7.98366666667,6.52833333334,5.839,4.62516666667,7.36833333334
562.28,4.97766666667,49.4171666667,45.4793333333,43.7693333333,5.24133333333,7.99525,6.55233333333,5.84766666666,4.64316666667,7.386
562.62,5.02716666667,49.4810833333,45.5493333333,43.8935,5.34016666667,8.05766666666,6.619,5.88216666667,4.74616666667,7.45316666667
562.96,5.0685,49.4880833333,45.5786666666,43.9408333333,5.37633333333,8.15766666667,6.65708333334,5.89633333334,4.7945,7.45383333333
563.30,5.06816666667,49.5221666666,45.6013333333,43.9923333334,5.42683333333,8.23108333334,6.73766666666,5.90983333333,4.82133333333,7.49216666666
563.64,5.10866666667,49.5086666667,45.614,43.9885,5.45183333334,8.24033333334,6.74075,5.95383333333,4.87166666666,7.534
563.99,5.13466666666,49.5080833334,45.5916666667,44.0,5.54466666666,8.29208333334,6.79675,5.9695,4.8905,7.58633333333
564.33,5.16283333333,49.6420833334,45.732,44.1286666666,5.62916666667,8.38116666667,6.86291666666,6.0,4.96816666667,7.6345
564.67,5.20516666667,49.6868333334,45.805,44.1395,5.68366666667,8.45016666666,6.89366666667,5.98416666667,4.979,7.65433333333
565.01,5.1975,49.7035833333,45.7868333333,44.1221666667,5.71333333334,8.43716666667,6.8625,5.99066666666,4.97366666667,7.65183333333
565.35,5.2345,49.814,45.8888333334,44.206,5.74666666667,8.45625,6.88475,6.01166666667,4.97683333333,7.67116666667
565.69,5.29883333333,49.8283333334,45.8565,44.2023333333,5.7755,8.51208333333,6.90441666666,6.03966666666,5.03316666667,7.71883333334
566.03,5.29516666667,49.8378333333,45.7818333334,44.2376666667,5.81833333333,8.5425,6.90191666667,6.05166666666,5.05533333333,7.72116666666
566.37,5.31883333334,49.797,45.7243333333,44.2293333333,5.8205,8.51458333334,6.88291666667,6.06883333334,5.03816666667,7.70033333333
566.71,5.30266666666,49.7791666666,45.6541666666,44.226,5.82266666667,8.5055,6.87908333334,6.10316666667,5.047,7.723
567.05,5.3355,49.7900833333,45.683,44.2775,5.84266666667,8.46416666667,6.84625,6.12383333333,5.06883333334,7.73283333333
567.39,5.364,49.88975,45.6885,44.3051666666,5.8705,8.49041666667,6.87483333334,6.13533333333,5.11616666667,7.7215
567.73,5.35566666666,49.9755,45.7108333334,44.3258333333,5.84716666667,8.45641666666,6.81691666666,6.13483333333,5.12,7.68433333334
568.07,5.33083333333,49.9424166667,45.6655,44.2886666667,5.83733333333,8.411,6.78208333334,6.12283333334,5.0755,7.66516666666
568.41,5.2695,49.8743333333,45.5753333334,44.2745,5.8025,8.35483333333,6.74291666666,6.0865,5.06333333333,7.6195
568.75,5.23666666667,49.8626666667,45.6018333334,44.3253333333,5.81716666667,8.34241666667,6.68033333333,6.08183333334,5.08683333333,7.593
569.09,5.2505,49.7538333334,45.555,44.2858333333,5.857,8.292,6.64525,6.085,5.11766666667,7.59383333334
569.43,5.2295,49.71275,45.5971666667,44.3213333333,5.91583333333,8.27316666667,6.60925,6.08766666667,5.11033333333,7.56333333334
569.77,5.214,49.6783333333,45.6643333334,44.3168333334,5.9285,8.26983333334,6.58725,6.08083333333,5.09566666667,7.55666666666
570.11,5.15766666666,49.8270833334,45.7445,44.361,5.93883333334,8.25716666667,6.56333333334,6.05666666667,5.0855,7.55916666666
570.45,5.15216666666,49.8265833334,45.7396666667,44.3386666666,5.9595,8.20091666666,6.52683333334,6.005,5.06916666666,7.51183333333
570.79,5.14833333333,49.8266666666,45.7318333333,44.2901666667,6.0085,8.23266666667,6.56991666666,6.01066666667,5.11633333333,7.5365
571.13,5.12233333333,49.7524166667,45.6916666667,44.2941666667,6.05633333334,8.2315,6.54308333333,5.99733333333,5.0915,7.5585
571.47,5.1395,49.7213333334,45.665,44.2961666667,6.092,8.24508333333,6.55316666666,6.01233333333,5.1185,7.583
571.81,5.1435,49.7041666666,45.6856666667,44.3123333333,6.14116666666,8.26908333334,6.56333333334,6.02466666667,5.135,7.57833333333
