wavelength,Back_CerOlif,Belly_CerOlif,Breast_CerOlif,Crissum_CerOlif,Crown_CerOlif,DorTail_CerOlif,Rump_CerOlif,Throat_CerOlif,WingTip_CerOlif
195.51,140.404,-190.909111111,-13.1314444444,-58.585888889,-156.565666667,-80.8082222221,-93.9394444443,53.0303333333,-148.484888889
195.89,214.285444445,-344.444444443,-61.9047777777,-128.571444445,-361.904888889,-179.365111111,-141.269888889,101.587333333,-217.460333333
196.27,134.722222222,-127.083333333,-15.9722222222,-70.1388888889,-170.138888889,-54.8611111112,-18.7500000002,51.3888888889,-105.555555556
196.65,101.960666667,-143.790777778,-9.15033333343,-79.0849999999,-162.091666667,-86.9278888889,-23.5293333333,46.4051666667,-105.882111111
197.03,87.5421111112,-27.6095555557,26.5992222223,-11.7845555557,-48.8215555557,-5.05044444443,29.2928888889,63.9728888889,-20.201888889
197.40,61.3888888888,-34.4444444443,15.0,-26.9444444445,-50.5555555555,-17.5,4.72222222221,39.8611111111,-21.3888888889
197.78,56.1403333333,-49.9999999999,-1.4621111111,-36.2574444444,-45.6141111112,-22.8071111111,-4.97066666667,40.0585,-36.8422222222
198.16,34.058,-49.5168888888,7.488,-28.0193333333,-26.8115555556,-5.55544444443,-4.34788888887,38.1642777778,-21.739
198.54,40.9258888889,-41.8517777778,5.0,-10.0,-12.963,2.40733333334,-8.8887777778,35.2777777778,-9.44455555553
198.92,41.1852222222,-26.0741111111,19.5555555556,10.963,-1.77766666667,15.8517777778,-2.81466666669,40.5926666667,0.148222222243
199.30,22.3646666667,-44.587,7.69222222223,-8.26211111112,-16.8092222222,2.42155555555,-25.4985555556,24.0027777778,-22.3645555555
199.68,10.1625555556,-55.5555555556,-9.4851111111,-19.2412222222,-27.7777777778,-14.363,-42.0054444445,-0.203333333333,-35.5014444444
200.06,-8.62733333333,-69.0196666668,-24.0524444444,-38.9542222222,-36.8627777778,-35.9475555556,-58.9542222222,-20.6535,-50.0652222222
200.44,-27.1447777778,-87.4823333332,-35.443,-49.9296666667,-46.6946666667,-55.6962222222,-73.2771111112,-36.6386666667,-63.7131111111
200.82,-11.4815555555,-62.0987777778,-18.7653333333,-25.5553333334,-29.8765555556,-39.753,-54.1974444444,-16.6051666667,-48.7653333333
201.19,-36.4035555555,-92.2515555555,-36.8421111111,-43.8597777778,-57.3098888888,-73.0995555556,-90.6432222222,-44.2252222222,-79.386
201.57,-36.1824444444,-85.1851111111,-30.1996666667,-40.4556666667,-58.6893333333,-71.5097777778,-85.6126666665,-37.1083333333,-79.6296666666
201.95,-45.509888889,-85.5403333333,-32.1155555556,-44.4446666667,-68.0365555554,-77.9298888889,-96.0426666667,-44.2921111111,-87.6712222222
202.33,-58.3772222223,-100.881777778,-41.0934444444,-60.4938888889,-88.5362222222,-101.763888889,-119.400333333,-68.6948888889,-105.996555555
202.71,-96.2963333334,-143.981555556,-61.5738888889,-103.935,-119.213,-153.240777778,-158.101777778,-101.620333333,-150.925888889
203.09,-200.0,-241.762333333,-134.482555556,-218.007666667,-218.773888889,-297.701222222,-280.843,-197.892888889,-258.620777778
203.47,-131.908666667,-168.376,-80.0571111112,-152.136777778,-152.991555556,-202.279,-179.772111111,-133.333277778,-170.370111111
203.85,-131.666666667,-162.777777778,-77.7777777777,-153.333333333,-156.111111111,-203.611111111,-183.333333333,-133.194444444,-167.777777778
204.22,-104.629666667,-128.240777778,-49.074,-114.351777778,-128.472444444,-166.898111111,-149.768444444,-108.101722222,-138.425888889
204.60,-110.145,-128.019444444,-54.1062222222,-121.739111111,-140.338111111,-173.671444445,-163.284888889,-125.8455,-143.961444444
204.98,-134.108666667,-150.129111111,-66.4081111112,-155.813777778,-169.767333333,-192.764888889,-187.338555555,-157.493611111,-166.666777778
205.36,-155.277777778,-178.055555556,-78.8888888889,-193.611111111,-180.555555555,-221.111111111,-206.111111111,-164.722222222,-178.055555556
205.74,-286.956555556,-331.400888889,-144.927555556,-356.038888889,-314.009777778,-374.879222222,-354.589333333,-331.884,-305.797222222
206.12,-332.275111111,-402.645555556,-166.137555556,-387.830777778,-353.439222222,-421.693111111,-386.772555556,-392.063555556,-327.513222222
206.50,-258.119666667,-332.051333334,-129.914555556,-299.572555556,-272.649555556,-333.760666666,-310.683888889,-284.187888889,-259.829222222
206.87,-285.47,-347.863111111,-148.290444444,-321.794777778,-318.803333333,-366.239222222,-337.606777778,-309.401666667,-300.0
207.25,-307.555555555,-384.888888889,-182.666666667,-357.333333333,-363.111111111,-405.333333333,-375.111111111,-342.666666667,-344.0
207.63,-529.629666666,-629.629555556,-320.740777778,-622.222333334,-599.259333333,-704.444444444,-657.037111111,-579.629444445,-575.555555556
208.01,-835.802555555,-953.086444445,-398.765444445,-962.963000001,-891.358000001,-1096.29655556,-949.382666667,-859.876499999,-853.086555556
208.39,-1266.66666667,-1451.85177778,-625.925888889,-1470.37022222,-1329.62966667,-1553.70377778,-1424.07422222,-1327.77777778,-1292.59244444
208.77,-2086.11111111,-2330.55555556,-944.444444444,-2258.33333333,-2047.22222222,-2422.22222222,-2311.11111111,-2056.94444445,-2063.88888889
209.14,-1671.11111111,-1782.22222222,-724.444444444,-1755.55555556,-1604.44444444,-1942.22222222,-1771.11111111,-1570.0,-1588.88888889
209.52,-1031.94444444,-1008.33333333,-422.222222222,-1001.38888889,-931.944444447,-1093.05555555,-1029.16666667,-963.194444443,-986.111111112
209.90,-812.121222222,-740.404,-355.555666667,-713.131333333,-678.787888889,-827.272666667,-786.868555556,-671.212,-739.394
210.28,-559.027777778,-468.75,-288.194444444,-503.472222222,-475.0,-587.5,-553.472222222,-438.888888889,-544.444444445
210.66,-734.188222222,-633.333333333,-405.983,-683.760888889,-662.393,-810.256444444,-709.401666666,-600.000055556,-765.812
211.03,-356.944333333,-302.777888889,-192.592444445,-325.0,-293.518555556,-393.518444444,-350.925888889,-285.185222222,-355.092555556
211.41,-457.777777778,-388.333333333,-264.444444444,-418.333333333,-376.111111111,-494.444444444,-443.333333334,-379.444444444,-473.888888889
211.79,-375.362333333,-314.009888889,-233.816333333,-331.884111111,-321.255888889,-427.536333333,-376.328444445,-305.072444444,-403.381555556
212.17,-498.765444444,-419.135888889,-350.0,-426.543333333,-447.531,-591.975333333,-519.135777778,-432.407388889,-556.172888889
212.55,-223.529555556,-170.261444445,-137.908333333,-176.470444444,-188.562111111,-273.202777778,-224.182888889,-181.372444444,-246.732
212.92,-109.804,-76.0346666667,-66.8845555557,-88.2353333334,-91.5032222222,-145.315888889,-98.9105555555,-78.867111111,-125.054555556
213.30,-88.4850000001,-64.0405555554,-61.0102222221,-69.4949999999,-63.6364444443,-119.595777778,-81.6162222222,-71.414111111,-99.1917777777
213.68,-40.9616666667,-32.5042222222,-33.1675555555,-39.9667777778,-35.9867777778,-82.9188888889,-43.4494444445,-33.9136111111,-54.2287777778
214.06,-23.7236666667,-21.3213333333,-21.7718888889,-28.3782222222,-22.5225555556,-66.6667777778,-29.1291111111,-26.051,-41.4415555556
214.44,-17.2841111111,-24.5152222222,-10.7582222222,-34.9206666667,-28.0422222222,-80.247,-37.39,-29.1003333333,-37.2134444445
214.81,-1.45722222223,-1.09288888889,0.182222222233,-20.583,-6.73955555557,-56.6484444446,-22.9508888889,-21.4026111111,-11.1112222222
215.19,3.2051111111,0.641000000033,8.33333333337,-11.1111111111,-7.69233333333,-67.0941111111,-27.5642222222,-20.5126666667,-17.3077777778
215.57,-7.80777777767,-12.6125555555,7.50755555557,-5.70566666667,-27.0268888889,-95.1952222221,-60.961,-37.9880555556,-20.4204444445
215.95,-4.1269999999,-19.0476666667,16.508,-9.2062222222,-26.6666666668,-98.0953333333,-67.3015555556,-61.2697222222,-24.4443333334
216.32,-7.98611111121,-29.5138888889,6.59722222223,-35.763888889,-43.0555555557,-95.8333333333,-82.2916666668,-51.9097222222,-19.0972222222
216.70,-9.25933333322,-65.4322222221,0.61711111089,-90.7405555556,-104.321,-174.074111111,-146.296333333,-87.0368888889,-34.5678888889
217.08,-369.444444446,-500.0,-313.888888889,-638.88888889,-788.888888889,-1083.33333333,-1019.44444444,-748.611111112,-386.111111111
217.46,-304.444444446,-355.555555555,-168.888888889,-426.666666667,-677.777777779,-846.666666666,-806.666666668,-528.888888889,-264.444444444
217.83,215.740555556,273.148111111,174.074111111,268.518555556,382.407444444,459.259222222,452.777888889,350.462888889,240.740777778
218.21,157.264777778,194.871888889,108.547,204.273555555,332.478666667,367.521222222,396.581,301.709333333,176.068333333
218.59,-144.444444445,-150.0,47.2222222233,-97.2222222221,-522.222222221,-627.777777777,-736.111111112,-544.444444443,-91.6666666667
218.97,201.851666667,205.555555556,29.6295555557,153.703777778,405.555555555,572.222333333,509.259222222,423.148111111,187.037
219.34,98.6111111111,81.4815555557,53.703888889,88.8886666667,137.962888889,173.148111111,166.203777778,156.250055556,71.2962222224
