wavelength,Back_TacSurm,Belly_TacSurm,Breast_TacSurm,Crissum_TacSurm,Crown_TacSurm,DorTail_TacSurm,Patch10_TacSurm,Patch11_TacSurm,Rump_TacSurm,Throat_TacSurm,WingTip_TacSurm
747.18,4.79553333333,6.0794,6.17966666667,7.02357666667,44.7140666667,9.26486666667,55.8197333333,4.5858,44.5787333333,6.78773333333,11.1592
747.49,4.77186666667,5.9902,6.11533333333,7.04324333333,44.4707333333,9.20560000001,55.5778,4.517,44.4429333333,6.79193333333,11.0956666667
747.81,4.4652,5.6916,5.85973333333,6.85538666667,44.1840666667,8.92126666666,55.2766,4.15853333333,44.2276,6.48666666667,10.8090666667
748.12,4.23853333333,5.53146666667,5.55,6.72589333333,43.7624,8.75833333333,54.8989333333,3.94086666667,44.0828666667,6.3554,10.7816
748.44,3.76893333333,5.0122,4.95666666667,6.14933333333,43.6788,8.29106666667,55.0457333333,3.42226666667,44.1918,5.92486666667,10.4034
748.75,3.55053333333,4.7248,4.734,5.82542333334,43.2379333333,7.9766,54.595,3.15986666667,43.7895333333,5.6142,10.1252
749.07,3.2884,4.54006666667,4.67093333333,5.71731666667,42.9028666667,7.81493333333,54.5183333333,2.97406666667,43.6444666667,5.4312,9.9988
749.38,3.42806666667,4.73253333333,4.86253333333,5.89743666667,42.9217333333,7.98713333333,54.5876666667,3.06993333333,43.7746666667,5.48066666667,10.2587333333
749.70,3.85013333333,5.0948,5.2584,6.26337333334,42.8280666667,8.29753333333,54.4963333333,3.41866666667,43.7752,5.78533333333,10.6053333333
750.01,3.7696,4.82626666667,5.1566,6.08137,42.8471333333,8.031,54.3422666667,3.19553333333,43.6033333333,5.47993333333,10.5569333333
750.33,3.84566666667,4.69973333333,4.94033333333,5.87107,42.5484,7.84553333333,54.1078,2.97326666667,43.3822,5.3288,10.4190666667
750.64,4.04433333333,4.90933333333,5.17853333333,6.12456666667,42.935,7.98586666667,54.4607333333,3.168,43.8388666667,5.53686666667,10.6493333333
750.96,4.33346666667,5.21306666667,5.4546,6.29703666667,43.0394,8.2752,54.5908666667,3.48833333333,44.0305333333,5.7964,10.9752
751.27,4.34833333334,5.1768,5.43766666667,6.26739333333,43.2749333333,8.36946666667,54.8598,3.67553333333,44.3918,5.916,11.1728
751.59,4.31206666666,5.03106666667,5.3688,6.19786,43.4275333333,8.28393333333,54.8357333333,3.63206666667,44.4268666667,5.8534,11.0568666667
751.90,4.72473333333,5.57186666667,5.85833333333,6.74223666667,43.962,8.79886666666,55.1219333333,4.22766666667,44.8804,6.3164,11.5148666667
752.22,4.78753333333,5.75246666666,5.90446666667,6.91123,44.4030666667,8.981,55.5095333333,4.2234,45.2044,6.55613333333,11.719
752.53,5.0194,5.9564,5.9726,7.02353333333,44.5292,9.14766666666,55.2165333333,4.39646666667,45.0697333333,6.7812,11.7526666667
752.85,4.87693333333,5.90073333333,5.77306666667,6.89396,44.7308666666,9.08533333333,55.4132666667,4.31753333333,45.2088,6.88253333333,11.5088
753.16,4.6388,5.77006666667,5.5052,6.70455666667,44.7526,8.9292,55.2218666666,4.23926666667,45.0847333333,6.67586666667,11.3774666667
753.47,4.56646666667,5.7632,5.35793333333,6.71183333333,44.8317333333,8.88333333333,55.1147333333,4.23553333333,45.1274666667,6.6132,11.2772666667
753.79,3.921,5.29973333333,4.91433333333,6.24926,44.8788666667,8.516,55.1069333333,3.72473333333,45.1176666667,6.24806666667,10.8761333333
754.10,3.7856,5.14213333333,4.72306666667,6.10401333333,44.5289333333,8.51326666667,54.7750666667,3.54873333333,44.768,6.0606,10.7764
754.42,3.4402,4.89493333333,4.3828,5.95191,44.6014666666,8.2872,54.8192,3.1902,44.9020666667,5.74826666667,10.4627333333
