wavelength,Back_MelNigm,Belly_MelNigm,Breast_MelNigm,Crissum_MelNigm,Crown_MelNigm,DorTail_MelNigm,Patch10_MelNigm,Rump_MelNigm,Throat_MelNigm,WingTip_MelNigm
347.08,4.19846666667,4.48973333333,3.627,4.3546,3.88326666667,5.25446666666,27.1878666667,5.07906666667,3.037,7.5022
347.45,4.15786666667,4.41653333333,3.59306666667,4.3284,3.86186666667,5.2551,27.3360666667,5.05313333333,2.98953333333,7.47453333333
347.81,4.13853333333,4.36333333333,3.5662,4.27653333333,3.88913333333,5.2387,27.3613333333,5.04046666667,3.01773333333,7.43053333333
348.18,4.0026,4.2174,3.44026666667,4.171,3.77386666667,5.091,27.3422666667,4.90613333333,2.90433333333,7.3016
348.54,4.04753333333,4.24893333333,3.4212,4.15526666667,3.83466666667,5.06476666667,27.4729333333,4.88933333333,2.881,7.28233333333
348.91,4.2106,4.40026666667,3.6004,4.33693333333,4.0742,5.2046,27.7350666667,5.0312,3.04813333333,7.41306666667
349.27,4.3272,4.478,3.71546666667,4.47793333333,4.17893333333,5.23463333333,27.8575333333,5.11033333333,3.16206666667,7.52486666667
349.64,4.25533333333,4.35053333333,3.624,4.37613333334,4.1084,5.12433333333,27.8842666667,4.99826666667,3.04426666667,7.44673333333
350.00,4.29573333333,4.36926666667,3.63713333333,4.4124,4.16186666667,5.20253333333,27.9795333334,4.9926,3.09466666667,7.46173333333
350.37,4.41026666667,4.44853333333,3.74173333333,4.44846666667,4.2302,5.3584,28.1806666667,5.0188,3.17793333333,7.52426666667
350.73,4.53133333333,4.54093333333,3.84406666667,4.54106666667,4.2882,5.43686666667,28.4246,5.11486666667,3.2702,7.58493333334
351.10,4.62173333333,4.62406666667,3.95346666667,4.609,4.3508,5.4956,28.6322,5.1844,3.37086666667,7.68586666667
351.46,4.73626666667,4.7228,4.08853333333,4.73946666667,4.44653333333,5.63523333333,28.7574,5.2744,3.48366666667,7.78666666667
351.83,4.71446666667,4.6932,4.09393333333,4.7326,4.4018,5.61243333333,28.8574,5.2504,3.46946666667,7.76646666667
352.19,4.7336,4.68093333333,4.09846666667,4.74833333333,4.38973333333,5.65653333333,28.9916666667,5.28453333333,3.4904,7.77726666667
352.55,4.70706666667,4.6978,4.11173333333,4.74693333333,4.32673333333,5.70363333333,29.0346666667,5.30013333333,3.5064,7.7958
352.92,4.6036,4.59586666667,4.00826666667,4.65866666667,4.1866,5.6058,29.0274666667,5.1696,3.41213333333,7.71093333333
353.28,4.46713333333,4.4948,3.90393333334,4.4964,4.09466666667,5.51333333333,29.0584666667,5.058,3.3076,7.617
353.65,4.5638,4.61066666666,4.02533333333,4.60626666667,4.20513333333,5.62326666667,29.3101333333,5.18566666667,3.4468,7.75406666667
354.01,4.42753333333,4.48513333333,3.93306666667,4.51053333333,4.09533333333,5.46666666667,29.2934,5.1172,3.3158,7.69913333333
354.38,4.2736,4.33766666667,3.82793333333,4.41586666667,3.942,5.31153333333,29.1512,5.0116,3.19146666667,7.59113333333
354.74,4.1738,4.27433333333,3.7522,4.3518,3.86153333333,5.25596666667,29.0734666667,4.9122,3.11933333333,7.53846666667
355.11,4.1406,4.2894,3.68553333333,4.34853333333,3.83293333333,5.22116666667,29.1132,4.9044,3.08186666667,7.4858
355.47,4.055,4.23026666667,3.569,4.238,3.74913333333,5.0925,29.1051333333,4.81713333333,2.96893333333,7.40653333333
355.83,4.0648,4.24173333333,3.53526666667,4.26966666667,3.7816,5.106,29.2148,4.82313333333,2.93546666667,7.41893333333
356.20,4.1182,4.30486666667,3.579,4.28566666667,3.84726666667,5.14513333333,29.3098666667,4.83813333333,2.959,7.41666666667
356.56,4.19533333333,4.32786666667,3.57926666667,4.32726666667,3.89413333333,5.15116666667,29.4496,4.86646666667,2.9804,7.42633333333
356.93,4.1796,4.30253333333,3.53413333333,4.31153333333,3.84866666667,5.08736666667,29.4658,4.82746666667,2.9448,7.37513333333
357.29,4.169,4.34033333333,3.50773333333,4.34746666667,3.8174,5.11976666667,29.5706666667,4.82513333333,2.96073333333,7.35073333333
357.66,4.0822,4.2694,3.43106666667,4.28186666667,3.72013333333,5.0531,29.5222,4.74686666666,2.87993333333,7.2492
358.02,4.09233333333,4.24373333333,3.41013333333,4.27913333333,3.71186666667,5.04966666667,29.6096,4.70993333333,2.87166666667,7.2108
358.38,4.20073333333,4.3178,3.52066666667,4.349,3.82686666667,5.1251,29.8255333333,4.79146666667,2.93673333333,7.3002
358.75,4.21213333333,4.28426666667,3.52026666667,4.3404,3.8226,5.08736666667,29.9255333333,4.79286666667,2.9064,7.25053333333
359.11,4.19573333333,4.24846666667,3.5232,4.296,3.81453333333,5.0674,29.9656666667,4.76926666667,2.8816,7.21973333333
359.48,4.25146666667,4.3098,3.5998,4.36806666667,3.89546666667,5.1191,30.1553333333,4.81506666667,2.98513333333,7.30873333333
359.84,4.16553333333,4.25813333333,3.54,4.24413333333,3.80526666667,5.00823333333,30.1864666667,4.7516,2.94606666667,7.2232
360.20,4.1558,4.24486666667,3.54093333333,4.21013333333,3.82266666667,5.00756666666,30.2911333333,4.76886666666,2.9718,7.2704
360.57,4.19106666667,4.3094,3.62786666667,4.2494,3.89473333333,5.09893333333,30.4228666667,4.84046666667,3.04306666667,7.3804
360.93,4.2588,4.36426666667,3.69833333333,4.2756,3.95673333333,5.18226666667,30.5193333333,4.95546666667,3.08833333333,7.44126666667
361.29,4.30273333333,4.3784,3.73973333333,4.28706666667,4.0024,5.17193333333,30.6140666667,5.02066666667,3.08546666667,7.4744
361.66,4.3734,4.45206666667,3.77693333333,4.32493333333,4.05586666667,5.2029,30.7416666667,5.08746666667,3.12873333333,7.52586666666
362.02,4.417,4.55053333333,3.83813333333,4.35793333333,4.12533333333,5.24283333333,30.8667333333,5.14606666667,3.17826666667,7.5684
362.39,4.3834,4.55586666667,3.82,4.3326,4.1044,5.24583333333,30.909,5.158,3.19506666667,7.544
362.75,4.40426666667,4.5882,3.85153333333,4.35026666667,4.1366,5.29263333334,30.9843333333,5.2024,3.22906666667,7.58766666667
363.11,4.47866666667,4.64613333333,3.9154,4.42946666667,4.2026,5.36746666667,31.0994666667,5.2644,3.28273333333,7.66213333333
363.48,4.4716,4.64593333333,3.90546666667,4.4212,4.16893333333,5.3498,31.1062,5.27493333333,3.23773333333,7.616
363.84,4.5272,4.6864,3.95186666667,4.4832,4.20386666667,5.39873333333,31.1898666667,5.31013333333,3.268,7.6476
364.20,4.5016,4.71066666667,3.9496,4.4946,4.17193333333,5.3893,31.2568666667,5.30593333333,3.22093333333,7.6182
