wavelength,Back_PhrUnim,Belly_PhrUnim,Breast_PhrUnim,Crissum_PhrUnim,Crown_PhrUnim,DorTail_PhrUnim,Rump_PhrUnim,Throat_PhrUnim,WingTip_PhrUnim
368.20,7.2002,14.3550666667,13.5316666667,12.5868666666,6.8152,7.24553333333,9.29993333334,12.4695333333,7.56233333333
368.56,7.21466666667,14.3285333333,13.5270666667,12.6035333333,6.83706666667,7.2526,9.28466666668,12.4664666667,7.5522
368.93,7.20573333333,14.359,13.4906,12.6294666667,6.8026,7.25086666667,9.32593333333,12.4524666667,7.5476
369.29,7.19346666667,14.3147,13.4481333333,12.6305333333,6.77033333333,7.2416,9.32386666666,12.423,7.507
369.65,7.253,14.381,13.5031333333,12.7115333333,6.84413333333,7.2976,9.38986666667,12.4991333333,7.55786666666
370.01,7.30306666667,14.4698666667,13.5824,12.7326666667,6.911,7.351,9.42666666667,12.5626666667,7.57393333333
370.38,7.30953333333,14.4885,13.5740666667,12.7232,6.9256,7.35613333333,9.42619999999,12.5684666667,7.56353333333
370.74,7.238,14.4139666667,13.4955333333,12.6522666667,6.88206666667,7.305,9.36406666666,12.4730666667,7.47646666667
371.10,7.24766666667,14.4382,13.5523333333,12.6592,6.9322,7.32386666667,9.35346666666,12.5082666667,7.47286666667
371.46,7.22226666667,14.4358333333,13.5386666667,12.6152666667,6.92913333333,7.32293333333,9.32680000001,12.4870666667,7.4344
371.83,7.26933333333,14.4812333333,13.6135333333,12.6156666667,6.96406666667,7.3394,9.38113333333,12.5534,7.48846666666
372.19,7.2596,14.5313,13.6367333333,12.6116666667,6.99046666667,7.34253333333,9.37726666667,12.5926,7.4978
372.55,7.29506666667,14.5891666667,13.6882,12.6624,7.0254,7.37933333333,9.46239999999,12.6380666667,7.54906666667
372.92,7.3436,14.5848333333,13.7647333333,12.6674666666,7.071,7.36346666667,9.44126666666,12.6752,7.52893333334
373.28,7.3052,14.5828333333,13.7668,12.6359333333,7.04833333333,7.33733333333,9.39873333333,12.68,7.4932
373.64,7.31953333333,14.5896,13.8019333333,12.6237333333,7.02293333333,7.31606666667,9.40126666667,12.6855333333,7.49926666667
374.00,7.36453333333,14.5908333333,13.8016,12.6498666667,7.03866666667,7.31273333333,9.40693333333,12.6945333333,7.51953333333
374.37,7.448,14.6585,13.8955333333,12.7223333334,7.10233333333,7.354,9.44606666667,12.7606,7.57126666667
374.73,7.51946666667,14.7301666667,13.9586,12.7813333333,7.1696,7.38906666667,9.49113333333,12.8533333333,7.62453333334
375.09,7.489,14.7067,13.9072,12.7826666667,7.11973333333,7.35973333333,9.42713333333,12.8050666667,7.5802
375.45,7.5206,14.7314666667,13.9533333333,12.8292666667,7.0914,7.32746666667,9.41153333334,12.8006666667,7.61586666667
375.81,7.50573333333,14.7423666667,13.9380666667,12.8764,7.0812,7.32813333333,9.41360000001,12.7723333333,7.62013333333
376.18,7.50513333333,14.7191666667,13.9372666667,12.866,7.06373333333,7.30153333333,9.38906666666,12.7612666667,7.59913333333
376.54,7.4626,14.6725666667,13.9090666667,12.8122,7.00526666667,7.2372,9.32093333332,12.7039333333,7.5414
376.90,7.484,14.7269,13.914,12.8306666667,7.0174,7.27026666667,9.36286666667,12.7022666667,7.5666
377.26,7.49446666667,14.7275,13.9172,12.8450666667,6.98966666667,7.26046666667,9.36913333333,12.6743333333,7.5802
377.63,7.4888,14.7549666666,13.9292,12.8710666667,6.99193333333,7.26506666667,9.38306666667,12.6683333333,7.5458
377.99,7.5084,14.8343,13.9688,12.9362,7.04626666667,7.29893333333,9.44179999999,12.7104666667,7.5682
378.35,7.45926666667,14.8208,13.9518,12.9111333333,7.023,7.25546666667,9.43380000001,12.6835333333,7.52526666667
378.71,7.44213333333,14.8553,13.9484,12.9062666667,7.01753333333,7.24346666667,9.41246666668,12.6750666667,7.51506666666
379.07,7.5212,14.9503,14.0318666667,12.986,7.10026666667,7.32806666667,9.52313333332,12.7739333334,7.56926666667
379.44,7.61513333333,15.0710333333,14.1240666667,13.0917333333,7.2116,7.44393333333,9.66613333333,12.9049333333,7.6556
379.80,7.6324,15.0824,14.1443333333,13.0811333333,7.23413333333,7.44373333333,9.67726666666,12.9078,7.62286666667
380.16,7.62093333333,15.0947,14.1460666667,13.0761333333,7.2238,7.4452,9.66973333333,12.8872666667,7.60806666667
380.52,7.6716,15.1600666667,14.2063333333,13.1662666667,7.28573333333,7.49406666667,9.70153333333,12.9567333333,7.641
380.88,7.71773333333,15.2251666667,14.2600666667,13.243,7.34386666667,7.51873333333,9.72526666668,13.0272,7.68033333333
381.24,7.7254,15.2679666667,14.2802666667,13.264,7.359,7.5174,9.70346666665,13.0339333333,7.6704
381.61,7.69006666667,15.2639,14.2711333333,13.2146666667,7.34933333333,7.4766,9.68220000001,13.0288666667,7.6542
381.97,7.66253333333,15.2016333333,14.2291333333,13.1871333333,7.28106666667,7.42833333333,9.63026666666,13.0042666667,7.61913333333
382.33,7.70653333333,15.2313666666,14.2534666667,13.2379333333,7.3142,7.44966666667,9.65219999999,13.0234,7.65153333333
382.69,7.7646,15.2629666667,14.3054,13.2960666667,7.3558,7.4818,9.71880000001,13.0560666667,7.67486666667
383.05,7.75626666667,15.2377666667,14.2838,13.2655333333,7.34073333333,7.443,9.68726666667,13.0118,7.64293333333
383.41,7.66086666667,15.1439333333,14.1978666667,13.1846,7.26033333333,7.343,9.57853333333,12.9136,7.54273333333
383.77,7.6378,15.1483333333,14.1766,13.1601333333,7.23466666667,7.30853333333,9.53926666667,12.8915333333,7.52053333333
384.14,7.5794,15.1167666667,14.1069333333,13.1012,7.1844,7.22986666667,9.47373333333,12.8326,7.45446666667
384.50,7.55453333333,15.0897666667,14.0753333333,13.0614,7.18453333333,7.16773333333,9.46953333333,12.8088666667,7.4338
384.86,7.5624,15.0809,14.0745333333,13.0429333333,7.1806,7.16273333333,9.47979999999,12.8221333333,7.44473333333
385.22,7.59206666667,15.1153666667,14.1115333333,13.0612666667,7.22693333333,7.1782,9.53346666667,12.873,7.4644
385.58,7.69686666667,15.1877,14.1946,13.1636666667,7.30773333333,7.2704,9.5932,12.9801333333,7.55586666667
385.94,7.6844,15.2149666667,14.2022666667,13.1384,7.32733333333,7.2628,9.59746666667,12.9851333333,7.5572
386.30,7.72913333333,15.2635333333,14.244,13.1565333334,7.37713333333,7.28213333333,9.63126666666,13.0346666667,7.58133333333
386.66,7.71433333333,15.2465,14.2402,13.152,7.34526666667,7.2706,9.61106666667,13.0482,7.55666666667
387.03,7.66893333333,15.2348,14.2154,13.1411333333,7.32113333333,7.22433333333,9.58033333332,13.0254666667,7.5292
387.39,7.6914,15.2489666667,14.2426,13.1498,7.32446666667,7.22506666667,9.58153333333,13.0504,7.5264
387.75,7.73253333333,15.2743666667,14.3000666667,13.2131333333,7.3834,7.26546666667,9.61513333333,13.0990666667,7.5444
388.11,7.7868,15.3059,14.345,13.2564666667,7.42466666667,7.3212,9.65626666666,13.1482666667,7.6004
388.47,7.83566666667,15.359,14.4106,13.2944,7.43,7.37306666667,9.6758,13.2065333333,7.6158
388.83,7.78893333333,15.3399333333,14.3749333333,13.2910666667,7.40313333333,7.3394,9.6218,13.1606666667,7.55213333333
389.19,7.7606,15.3303333333,14.3673333333,13.2814666667,7.38326666667,7.32326666667,9.57866666668,13.1469333333,7.5178
389.55,7.71766666667,15.3367333334,14.3499333333,13.2661333333,7.35106666667,7.2784,9.55126666667,13.1216666667,7.46846666667
389.91,7.68846666667,15.3440666667,14.3558666667,13.2806,7.31953333333,7.27506666667,9.54826666667,13.1240666667,7.4642
390.27,7.60646666667,15.2961,14.2926666667,13.2309333333,7.2328,7.22053333334,9.4806,13.0505333334,7.39073333333
390.63,7.59006666667,15.3263333333,14.2998666667,13.2257333333,7.21406666667,7.20893333333,9.45366666668,13.0298,7.38493333333
391.00,7.60373333333,15.3424666667,14.3344,13.2524,7.21686666667,7.20173333333,9.45053333335,13.0432,7.38573333333
391.36,7.58346666667,15.3494,14.3154,13.2450666667,7.21566666667,7.1904,9.4336,13.0239333333,7.38246666667
391.72,7.553,15.3463666667,14.3056,13.2242666667,7.17326666667,7.14286666667,9.41046666666,12.9932666667,7.369
392.08,7.55326666667,15.3634333333,14.3186666667,13.2479333333,7.17546666667,7.11326666667,9.42353333333,13.0014666667,7.34906666667
392.44,7.52826666667,15.3637,14.3029333333,13.2429333333,7.168,7.08326666667,9.41486666665,12.9724,7.3258
392.80,7.54653333333,15.4117,14.3394,13.2488666667,7.19346666667,7.10966666667,9.46113333335,13.015,7.35753333333
