wavelength,Back_TanJohm,Belly_TanJohm,Breast_TanJohm,Crissum_TanJohm,Crown_TanJohm,DorTail_TanJohm,Patch10_TanJohm,Patch11_TanJohm,Patch12_TanJohm,Rump_TanJohm,Throat_TanJohm,WingTip_TanJohm
581.98,19.0871111111,31.2018888889,60.4856666667,27.781,35.3186222222,13.6894444444,18.8478888889,9.03300000001,32.191,79.7102222222,6.92366666667,13.0713333333
582.32,19.034,31.1801111111,60.0813333333,27.7541111111,35.1326888889,13.6821111111,18.7766666666,9.03944444443,31.8955555556,79.3808888889,7.00544444444,13.1532222222
582.66,18.9802222222,31.1247777778,59.8714444444,27.7367777778,35.0247111111,13.6176666666,18.6732222222,9.00044444446,31.7265555556,79.3615555555,7.01666666667,13.162
583.00,18.8968888889,31.0888888889,59.4814444445,27.6318888889,34.8137333333,13.5433333333,18.5548888889,9.02588888888,31.516,79.1396666667,6.99166666667,13.1478888889
583.34,18.8426666667,31.0462222222,59.108,27.5867777778,34.6565111111,13.447,18.4807777778,9.02699999999,31.3046666667,78.9726666667,6.96677777778,13.1245555555
583.68,18.8535555555,30.9276666667,58.8473333333,27.6255555555,34.5287555555,13.4002222222,18.3691111111,9.01888888889,31.1574444444,78.9163333333,6.947,13.1603333333
584.01,18.7771111111,30.8511111111,58.5305555556,27.5451111111,34.3414666667,13.3844444445,18.2668888889,8.99177777778,30.9467777778,78.8186666667,6.96455555556,13.1472222222
584.35,18.7455555556,30.7192222222,58.1844444444,27.4678888889,34.1730888889,13.3161111111,18.1236666666,8.95977777778,30.7404444444,78.6635555555,6.95877777778,13.1148888889
584.69,18.7086666667,30.6721111111,57.8604444445,27.3946666666,33.9739555556,13.2806666667,18.0934444444,8.93722222223,30.5605555556,78.5654444445,6.99444444444,13.1364444444
585.03,18.598,30.6041111111,57.5898888889,27.363,33.8029777778,13.1576666667,18.0007777778,8.86444444445,30.3522222222,78.4112222222,6.91177777778,13.0842222222
585.37,18.5681111111,30.5667777778,57.245,27.325,33.6268666666,13.127,17.9422222222,8.86244444445,30.159,78.3,6.90711111111,13.1294444445
585.70,18.452,30.4894444444,56.903,27.3188888889,33.4757333333,13.0718888889,17.8471111111,8.83655555554,29.9703333333,78.1297777778,6.91977777778,13.1916666667
586.04,18.3767777778,30.485,56.7283333333,27.3068888889,33.4327555556,13.0202222222,17.7684444444,8.8281111111,29.8678888889,78.2953333333,6.85011111111,13.1684444444
