wavelength,Back_PhrDorm,Belly_PhrDorm,Breast_PhrDorm,Crissum_PhrDorm,Crown_PhrDorm,DorTail_PhrDorm,Patch10_PhrDorm,Rump_PhrDorm,Throat_PhrDorm,WingTip_PhrDorm
788.69,33.2276666667,48.4639166667,21.8410208333,53.8948333333,16.810125,23.3848333333,15.9345,18.0630833334,44.1802916667,23.6867916666
789.00,32.8430833333,48.25075,21.9047083334,53.1639583333,16.97125,23.2175833333,16.1318333333,17.9366944444,44.0285833333,23.7892916667
789.31,32.2435,47.7254583333,21.3102083334,52.4562083333,16.0270833333,22.6652083333,15.1756666666,17.2645,43.9827916667,23.30825
789.62,31.6435,47.7583333333,20.9230104167,52.1567916667,15.3780416667,22.2992916667,14.79175,16.9161944444,44.0626666667,22.56175
789.92,32.4351666667,48.1997916667,21.6815625,52.4210416667,15.749,22.9615833333,16.0105833333,17.8667222222,44.5252916667,23.438
790.23,33.4439166666,49.19825,22.9412604167,52.626375,16.8602083334,24.4032916667,17.3143333333,19.0573888889,45.3396666667,24.5577916667
790.54,34.2375833333,49.7254583333,23.5495520833,53.5814166667,17.3812916667,24.5315416667,17.7649166667,19.5196388889,45.6395,25.072625
790.85,34.2279166667,49.5817916666,23.4673333333,54.121,17.3251666667,24.5651666667,17.9754166667,19.4414722222,45.3611666667,24.9917083333
791.16,34.53475,49.9147083333,23.8433020833,54.4009166667,17.7147916667,24.6635416667,18.18325,19.8023333333,45.7183333333,25.0724166667
791.47,34.6341666667,50.2340416667,24.0223333333,54.3876666667,18.0802083334,24.7747083333,18.67,20.0023333333,45.8463333334,25.7588333333
791.78,34.8745,50.7705416667,24.5677395834,54.41925,18.1207916667,25.5529583333,19.2005833333,20.2950277778,46.2384583333,26.2279166667
792.08,34.6545833333,50.0215833334,24.9892604167,54.343625,18.47575,25.7771666667,19.7926666667,20.7770277778,45.9671666667,26.239125
792.39,34.48875,50.1312916667,24.95959375,54.783875,18.5662083333,25.888375,19.8880833334,21.0668055556,45.8114166667,26.365625
792.70,34.6770833333,50.60225,25.4287291667,55.03925,19.1796666667,26.78,20.2618333333,21.26525,45.45375,26.7756666667
793.01,36.2615,51.898625,27.2060833333,56.1998333333,21.306875,28.4148333333,22.1585,23.3518611111,46.4504166667,28.64525
793.32,35.1236666667,51.1331666667,26.5145,55.4276666667,20.776,27.4867916667,20.7230833334,22.1428888889,45.3702083333,27.795375
793.62,33.8458333334,50.0089583334,25.274,54.4847916666,19.8214583334,25.4240416667,19.1233333333,20.5196666667,43.9465416666,26.5244583333
793.93,32.2433333333,49.6485833334,23.7533958333,54.17125,18.3290416666,23.8289166667,17.5045833333,19.3393333333,42.991125,24.9774166667
794.24,32.3144166667,49.747375,23.9730416667,54.0359166667,18.16825,23.7373333333,17.5054166667,19.2910277778,43.217875,25.1982916667
794.55,32.4044166667,49.5715,23.6446875,54.48675,18.38475,23.3314166667,17.4603333333,19.8501111111,43.7319166667,25.0405833333
