wavelength,Back_TanDesm,Belly_TanDesm,Breast_TanDesm,Crissum_TanDesm,Crown_TanDesm,DorTail_TanDesm,Patch10_TanDesm,Patch11_TanDesm,Patch12_TanDesm,Patch13_TanDesm,Patch14_TanDesm,Patch15_TanDesm,Patch16_TanDesm,Rump_TanDesm,Throat_TanDesm,WingTip_TanDesm
419.73,4.68725,14.6618333333,4.96708333333,13.4556666667,4.95415277778,5.30933333334,4.72516666667,2.59783333334,5.442,51.1863333333,5.32666666667,14.249,23.3133333333,5.83566666667,5.75633333334,7.03008333333
420.08,4.69416666667,14.6436666667,4.97466666667,13.4355833333,4.94022222222,5.29683333333,4.72825,2.60266666667,5.44108333334,51.0709166666,5.30341666667,14.1426666667,23.0948333333,5.80831666667,5.76783333333,7.03158333333
420.44,4.70916666667,14.6205833333,4.99708333333,13.43025,4.95097222222,5.30691666667,4.73641666667,2.63391666666,5.438,50.93925,5.31241666666,14.0226666667,22.8823333333,5.80661666667,5.78016666667,7.04445833333
420.80,4.696,14.56325,4.98408333333,13.38125,4.91991666667,5.28804166667,4.71241666667,2.62625,5.4195,50.8018333333,5.2965,13.8866666667,22.66,5.77151666667,5.76466666666,7.02375
421.16,4.69941666667,14.5465833333,4.99633333333,13.3790833333,4.91631944444,5.28658333333,4.71033333333,2.63641666667,5.41008333333,50.7351666667,5.29091666666,13.7755,22.48425,5.75475,5.77966666667,7.03754166667
421.51,4.67558333333,14.506,4.97625,13.3449166667,4.897875,5.275875,4.68,2.60791666667,5.398,50.6178333333,5.25983333334,13.6445,22.2776666667,5.71298333333,5.76625,7.01091666667
421.87,4.65025,14.45825,4.95341666667,13.29725,4.86168055556,5.24445833333,4.65425,2.5935,5.34875,50.50225,5.22033333333,13.4949166667,22.0806666667,5.66515,5.75216666667,6.98779166667
422.23,4.63675,14.4203333333,4.94933333333,13.28,4.84748611111,5.24175,4.64233333333,2.58791666667,5.32375,50.4018333333,5.19966666667,13.3745833333,21.8985833334,5.63019166667,5.739,6.97845833334
422.58,4.6315,14.3905,4.94741666667,13.2764166667,4.84795833333,5.23479166667,4.6425,2.58916666667,5.31191666667,50.29,5.19575,13.2649166667,21.732,5.619475,5.73516666667,6.97533333333
422.94,4.61375,14.3633333333,4.93666666667,13.2491666666,4.824125,5.21595833334,4.62941666666,2.56933333333,5.29591666667,50.2084166667,5.16708333334,13.15525,21.5578333333,5.58635833333,5.73758333333,6.96179166667
423.30,4.609,14.3359166667,4.93791666667,13.23,4.81054166667,5.20341666667,4.62116666667,2.57175,5.29583333334,50.10175,5.14266666667,13.0363333334,21.3944166667,5.56084166667,5.73983333333,6.97004166667
423.66,4.62033333333,14.3264166666,4.9465,13.2190833333,4.81130555556,5.22470833333,4.62183333333,2.58341666667,5.30116666666,49.9768333334,5.13516666666,12.9355833333,21.241,5.55135833333,5.74533333333,6.99466666667
424.01,4.63083333333,14.3288333333,4.95116666667,13.2281666667,4.822125,5.24954166667,4.61733333333,2.60525,5.30008333333,49.864,5.137,12.8441666667,21.1025833334,5.55004166666,5.76075,7.01154166667
424.37,4.62433333333,14.3198333333,4.94166666667,13.2200833333,4.80402777778,5.24470833333,4.61016666667,2.593,5.28766666667,49.8236666667,5.11608333334,12.7719166667,20.9846666667,5.529225,5.76691666667,7.014
424.73,4.59941666667,14.2999166667,4.93058333333,13.2139166667,4.78258333333,5.221875,4.57516666666,2.5635,5.25358333333,49.7584166667,5.08533333333,12.6754166667,20.8626666667,5.49365,5.743,6.99858333333
425.08,4.5975,14.28425,4.93033333333,13.197,4.77493055556,5.22620833333,4.57591666667,2.56608333333,5.24766666667,49.6349166667,5.06941666667,12.60075,20.7455833333,5.48159166667,5.73758333334,6.99804166667
425.44,4.6215,14.3125833334,4.95925,13.2204166667,4.79345833333,5.24629166666,4.59133333333,2.59975,5.24966666667,49.6241666667,5.08275,12.564,20.6718333333,5.4966,5.75808333333,7.03229166667
425.80,4.64058333333,14.3168333333,4.97016666667,13.2245833333,4.80913888889,5.272,4.60683333333,2.6165,5.2615,49.5565833333,5.09425,12.5083333333,20.592,5.50763333333,5.76866666667,7.051625
426.16,4.63733333333,14.3069166667,4.96483333334,13.227,4.79944444444,5.26316666667,4.599,2.61733333333,5.243,49.46275,5.07766666667,12.43925,20.4770833333,5.49521666667,5.75675,7.0565
426.51,4.64933333333,14.3136666667,4.98333333333,13.2190833333,4.79827777778,5.26470833333,4.6065,2.62983333334,5.23775,49.4089166667,5.08183333333,12.3909166667,20.3791666667,5.48075,5.7565,7.07875
426.87,4.65966666667,14.32875,4.9975,13.2339166667,4.80681944444,5.27920833333,4.62033333333,2.6495,5.2475,49.3136666667,5.099,12.3251666667,20.3068333333,5.48426666666,5.7615,7.09645833333
427.23,4.66783333333,14.34,5.0035,13.2625833333,4.80588888889,5.30083333334,4.63208333333,2.65191666667,5.23083333334,49.2731666667,5.1025,12.2980833333,20.2433333333,5.47178333333,5.75133333333,7.09779166666
427.58,4.68991666666,14.3460833333,5.03725,13.28925,4.81756944444,5.30654166667,4.64141666667,2.669,5.24483333333,49.185,5.125,12.2674166667,20.158,5.48209166667,5.76725,7.09341666667
