wavelength,Back_SicLuvf,Belly_SicLuvf,Breast_SicLuvf,Crissum_SicLuvf,Crown_SicLuvf,DorTail_SicLuvf,Patch10_SicLuvf,Rump_SicLuvf,Throat_SicLuvf,WingTip_SicLuvf
227.26,-12.9851944445,6.42566666667,3.21279166666,-11.5459166667,-15.9638333333,-1.65658333333,-13.5540833333,-11.8473333333,-1.65670833335,-26.5058333334
227.64,4.74002777778,17.2018333333,13.876125,8.63908333333,-2.14050000001,13.1880416667,9.63283333334,6.49825000001,17.0106666666,-6.80441666667
228.01,12.1558888889,28.49,18.4829166666,18.305,4.05983333332,17.557,16.4529166667,14.9574166667,27.1723333333,3.84625000001
228.39,15.0585,33.3960833333,22.5564166667,22.93225,5.82708333332,20.9587083333,19.1103333333,17.6065,27.5062916667,9.64925
228.76,15.4276944444,31.8945,19.8141666666,26.0790833333,7.55391666668,22.9015416667,22.722,20.3239166667,26.6485416667,10.072
229.14,7.39988888889,27.6638333333,11.7827916667,20.0136666666,0.273166666668,16.4960833333,16.66675,10.8606666667,21.6529583333,-3.41525
229.52,9.62377777778,28.8058333334,12.4343333333,24.7375833333,4.52758333332,17.6180833333,18.832,14.5670833333,24.6390833333,0.721833333332
229.89,9.28075000002,22.93275,10.0776666667,21.57625,2.19633333333,14.8255416667,18.4753333333,11.8864166667,24.58025,0.452166666675
230.27,7.99197222221,22.1311666667,7.85525,20.4919166667,2.18574999999,20.2527083333,18.3744166667,11.7486666667,18.06725,-1.16116666667
230.65,7.84477777778,21.8365,3.62645833334,18.13275,-1.6975,17.9783333334,20.602,10.49375,14.5445833333,-2.08341666667
231.02,4.98091666666,20.043,2.62204166667,13.50575,-3.44833333333,12.4284583333,15.8046666667,8.33341666666,11.674125,-5.1005
231.40,6.22591666666,23.6350833333,4.956875,14.5116666667,2.15516666667,15.5171666667,17.7441666667,10.9195833333,13.8290833333,-0.431
231.78,2.07113888889,19.29825,2.01012500001,7.67524999999,1.16958333333,6.50587499999,10.5993333333,9.42966666666,8.77208333334,0.65775
232.15,-0.311305555558,10.6320833333,-1.61629166667,4.52583333334,-3.95116666667,1.65233333333,10.56025,6.03441666667,-0.035958333335,-3.44833333333
232.53,7.65083333334,12.99425,5.08483333333,13.1355,3.38983333333,6.77958333333,19.1386666667,9.18083333333,3.49579166668,2.82491666667
232.90,9.9098888889,15.165,8.63366666667,17.6426666667,4.65466666668,7.47004166666,18.4685,7.05716666665,8.10816666666,6.15608333334
233.28,8.52483333333,12.6436666667,8.01016666666,15.6608333333,1.00575,5.388,15.23,7.97433333333,6.93258333333,5.02875000001
233.66,11.1985833333,11.7453333333,9.61291666667,12.46725,1.57483333334,2.29641666667,14.1075833333,6.56166666668,5.938125,5.512
234.03,13.6263611111,15.4856666667,12.9922916667,17.9133333333,3.28091666668,4.52745833332,14.1075833333,11.9424166667,7.38179166667,9.84241666667
234.41,15.0617222222,17.963,16.0494166667,22.4690833333,6.48158333333,3.70354166666,18.0246666666,11.5430833333,14.043375,10.61725
234.78,16.0271111111,20.2638333333,18.6750833333,28.2973333333,10.3716666667,5.15587500001,18.1053333333,14.808,18.91475,13.84875
235.16,16.2036111111,19.9653333333,16.2906666667,32.06,11.9211666667,4.94791666666,19.56,15.5090833333,18.3160833333,14.4675
235.54,15.1150277778,21.1493333333,15.3447916667,30.1724166667,10.05775,2.21258333333,16.9540833334,13.5631666667,18.24725,13.9080833333
235.91,10.4273611111,20.1924166667,11.6345,31.8589166667,8.46149999999,2.49999999999,12.9485833333,11.218,12.468,6.53841666667
236.29,6.16036111112,18.0778333333,13.1385416667,30.3763333334,8.13166666666,-1.31054166668,6.18274999998,10.4165833333,17.4394583333,-0.739
236.66,-2.7538888889,16.2356666667,5.06470833333,21.76725,-2.0115,-8.33324999999,-5.81908333334,5.45991666667,12.9670416667,-10.0574166667
237.04,-2.21366666667,14.8439166667,5.30604166667,16.8619166667,-3.25508333333,-8.59366666667,-3.2555,8.5285,12.5001666667,-8.85433333333
237.41,2.39794444445,16.12725,10.1319166667,18.6451666667,-0.539583333334,-3.777125,2.69783333333,12.5899166667,16.0070833333,-8.2735
237.79,-9.58994444445,9.72208333333,3.70370833333,11.5079166667,-8.92866666666,-11.0119166667,-5.35725000001,5.82016666667,6.38229166667,-23.21425
238.17,-11.5674722222,6.54758333333,-1.1605,4.34525,-10.8928333333,-13.7500416667,-4.643,3.21425,-0.386791666667,-24.881
238.54,-11.8541111111,1.11475000001,-4.64433333333,0.42475,-12.2081666667,-15.339625,-6.95316666667,1.32691666667,-1.32679166666,-23.0891666667
