wavelength,Back_TanPunm,Belly_TanPunm,Breast_TanPunm,Crissum_TanPunm,Crown_TanPunm,DorTail_TanPunm,Patch10_TanPunm,Patch11_TanPunm,Patch12_TanPunm,Rump_TanPunm,Throat_TanPunm,WingTip_TanPunm
378.71,7.98693333333,40.5138,23.3829333333,19.4496,8.65953333333,7.2003,7.8698,6.18833333333,7.399,12.2624083333,17.9704,7.28033333333
379.07,7.969,40.612,23.403,19.4296,8.69753333334,7.13336666667,7.87593333333,6.18753333333,7.39306666667,12.2548916667,17.9966,7.31216666667
379.44,7.89393333334,40.7061333333,23.4162666667,19.4119333333,8.69586666667,7.03616666667,7.76946666667,6.14613333333,7.35226666667,12.2012916666,17.9872666667,7.2013
379.80,7.74773333333,40.6954,23.3699333333,19.263,8.53773333333,6.8509,7.60513333333,6.02606666667,7.191,12.0342583333,17.9314,7.0084
380.16,7.58099999999,40.7072666667,23.3488,19.1858,8.43566666667,6.7201,7.46206666667,5.91033333333,7.06613333333,11.9033666666,17.8647333333,6.88476666667
380.52,7.5294,40.7949333334,23.3726,19.1730666667,8.39166666667,6.69096666667,7.3376,5.86493333333,7.01813333333,11.8653583333,17.8732666667,6.84896666667
380.88,7.41733333333,40.8018666667,23.3063333333,19.1231333333,8.32153333333,6.58816666667,7.19346666667,5.76206666667,6.8974,11.7587333333,17.8177333333,6.72806666667
381.24,7.37666666666,41.0429333334,23.3798,19.1529333333,8.31326666666,6.5503,7.13953333333,5.70573333333,6.86886666667,11.709825,17.8432666667,6.67513333333
381.61,7.33913333334,41.0953333333,23.4236666667,19.1425333333,8.30306666667,6.53616666667,7.10906666667,5.646,6.82433333333,11.708625,17.8498666666,6.61603333333
381.97,7.36746666667,41.2716666667,23.5574666667,19.2431333333,8.3938,6.55576666667,7.1742,5.70326666667,6.8966,11.7505166667,17.9243333333,6.65653333333
382.33,7.34913333333,41.266,23.5212,19.1456,8.33926666667,6.49633333333,7.12806666667,5.64273333333,6.86026666667,11.6793666667,17.8747333333,6.63516666667
382.69,7.287,41.2612,23.5020666667,19.0902666667,8.30493333333,6.4117,7.01546666667,5.54433333333,6.78413333333,11.553775,17.8198666667,6.54466666667
383.05,7.28973333333,41.3432666667,23.5194,19.1499333333,8.31826666667,6.41446666667,6.9818,5.53593333333,6.79026666667,11.5029833333,17.8244,6.49893333333
383.41,7.28926666667,41.5019333333,23.5697333333,19.2253333333,8.36813333333,6.47386666667,7.03886666667,5.56773333333,6.82326666667,11.5469416667,17.907,6.57656666667
383.77,7.29286666667,41.5732666667,23.6373333333,19.2872666667,8.4506,6.5291,7.059,5.59406666667,6.86066666667,11.5680833333,17.9462666667,6.59533333333
384.14,7.32473333334,41.718,23.7097333333,19.3448,8.52726666667,6.55546666667,7.12013333333,5.6276,6.9226,11.621175,18.0214,6.64936666667
384.50,7.41486666667,41.8963333333,23.8336666667,19.4473333333,8.7196,6.63113333333,7.25173333333,5.72046666667,7.03413333333,11.708125,18.1326666666,6.7571
384.86,7.5166,41.9969333333,23.9527333333,19.5042,8.87506666667,6.70926666667,7.33213333333,5.8288,7.14173333333,11.7886666667,18.2204,6.86193333333
