wavelength,Back_LopGrim,Belly_LopGrim,Breast_LopGrim,Crissum_LopGrim,Crown_LopGrim,DorTail_LopGrim,Patch10_LopGrim,Rump_LopGrim,Throat_LopGrim,WingTip_LopGrim
197.03,47.2222666667,41.2222,16.5555333333,90.0,-0.66666666668,39.0,62.8890666666,56.4443333334,-10.6665333333,64.6666666667
197.40,37.1929333334,31.5790666667,0.117,84.0935333333,-5.38020000001,31.9298,51.9298,50.7603333333,-24.4446,60.8187333334
197.78,37.3333333333,32.606,10.1818666667,94.7878000001,-0.48480000002,39.6363333333,56.3635999999,61.4545999999,-20.9696666667,65.3334
198.16,32.3403999999,26.2410666667,7.37599999999,110.6384,-2.69506666669,40.1418000001,59.4325999999,66.8084666667,-27.5178,71.6311333333
198.54,16.3248,16.1538666667,2.56400000001,67.1795333333,-0.256533333328,23.0769333333,38.1195333333,41.5384666667,-13.5042,45.4700666667
198.92,9.96073333333,16.7842666667,-2.82353333334,61.098,2.03913333333,20.1568666667,34.902,35.608,-11.2154666667,38.5882
199.30,5.22713333332,13.8636,-7.04553333332,55.3031333334,-0.227399999986,17.5756666667,31.5152,29.3183333333,-13.2576,35.6819333333
199.68,4.67533333335,9.09113333334,-16.277,61.5583333333,-4.32906666666,15.6710666667,31.8614,28.1384,-20.0000666667,35.671
200.06,7.5438,11.7542666667,-18.7719333333,61.0527333333,-6.66673333332,15.9648,32.6316,33.6843333333,-16.7543333333,37.1929333333
200.44,13.5802,13.0863333333,-12.0165333333,56.5432666667,-4.27986666667,19.5884666667,41.9754,37.6956,-5.51433333333,40.6583333333
200.82,13.0668,13.2444,-13.2444666667,55.8222,-7.91126666665,13.9556,42.1333333333,37.2444666667,-8.53326666664,38.5776666667
201.19,14.0652,13.3334,-10.8130666667,49.1056666667,-9.34953333333,10.4879333333,36.2600666667,32.4391333333,-7.88613333335,32.5203333333
201.57,9.21813333333,12.2634666667,-10.1234666667,42.8806666667,-15.8024666667,5.84353333334,34.5677333333,26.9135333333,-9.05346666668,29.7119333333
201.95,-3.41666666667,-0.083333333326,-25.25,25.0,-31.0833333333,-12.0833333334,21.75,9.16666666667,-26.9166666667,14.75
202.33,3.75480000001,7.66280000001,-18.3908666667,22.9119333333,-25.5939333333,-9.27206666667,23.4482666667,11.5709333333,-21.3026,11.8007333333
202.71,10.2563333333,13.7606666667,-17.0086,29.9145333333,-22.4786666667,-9.5726,25.5554666667,14.8719333333,-20.1708666667,11.5385333333
203.09,16.3051333333,21.3654666667,-9.15653333333,33.3332666667,-17.5904,-6.66660000001,27.4699333333,20.5622666667,-19.1164666667,14.5382666667
203.47,21.3187333333,26.9597333333,-1.24553333333,37.3627333333,-8.64480000002,-2.93033333334,30.5494666667,24.0292666667,-9.67053333332,21.3188
203.85,20.8,24.0666666667,0.6,32.2666666667,-5.93333333334,-2.53333333335,27.1333333333,19.8666666667,-5.06666666666,21.2
204.22,16.3042666667,22.2463333333,-1.23200000001,32.3913333333,-8.47819999998,-6.73926666667,24.6376,13.6231333333,-7.02886666668,18.9130666667
204.60,6.81993333333,15.4022666667,-5.90033333333,25.3640666667,-16.3218666666,-14.0996666667,13.1801333333,7.20306666668,-14.7894,10.7279333333
204.98,4.82753333331,12.9502666667,-6.05353333333,24.2911333333,-16.7816,-16.092,7.73953333333,4.98093333331,-15.1724,11.4175333333
205.36,-10.1539333333,-3.89739999999,-22.1538,10.9742666667,-32.4102,-37.641,-7.07686666667,-11.1793333333,-36.7178,3.48720000002
205.74,-15.8334,-14.0625333333,-29.7916666667,3.74999999999,-35.6248666667,-46.6666666667,-17.3959333333,-20.1042,-46.1459333333,-0.520933333348
206.12,-9.90733333334,-3.79633333333,-18.6111333333,10.6482,-18.9816,-35.9259333333,-7.59259999999,-10.0926666667,-28.2407333333,5.74073333332
206.50,-17.7778,-5.8666,-19.3777333334,9.15546666666,-21.5112,-32.9778666667,-11.4666,-12.5333333333,-27.4666,6.0444
