wavelength,Back_DigMajm,Belly_DigMajm,Breast_DigMajm,Crissum_DigMajm,Crown_DigMajm,DorTail_DigMajm,Patch10_DigMajm,Patch11_DigMajm,Rump_DigMajm,Throat_DigMajm,WingTip_DigMajm
755.99,8.50708478261,9.864,10.2835666667,26.2021333334,8.90600000001,10.2739333333,12.1608333333,8.14666666666,9.34920000001,12.353,10.8504666667
756.30,8.51768224637,9.86446666667,10.3641666667,26.2452666667,9.12513333333,10.2856,12.2637333333,8.39413333333,9.59231111112,12.4776666667,11.1287666667
756.62,8.22702826087,9.37513333333,10.1487666667,26.1982,8.8954,10.0581666667,12.109,8.175,9.35762222223,12.3741333333,10.8849
756.93,7.26528333333,8.52653333334,9.40406666667,25.5958666667,7.90786666667,9.07176666666,11.3179333333,7.34126666667,8.41462222222,11.6078,10.1622666667
757.24,6.76647572464,7.8221,8.89386666667,24.9852666667,7.28273333333,8.45480000001,10.7227333333,6.93866666667,7.80346666666,11.1012,9.87703333334
757.56,6.32971014492,7.18093333334,8.3135,24.6956666667,6.79886666667,8.02416666667,10.2331333333,6.6402,7.17862222222,10.5918666667,9.5355
757.87,6.04099782609,6.7956,8.1818,24.7112,6.64653333333,7.65433333333,9.88776666666,6.3518,6.74656666667,10.2327333333,9.63166666666
758.18,6.70690507247,7.45913333333,8.7862,25.1116,7.08973333333,8.08033333333,10.2213,6.6834,7.41651111112,10.6759333333,10.2647333333
758.50,6.88281231884,7.45376666667,8.95576666666,25.0592666667,7.2694,8.0583,10.3622333333,7.08813333333,7.61965555555,10.9124,10.3592
758.81,7.02098731884,7.82696666667,9.01516666667,25.1566,7.51366666667,8.42943333333,10.4710666667,7.264,7.73982222222,11.1274666667,10.6056333333
759.13,7.41637753623,8.4718,9.35310000001,25.4415333333,8.00273333334,8.96226666667,10.7624666667,7.65066666667,8.1883,11.6064666667,10.9872
759.44,7.10262391305,8.26613333333,9.14283333333,25.4138666667,7.7886,8.878,10.4873666667,7.37326666667,7.97347777777,11.4034,10.8388666667
759.75,7.00543442029,8.0187,9.02813333333,25.2786666667,7.6222,8.96143333333,10.3348333333,7.3654,7.71225555555,11.4089333333,10.7346
760.07,7.31492971015,8.45333333333,9.30606666665,25.1315333333,7.99366666667,9.30616666667,10.6874333333,7.60586666667,8.04654444444,11.6057333334,11.1186333333
760.38,7.78447934783,8.98453333333,9.49303333334,25.3262666667,8.50113333333,9.8066,10.9109333333,7.97513333333,8.51918888888,11.8694666667,11.4971666667
760.69,8.05247644927,9.42736666666,9.84893333335,25.6147333333,9.12539999999,10.3812666667,11.3398333333,8.43453333334,8.95743333334,12.2596,11.6931333333
761.01,8.41780615943,9.83743333333,10.1202,25.8857333333,9.51386666667,10.708,11.7607666667,8.75726666667,9.42780000001,12.601,11.8187333333
761.32,8.37671231885,10.1302333333,10.0394,25.7692666667,9.40526666666,10.7290666667,11.9611,8.79153333333,9.69017777779,12.6232,11.5622
761.63,8.18500217392,9.87643333334,9.73863333332,25.6464666667,9.17586666667,10.6053666667,11.8456,8.707,9.37866666666,12.3330666667,11.1721666667
761.94,8.51458152174,10.219,9.9864,25.9931333333,9.44819999999,10.9622333333,12.0985,8.876,9.61910000001,12.4764,11.5263333333
762.26,8.52152644928,10.1003,10.0077666667,26.0634666667,9.3164,10.7929666667,12.1098666667,8.73433333333,9.54791111111,12.5088,11.4868666667
762.57,8.44124710144,9.77636666666,9.78276666667,26.0052,9.04220000001,10.6039666667,12.0573333333,8.46746666667,9.48130000001,12.3575333333,11.4111
762.88,8.69908623189,10.0716,9.91836666668,26.1448666667,9.2656,10.8344,12.1920666667,8.6548,9.65841111111,12.6606666667,11.6752
763.20,9.12502355072,10.6964,10.3832,26.5747333333,9.73273333335,11.3528666667,12.7166333333,8.96386666666,10.2011222222,13.1181333333,12.0226
763.51,9.27191739131,10.8753333333,10.5951,26.929,9.8724,11.6054333333,12.9159333333,9.17819999999,10.3701444445,13.2498666667,12.0395333333
763.82,9.28969818841,10.8657,10.8477333333,27.1048,9.88993333334,11.8306,13.1165666667,9.32853333333,10.4932888889,13.4233333333,11.9882
764.14,9.31868514493,10.6518333333,10.7978,27.0768666667,9.71533333334,11.8267333333,13.1022333333,9.21766666667,10.3853444445,13.3854666667,12.0993333333
764.45,9.50969202899,10.7804,11.1107666667,27.1933333333,9.87673333332,12.0264333333,13.1981666667,9.44120000001,10.5098222222,13.6709333333,12.3652
764.76,9.3465865942,10.4213333333,10.8277666666,26.9262,9.57506666667,11.9138,12.9577666667,9.09566666667,10.1428777778,13.3829333333,12.1225666667
765.07,9.18640688406,10.2917,10.6654,26.7817333333,9.46640000001,11.5624,12.7204333333,8.88033333333,9.88687777779,13.3180666667,11.9207333333
765.39,9.00462500001,10.2163,10.6006666667,26.8870666667,9.32806666666,11.4624666667,12.6332333333,8.67473333333,9.76837777777,13.36,11.8225333333
765.70,8.85121340579,10.1229666667,10.4916,26.6583333333,9.19493333333,11.4266666667,12.4633333333,8.56499999999,9.68447777779,13.2598666667,11.6666333333
766.01,8.87370036232,10.2216666667,10.6887666667,26.4035333333,9.25933333333,11.3185666667,12.5661333333,8.62073333334,9.7163,13.2978,11.5978333333
766.32,8.87289130435,10.1026333333,10.8774,26.2218,9.03419999999,11.0514333333,12.4808333333,8.44613333333,9.65513333335,13.2338666667,11.4076333333
766.64,8.80169057972,9.96886666667,10.7643,26.0918666667,8.87453333333,10.6973333333,12.2196,8.3976,9.56162222222,13.0884666667,11.4176333333
766.95,8.53300217391,9.64903333333,10.5229,25.9513333333,8.54366666666,10.2914333333,11.8770666667,8.06333333333,9.32253333333,12.819,11.3473333333
767.26,8.54555072463,9.80016666667,10.4103,25.9734,8.5376,10.0919666667,11.7471333333,7.90813333333,9.17594444445,12.7603333333,11.4889333333
767.57,8.11315,9.68033333334,10.1174666667,25.6052,8.23126666666,9.76313333334,11.4012333333,7.58113333333,8.97756666666,12.4591333333,10.8869666667
767.88,7.48280760869,9.37580000001,9.62203333334,25.2386,7.67093333333,9.24586666666,10.8647,6.96826666667,8.49432222223,11.7907333333,10.2845666667
768.20,7.92464637681,9.66713333334,10.0388666667,25.6019333333,8.06426666667,9.61483333333,11.1557,7.3752,8.95791111112,12.1447333334,10.7378
768.51,8.65131557971,10.4639,10.8629333333,26.2186,8.68713333333,10.7270333333,11.8161,8.0268,9.74642222221,13.0385333333,11.4483333333
768.82,8.80665652175,10.5581,10.9968666667,26.0087333333,8.83986666668,11.1263,11.9198,8.182,9.85789999999,13.0582,11.569
769.13,9.0402097826,10.5886666667,11.1408333333,26.1916666667,9.07013333332,11.4067333333,12.2249,8.57073333333,9.95188888889,13.11,11.6787666667
769.44,9.0705155797,10.3222,10.9388666667,26.4030666667,8.98353333334,11.8109333333,11.9195666666,8.36473333333,9.90102222223,13.0780666667,11.7398
769.76,9.23751014493,10.3446666667,10.8848666667,26.6538666667,9.41079999999,12.2271666667,12.2016,8.53433333333,10.2388444444,13.2015333333,12.0444333333
770.07,9.06873333334,10.2993333333,11.0597,26.4324666667,9.2632,12.2171,12.2865333333,8.19706666667,10.1162333333,12.8910666666,11.7013666667
770.38,9.26597971014,10.572,11.1154,26.4686666667,9.46106666666,12.4443333333,12.5456333333,8.4358,10.3711333333,13.2804,11.8195333333
770.69,9.24696268117,10.755,11.1502666667,26.5156666667,9.39373333333,12.5138333333,12.6537333333,8.74553333333,10.4551444444,13.2756,11.7855
771.00,8.99777572463,10.2776333333,10.8789,26.4660666667,9.10299999999,11.8167666667,12.1471333333,8.3654,10.0508,12.8825333333,11.6438333333
771.32,9.15284021739,10.2609666667,10.7092333333,26.2602,9.2354,11.8042666667,12.0374666667,8.2652,10.0731888889,12.673,11.4668
771.63,8.71761702899,9.77306666667,10.5492333333,26.0362,8.67226666667,11.3085666667,11.4660666667,7.8414,9.6115888889,12.3494,11.1579
771.94,7.84470797101,8.40376666667,9.55109999999,25.2850666667,7.76706666667,10.2121333333,10.4786333333,6.854,8.71042222223,10.9648,10.4394333333
772.25,8.04640688405,8.5501,9.82523333334,25.749,8.07093333334,10.2281,11.0342,7.5234,8.90417777777,11.2700666667,10.5501
772.56,7.51913586957,8.2168,9.43336666667,25.383,7.4948,9.3556,10.5150666667,6.98746666667,8.35751111112,10.766,10.3236
772.87,7.42734275363,8.3189,9.81733333333,25.6956,7.4498,9.2091,10.9109333333,7.18346666667,8.20687777778,10.7022,10.2768333333
773.18,7.44029673914,8.8352,10.2674333333,25.8407333333,7.5192,9.65326666666,11.1199666667,7.52453333333,8.13069999999,10.8870666667,10.3788333333
773.50,7.6310807971,8.90046666667,10.3195,25.9851333333,7.61986666667,10.0078666667,11.1209333333,7.934,8.15851111111,11.1715333333,10.7056
773.81,7.43822862319,8.8607,10.1998666667,25.8941333333,7.52673333333,9.46293333333,10.9393333333,7.65266666667,7.86821111111,10.9286666667,10.2902666667
774.12,7.11932427536,8.31906666667,9.84716666665,25.5631333333,7.14206666667,8.8511,10.5857666667,6.7402,7.58827777778,10.6621333333,9.8188
774.43,8.1456634058,9.44713333333,10.7908,26.2414666667,7.94213333333,10.1587,11.7800666667,7.58493333334,8.39478888889,11.678,10.7398333333
774.74,8.36856920291,10.0028333333,11.3625666667,26.9950666667,8.26273333333,10.7318,12.2642666667,7.94586666667,8.77846666667,12.1924666666,11.6165
775.05,8.69046666667,10.7556666667,11.4541333333,27.0945333333,9.00493333334,11.1262333333,12.7887666667,8.6056,9.49997777779,12.3868,11.9817666667
775.36,9.14347137681,11.5821666667,12.1988,27.4888666667,9.67906666667,11.7650333333,13.4403333333,9.47059999999,10.3866555555,13.305,12.1735
775.67,9.09818079709,11.7635333333,12.2252,27.2631333333,9.67093333332,11.6990333333,13.0126333333,9.34453333334,10.4632555556,13.4796,11.8566333333
