wavelength,Back_PhrAtrm,Belly_PhrAtrm,Breast_PhrAtrm,Crissum_PhrAtrm,Crown_PhrAtrm,DorTail_PhrAtrm,Rump_PhrAtrm,Throat_PhrAtrm,WingTip_PhrAtrm
201.57,-8.33340000001,-9.87186666666,-12.5640666667,56.1538666667,15.8974666667,7.17953333336,-41.5386,10.1282,-21.282
201.95,-2.99993333333,3.66679999999,-5.77773333334,60.0000000001,17.8888,12.2222666667,-21.8888666667,11.8889333333,-15.1110666667
202.33,-3.07706666667,10.7691333333,-1.12820000001,60.1025999999,19.2821333333,14.1538,-22.6666,11.8972666667,-10.8718
202.71,-11.9296666667,2.33913333333,-5.731,56.0233333334,11.1111333333,8.42113333332,-29.4736666667,4.44440000001,-15.7894
203.09,-28.0342,-3.7607333334,-27.8632666667,65.1282000001,4.95733333332,-3.93159999998,-58.8032666668,-5.4701333334,-33.8462
203.47,-28.8,25.3333333332,-27.9999999999,116.0,48.2666666666,6.6666666666,-68.5333333334,18.3999999999,-16.7999999999
203.85,-488.0,-282.666666666,-542.666666667,206.666666667,-101.333333333,-361.333333333,-818.666666665,-322.666666666,-473.333333333
204.22,351.111,233.3334,446.666733333,-215.555666667,64.4445333331,261.111133333,675.555533333,266.666666667,336.666733333
204.60,153.968333333,158.0952,209.2062,18.0952,90.4762666666,156.8254,273.016,157.1428,163.809533333
204.98,182.8572,199.365066667,241.587333333,53.9682666666,120.952466666,201.269866667,309.8414,201.269866667,185.7142
205.36,240.0,270.0,310.666666667,121.333333333,183.0,261.666666667,369.333333333,252.333333333,252.666666667
205.74,244.210466667,258.9474,323.859533333,127.3684,187.0176,258.245533333,387.719333333,256.842266667,248.0702
206.12,209.6,238.4,299.733333333,141.066666667,171.466666667,237.6,345.866666667,234.666666667,221.333333333
206.50,150.0,181.754333333,219.298266667,113.1578,120.175333333,175.263,240.7018,164.736866667,161.052666667
206.87,136.969733333,161.0606,199.545333333,106.212066667,110.151466667,157.575733333,219.5456,145.1514,153.030333333
207.25,148.9856,175.797133333,213.478266667,121.739133334,117.8262,169.855,229.855133333,154.7826,170.289666667
207.63,252.857,300.000133333,359.285666667,201.904733333,195.7142,276.666733333,383.3332,263.571466667,290.4762
208.01,1109.33333333,1352.0,1765.33333333,801.333333334,765.333333334,1245.33333333,1797.33333333,1133.33333333,1300.0
208.39,-1931.11113333,-2406.6666,-2971.111,-1499.99993333,-1311.11113333,-2215.55546667,-3033.33326667,-2011.11113333,-2257.77773333
