wavelength,Back_TanDowf,Belly_TanDowf,Breast_TanDowf,Crissum_TanDowf,Crown_TanDowf,DorTail_TanDowf,Patch10_TanDowf,Patch11_TanDowf,Patch12_TanDowf,Rump_TanDowf,Throat_TanDowf,WingTip_TanDowf
733.25,13.7188333334,43.3833333333,16.1263333333,40.392,14.8596666666,14.9471666667,10.3123333333,19.9911666667,21.4051666666,26.0618333333,10.5963333333,20.5263333333
733.57,13.9665,43.3911666667,16.1618333333,40.6021666666,15.4025,15.275,10.7338333333,20.3036666666,21.8175,26.4028333333,10.6898333333,20.6308333334
733.89,14.2655,43.5238333333,16.8243333333,41.0268333333,15.8945,15.5561666667,11.0921666666,20.6626666667,22.0325,26.9023333334,11.126,21.0798333334
734.21,14.7595,44.41,17.3275,41.6291666667,16.5343333333,16.1666666667,11.6683333333,21.3775,22.6473333333,27.5135,11.6223333333,21.573
734.52,15.315,44.5646666666,17.7383333333,42.1006666666,17.0221666667,16.6725,12.3266666666,21.8453333333,23.5056666667,27.9156666667,12.0295,22.1076666667
734.84,15.6458333333,44.9193333333,18.1623333333,42.5748333333,17.6221666666,17.0288333334,12.8265,22.0025,23.9611666667,28.1576666667,12.5118333334,22.7623333333
735.16,15.697,45.139,18.239,42.8925,18.0038333334,17.1906666666,13.36,22.5455,24.3343333334,28.1835,12.6731666667,23.1536666667
735.48,16.0805,45.4808333333,18.5966666667,43.1721666666,18.4438333333,17.656,13.7901666667,23.0488333333,24.7098333333,28.478,13.0755,23.751
735.79,16.2715,45.651,18.7855,43.3533333334,18.3036666666,17.9021666667,14.0656666666,23.116,24.8146666666,28.6506666667,13.337,23.7211666667
736.11,16.4435,45.6055,18.8298333333,43.1698333333,18.588,18.1665,13.7785,23.0073333333,24.91,28.8025,13.648,24.0238333333
736.43,16.7101666667,45.8148333334,19.0971666667,43.3901666667,19.2213333333,18.7376666667,13.8393333333,23.2453333334,25.4155,28.7885,14.1245,24.3118333333
736.74,16.472,45.8035,19.0126666666,43.5956666666,19.0818333333,18.9561666666,13.6933333334,23.3093333333,25.2791666666,28.8545,13.9566666667,24.0621666667
737.06,16.6603333333,45.9896666667,19.1693333333,43.5685,19.0941666667,19.088,13.8201666667,23.211,25.3691666667,28.835,14.0891666667,24.3931666667
737.38,16.7673333333,46.3151666667,18.9451666666,43.7976666667,19.3785,19.2465,14.1241666666,23.4085,25.6623333333,28.9453333333,14.1683333333,24.501
737.69,16.9483333333,46.2415,19.1556666667,43.9088333333,19.4996666667,19.1058333333,14.4965,23.4583333333,25.7348333334,28.868,14.3026666667,24.653
738.01,16.4473333333,45.9945,18.873,43.4938333333,19.2866666666,18.547,13.9965,23.1603333333,25.3416666666,28.507,13.9965,24.5393333333
738.33,16.648,45.8426666667,19.0538333333,43.4431666667,19.2968333334,18.9416666667,14.2668333334,23.2985,25.1995,29.0513333334,14.2048333333,24.3891666666
738.64,16.4785,45.8366666667,19.0053333334,43.1716666667,19.0495,18.9241666667,13.82,23.05,25.025,28.9065,14.1838333333,23.9405
738.96,16.7355,45.7533333333,19.112,43.1581666667,19.3495,19.0368333333,13.8961666667,23.1645,25.2096666667,28.9555,14.4903333333,23.7961666667
739.28,16.4131666667,45.6353333333,18.833,43.089,19.4223333334,18.7,13.6133333333,23.1343333333,25.0031666667,28.7785,14.2151666667,23.825
739.59,15.9171666667,45.3626666667,18.409,42.8836666667,19.1326666666,18.4026666666,13.3425,22.8028333333,24.539,28.478,13.9445,23.418
739.91,15.7561666666,45.5715,18.4158333334,42.9573333334,19.1115,18.0388333333,13.4545,22.7401666667,24.327,28.6251666667,13.9356666667,23.2801666667
740.23,15.723,45.7465,18.3378333333,43.1575,19.1245,17.997,13.5271666667,22.716,24.2823333333,28.575,13.9665,23.3125
740.54,15.5856666667,45.7498333333,18.1878333333,43.548,18.9951666667,17.9743333334,13.3841666666,22.6781666667,24.1395,28.5361666667,13.9246666667,23.1851666666
740.86,15.957,46.1288333334,18.5583333333,43.7981666666,19.1056666667,18.2881666667,13.5455,22.9091666667,24.3886666666,28.5098333334,14.1736666667,23.4966666667
741.18,15.2931666667,45.804,18.054,43.3693333333,18.3173333333,17.6723333333,12.4288333333,22.4508333333,23.5748333333,27.8126666667,13.698,22.777
741.49,15.1751666667,45.837,18.0095,43.5113333333,18.1721666666,18.1226666666,12.4541666666,22.2575,23.6145,27.8061666667,13.6203333334,22.4273333333
741.81,14.9278333333,45.828,18.3053333333,43.674,18.4126666667,17.9761666667,12.6091666667,22.5063333333,24.0018333333,27.5511666666,13.733,22.4631666666
742.12,14.8516666667,45.8566666667,18.3875,43.8178333333,18.5033333333,18.2718333334,12.755,22.5163333333,24.0418333333,27.6501666667,13.9045,22.7115
742.44,14.6755,45.9218333334,18.6061666666,44.2108333333,18.4806666666,18.2521666666,13.0751666667,22.5,23.9898333333,27.876,13.9748333334,22.618
742.76,15.1641666667,46.5365,19.1088333333,44.531,18.9758333333,18.6795,13.6913333333,22.7355,24.319,28.0636666667,14.6905,23.098
743.07,15.107,46.6245,19.153,44.884,18.9045,18.5728333334,13.9465,22.6868333333,24.5705,28.2625,14.685,23.0183333334
743.39,15.2351666667,46.391,19.3036666667,45.3285,19.153,19.1681666667,14.2783333333,22.9053333333,24.7363333333,28.5338333333,15.1521666667,23.2291666667
743.70,15.624,46.419,19.5905,45.5048333333,19.3411666667,19.4395,14.5436666667,23.3305,24.9923333334,28.4906666667,15.571,23.4963333334
744.02,15.3383333333,46.5921666667,19.6341666667,45.4916666667,19.824,19.3988333333,14.8375,23.6793333333,25.2656666666,28.81,16.0065,23.6415
744.34,15.1598333334,46.6653333333,19.7798333333,45.8465,20.1623333333,19.5195,14.7696666667,23.7876666667,25.2408333334,29.0041666667,16.4755,23.7265
744.65,15.7231666667,46.6741666666,20.236,46.1491666667,21.0198333333,20.076,15.6238333333,24.0486666666,26.0655,29.6956666667,16.6666666667,24.4443333334
744.97,15.7605,47.0505,20.3763333334,46.3518333334,21.1446666667,20.1075,15.891,24.4161666667,26.0061666666,29.9615,17.2196666666,24.839
745.28,15.7956666667,47.4646666667,20.0731666667,46.3135,21.154,20.0343333333,15.492,24.3505,26.0693333333,30.2613333334,17.2501666666,25.0893333333
745.60,15.5246666667,47.6925,19.715,46.5738333333,21.2426666667,19.9513333334,15.0046666666,24.3228333334,26.1891666666,30.1355,16.7768333333,25.1495
745.91,15.5693333334,47.655,19.1853333334,46.463,21.1433333333,19.9113333334,14.7243333333,24.2225,26.0303333334,29.6858333333,16.406,25.2563333333
746.23,15.279,47.312,18.9263333334,46.5271666667,20.8135,19.9413333334,14.3275,24.104,25.9831666666,29.686,16.199,25.0318333333
746.55,16.2355,47.8205,19.7398333333,46.8641666667,21.48,20.6493333333,15.0361666667,25.0705,26.4191666667,30.0563333334,16.8471666667,26.0425
746.86,16.1741666667,48.141,19.6138333334,46.894,21.3615,20.599,14.768,25.1431666666,26.5886666667,29.9333333333,16.4045,25.8501666666
747.18,16.1366666667,48.1965,19.5856666666,46.6698333333,21.5155,20.59,14.7368333333,25.1936666666,26.6255,30.0901666666,16.5163333334,25.5578333333
747.49,16.0293333333,48.1436666667,19.6303333334,46.8135,21.0006666667,20.4271666667,14.3005,24.7131666667,26.163,29.7323333333,16.0053333334,25.0956666667
747.81,15.5941666667,47.6803333333,19.3118333334,46.2901666667,20.5751666666,19.9236666666,13.8941666667,24.2853333333,25.691,29.266,15.3718333334,24.4918333334
748.12,15.188,47.6361666666,19.0705,46.1258333334,20.1453333333,19.9161666666,13.6781666667,23.988,25.2215,28.6605,15.5913333334,23.909
748.44,15.249,47.4638333334,18.9193333333,46.1403333333,20.0696666667,19.8881666667,13.2168333333,23.9605,25.1893333333,28.434,15.2175,23.4328333333
748.75,15.0995,47.375,18.845,46.325,19.9265,19.8241666667,13.3676666666,23.7816666667,24.8708333333,27.9111666667,15.0526666667,23.2018333333
749.07,15.4013333333,46.8948333334,18.8866666667,46.1031666666,19.7485,19.6243333334,13.538,23.7153333334,24.4216666666,27.6276666667,15.347,23.1176666667
749.38,15.4631666667,47.1356666667,19.4843333333,46.5611666666,19.8338333333,20.1211666666,13.4218333334,23.925,24.6701666666,27.9535,15.6961666667,23.102
749.70,15.8608333334,47.1318333333,19.6356666666,46.4651666667,19.9381666666,20.1238333333,13.6745,23.8681666666,24.7051666667,27.7598333334,15.6125,22.8216666666
750.01,15.4901666667,46.7896666667,19.5575,46.5405,19.8926666667,20.0171666666,13.3708333333,23.8038333333,24.6068333334,27.731,15.3731666667,22.4248333334
750.33,15.3133333333,46.2126666667,19.731,46.2746666666,19.5986666666,19.8475,13.3303333334,23.4951666667,24.4436666666,27.3913333334,15.3911666667,22.4918333334
750.64,15.0241666667,45.7923333334,19.7403333333,46.2536666667,19.3883333333,19.4198333333,13.147,22.9861666666,24.339,27.0921666667,14.7351666666,22.5403333333
750.96,14.9516666667,45.689,19.6523333334,46.1413333333,19.6603333333,19.668,13.2991666667,23.2461666666,24.2283333333,27.2296666666,14.8115,22.552
751.27,14.9233333334,45.7083333333,19.4338333334,46.4353333333,19.7388333334,19.8795,13.5163333333,23.2958333334,24.2808333333,27.3216666667,14.853,22.6233333333
751.59,14.8306666666,45.6058333333,19.4051666667,46.3276666667,19.6171666667,19.7348333334,13.5201666667,23.4696666667,24.0506666667,27.2835,14.6263333333,22.3318333333
751.90,14.538,45.6401666667,19.3235,46.2,19.3788333333,19.5208333333,13.1738333334,23.2105,23.518,26.9866666667,14.325,22.0118333333
752.22,14.28,45.2903333333,19.1326666666,46.086,19.1966666666,19.1488333333,12.8481666667,22.9276666667,23.389,26.9848333334,14.2005,21.583
752.53,14.225,45.3971666666,19.2761666666,46.4536666667,19.2521666667,19.1003333333,12.7281666667,22.8946666667,23.399,27.1533333333,14.193,21.51
752.85,13.4675,45.1608333333,18.6943333333,46.1383333334,18.7833333334,18.3873333333,12.2073333334,22.257,22.6773333333,26.4985,13.6936666666,21.0535
753.16,12.8455,45.2415,18.436,46.1868333333,18.6781666667,17.7896666666,12.0133333333,21.9661666667,22.3056666667,26.4985,13.4188333333,21.0375
753.47,12.7845,44.8748333333,17.9741666666,45.8516666667,18.4583333333,17.5706666667,11.8806666667,21.2591666667,21.7916666667,26.1178333333,13.406,20.7828333333
753.79,12.8968333333,45.5545,17.9693333334,46.1731666667,18.6696666667,17.7006666667,11.7163333333,21.0878333334,21.6088333333,26.2986666666,13.3121666667,20.632
754.10,12.7641666666,45.396,17.7473333333,46.2128333333,18.4571666667,17.665,11.543,20.7921666666,21.4768333334,26.0148333333,13.4983333334,20.3381666667
754.42,12.5475,44.9463333333,17.8741666666,45.7403333334,18.0148333333,17.163,11.5961666666,20.397,21.3151666667,25.7153333333,13.2423333333,20.3143333333
754.73,12.2051666667,44.8736666666,17.7551666666,45.3805,17.6555,16.7166666666,11.4156666667,20.1226666666,21.1531666667,25.648,12.9695,19.8818333334
755.05,12.4086666666,44.6213333333,17.837,45.4018333333,17.6296666666,16.9238333334,11.1303333334,20.2521666666,21.431,25.9958333333,12.6493333334,20.0281666667
755.36,12.4456666666,44.4081666667,17.7448333334,45.6285,17.795,16.884,11.3255,19.9683333333,21.6816666667,25.9445,12.8301666667,20.3863333333
755.67,12.4746666667,44.6716666666,18.0388333333,45.7155,17.7358333333,17.3905,11.431,19.8063333333,21.6328333333,25.9933333334,12.7526666667,20.8251666667
755.99,12.9066666667,44.512,18.5635,45.7341666666,18.2263333333,17.6446666667,11.9205,20.0388333333,22.0538333333,26.5636666667,12.9236666666,20.7721666667
756.30,13.2225,44.1281666667,18.767,45.4048333333,18.4981666667,17.9685,12.1556666667,20.153,22.2868333333,26.806,13.0041666667,21.0516666667
756.62,13.5385,43.6928333333,18.837,45.3798333333,18.3028333334,18.2013333334,11.6818333333,20.0406666667,22.033,26.382,12.9198333333,20.9818333334
756.93,13.7566666667,44.4273333333,19.2866666666,45.5283333333,18.0661666666,18.1771666666,11.7426666667,20.2081666667,22.6146666667,26.5916666666,12.5106666667,21.0958333334
757.24,13.2975,43.9681666667,18.6488333334,45.0146666667,17.7301666666,17.5088333333,11.324,19.6615,22.1456666667,26.042,12.0471666667,20.6653333333
757.56,13.2906666667,44.1923333333,18.6053333333,44.8471666667,17.364,17.4658333333,11.0035,19.4645,21.6326666666,26.1565,11.6241666667,20.5018333333
757.87,13.466,44.3055,18.6073333333,44.9521666667,17.271,17.6965,10.6401666666,19.0753333333,21.8931666666,26.1661666667,11.653,20.3608333334
758.18,13.8253333333,43.9528333333,18.6683333333,44.716,17.3621666667,17.9728333334,10.5175,18.8463333333,21.4928333333,26.0643333333,11.7645,20.6276666667
758.50,13.4565,44.5743333333,18.6135,44.9723333333,17.1165,17.731,10.3495,18.2935,21.2963333333,25.8826666666,11.8468333334,20.708
758.81,13.4948333333,44.3181666667,18.781,44.4903333334,16.9075,17.5865,10.4265,18.5061666666,21.2825,25.5976666667,11.707,20.4141666666
759.13,13.9231666667,44.2986666666,18.527,44.573,16.7353333333,17.7468333334,10.3138333334,18.827,21.1076666666,25.5058333333,11.797,20.2075
759.44,13.8228333334,44.5363333334,18.2781666667,44.6568333333,16.1583333334,17.7353333333,10.1946666667,18.5711666667,21.0875,25.0,11.6166666666,20.2343333333
759.75,13.385,44.3781666667,17.4783333334,43.9118333333,15.2243333333,16.8826666666,9.30066666667,17.8325,20.5526666666,24.4733333333,11.1053333333,19.4213333333
760.07,13.2718333333,44.7665,17.59,44.0141666666,15.5378333334,17.5816666667,9.8,18.1545,20.8141666667,25.0983333333,11.305,19.8563333333
760.38,13.1131666667,44.3788333333,17.4783333334,44.2935,15.5818333333,17.2731666667,9.72149999998,18.0333333333,20.3915,24.8418333333,11.3875,19.8275
760.69,12.9138333333,43.8443333334,16.9468333333,43.9718333333,15.0193333333,16.8025,9.00816666665,17.796,20.0203333333,24.3418333333,11.0206666667,19.6893333333
761.01,12.8063333334,43.5141666667,16.443,43.688,14.9106666667,16.4843333334,8.87149999998,17.6441666667,19.9883333333,24.097,10.545,19.5656666667
761.32,13.303,44.1355,16.571,44.0155,15.2685,16.9223333333,9.24433333335,18.4563333334,20.398,24.7363333333,10.914,20.1421666666
761.63,13.0386666667,44.6743333333,16.4418333333,44.155,15.0076666667,16.7288333333,8.82933333331,18.628,20.3488333334,24.6588333333,10.589,20.1473333333
761.94,13.8838333333,44.87,16.8068333333,44.678,15.7291666666,17.1611666667,9.68399999998,19.39,20.9846666666,25.4501666667,11.1455,20.6453333333
762.26,14.5561666667,45.602,17.6056666667,45.2423333334,16.4053333334,17.8385,9.99583333331,19.8503333334,21.5445,26.1965,11.7253333333,21.3255
762.57,14.519,45.543,17.5648333333,44.908,16.3291666667,17.5851666667,10.1905,19.6718333334,21.5693333333,26.0466666667,11.6151666667,21.4413333334
762.88,14.3883333333,45.5085,17.3846666666,44.5098333333,16.2683333333,17.2935,9.79233333331,19.3498333333,21.2821666666,25.989,11.2743333334,21.1451666667
763.20,14.8675,45.8398333334,18.013,44.9721666666,16.8453333333,17.7195,10.3176666667,19.9461666667,21.7713333333,26.3273333333,11.5875,21.5988333334
763.51,14.8991666667,46.0915,18.073,45.1035,16.9011666666,17.338,10.2621666666,19.7706666667,21.8546666666,26.3715,11.656,21.3355
763.82,14.8015,46.2198333333,18.1375,44.7491666667,17.0235,17.5741666667,10.1763333333,19.8211666667,21.7923333333,26.5115,11.6095,21.2916666667
764.14,15.421,46.7266666667,18.807,45.3496666667,17.3925,18.125,11.0526666666,20.3718333334,22.3306666666,27.3438333333,12.223,21.73
764.45,15.4748333333,47.0583333333,19.2785,45.7715,17.7696666667,18.613,11.3035,20.6923333333,22.499,27.6595,12.939,22.0743333333
764.76,15.4831666666,46.7031666667,19.1831666667,45.7406666667,17.6551666667,18.3835,11.1133333333,20.295,22.0705,27.4028333333,12.83,21.908
765.07,15.4678333334,46.33,19.3468333333,45.5623333333,17.5555,18.2895,11.0371666667,20.1685,22.0135,27.4478333333,12.8281666666,21.9798333334
765.39,15.0883333334,45.756,18.9535,44.9425,17.0035,17.747,10.3255,19.3041666666,21.3453333333,26.6975,12.2753333333,21.3596666667
765.70,15.1575,45.8871666667,18.9153333333,45.0436666666,16.9328333334,17.7023333333,10.5561666667,19.278,21.1421666666,26.7793333333,12.2278333333,21.5491666667
766.01,15.3103333334,45.7905,19.4183333333,45.1201666667,17.181,17.7736666667,10.8358333333,19.4728333333,21.3675,27.0893333333,12.6676666666,21.7725
766.32,15.734,45.7208333334,19.8168333333,45.3936666666,17.3623333334,18.1638333333,11.275,20.0375,21.6248333333,27.3688333333,13.1646666667,22.3205
766.64,15.6335,45.4405,19.7661666667,45.2698333333,16.8373333333,17.9901666667,11.5776666667,19.6635,21.4565,26.9551666667,12.85,22.507
766.95,15.425,44.7135,19.2921666667,44.7666666667,16.2143333333,17.6866666666,11.4508333333,19.4695,20.9596666667,26.3881666667,12.3735,22.1218333333
767.26,15.8575,44.5395,19.1671666667,44.9621666667,16.0875,17.6961666667,11.6751666667,19.581,20.7021666667,26.3193333334,12.6031666667,22.1915
767.57,16.469,44.5605,19.3581666666,44.8523333333,16.4691666667,17.6926666666,11.4813333334,19.7816666667,20.8735,26.3785,12.827,22.398
767.88,17.628,45.5226666666,20.2796666667,45.61,17.2396666666,18.5023333334,12.306,20.9401666667,21.8531666667,27.6416666666,13.5878333333,23.3293333333
768.20,17.006,45.1296666667,19.9898333333,44.7403333333,16.5366666666,17.8143333333,11.7065,20.5488333333,21.427,27.0458333333,13.0638333333,22.9641666667
768.51,17.6931666667,45.6098333333,20.1118333333,45.1726666667,16.8291666666,18.0995,12.3068333333,20.8333333333,21.9513333334,27.551,13.4858333333,23.0081666666
768.82,18.4543333334,46.2698333333,20.676,45.8976666667,17.431,19.1568333334,13.205,21.8435,22.949,28.4463333333,14.2486666666,24.106
769.13,18.137,46.1248333333,20.185,45.7048333333,17.2968333333,18.9563333334,13.0853333333,21.9911666666,22.8943333333,28.6075,14.3983333333,23.9761666667
769.44,17.8966666667,46.5928333334,19.7585,46.0266666667,17.1128333334,18.8111666667,12.1161666667,22.088,22.2948333333,28.881,13.8688333334,23.612
769.76,17.819,46.4206666666,19.4815,45.7666666667,16.9658333333,18.4286666667,12.0566666666,21.72,22.0081666666,28.923,13.4085,23.3156666667
770.07,18.1496666666,46.7715,19.5871666667,46.3038333333,17.488,18.834,11.944,22.1308333333,22.1881666667,30.1733333334,13.9628333333,23.6478333334
770.38,19.3181666667,47.1075,20.3395,46.4991666666,18.1818333333,19.3065,12.3393333333,23.2095,23.1061666667,31.2326666666,14.4281666667,24.759
