wavelength,Back_MelMelm,Belly_MelMelm,Breast_MelMelm,Crissum_MelMelm,Crown_MelMelm,DorTail_MelMelm,Patch10_MelMelm,Patch11_MelMelm,Rump_MelMelm,Throat_MelMelm,WingTip_MelMelm
769.13,21.2494666667,45.8587692308,36.8868666667,53.0666,26.2664,21.3236666667,19.9046,42.1473333333,21.3183433333,15.2857,26.0312666667
769.44,22.2336666667,46.6261846154,37.5334666667,53.7042666667,27.2205333333,22.3588,20.843,42.9796,22.39369,16.2009666667,26.6625333333
769.76,22.7169333333,47.162725641,38.1180666667,54.1506666667,27.6340333333,22.8850333333,21.5728,43.9142,22.8427266667,16.4302,27.1438
770.07,22.5555333333,46.7813230769,37.9152666667,53.7548,27.3302333333,22.7437,21.0558333333,43.6717333333,22.5235733333,16.1442,26.5500666667
770.38,23.26,47.3611974359,38.718,54.3223333333,27.7518333333,23.0493666667,21.5133666667,44.1208666667,22.80885,16.6665,26.3325333333
770.69,22.2331333333,46.327274359,37.5838666667,53.1456,26.5258666667,21.8976666667,20.6146333333,42.9698,21.5626833333,15.5125666667,24.5412666667
771.00,21.4864666667,45.961148718,36.9089333333,52.3932,25.7739666667,21.2867333333,19.5868333333,42.1510666667,20.73265,14.6961333333,23.9172666667
771.32,21.2623333333,45.9293692308,36.6836666667,52.4690666667,25.6929666667,20.8956666667,19.2011333333,42.0684,20.4964566667,14.4233666667,23.5446
771.63,20.774,45.8248051282,36.6992,52.1498,25.2909333333,20.5143,18.7240666667,41.8228,20.2345066667,13.6105,23.4508
771.94,21.1027333334,46.1913282051,36.7825333334,52.0091333333,25.4708,20.8910666667,18.8495333333,42.1549333333,20.70745,13.8243,23.6352
772.25,20.9834,46.4412487179,37.0552666667,52.4119333333,25.2689666667,20.7618333333,18.8881666667,42.0384666667,20.8166966667,13.7373666667,23.6241333333
772.56,20.6852666667,45.9350307692,36.5791333333,52.1947333334,24.7243333333,20.5307666667,18.645,40.9788666667,20.4170166667,13.7505666667,23.1527333333
772.87,20.0679333333,45.0908820513,36.0649333333,51.6588666667,24.1183,20.1099,17.9565666667,40.4238666667,19.8326233333,13.0272333333,22.6739333333
773.18,19.1998,44.3514128205,35.3790666667,51.0334,23.4526,19.2446333333,17.0109666667,39.4116666667,19.16797,12.2522,22.1038666667
773.50,19.2166666667,44.3753025641,35.0783333334,50.8266,23.4144,18.763,16.5829,39.3518,18.85219,11.9584333333,21.6532666667
773.81,19.0742,44.6631974359,35.0150666667,50.9725333333,23.6237666667,19.1152666667,16.5298333333,39.7152,18.86796,11.9173,21.8682666667
774.12,19.8182,44.9461948718,35.102,51.5096,24.3884,19.5565666667,16.6749,40.5508666667,19.6720166667,12.5896333333,22.7380666667
774.43,18.745,43.9596974359,33.9241333333,50.6359333333,23.4157333333,18.1404333333,15.3720333333,39.7785333333,18.2905,11.1186333333,21.2436
774.74,18.7334666667,43.4885717949,33.4690666667,49.7992666667,23.1807333333,18.6458333333,15.5472666667,39.5365333333,18.34055,11.0347333333,21.2834666667
775.05,19.4141333333,43.7123948718,33.7181333333,49.7964,23.9218666667,19.1380333333,16.0559,40.0167333333,18.7540033333,12.0809,21.9414666667
775.36,19.8315333334,44.182951282,34.2600666667,50.2501333333,24.4706333333,19.6714,16.8885666667,40.6458666667,19.1462933333,12.5749666667,22.2128666667
