wavelength,Back_LoxViof,Belly_LoxViof,Breast_LoxViof,Crissum_LoxViof,Crown_LoxViof,DorTail_LoxViof,Patch10_LoxViof,Rump_LoxViof,Throat_LoxViof,WingTip_LoxViof
771.94,7.35233333333,8.12576666667,6.61013333333,34.8836666667,5.63213333333,9.12879999999,34.9496666667,8.79866666667,37.9938,13.522
772.25,7.82486666667,8.47723333333,7.03446666666,35.4254,5.93093333333,9.51373333334,35.2750666667,9.06273333334,38.5380666667,14.0626666667
772.56,8.56153333334,9.28786666667,7.62060000001,36.0142,6.56693333333,10.1466,35.8949333334,9.76966666667,39.1558,14.7093333333
772.87,9.01700000001,9.59003333333,8.011,36.4192666667,6.87513333333,10.3319333333,36.2076666667,10.1855333333,39.4726,15.1204666667
773.18,9.04833333333,9.71816666667,8.06873333333,36.4095333333,7.03046666666,10.3620666667,36.1900666667,10.2604,39.453,15.2073333333
773.50,9.19973333334,10.071,8.22086666666,36.67,7.44046666667,10.6218,36.4285333333,10.4795333333,39.5534666667,15.2248
773.81,8.66306666667,9.4692,7.64813333333,36.1876666667,6.947,10.0984666667,35.9073333333,9.86146666667,38.9583333333,14.6286
774.12,8.92140000001,9.72033333333,7.8126,36.515,7.12506666666,10.1011333333,36.1577333333,9.98646666668,39.1844666667,14.9308666667
774.43,8.68259999999,9.6612,7.63860000001,36.3245333333,6.8276,9.77766666667,36.0335333334,9.80493333333,39.059,15.0307333333
774.74,8.49726666667,9.45246666667,7.38146666667,36.3842666667,6.5272,9.61646666667,36.2412,9.53966666667,38.9889333333,15.0522666666
775.05,8.61253333333,9.39223333333,7.45346666666,36.5296,6.53673333333,9.72253333333,36.477,9.42400000001,39.1008,15.346
775.36,8.876,9.55773333333,7.64986666667,36.6596,6.68433333333,9.81340000001,36.7478,9.60906666667,39.2706,15.835
775.67,8.08166666667,8.74443333333,6.96033333333,36.2887333333,6.05046666666,8.99146666667,36.4104,8.87706666667,39.0327333333,15.1208
775.98,7.22686666667,7.72506666667,6.20106666667,35.7956666667,5.11726666667,8.14326666667,35.8719333334,7.94680000001,38.3852666667,14.3698666667
776.30,6.51506666666,6.95136666667,5.47973333333,35.5629333333,4.51106666667,7.69813333333,35.6222666667,7.35446666667,38.1660666667,13.4959333333
776.61,6.28633333334,6.80506666667,5.4258,35.3240666667,4.5022,7.71186666667,35.4127333333,7.19486666667,37.7986,13.2594
776.92,5.8826,6.33836666667,5.06846666667,35.3254666667,4.07793333333,7.3044,35.3254,6.92533333333,37.8765333333,12.9320666667
777.23,6.03046666667,6.3692,5.1572,35.4600666667,4.09173333333,7.4196,35.6296,7.06186666667,37.9106666667,13.1074
777.54,6.10966666667,6.25836666667,5.2512,35.4338666667,4.1822,7.65673333333,35.4412666667,7.2088,37.7828,13.1602
777.85,6.44633333334,6.4502,5.66993333333,35.5058666667,4.65833333333,8.14873333333,35.5542666667,7.5178,37.5924666667,13.1057333333
778.16,6.6518,6.79703333333,6.02326666667,35.4240666667,5.08553333333,8.33706666667,35.6062666667,7.7308,37.6264666667,13.1956666667
778.47,6.95719999999,7.25873333333,6.33533333333,35.6612,5.39293333333,8.68160000001,35.7951333334,8.26066666667,37.9181333333,13.2849333333
778.78,7.56066666667,8.17073333333,7.00840000001,36.3192666667,6.15946666666,9.43859999999,36.5784666667,9.0742,38.7531333333,13.8629333333
779.09,7.96239999999,8.50676666667,7.17519999999,36.6177333333,6.5724,9.6158,36.678,9.46146666667,38.8776666667,14.1358
779.40,8.04653333333,8.68393333333,7.38286666667,36.4904,6.87673333333,9.76013333333,36.5317333333,9.67753333333,38.969,14.2258666667
779.71,8.25239999999,8.7195,7.51033333333,36.4972,6.95306666667,9.80033333332,36.6366,9.62706666667,38.9982,14.5762
780.02,7.81353333333,8.19956666667,7.07946666667,36.4067333333,6.4258,9.2738,36.4106666667,9.10533333333,38.7767333333,14.2814
780.33,7.66133333334,7.93983333333,6.97373333333,36.2019333333,6.2788,9.132,36.1752,8.81726666667,38.6480666667,14.1934
780.64,7.62966666666,8.14406666667,7.01479999999,36.245,6.34573333333,9.25386666666,36.0557333333,8.7898,38.8476666666,14.2615333333
780.95,7.6636,8.27113333333,7.01713333333,36.281,6.3786,9.29913333333,36.2967333333,8.67606666667,38.9291333333,14.2795333333
781.26,7.9306,8.4655,7.005,36.2932666667,6.39826666667,9.29206666666,36.1027333333,8.72026666667,38.7670666667,14.3717333333
781.57,7.69573333333,8.06346666667,6.7254,36.0954,5.9468,9.0962,35.6806666667,8.521,38.5406666667,14.1472
781.88,8.02613333333,8.31943333333,7.0274,36.3892,6.4368,9.51253333333,35.9412666667,8.76326666667,39.0686,14.5898666667
782.19,7.57393333333,7.538,6.4388,35.6075333333,5.86326666667,8.8888,35.2439333333,8.05753333333,38.3932666667,13.945
782.50,8.09466666666,7.8239,6.83526666667,35.7401333333,6.29766666667,9.52653333333,35.7401333333,8.4916,38.7726,14.3682
782.81,8.53433333333,8.05123333333,6.99553333333,36.0372666667,6.56106666667,9.82133333333,36.1185333333,8.9486,39.3545333334,14.7544666667
783.12,8.30259999999,8.14523333334,6.7852,35.8896,6.499,9.66873333333,36.0162666666,8.89160000001,39.1697333333,14.7280666667
783.43,8.39066666667,8.3344,6.65833333333,36.0967333333,6.66666666667,9.59293333333,36.3974,8.86673333333,39.5534,14.9695333334
783.74,9.13993333334,8.9789,7.25253333333,36.5516,7.18973333333,10.2364666667,36.8235333333,9.44546666667,40.0082666667,15.5431333333
784.05,9.61186666667,9.29123333333,7.6666,36.8522666667,7.59499999999,10.4136,37.1898666667,9.83120000001,40.2362666667,15.9156666667
784.36,9.57026666667,9.29436666667,7.60326666667,37.259,7.59040000001,10.186,37.2206,9.89513333333,40.4232,15.8946666667
784.67,9.65133333333,9.50193333333,7.64566666667,37.4832,7.8794,10.3011333333,37.7908666667,10.2403333333,41.0872666667,16.3047333333
784.98,10.1242,10.1545666667,8.0166,38.0492,8.43453333334,10.6902,38.6239333333,10.9688666667,41.7375333333,16.8604
785.29,10.1527333333,10.4451,8.04966666667,38.2940666667,8.49499999999,10.8246,39.0445333333,10.9685333333,41.9372666667,16.7580666667
785.60,10.2610666667,10.6679333333,8.3986,38.5988,8.75546666666,11.2315333333,39.2732,11.2053333333,42.2236,16.7103333333
785.91,9.50266666667,10.1527666667,7.78353333333,38.5558,8.01919999999,10.5585333333,38.9528666667,10.6718666667,41.9370666667,16.0646
786.22,8.9744,9.71746666667,7.44886666666,38.3876666667,7.38380000001,10.0217333333,38.8005333333,10.1478,41.3037333333,15.7235333333
786.53,9.09673333333,9.91746666667,7.90086666667,38.5199333333,7.72266666666,10.2798666667,38.6386,10.3096,41.2468666667,15.6444666667
786.84,8.96826666666,9.81506666667,8.07633333333,38.0518,7.71893333333,10.4398666667,38.2738666667,10.2878,40.7194,15.2158666667
787.14,8.76093333333,9.59773333334,7.89973333333,37.9502,7.58033333333,10.3173333333,38.2898666667,10.1555333333,40.5174666667,15.1242666667
787.45,9.11626666666,9.97620000001,8.38659999999,38.1697333333,7.96446666666,10.7928666667,38.4537333333,10.6744666667,40.6430666667,15.282
787.76,9.56513333333,10.4676666667,8.73033333334,38.0792,8.3208,11.3353333333,38.6589333333,11.0454666667,40.7574,15.6714666667
788.07,9.36273333333,10.2176333333,8.51906666667,38.1667333334,8.05693333334,11.3114666667,38.7098666667,10.7568,40.6315333333,15.3475333333
788.38,9.24353333334,9.82916666667,8.41026666666,37.9685333333,7.78413333333,11.1059333333,38.5330666667,10.4070666667,40.4378,15.1267333333
788.69,9.51760000001,9.59606666667,8.65246666667,37.9341333333,7.77213333333,11.2292,38.605,10.6576,40.3546,15.2658666667
789.00,9.77986666667,9.81773333333,8.7624,38.1434666667,8.03726666667,11.2869333333,38.6864666667,10.9150666667,40.429,15.5164
789.31,9.85986666667,9.89253333333,9.02706666666,38.15,8.09440000001,11.4832666667,39.0058666667,11.1188,40.4875333334,15.713
789.62,10.2443333333,10.2892,9.39073333333,38.4516666667,8.50600000001,12.0023333333,39.2938,11.5017333333,40.9934666667,15.9138
789.92,10.7339333333,10.5085,9.54693333334,38.453,8.60533333333,12.2453333333,39.5451333333,11.8102,41.3412666667,16.1898
790.23,11.0491333333,10.5316,9.51686666667,38.4718666667,8.64353333333,12.2458666667,39.5755333333,11.9386666666,41.5160666667,16.329
790.54,11.2511333333,10.6665666667,9.75726666666,38.3293333333,9.0782,12.3866666667,39.4897333333,12.1975333333,41.642,16.4280666667
790.85,11.2484,10.7750333333,9.51166666667,38.4034,9.04473333334,12.3396,39.7664,12.0168666667,41.8472,16.5136
791.16,10.7375333333,10.1313666667,9.08293333333,38.389,8.5182,11.8974666667,39.6322,11.5386666667,41.7158666667,15.9992
791.47,10.9138666667,10.2209,9.38619999999,38.3488666667,8.72399999999,12.0310666667,39.3112666667,11.7925333333,41.6246,16.1898666666
791.78,10.9242,10.33,9.22946666667,38.6351333333,8.99413333334,12.2258666667,39.5752666667,11.8598,41.8124,16.0317333334
792.08,10.3474666667,10.0413666667,8.7556,38.0722666667,8.4426,11.6356,39.0520666667,11.3364666667,41.3802,15.6152666666
792.39,9.95746666667,9.59046666667,8.24819999999,37.9261333333,7.93560000001,11.2026666667,39.0673333333,10.909,41.269,15.4119333333
792.70,10.4626,10.1502,8.55993333334,38.412,8.32606666666,11.4831333333,39.194,11.2446,41.6166666667,15.88
793.01,10.5361333333,10.3550666667,8.83006666667,38.3178,8.29646666667,11.4176,39.2708,11.1938666667,41.2294666667,16.1354
793.32,10.3496,10.294,8.88406666667,38.8045333333,8.11760000001,11.2846,39.6241333333,11.2558,41.5859333333,16.2737333333
793.62,10.6471333333,10.788,9.38666666667,39.4424,8.31513333334,11.7432,40.3150666667,11.7769333333,42.3464666667,16.6255333333
793.93,9.9194,10.3175,8.75226666668,39.3992,7.55553333333,11.3016,40.3613333333,11.3112666667,42.0024666667,16.2978
794.24,10.1081333333,10.0816,8.98820000001,39.1780666667,7.67606666668,11.3674,40.0770666667,11.4154,41.8986666667,16.2701333333
794.55,10.1260666667,10.2808333333,9.11266666667,39.115,7.95139999999,11.4966,39.9620666667,11.5536,41.8416,16.1695333333
