wavelength,Back_DigCarm,Belly_DigCarm,Breast_DigCarm,Crissum_DigCarm,Crown_DigCarm,DorTail_DigCarm,Patch10_DigCarm,Rump_DigCarm,Throat_DigCarm,WingTip_DigCarm
355.47,3.6158,13.8408,9.26166666667,3.5556,3.293,5.85217037037,11.6317333334,6.09013333333,4.01913333333,5.07213333333
355.83,3.62333333333,13.9154666667,9.37386666666,3.5718,3.33526666667,5.88967407407,11.6528666667,6.0998,4.08906666667,5.19713333333
356.20,3.69486666667,13.8839333333,9.37573333333,3.60386666667,3.34693333333,5.90552222222,11.7104666667,6.16093333333,4.08513333333,5.2644
356.56,3.7614,13.9534666667,9.51186666667,3.6452,3.40826666667,5.97186296296,11.8069333333,6.24846666667,4.1822,5.38213333333
356.93,3.7856,13.9665333333,9.53779999999,3.68033333333,3.4298,5.99421111111,11.7984666667,6.30033333333,4.22186666666,5.401
357.29,3.97473333333,14.147,9.77213333333,3.87073333333,3.58173333333,6.15093333333,11.9313333333,6.4828,4.38633333333,5.6352
357.66,4.11246666667,14.3156666667,9.89493333333,4.0268,3.72906666667,6.25380370371,12.0046,6.61546666667,4.53406666667,5.808
358.02,4.20093333333,14.4294,10.03,4.10686666667,3.82226666667,6.30854444445,12.1302666666,6.73113333333,4.64333333333,5.903
358.38,4.32513333333,14.5426666667,10.1576,4.24726666667,3.9484,6.38845555555,12.2447333333,6.88246666667,4.74746666667,6.0534
358.75,4.50293333333,14.6759333333,10.3284,4.37033333333,4.13773333333,6.53416296296,12.3341333333,7.011,4.8816,6.20806666667
359.11,4.6578,14.8300666667,10.4912,4.49633333333,4.3152,6.67408518519,12.4624,7.2066,5.0042,6.38886666667
359.48,4.83733333333,15.0962,10.7577333333,4.6416,4.4686,6.86051851852,12.6759333333,7.39533333333,5.1558,6.6076
359.84,4.7846,15.0327333333,10.6618,4.594,4.42993333333,6.78172962963,12.6357333333,7.34966666667,5.0638,6.48786666667
360.20,4.77973333334,15.0554,10.678,4.5852,4.47333333333,6.76842592593,12.6267333333,7.35353333333,5.06986666667,6.47033333333
360.57,4.57473333333,14.9001333333,10.4943333333,4.416,4.29833333334,6.5707,12.4429333333,7.19226666667,4.90873333333,6.29013333333
360.93,4.586,14.9658,10.5447333333,4.41806666667,4.31913333333,6.57463703704,12.5234,7.19933333333,4.91073333333,6.31706666667
361.29,4.55153333333,14.9272666667,10.5282,4.3832,4.2898,6.52432962962,12.499,7.15193333333,4.876,6.26286666667
361.66,4.5664,14.9912,10.6009333333,4.40846666667,4.30953333333,6.51965555555,12.6085333333,7.2434,4.96153333333,6.29626666667
362.02,4.62173333333,15.0844,10.6706666667,4.48033333333,4.37673333333,6.56978518519,12.6900666667,7.34226666667,5.01926666667,6.3624
362.39,4.58993333333,15.0772,10.6712666667,4.43446666667,4.36746666667,6.54138518519,12.6792,7.32833333333,5.034,6.30566666667
362.75,4.55806666667,15.1574666667,10.6818,4.42646666666,4.3384,6.52344444445,12.6784666667,7.3508,5.05606666667,6.3248
363.11,4.37126666667,15.0050666667,10.558,4.19973333333,4.11793333333,6.32944814815,12.5023333333,7.15126666667,4.88766666667,6.09586666667
363.48,4.3282,14.9176666667,10.4897333333,4.1582,4.06473333334,6.19712592593,12.4236666666,7.09506666667,4.81573333333,5.97633333333
363.84,4.31786666667,14.9645333333,10.5659333333,4.1542,4.02893333333,6.16101851852,12.4252666666,7.10226666667,4.80446666666,5.98593333334
364.20,4.325,15.0486666667,10.6455333333,4.18193333333,4.0446,6.17363333333,12.4302,7.12766666667,4.82706666667,6.01493333333
364.57,4.45206666667,15.1764666667,10.7746,4.30933333333,4.15573333333,6.26078148148,12.5331333333,7.25586666667,4.96533333333,6.12166666667
364.93,4.4642,15.2525333333,10.8422,4.34373333333,4.19733333333,6.27275925926,12.5364666667,7.3258,4.98433333333,6.18466666667
365.29,4.44933333333,15.333,10.8633333333,4.33506666667,4.16486666667,6.27596666667,12.562,7.401,5.0112,6.20766666667
